SGAS,CONBPRES,PRESSURE,DRAWDOWN,CONKPOS,CONJPOS,DEPTH,SWAT,WELL,CONIDX,DATE,WELLMODEL,CONIPOS
0.0,306.6008605957031,306.6008605957031,0,13,42,1713.98876953125,1.0,R_A6,13,2018-01-01,STANDARD,17
0.0,306.81634521484375,306.81634521484375,0,14,42,1716.262451171875,1.0,R_A6,14,2018-01-01,STANDARD,17
0.0,307.0318298339844,307.0318298339844,0,15,42,1718.5361328125,1.0,R_A6,15,2018-01-01,STANDARD,17
0.0,307.392333984375,307.392333984375,0,16,42,1720.809814453125,1.0,R_A6,16,2018-01-01,STANDARD,17
0.0,307.60784912109375,307.60784912109375,0,17,42,1723.08349609375,1.0,R_A6,17,2018-01-01,STANDARD,17
0.0,307.7547912597656,307.7547912597656,0,18,42,1724.634033203125,1.0,R_A6,18,2018-01-01,STANDARD,17
0.0,307.7176513671875,307.7176513671875,0,26,42,1725.899658203125,1.0,R_A6,19,2018-01-01,STANDARD,17
0.0,308.1849365234375,308.1849365234375,0,27,42,1727.6036376953125,1.0,R_A6,20,2018-01-01,STANDARD,17
0.0,308.346435546875,308.346435546875,0,28,42,1729.3077392578125,1.0,R_A6,21,2018-01-01,STANDARD,17
0.0,308.5079345703125,308.5079345703125,0,29,42,1731.01171875,1.0,R_A6,22,2018-01-01,STANDARD,17
0.0,308.3636474609375,308.3636474609375,0,30,42,1732.7156982421875,1.0,R_A6,23,2018-01-01,STANDARD,17
0.0,297.8955993652344,297.8955993652344,0,1,30,1641.0823974609375,0.05443311482667923,R_A2,1,2018-03-01,STANDARD,22
0.0,298.01397705078125,298.01397705078125,0,2,30,1642.8487548828125,0.055369142442941666,R_A2,2,2018-03-01,STANDARD,22
0.0,298.1323547363281,298.1323547363281,0,3,30,1644.615234375,0.05685032531619072,R_A2,3,2018-03-01,STANDARD,22
0.0,298.250732421875,298.250732421875,0,4,30,1646.3817138671875,0.0653630718588829,R_A2,4,2018-03-01,STANDARD,22
0.0,298.3691101074219,298.3691101074219,0,5,30,1648.1480712890625,0.06634769588708878,R_A2,5,2018-03-01,STANDARD,22
0.0,298.51202392578125,298.51202392578125,0,6,30,1649.9146728515625,0.30473312735557556,R_A2,6,2018-03-01,STANDARD,22
0.0,298.6449279785156,298.6449279785156,0,7,30,1651.6810302734375,0.8812860250473022,R_A2,7,2018-03-01,STANDARD,22
0.0,298.77484130859375,298.77484130859375,0,8,30,1653.447509765625,0.8545354604721069,R_A2,8,2018-03-01,STANDARD,22
0.0,299.2757873535156,299.2757873535156,0,9,30,1655.2139892578125,0.8813532590866089,R_A2,9,2018-03-01,STANDARD,22
0.0,299.6430358886719,299.6430358886719,0,10,30,1656.9803466796875,0.8859645128250122,R_A2,10,2018-03-01,STANDARD,22
0.0,299.80731201171875,299.80731201171875,0,11,30,1658.8787841796875,0.06858538836240768,R_A2,11,2018-03-01,STANDARD,22
0.0,299.9435119628906,299.9435119628906,0,12,30,1660.9091796875,0.13015052676200867,R_A2,12,2018-03-01,STANDARD,22
0.0,300.0803527832031,300.0803527832031,0,13,30,1662.9395751953125,0.42856723070144653,R_A2,13,2018-03-01,STANDARD,22
0.0,300.21783447265625,300.21783447265625,0,14,30,1664.9698486328125,0.46645885705947876,R_A2,14,2018-03-01,STANDARD,22
0.0,300.35797119140625,300.35797119140625,0,15,30,1667.000244140625,0.9089365005493164,R_A2,15,2018-03-01,STANDARD,22
