DEPTH,PRESSURE,WELLMODEL,CONIDX,DATE,DRAWDOWN,CONIPOS,CONKPOS,CONJPOS,CONBPRES,SWAT,WELL,SGAS
1672.9881591796875,300.83343505859375,STANDARD,18,2018-03-01,0,22,18,30,300.83343505859375,0.9828847050666809,R_A2,0.0
1674.229736328125,300.83489990234375,STANDARD,19,2018-03-01,0,22,18,29,300.83489990234375,0.9966232776641846,R_A2,0.0
1676.1676025390625,302.4579772949219,STANDARD,20,2018-03-01,0,22,27,29,302.4579772949219,1.0,R_A2,-7.103924115625659e-10
1677.9368896484375,303.2397766113281,STANDARD,21,2018-03-01,0,22,28,29,303.2397766113281,1.0,R_A2,-3.547950111166479e-21
1679.7061767578125,303.53955078125,STANDARD,22,2018-03-01,0,22,29,29,303.53955078125,1.0,R_A2,-9.57583030987759e-22
1681.4754638671875,303.74920654296875,STANDARD,23,2018-03-01,0,22,30,29,303.74920654296875,1.0,R_A2,-7.523460106659457e-22
1683.2447509765625,303.9223327636719,STANDARD,24,2018-03-01,0,22,31,29,303.9223327636719,1.0,R_A2,-1.8186284703252896e-21
1685.026611328125,274.34674072265625,STANDARD,1,2018-04-28,0,31,1,20,274.34674072265625,1.0,R_A5,-2.0813014059060074e-15
1687.3070068359375,274.5627136230469,STANDARD,2,2018-04-28,0,31,2,20,274.5627136230469,1.0,R_A5,-2.1371062658117257e-15
1689.5875244140625,274.7787170410156,STANDARD,3,2018-04-28,0,31,3,20,274.7787170410156,1.0,R_A5,-1.9574471895672995e-15
1691.8680419921875,274.9942321777344,STANDARD,4,2018-04-28,0,31,4,20,274.9942321777344,1.0,R_A5,-2.1258091756359582e-15
1694.1485595703125,275.2095642089844,STANDARD,5,2018-04-28,0,31,5,20,275.2095642089844,1.0,R_A5,-2.1027889377119545e-15
1696.4290771484375,275.4250793457031,STANDARD,6,2018-04-28,0,31,6,20,275.4250793457031,1.0,R_A5,-1.704116999218957e-15
1698.70947265625,275.96173095703125,STANDARD,7,2018-04-28,0,31,7,20,275.96173095703125,1.0,R_A5,-5.629594843271262e-16
1707.6488037109375,278.5591125488281,STANDARD,8,2018-04-28,0,31,11,20,278.5591125488281,1.0,R_A5,1.2374347206633995e-11
