CONIPOS,PRESSURE,DATE,DEPTH,CONBPRES,DRAWDOWN,CONJPOS,CONKPOS,SGAS,CONIDX,SWAT,WELL,WELLMODEL
17,306.8858947753906,2018-01-01,1716.9962158203125,306.8858947753906,0,42,14,0.0,14,1.0,R_A6,STANDARD
17,307.1015319824219,2018-01-01,1719.271484375,307.1015319824219,0,42,15,0.0,15,1.0,R_A6,STANDARD
17,307.4621887207031,2018-01-01,1721.546875,307.4621887207031,0,42,16,0.0,16,1.0,R_A6,STANDARD
17,307.6778564453125,2018-01-01,1723.822265625,307.6778564453125,0,42,17,0.0,17,1.0,R_A6,STANDARD
17,307.8285217285156,2018-01-01,1725.412109375,307.8285217285156,0,42,18,0.0,18,1.0,R_A6,STANDARD
17,307.7954406738281,2018-01-01,1726.720458984375,307.7954406738281,0,42,26,0.0,19,1.0,R_A6,STANDARD
17,308.2635192871094,2018-01-01,1728.432861328125,308.2635192871094,0,42,27,0.0,20,1.0,R_A6,STANDARD
17,308.4258117675781,2018-01-01,1730.145263671875,308.4258117675781,0,42,28,0.0,21,1.0,R_A6,STANDARD
17,308.588134765625,2018-01-01,1731.857666015625,308.588134765625,0,42,29,0.0,22,1.0,R_A6,STANDARD
17,308.44464111328125,2018-01-01,1733.5701904296875,308.44464111328125,0,42,30,0.0,23,1.0,R_A6,STANDARD
22,298.676513671875,2018-03-01,1641.70654296875,298.676513671875,0,30,1,0.0,1,0.05358073115348816,R_A2,STANDARD
22,298.7936706542969,2018-03-01,1643.4549560546875,298.7936706542969,0,30,2,0.0,2,0.05526762455701828,R_A2,STANDARD
22,298.9108581542969,2018-03-01,1645.2032470703125,298.9108581542969,0,30,3,0.0,3,0.057883456349372864,R_A2,STANDARD
22,299.02801513671875,2018-03-01,1646.95166015625,299.02801513671875,0,30,4,0.0,4,0.0632069855928421,R_A2,STANDARD
22,299.14520263671875,2018-03-01,1648.699951171875,299.14520263671875,0,30,5,0.0,5,0.06713197380304337,R_A2,STANDARD
22,299.2535400390625,2018-03-01,1650.4482421875,299.2535400390625,0,30,6,0.0,6,0.6487825512886047,R_A2,STANDARD
22,299.3852844238281,2018-03-01,1652.196533203125,299.3852844238281,0,30,7,0.0,7,0.8726662397384644,R_A2,STANDARD
22,299.5078430175781,2018-03-01,1653.9449462890625,299.5078430175781,0,30,8,0.0,8,0.8686456680297852,R_A2,STANDARD
22,299.77655029296875,2018-03-01,1655.693359375,299.77655029296875,0,30,9,0.0,9,0.881335437297821,R_A2,STANDARD
22,300.01885986328125,2018-03-01,1657.441650390625,300.01885986328125,0,30,10,0.0,10,0.8895178437232971,R_A2,STANDARD
22,299.71173095703125,2018-03-01,1659.340576171875,299.71173095703125,0,30,11,0.0,11,0.06888271868228912,R_A2,STANDARD
22,299.84912109375,2018-03-01,1661.39013671875,299.84912109375,0,30,12,0.0,12,0.11772459000349045,R_A2,STANDARD
22,299.9869689941406,2018-03-01,1663.439697265625,299.9869689941406,0,30,13,0.0,13,0.43494322896003723,R_A2,STANDARD
22,300.1253356933594,2018-03-01,1665.4892578125,300.1253356933594,0,30,14,0.0,14,0.47413933277130127,R_A2,STANDARD
22,300.26739501953125,2018-03-01,1667.538818359375,300.26739501953125,0,30,15,0.0,15,0.9048103094100952,R_A2,STANDARD
22,300.4084777832031,2018-03-01,1669.58837890625,300.4084777832031,0,30,16,0.0,16,0.9256981015205383,R_A2,STANDARD
22,300.5480041503906,2018-03-01,1671.637939453125,300.5480041503906,0,30,17,0.0,17,0.874792754650116,R_A2,STANDARD
22,300.611328125,2018-03-01,1674.583740234375,300.611328125,0,29,17,0.0,18,0.9350045919418335,R_A2,STANDARD
22,300.73516845703125,2018-03-01,1676.4296875,300.73516845703125,0,29,18,0.0,19,0.9915604591369629,R_A2,STANDARD
22,303.0866394042969,2018-03-01,1678.113525390625,303.0866394042969,0,29,26,-1.117824766083686e-08,20,0.9999998807907104,R_A2,STANDARD
22,303.0754089355469,2018-03-01,1679.8760986328125,303.0754089355469,0,29,27,-5.15478410576631e-17,21,1.0,R_A2,STANDARD
22,303.0956726074219,2018-03-01,1681.638671875,303.0956726074219,0,29,28,-9.301587489945876e-16,22,1.0,R_A2,STANDARD
22,302.3240051269531,2018-03-01,1683.4012451171875,302.3240051269531,0,29,29,-2.3172986099440074e-11,23,1.0,R_A2,STANDARD
22,302.4881896972656,2018-03-01,1685.163818359375,302.4881896972656,0,29,30,-2.3248345956683458e-11,24,1.0,R_A2,STANDARD
31,282.52685546875,2018-04-28,1685.2900390625,282.52685546875,0,20,1,-3.6559683058712267e-10,1,1.0,R_A5,STANDARD
31,282.7279052734375,2018-04-28,1687.4111328125,282.7279052734375,0,20,2,-3.727875785841661e-10,2,1.0,R_A5,STANDARD
31,282.9290466308594,2018-04-28,1689.5322265625,282.9290466308594,0,20,3,-3.948349425186848e-10,3,1.0,R_A5,STANDARD
31,283.1302490234375,2018-04-28,1691.6533203125,283.1302490234375,0,20,4,-3.852880237076306e-10,4,1.0,R_A5,STANDARD
31,283.3313293457031,2018-04-28,1693.7744140625,283.3313293457031,0,20,5,-2.5996310659692767e-10,5,1.0,R_A5,STANDARD
31,283.53289794921875,2018-04-28,1695.8955078125,283.53289794921875,0,20,6,-2.9844282600777206e-10,6,1.0,R_A5,STANDARD
31,284.1006774902344,2018-04-28,1698.0166015625,284.1006774902344,0,20,7,-4.5095333717215524e-12,7,1.0,R_A5,STANDARD
31,284.3904724121094,2018-04-28,1700.1376953125,284.3904724121094,0,20,8,-7.363566137050248e-13,8,1.0,R_A5,STANDARD
31,283.05755615234375,2018-04-28,1694.100341796875,283.05755615234375,0,21,8,-6.954490455735041e-11,9,1.0,R_A5,STANDARD
31,283.26885986328125,2018-04-28,1696.41015625,283.26885986328125,0,21,9,-2.793156331226676e-11,10,1.0,R_A5,STANDARD
31,283.4350280761719,2018-04-28,1698.719970703125,283.4350280761719,0,21,10,-2.8731381423313662e-12,11,1.0,R_A5,STANDARD
