PRESSURE,CONKPOS,WELL,DRAWDOWN,DATE,CONIDX,CONIPOS,SGAS,CONBPRES,DEPTH,SWAT,CONJPOS,WELLMODEL
300.3861389160156,4,R_A4,0,2018-01-01,7,32,0.0,300.3861389160156,1637.4637451171875,0.061168089509010315,51,STANDARD
300.4185485839844,4,R_A4,0,2018-01-01,8,33,0.0,300.4185485839844,1637.9471435546875,0.05977128818631172,51,STANDARD
300.29473876953125,3,R_A4,0,2018-01-01,9,33,0.0,300.29473876953125,1636.100341796875,0.05949500948190689,51,STANDARD
300.90179443359375,3,R_A4,0,2018-01-01,10,33,0.0,300.90179443359375,1645.1539306640625,0.06891176849603653,50,STANDARD
300.7095031738281,3,R_A4,0,2018-01-01,11,34,0.0,300.7095031738281,1642.286376953125,0.06467468291521072,50,STANDARD
300.58001708984375,2,R_A4,0,2018-01-01,12,34,0.0,300.58001708984375,1640.355224609375,0.10171326249837875,50,STANDARD
300.5435791015625,2,R_A4,0,2018-01-01,13,35,0.0,300.5435791015625,1639.81201171875,0.16426949203014374,50,STANDARD
300.7354736328125,29,R_A4,0,2018-01-01,14,35,0.0,300.7354736328125,1642.673583984375,0.1708076000213623,49,STANDARD
300.3552551269531,28,R_A4,0,2018-01-01,15,35,0.0,300.3552551269531,1637.0029296875,0.2400124967098236,49,STANDARD
300.760009765625,28,R_A4,0,2018-01-01,16,36,0.0,300.760009765625,1643.039794921875,0.6481541991233826,49,STANDARD
300.82470703125,28,R_A4,0,2018-01-01,17,36,0.0,300.82470703125,1644.0045166015625,0.6481541991233826,48,STANDARD
301.2551574707031,28,R_A4,0,2018-01-01,18,37,0.0,301.2551574707031,1650.423583984375,0.6481541991233826,48,STANDARD
300.8892822265625,27,R_A4,0,2018-01-01,19,37,0.0,300.8892822265625,1644.9674072265625,0.7269477844238281,48,STANDARD
301.4559326171875,27,R_A4,0,2018-01-01,20,38,0.0,301.4559326171875,1653.417236328125,0.8355387449264526,48,STANDARD
301.07940673828125,26,R_A4,0,2018-01-01,21,38,0.0,301.07940673828125,1647.802978515625,0.11139000952243805,48,STANDARD
301.7516784667969,26,R_A4,0,2018-01-01,22,38,0.0,301.7516784667969,1657.8267822265625,0.06955807656049728,47,STANDARD
304.3052062988281,1,R_A5,0,2018-01-01,1,31,0.0,304.3052062988281,1686.6656494140625,1.0,20,STANDARD
304.2127685546875,2,R_A5,0,2018-01-01,2,31,0.0,304.2127685546875,1688.9171142578125,1.0,20,STANDARD
304.4261169433594,3,R_A5,0,2018-01-01,3,31,0.0,304.4261169433594,1691.168701171875,1.0,20,STANDARD
304.6394958496094,4,R_A5,0,2018-01-01,4,31,0.0,304.6394958496094,1693.420166015625,1.0,20,STANDARD
304.8528747558594,5,R_A5,0,2018-01-01,5,31,0.0,304.8528747558594,1695.671630859375,1.0,20,STANDARD
305.06622314453125,6,R_A5,0,2018-01-01,6,31,0.0,305.06622314453125,1697.923095703125,1.0,20,STANDARD
305.58538818359375,7,R_A5,0,2018-01-01,7,31,0.0,305.58538818359375,1700.174560546875,1.0,20,STANDARD
304.9803771972656,11,R_A5,0,2018-01-01,8,31,0.0,304.9803771972656,1697.01611328125,1.0,21,STANDARD
305.1721496582031,12,R_A5,0,2018-01-01,9,31,0.0,305.1721496582031,1699.03955078125,1.0,21,STANDARD
305.3758850097656,13,R_A5,0,2018-01-01,10,31,0.0,305.3758850097656,1701.0631103515625,1.0,21,STANDARD
305.5676574707031,14,R_A5,0,2018-01-01,11,31,0.0,305.5676574707031,1703.086669921875,1.0,21,STANDARD
305.7594299316406,15,R_A5,0,2018-01-01,12,31,0.0,305.7594299316406,1705.110107421875,1.0,21,STANDARD
306.09619140625,16,R_A5,0,2018-01-01,13,31,0.0,306.09619140625,1707.1336669921875,1.0,21,STANDARD
306.2879638671875,17,R_A5,0,2018-01-01,14,31,0.0,306.2879638671875,1709.1572265625,1.0,21,STANDARD
306.47125244140625,18,R_A5,0,2018-01-01,15,31,0.0,306.47125244140625,1711.091064453125,1.0,21,STANDARD
306.58721923828125,19,R_A5,0,2018-01-01,16,31,0.0,306.58721923828125,1712.3148193359375,1.0,21,STANDARD
306.6397399902344,20,R_A5,0,2018-01-01,17,31,0.0,306.6397399902344,1712.868896484375,1.0,21,STANDARD
306.6840515136719,21,R_A5,0,2018-01-01,18,31,0.0,306.6840515136719,1713.33642578125,1.0,21,STANDARD
306.6636047363281,25,R_A5,0,2018-01-01,19,31,0.0,306.6636047363281,1714.7781982421875,1.0,21,STANDARD
306.89605712890625,26,R_A5,0,2018-01-01,20,31,0.0,306.89605712890625,1717.23095703125,1.0,21,STANDARD
307.4342956542969,27,R_A5,0,2018-01-01,21,31,0.0,307.4342956542969,1719.68359375,1.0,21,STANDARD
307.3609619140625,28,R_A5,0,2018-01-01,22,31,0.0,307.3609619140625,1722.1363525390625,1.0,21,STANDARD
307.5934143066406,29,R_A5,0,2018-01-01,23,31,0.0,307.5934143066406,1724.589111328125,1.0,21,STANDARD
305.2422180175781,1,R_A6,0,2018-01-01,1,17,0.0,305.2422180175781,1696.5533447265625,1.0,42,STANDARD
305.3916015625,2,R_A6,0,2018-01-01,2,17,0.0,305.3916015625,1698.1297607421875,1.0,42,STANDARD
305.5409851074219,3,R_A6,0,2018-01-01,3,17,0.0,305.5409851074219,1699.7061767578125,1.0,42,STANDARD
305.69036865234375,4,R_A6,0,2018-01-01,4,17,0.0,305.69036865234375,1701.282470703125,1.0,42,STANDARD
305.83978271484375,5,R_A6,0,2018-01-01,5,17,0.0,305.83978271484375,1702.8590087890625,1.0,42,STANDARD
305.9891662597656,6,R_A6,0,2018-01-01,6,17,0.0,305.9891662597656,1704.4354248046875,1.0,42,STANDARD
305.83953857421875,7,R_A6,0,2018-01-01,7,17,0.0,305.83953857421875,1706.0118408203125,1.0,42,STANDARD
306.2879638671875,8,R_A6,0,2018-01-01,8,17,0.0,306.2879638671875,1707.5882568359375,1.0,42,STANDARD
306.4373779296875,9,R_A6,0,2018-01-01,9,17,0.0,306.4373779296875,1709.1646728515625,1.0,42,STANDARD
306.5867614746094,10,R_A6,0,2018-01-01,10,17,0.0,306.5867614746094,1710.7410888671875,1.0,42,STANDARD
306.4642639160156,11,R_A6,0,2018-01-01,11,17,0.0,306.4642639160156,1712.673583984375,1.0,42,STANDARD
306.68115234375,12,R_A6,0,2018-01-01,12,17,0.0,306.68115234375,1714.9620361328125,1.0,42,STANDARD
306.9100036621094,13,R_A6,0,2018-01-01,13,17,0.0,306.9100036621094,1717.2506103515625,1.0,42,STANDARD
307.12689208984375,14,R_A6,0,2018-01-01,14,17,0.0,307.12689208984375,1719.5390625,1.0,42,STANDARD
307.3437805175781,15,R_A6,0,2018-01-01,15,17,0.0,307.3437805175781,1721.8275146484375,1.0,42,STANDARD
307.7056884765625,16,R_A6,0,2018-01-01,16,17,0.0,307.7056884765625,1724.115966796875,1.0,42,STANDARD
307.922607421875,17,R_A6,0,2018-01-01,17,17,0.0,307.922607421875,1726.404541015625,1.0,42,STANDARD
308.0910339355469,18,R_A6,0,2018-01-01,18,17,0.0,308.0910339355469,1728.181884765625,1.0,42,STANDARD
308.0771789550781,25,R_A6,0,2018-01-01,19,17,0.0,308.0771789550781,1729.693115234375,1.0,42,STANDARD
