WELLMODEL,CONJPOS,CONKPOS,CONBPRES,DRAWDOWN,CONIDX,SGAS,DEPTH,WELL,CONIPOS,SWAT,DATE,PRESSURE
STANDARD,50,3,300.58599853515625,0,15,0.0,1638.007568359375,R_A4,34,0.13191084563732147,2018-01-01,300.58599853515625
STANDARD,50,3,300.7169189453125,0,16,0.0,1639.9599609375,R_A4,35,0.13811492919921875,2018-01-01,300.7169189453125
STANDARD,50,2,300.5957336425781,0,17,0.0,1638.1527099609375,R_A4,35,0.218186154961586,2018-01-01,300.5957336425781
STANDARD,49,2,300.90924072265625,0,18,0.0,1642.828125,R_A4,35,0.23597148060798645,2018-01-01,300.90924072265625
STANDARD,49,1,300.7893371582031,0,19,0.0,1641.0401611328125,R_A4,35,0.17742736637592316,2018-01-01,300.7893371582031
STANDARD,49,27,301.1102600097656,0,20,0.0,1645.8260498046875,R_A4,36,0.05168107897043228,2018-01-01,301.1102600097656
STANDARD,48,27,301.00390625,0,21,0.0,1644.240234375,R_A4,36,0.054923564195632935,2018-01-01,301.00390625
STANDARD,48,27,301.4278564453125,0,22,0.0,1650.5615234375,R_A4,37,0.27945268154144287,2018-01-01,301.4278564453125
STANDARD,48,26,301.0460510253906,0,23,0.0,1644.8682861328125,R_A4,37,0.30447492003440857,2018-01-01,301.0460510253906
STANDARD,48,26,301.4310302734375,0,24,0.0,1650.609130859375,R_A4,38,0.2709176242351532,2018-01-01,301.4310302734375
STANDARD,47,26,301.8394470214844,0,25,0.0,1656.698486328125,R_A4,38,0.6481541991233826,2018-01-01,301.8394470214844
STANDARD,20,1,303.8883056640625,0,1,0.0,1685.493408203125,R_A5,31,1.0,2018-01-01,303.8883056640625
STANDARD,20,2,304.08013916015625,0,2,0.0,1687.5174560546875,R_A5,31,1.0,2018-01-01,304.08013916015625
STANDARD,20,3,304.2719421386719,0,3,0.0,1689.5416259765625,R_A5,31,1.0,2018-01-01,304.2719421386719
STANDARD,20,4,304.4637756347656,0,4,0.0,1691.5657958984375,R_A5,31,1.0,2018-01-01,304.4637756347656
STANDARD,20,5,304.65557861328125,0,5,0.0,1693.5899658203125,R_A5,31,1.0,2018-01-01,304.65557861328125
STANDARD,20,6,304.847412109375,0,6,0.0,1695.6141357421875,R_A5,31,1.0,2018-01-01,304.847412109375
STANDARD,20,7,305.34503173828125,0,7,0.0,1697.63818359375,R_A5,31,1.0,2018-01-01,305.34503173828125
STANDARD,20,8,305.5368347167969,0,8,0.0,1699.662353515625,R_A5,31,1.0,2018-01-01,305.5368347167969
STANDARD,21,8,304.9794921875,0,9,0.0,1693.781005859375,R_A5,31,1.0,2018-01-01,304.9794921875
STANDARD,21,9,305.2021789550781,0,10,0.0,1696.130859375,R_A5,31,1.0,2018-01-01,305.2021789550781
STANDARD,21,10,305.42486572265625,0,11,0.0,1698.4808349609375,R_A5,31,1.0,2018-01-01,305.42486572265625
STANDARD,21,11,305.32720947265625,0,12,0.0,1700.6756591796875,R_A5,31,1.0,2018-01-01,305.32720947265625
STANDARD,21,12,305.5205078125,0,13,0.0,1702.7154541015625,R_A5,31,1.0,2018-01-01,305.5205078125
STANDARD,21,13,305.7257995605469,0,14,0.0,1704.7552490234375,R_A5,31,1.0,2018-01-01,305.7257995605469
STANDARD,21,14,305.9190979003906,0,15,0.0,1706.7950439453125,R_A5,31,1.0,2018-01-01,305.9190979003906
STANDARD,21,15,306.1124267578125,0,16,0.0,1708.8348388671875,R_A5,31,1.0,2018-01-01,306.1124267578125
STANDARD,21,16,306.45074462890625,0,17,0.0,1710.8746337890625,R_A5,31,1.0,2018-01-01,306.45074462890625
STANDARD,21,17,306.64111328125,0,18,0.0,1712.8834228515625,R_A5,31,1.0,2018-01-01,306.64111328125
STANDARD,21,18,306.76239013671875,0,19,0.0,1714.1629638671875,R_A5,31,1.0,2018-01-01,306.76239013671875
STANDARD,21,19,306.80853271484375,0,20,0.0,1714.6497802734375,R_A5,31,1.0,2018-01-01,306.80853271484375
STANDARD,21,24,306.7746887207031,0,21,0.0,1715.950439453125,R_A5,31,1.0,2018-01-01,306.7746887207031
STANDARD,21,25,307.2898254394531,0,22,0.0,1718.1591796875,R_A5,31,1.0,2018-01-01,307.2898254394531
STANDARD,21,26,307.4991455078125,0,23,0.0,1720.3677978515625,R_A5,31,1.0,2018-01-01,307.4991455078125
STANDARD,21,27,307.7084655761719,0,24,0.0,1722.5765380859375,R_A5,31,1.0,2018-01-01,307.7084655761719
