CONJPOS,DRAWDOWN,SGAS,WELLMODEL,SWAT,CONBPRES,PRESSURE,WELL,CONKPOS,CONIDX,DATE,DEPTH,CONIPOS
48,0,0.0,STANDARD,0.09770248830318451,301.4053039550781,301.4053039550781,R_A4,26,23,2018-01-01,1650.4891357421875,38
47,0,0.0,STANDARD,0.15557771921157837,301.83953857421875,301.83953857421875,R_A4,26,24,2018-01-01,1656.9638671875,38
20,0,0.0,STANDARD,1.0,303.835693359375,303.835693359375,R_A5,1,1,2018-01-01,1684.9378662109375,31
20,0,0.0,STANDARD,1.0,304.0514831542969,304.0514831542969,R_A5,2,2,2018-01-01,1687.2152099609375,31
20,0,0.0,STANDARD,1.0,304.2673034667969,304.2673034667969,R_A5,3,3,2018-01-01,1689.4925537109375,31
20,0,0.0,STANDARD,1.0,304.4831237792969,304.4831237792969,R_A5,4,4,2018-01-01,1691.7698974609375,31
20,0,0.0,STANDARD,1.0,304.69891357421875,304.69891357421875,R_A5,5,5,2018-01-01,1694.0472412109375,31
20,0,0.0,STANDARD,1.0,304.91473388671875,304.91473388671875,R_A5,6,6,2018-01-01,1696.3245849609375,31
20,0,0.0,STANDARD,1.0,305.43634033203125,305.43634033203125,R_A5,7,7,2018-01-01,1698.60205078125,31
20,0,0.0,STANDARD,1.0,305.65216064453125,305.65216064453125,R_A5,8,8,2018-01-01,1700.87939453125,31
21,0,0.0,STANDARD,1.0,305.3923645019531,305.3923645019531,R_A5,11,9,2018-01-01,1701.3634033203125,31
21,0,0.0,STANDARD,1.0,305.5732727050781,305.5732727050781,R_A5,12,10,2018-01-01,1703.27197265625,31
21,0,0.0,STANDARD,1.0,305.76611328125,305.76611328125,R_A5,13,11,2018-01-01,1705.1806640625,31
21,0,0.0,STANDARD,1.0,305.9469909667969,305.9469909667969,R_A5,14,12,2018-01-01,1707.08935546875,31
21,0,0.0,STANDARD,1.0,306.12786865234375,306.12786865234375,R_A5,15,13,2018-01-01,1708.998046875,31
21,0,0.0,STANDARD,1.0,306.45379638671875,306.45379638671875,R_A5,16,14,2018-01-01,1710.90673828125,31
21,0,0.0,STANDARD,1.0,306.6346740722656,306.6346740722656,R_A5,17,15,2018-01-01,1712.8154296875,31
21,0,0.0,STANDARD,1.0,306.7963562011719,306.7963562011719,R_A5,18,16,2018-01-01,1714.5213623046875,31
21,0,0.0,STANDARD,1.0,306.8424072265625,306.8424072265625,R_A5,24,17,2018-01-01,1716.664794921875,31
21,0,0.0,STANDARD,1.0,307.0600280761719,307.0600280761719,R_A5,25,18,2018-01-01,1718.9610595703125,31
21,0,0.0,STANDARD,1.0,307.58343505859375,307.58343505859375,R_A5,26,19,2018-01-01,1721.2572021484375,31
21,0,0.0,STANDARD,1.0,307.8010559082031,307.8010559082031,R_A5,27,20,2018-01-01,1723.553466796875,31
21,0,0.0,STANDARD,1.0,308.0186767578125,308.0186767578125,R_A5,28,21,2018-01-01,1725.849609375,31
42,0,0.0,STANDARD,1.0,305.041015625,305.041015625,R_A6,1,1,2018-01-01,1694.430419921875,17
42,0,0.0,STANDARD,1.0,305.1863708496094,305.1863708496094,R_A6,2,2,2018-01-01,1695.964111328125,17
42,0,0.0,STANDARD,1.0,305.3316955566406,305.3316955566406,R_A6,3,3,2018-01-01,1697.4976806640625,17
42,0,0.0,STANDARD,1.0,305.4770202636719,305.4770202636719,R_A6,4,4,2018-01-01,1699.03125,17
42,0,0.0,STANDARD,1.0,305.62237548828125,305.62237548828125,R_A6,5,5,2018-01-01,1700.56494140625,17
42,0,0.0,STANDARD,1.0,305.7677307128906,305.7677307128906,R_A6,6,6,2018-01-01,1702.0985107421875,17
42,0,0.0,STANDARD,1.0,305.614013671875,305.614013671875,R_A6,7,7,2018-01-01,1703.6322021484375,17
42,0,0.0,STANDARD,1.0,305.7593688964844,305.7593688964844,R_A6,8,8,2018-01-01,1705.1658935546875,17
42,0,0.0,STANDARD,1.0,306.2037353515625,306.2037353515625,R_A6,9,9,2018-01-01,1706.699462890625,17
42,0,0.0,STANDARD,1.0,306.0433044433594,306.0433044433594,R_A6,10,10,2018-01-01,1708.233154296875,17
42,0,0.0,STANDARD,1.0,306.22235107421875,306.22235107421875,R_A6,11,11,2018-01-01,1710.1209716796875,17
42,0,0.0,STANDARD,1.0,306.4348449707031,306.4348449707031,R_A6,12,12,2018-01-01,1712.3631591796875,17
42,0,0.0,STANDARD,1.0,306.6593017578125,306.6593017578125,R_A6,13,13,2018-01-01,1714.605224609375,17
42,0,0.0,STANDARD,1.0,306.8717956542969,306.8717956542969,R_A6,14,14,2018-01-01,1716.847412109375,17
42,0,0.0,STANDARD,1.0,307.08428955078125,307.08428955078125,R_A6,15,15,2018-01-01,1719.089599609375,17
42,0,0.0,STANDARD,1.0,307.4418029785156,307.4418029785156,R_A6,16,16,2018-01-01,1721.3316650390625,17
42,0,0.0,STANDARD,1.0,307.654296875,307.654296875,R_A6,17,17,2018-01-01,1723.57373046875,17
42,0,0.0,STANDARD,1.0,307.8127746582031,307.8127746582031,R_A6,18,18,2018-01-01,1725.245849609375,17
42,0,0.0,STANDARD,1.0,307.78887939453125,307.78887939453125,R_A6,24,19,2018-01-01,1726.6512451171875,17
42,0,0.0,STANDARD,1.0,308.2566223144531,308.2566223144531,R_A6,25,20,2018-01-01,1728.35986328125,17
42,0,0.0,STANDARD,1.0,308.4185485839844,308.4185485839844,R_A6,26,21,2018-01-01,1730.0684814453125,17
42,0,0.0,STANDARD,1.0,308.58050537109375,308.58050537109375,R_A6,27,22,2018-01-01,1731.777099609375,17
42,0,0.0,STANDARD,1.0,308.4366455078125,308.4366455078125,R_A6,28,23,2018-01-01,1733.4857177734375,17
30,0,0.0,STANDARD,0.053383804857730865,297.9298400878906,297.9298400878906,R_A2,1,1,2018-03-01,1638.41455078125,22
30,0,0.0,STANDARD,0.05417945981025696,298.045166015625,298.045166015625,R_A2,2,2,2018-03-01,1640.1339111328125,22
30,0,0.0,STANDARD,0.05661527067422867,298.1604309082031,298.1604309082031,R_A2,3,3,2018-03-01,1641.853271484375,22
30,0,0.0,STANDARD,0.09926833212375641,298.27569580078125,298.27569580078125,R_A2,4,4,2018-03-01,1643.57275390625,22
30,0,0.0,STANDARD,0.15587523579597473,298.39093017578125,298.39093017578125,R_A2,5,5,2018-03-01,1645.292236328125,22
30,0,0.0,STANDARD,0.6488071084022522,298.5187683105469,298.5187683105469,R_A2,6,6,2018-03-01,1647.0115966796875,22
30,0,0.0,STANDARD,0.8722071051597595,298.6512756347656,298.6512756347656,R_A2,7,7,2018-03-01,1648.73095703125,22
30,0,0.0,STANDARD,0.8827347159385681,298.7713317871094,298.7713317871094,R_A2,8,8,2018-03-01,1650.450439453125,22
30,0,0.0,STANDARD,0.8898282647132874,299.0897521972656,299.0897521972656,R_A2,9,9,2018-03-01,1652.169921875,22
30,0,0.0,STANDARD,0.8992077112197876,299.5603332519531,299.5603332519531,R_A2,10,10,2018-03-01,1653.8892822265625,22
30,0,0.0,STANDARD,0.06539805233478546,299.5751037597656,299.5751037597656,R_A2,11,11,2018-03-01,1655.757080078125,22
30,0,0.0,STANDARD,0.42297589778900146,300.21661376953125,300.21661376953125,R_A2,13,12,2018-03-01,1659.789306640625,22
30,0,0.0,STANDARD,0.4553946852684021,300.35198974609375,300.35198974609375,R_A2,14,13,2018-03-01,1661.805419921875,22
30,0,0.0,STANDARD,0.8908647298812866,300.4903259277344,300.4903259277344,R_A2,15,14,2018-03-01,1663.821533203125,22
30,0,0.0,STANDARD,0.9055460095405579,300.6267395019531,300.6267395019531,R_A2,16,15,2018-03-01,1665.837646484375,22
29,0,0.0,STANDARD,0.9600207209587097,300.7890625,300.7890625,R_A2,16,16,2018-03-01,1672.1280517578125,22
29,0,0.0,STANDARD,0.9479312300682068,300.9291687011719,300.9291687011719,R_A2,17,17,2018-03-01,1674.2177734375,22
29,0,0.0,STANDARD,0.9825473427772522,301.04901123046875,301.04901123046875,R_A2,18,18,2018-03-01,1676.0067138671875,22
29,0,-1.1398704202747467e-08,STANDARD,0.9999998807907104,302.7366943359375,302.7366943359375,R_A2,24,19,2018-03-01,1677.61474609375,22
29,0,0.0,STANDARD,0.8305994272232056,302.6255798339844,302.6255798339844,R_A2,25,20,2018-03-01,1679.342529296875,22
29,0,-2.488558803470653e-10,STANDARD,1.0,302.52813720703125,302.52813720703125,R_A2,26,21,2018-03-01,1681.0704345703125,22
29,0,-8.325741762682526e-10,STANDARD,1.0,302.6280822753906,302.6280822753906,R_A2,27,22,2018-03-01,1682.7982177734375,22
29,0,0.0,STANDARD,0.9999997019767761,302.70196533203125,302.70196533203125,R_A2,28,23,2018-03-01,1684.526123046875,22
20,0,-1.8017563081697968e-13,STANDARD,1.0,277.5671691894531,277.5671691894531,R_A5,1,1,2018-04-28,1684.9378662109375,31
20,0,-1.857724857192572e-13,STANDARD,1.0,277.7825012207031,277.7825012207031,R_A5,2,2,2018-04-28,1687.2152099609375,31
20,0,-1.8559496116603985e-13,STANDARD,1.0,277.99774169921875,277.99774169921875,R_A5,3,3,2018-04-28,1689.4925537109375,31
20,0,-1.6836736811600556e-13,STANDARD,1.0,278.212890625,278.212890625,R_A5,4,4,2018-04-28,1691.7698974609375,31
20,0,-1.710440057818563e-13,STANDARD,1.0,278.42816162109375,278.42816162109375,R_A5,5,5,2018-04-28,1694.0472412109375,31
20,0,-1.416851526511373e-13,STANDARD,1.0,278.6435241699219,278.6435241699219,R_A5,6,6,2018-04-28,1696.3245849609375,31
20,0,-5.0890010521581486e-14,STANDARD,1.0,279.1983642578125,279.1983642578125,R_A5,7,7,2018-04-28,1698.60205078125,31
20,0,-1.609780153144849e-13,STANDARD,1.0,279.4747009277344,279.4747009277344,R_A5,8,8,2018-04-28,1700.87939453125,31
21,0,-5.831607440866249e-13,STANDARD,1.0,274.766357421875,274.766357421875,R_A5,11,9,2018-04-28,1701.3634033203125,31
21,0,-4.788716081657873e-13,STANDARD,1.0,274.9469909667969,274.9469909667969,R_A5,12,10,2018-04-28,1703.27197265625,31
21,0,-2.122301696904673e-14,STANDARD,1.0,275.1402587890625,275.1402587890625,R_A5,13,11,2018-04-28,1705.1806640625,31
21,0,-6.976661408959403e-14,STANDARD,1.0,275.32318115234375,275.32318115234375,R_A5,14,12,2018-04-28,1707.08935546875,31
21,0,-2.9361966823833116e-14,STANDARD,1.0,275.51214599609375,275.51214599609375,R_A5,15,13,2018-04-28,1708.998046875,31
21,0,-8.516359275775875e-14,STANDARD,1.0,275.8521728515625,275.8521728515625,R_A5,16,14,2018-04-28,1710.90673828125,31
21,0,-4.489264117239246e-14,STANDARD,1.0,276.0552062988281,276.0552062988281,R_A5,17,15,2018-04-28,1712.8154296875,31
21,0,-2.7258627213061493e-12,STANDARD,1.0,276.244873046875,276.244873046875,R_A5,18,16,2018-04-28,1714.5213623046875,31
