CONJPOS,CONBPRES,CONIPOS,DRAWDOWN,SWAT,PRESSURE,DEPTH,WELL,CONKPOS,SGAS,CONIDX,DATE,WELLMODEL
42,306.247314453125,17,0,1.0,306.247314453125,1707.1590576171875,R_A6,9,0.0,9,2018-01-01,STANDARD
42,306.0874328613281,17,0,1.0,306.0874328613281,1708.69873046875,R_A6,10,0.0,10,2018-01-01,STANDARD
42,306.2698059082031,17,0,1.0,306.2698059082031,1710.6217041015625,R_A6,11,0.0,11,2018-01-01,STANDARD
42,306.4884033203125,17,0,1.0,306.4884033203125,1712.9283447265625,R_A6,12,0.0,12,2018-01-01,STANDARD
42,306.7189636230469,17,0,1.0,306.7189636230469,1715.23486328125,R_A6,13,0.0,13,2018-01-01,STANDARD
42,306.93756103515625,17,0,1.0,306.93756103515625,1717.54150390625,R_A6,14,0.0,14,2018-01-01,STANDARD
42,307.15618896484375,17,0,1.0,307.15618896484375,1719.8480224609375,R_A6,15,0.0,15,2018-01-01,STANDARD
42,307.5198059082031,17,0,1.0,307.5198059082031,1722.1546630859375,R_A6,16,0.0,16,2018-01-01,STANDARD
42,307.7384033203125,17,0,1.0,307.7384033203125,1724.461181640625,R_A6,17,0.0,17,2018-01-01,STANDARD
42,307.8809814453125,17,0,1.0,307.8809814453125,1725.965576171875,R_A6,18,0.0,18,2018-01-01,STANDARD
42,307.8382873535156,17,0,1.0,307.8382873535156,1727.172607421875,R_A6,26,0.0,19,2018-01-01,STANDARD
42,308.3063049316406,17,0,1.0,308.3063049316406,1728.88427734375,R_A6,27,0.0,20,2018-01-01,STANDARD
42,308.46856689453125,17,0,1.0,308.46856689453125,1730.5960693359375,R_A6,28,0.0,21,2018-01-01,STANDARD
42,308.63079833984375,17,0,1.0,308.63079833984375,1732.307861328125,R_A6,29,0.0,22,2018-01-01,STANDARD
42,308.48724365234375,17,0,1.0,308.48724365234375,1734.0196533203125,R_A6,30,0.0,23,2018-01-01,STANDARD
30,297.74151611328125,22,0,0.05342588201165199,297.74151611328125,1639.5274658203125,R_A2,1,0.0,1,2018-03-01,STANDARD
30,297.8596496582031,22,0,0.05545280873775482,297.8596496582031,1641.2886962890625,R_A2,2,0.0,2,2018-03-01,STANDARD
30,297.9779357910156,22,0,0.05781766399741173,297.9779357910156,1643.0498046875,R_A2,3,0.0,3,2018-03-01,STANDARD
30,298.0961608886719,22,0,0.08028057962656021,298.0961608886719,1644.81103515625,R_A2,4,0.0,4,2018-03-01,STANDARD
30,298.21429443359375,22,0,0.08323649317026138,298.21429443359375,1646.5721435546875,R_A2,5,0.0,5,2018-03-01,STANDARD
30,298.4686584472656,22,0,0.2608686089515686,298.4686584472656,1648.333251953125,R_A2,6,0.0,6,2018-03-01,STANDARD
30,298.6135559082031,22,0,0.864570140838623,298.6135559082031,1650.094482421875,R_A2,7,0.0,7,2018-03-01,STANDARD
30,298.7723693847656,22,0,0.85945725440979,298.7723693847656,1651.8555908203125,R_A2,8,0.0,8,2018-03-01,STANDARD
30,298.9001770019531,22,0,0.6487225890159607,298.9001770019531,1653.6168212890625,R_A2,9,0.0,9,2018-03-01,STANDARD
30,299.3055114746094,22,0,0.8810842633247375,299.3055114746094,1655.3779296875,R_A2,10,0.0,10,2018-03-01,STANDARD
30,299.8119201660156,22,0,0.06625919789075851,299.8119201660156,1657.2801513671875,R_A2,11,0.0,11,2018-03-01,STANDARD
30,299.95159912109375,22,0,0.06569875031709671,299.95159912109375,1659.323486328125,R_A2,12,0.0,12,2018-03-01,STANDARD
30,300.1164855957031,22,0,0.4129757583141327,300.1164855957031,1661.3668212890625,R_A2,13,0.0,13,2018-03-01,STANDARD
30,300.2546081542969,22,0,0.4508824050426483,300.2546081542969,1663.41015625,R_A2,14,0.0,14,2018-03-01,STANDARD
30,300.3943786621094,22,0,0.8927859663963318,300.3943786621094,1665.45361328125,R_A2,15,0.0,15,2018-03-01,STANDARD
30,300.5325622558594,22,0,0.8955907821655273,300.5325622558594,1667.4969482421875,R_A2,16,0.0,16,2018-03-01,STANDARD
30,300.67071533203125,22,0,0.8569046258926392,300.67071533203125,1669.540283203125,R_A2,17,0.0,17,2018-03-01,STANDARD
29,300.8639831542969,22,0,0.9127383828163147,300.8639831542969,1673.091064453125,R_A2,17,0.0,18,2018-03-01,STANDARD
