CONKPOS,CONJPOS,DEPTH,DATE,PRESSURE,CONIPOS,WELL,WELLMODEL,CONIDX,SWAT,SGAS,CONBPRES,DRAWDOWN
8,42,1705.0107421875,2018-01-01,305.7446594238281,17,R_A6,STANDARD,8,1.0,0.0,305.7446594238281,0
9,42,1706.5439453125,2018-01-01,306.1889953613281,17,R_A6,STANDARD,9,1.0,0.0,306.1889953613281,0
10,42,1708.0771484375,2018-01-01,306.0285339355469,17,R_A6,STANDARD,10,1.0,0.0,306.0285339355469,0
11,42,1709.996337890625,2018-01-01,306.21051025390625,17,R_A6,STANDARD,11,1.0,0.0,306.21051025390625,0
12,42,1712.30126953125,2018-01-01,306.4289855957031,17,R_A6,STANDARD,12,1.0,0.0,306.4289855957031,0
13,42,1714.6063232421875,2018-01-01,306.6593933105469,17,R_A6,STANDARD,13,1.0,0.0,306.6593933105469,0
14,42,1716.911376953125,2018-01-01,306.87786865234375,17,R_A6,STANDARD,14,1.0,0.0,306.87786865234375,0
15,42,1719.2164306640625,2018-01-01,307.0963134765625,17,R_A6,STANDARD,15,1.0,0.0,307.0963134765625,0
16,42,1721.521484375,2018-01-01,307.4598083496094,17,R_A6,STANDARD,16,1.0,0.0,307.4598083496094,0
17,42,1723.826416015625,2018-01-01,307.6782531738281,17,R_A6,STANDARD,17,1.0,0.0,307.6782531738281,0
18,42,1725.311279296875,2018-01-01,307.8189697265625,17,R_A6,STANDARD,18,1.0,0.0,307.8189697265625,0
27,42,1726.4979248046875,2018-01-01,307.77435302734375,17,R_A6,STANDARD,19,1.0,0.0,307.77435302734375,0
28,42,1728.206787109375,2018-01-01,307.9363098144531,17,R_A6,STANDARD,20,1.0,0.0,307.9363098144531,0
29,42,1729.9156494140625,2018-01-01,308.404052734375,17,R_A6,STANDARD,21,1.0,0.0,308.404052734375,0
30,42,1731.6246337890625,2018-01-01,308.5660400390625,17,R_A6,STANDARD,22,1.0,0.0,308.5660400390625,0
31,42,1733.33349609375,2018-01-01,308.4222106933594,17,R_A6,STANDARD,23,1.0,0.0,308.4222106933594,0
1,30,1640.402099609375,2018-03-01,298.3927917480469,22,R_A2,STANDARD,1,0.05313045158982277,0.0,298.3927917480469,0
2,30,1642.1737060546875,2018-03-01,298.5115051269531,22,R_A2,STANDARD,2,0.05500303581357002,0.0,298.5115051269531,0
3,30,1643.9453125,2018-03-01,298.6302795410156,22,R_A2,STANDARD,3,0.059417203068733215,0.0,298.6302795410156,0
4,30,1645.7169189453125,2018-03-01,298.7490539550781,22,R_A2,STANDARD,4,0.06390749663114548,0.0,298.7490539550781,0
5,30,1647.488525390625,2018-03-01,298.8678283691406,22,R_A2,STANDARD,5,0.06422114372253418,0.0,298.8678283691406,0
6,30,1649.2601318359375,2018-03-01,299.0415954589844,22,R_A2,STANDARD,6,0.29264023900032043,0.0,299.0415954589844,0
7,30,1651.03173828125,2018-03-01,299.24609375,22,R_A2,STANDARD,7,0.651824414730072,0.0,299.24609375,0
8,30,1652.8033447265625,2018-03-01,299.47796630859375,22,R_A2,STANDARD,8,0.6482868790626526,0.0,299.47796630859375,0
9,30,1654.574951171875,2018-03-01,299.5968322753906,22,R_A2,STANDARD,9,0.6484562754631042,0.0,299.5968322753906,0
10,30,1656.3465576171875,2018-03-01,299.8889465332031,22,R_A2,STANDARD,10,0.884773313999176,0.0,299.8889465332031,0
11,30,1658.25244140625,2018-03-01,299.98382568359375,22,R_A2,STANDARD,11,0.06886326521635056,0.0,299.98382568359375,0
12,30,1660.2926025390625,2018-03-01,300.12066650390625,22,R_A2,STANDARD,12,0.13428644835948944,0.0,300.12066650390625,0
13,30,1662.332763671875,2018-03-01,300.2582092285156,22,R_A2,STANDARD,13,0.4374220371246338,0.0,300.2582092285156,0
