CONJPOS,DRAWDOWN,CONIDX,CONBPRES,PRESSURE,SWAT,CONKPOS,WELLMODEL,DEPTH,DATE,CONIPOS,WELL,SGAS
41,0,15,283.1171875,283.1171875,0.35093027353286743,14,STANDARD,1626.707763671875,2018-07-03,29,R_A3,0.0
41,0,16,282.79693603515625,282.79693603515625,0.49583980441093445,15,STANDARD,1629.026611328125,2018-07-03,29,R_A3,0.0
41,0,17,282.9456481933594,282.9456481933594,0.8098880052566528,16,STANDARD,1630.9468994140625,2018-07-03,29,R_A3,0.0
41,0,18,286.7803955078125,286.7803955078125,0.7170938849449158,27,STANDARD,1633.5262451171875,2018-07-03,29,R_A3,0.0
41,0,19,282.98651123046875,282.98651123046875,0.04336675629019737,28,STANDARD,1637.1630859375,2018-07-03,29,R_A3,0.0
41,0,20,283.2293701171875,283.2293701171875,0.12009590119123459,29,STANDARD,1640.8001708984375,2018-07-03,29,R_A3,0.0
41,0,21,283.48162841796875,283.48162841796875,0.6494843363761902,30,STANDARD,1644.4371337890625,2018-07-03,29,R_A3,0.0
41,0,22,283.7311096191406,283.7311096191406,0.0650511309504509,31,STANDARD,1648.0740966796875,2018-07-03,29,R_A3,0.0
52,0,1,276.0454406738281,276.0454406738281,0.051045820116996765,1,STANDARD,1631.1873779296875,2018-09-12,30,R_A4,0.0
52,0,2,276.087646484375,276.087646484375,0.049740981310606,1,STANDARD,1627.4293212890625,2018-09-12,31,R_A4,0.0
52,0,3,276.2249450683594,276.2249450683594,0.0517340786755085,2,STANDARD,1629.4896240234375,2018-09-12,31,R_A4,0.0
52,0,4,276.3623046875,276.3623046875,0.054661061614751816,3,STANDARD,1631.5498046875,2018-09-12,31,R_A4,0.0
52,0,5,276.4996643066406,276.4996643066406,0.05649785324931145,4,STANDARD,1633.610107421875,2018-09-12,31,R_A4,0.0
52,0,6,276.6768798828125,276.6768798828125,0.05719636753201485,4,STANDARD,1632.3968505859375,2018-09-12,32,R_A4,0.0
51,0,7,276.47247314453125,276.47247314453125,0.11260145902633667,4,STANDARD,1635.880615234375,2018-09-12,32,R_A4,0.0
51,0,8,276.664794921875,276.664794921875,0.15823745727539062,4,STANDARD,1637.321044921875,2018-09-12,33,R_A4,0.0
51,0,9,276.5471496582031,276.5471496582031,0.1930067092180252,3,STANDARD,1635.474609375,2018-09-12,33,R_A4,0.0
50,0,10,275.9766845703125,275.9766845703125,0.06539489328861237,4,STANDARD,1642.1485595703125,2018-09-12,33,R_A4,0.0
50,0,11,276.09075927734375,276.09075927734375,0.06256499141454697,4,STANDARD,1641.132080078125,2018-09-12,34,R_A4,0.0
50,0,12,275.9977722167969,275.9977722167969,0.6514562964439392,3,STANDARD,1639.20703125,2018-09-12,34,R_A4,0.0
50,0,13,276.3924255371094,276.3924255371094,0.2716585099697113,3,STANDARD,1640.9061279296875,2018-09-12,35,R_A4,0.0
50,0,14,276.3918151855469,276.3918151855469,0.2402208000421524,2,STANDARD,1639.0426025390625,2018-09-12,35,R_A4,0.0
49,0,15,276.0278015136719,276.0278015136719,0.24019013345241547,2,STANDARD,1641.93212890625,2018-09-12,35,R_A4,0.0
49,0,16,280.32574462890625,280.32574462890625,0.2392623871564865,30,STANDARD,1642.357421875,2018-09-12,36,R_A4,0.0
48,0,17,280.16351318359375,280.16351318359375,0.20982713997364044,30,STANDARD,1639.6068115234375,2018-09-12,36,R_A4,0.0
48,0,18,280.6858825683594,280.6858825683594,0.662223219871521,30,STANDARD,1646.7513427734375,2018-09-12,37,R_A4,0.0
48,0,19,281.1968078613281,281.1968078613281,0.6530486345291138,30,STANDARD,1653.461669921875,2018-09-12,38,R_A4,0.0
47,0,20,281.467041015625,281.467041015625,0.6523227691650391,30,STANDARD,1657.8184814453125,2018-09-12,38,R_A4,0.0
42,0,1,272.7424621582031,272.7424621582031,1.0,1,STANDARD,1695.20263671875,2018-11-07,17,R_A6,-2.0058742733884246e-17
42,0,2,272.8875427246094,272.8875427246094,1.0,2,STANDARD,1696.7510986328125,2018-11-07,17,R_A6,-1.3860231726493631e-17
42,0,3,273.0296325683594,273.0296325683594,1.0,3,STANDARD,1698.299560546875,2018-11-07,17,R_A6,-1.5259874262492558e-17
42,0,4,273.1677551269531,273.1677551269531,1.0,4,STANDARD,1699.84814453125,2018-11-07,17,R_A6,-7.884217414628755e-18
42,0,5,273.30352783203125,273.30352783203125,1.0,5,STANDARD,1701.3966064453125,2018-11-07,17,R_A6,-1.5530238245705515e-17
42,0,6,273.44268798828125,273.44268798828125,1.0,6,STANDARD,1702.9451904296875,2018-11-07,17,R_A6,-3.8347479099071604e-16
42,0,7,273.28863525390625,273.28863525390625,1.0,7,STANDARD,1704.49365234375,2018-11-07,17,R_A6,-8.166872507650862e-16
42,0,8,273.4341735839844,273.4341735839844,1.0,8,STANDARD,1706.042236328125,2018-11-07,17,R_A6,-4.490079301747683e-16
42,0,9,273.8807678222656,273.8807678222656,1.0,9,STANDARD,1707.5906982421875,2018-11-07,17,R_A6,-2.963409616929194e-17
42,0,10,274.2814636230469,274.2814636230469,1.0,10,STANDARD,1709.1392822265625,2018-11-07,17,R_A6,0.0
42,0,11,274.8371887207031,274.8371887207031,1.0,11,STANDARD,1711.055419921875,2018-11-07,17,R_A6,-1.5120477785665121e-16
42,0,12,275.0539855957031,275.0539855957031,1.0,12,STANDARD,1713.3392333984375,2018-11-07,17,R_A6,-4.167177107364543e-17
