CONIDX,SGAS,CONIPOS,WELL,PRESSURE,CONKPOS,CONJPOS,DATE,WELLMODEL,DEPTH,SWAT,CONBPRES,DRAWDOWN
14,4.764349071512131e-12,17,R_A6,276.4808654785156,14,42,2018-11-07,STANDARD,1716.812255859375,1.0,276.4808654785156,0
15,2.4412659394013048e-12,17,R_A6,276.6939697265625,15,42,2018-11-07,STANDARD,1719.059326171875,1.0,276.6939697265625,0
16,6.256439051728624e-13,17,R_A6,277.0523986816406,16,42,2018-11-07,STANDARD,1721.3062744140625,1.0,277.0523986816406,0
17,1.262802579518607e-12,17,R_A6,277.265625,17,42,2018-11-07,STANDARD,1723.5533447265625,1.0,277.265625,0
18,1.226179639594871e-12,17,R_A6,277.4219055175781,18,42,2018-11-07,STANDARD,1725.2021484375,1.0,277.4219055175781,0
19,6.200353273345949e-13,17,R_A6,278.9635925292969,26,42,2018-11-07,STANDARD,1726.578857421875,1.0,278.9635925292969,0
20,7.410845754337453e-14,17,R_A6,279.4356384277344,27,42,2018-11-07,STANDARD,1728.2813720703125,1.0,279.4356384277344,0
21,-6.433137686213984e-19,17,R_A6,280.5370788574219,28,42,2018-11-07,STANDARD,1729.984130859375,1.0,280.5370788574219,0
22,-3.197902737102909e-19,17,R_A6,280.8782958984375,29,42,2018-11-07,STANDARD,1731.686767578125,1.0,280.8782958984375,0
23,3.951822728645929e-14,17,R_A6,279.83746337890625,30,42,2018-11-07,STANDARD,1733.389404296875,1.0,279.83746337890625,0
