SWAT,DRAWDOWN,DEPTH,CONKPOS,CONIPOS,CONJPOS,CONBPRES,WELL,CONIDX,SGAS,PRESSURE,WELLMODEL,DATE
0.1317659467458725,0,1639.4156494140625,3,34,50,300.6856689453125,R_A4,12,0.0,300.6856689453125,STANDARD,2018-01-01
0.1343638002872467,0,1640.0413818359375,3,35,50,300.7276306152344,R_A4,13,0.0,300.7276306152344,STANDARD,2018-01-01
0.22366546094417572,0,1638.2333984375,2,35,50,300.60638427734375,R_A4,14,0.0,300.60638427734375,STANDARD,2018-01-01
0.05604970455169678,0,1643.442138671875,31,35,49,300.9556579589844,R_A4,15,0.0,300.9556579589844,STANDARD,2018-01-01
0.04883025214076042,0,1637.44580078125,30,35,49,300.5535888671875,R_A4,16,0.0,300.5535888671875,STANDARD,2018-01-01
0.08993395417928696,0,1642.138427734375,30,36,49,300.86822509765625,R_A4,17,0.0,300.86822509765625,STANDARD,2018-01-01
0.08806324005126953,0,1641.7257080078125,30,36,48,300.840576171875,R_A4,18,0.0,300.840576171875,STANDARD,2018-01-01
0.6481541991233826,0,1646.968505859375,30,37,48,301.192138671875,R_A4,19,0.0,301.192138671875,STANDARD,2018-01-01
0.3023674786090851,0,1651.823974609375,30,38,48,301.51776123046875,R_A4,20,0.0,301.51776123046875,STANDARD,2018-01-01
0.6481541991233826,0,1659.6119384765625,30,38,47,302.04010009765625,R_A4,21,0.0,302.04010009765625,STANDARD,2018-01-01
1.0,0,1685.2425537109375,1,31,20,303.86456298828125,R_A5,1,0.0,303.86456298828125,STANDARD,2018-01-01
1.0,0,1687.341064453125,2,31,20,304.06341552734375,R_A5,2,0.0,304.06341552734375,STANDARD,2018-01-01
1.0,0,1689.439697265625,3,31,20,304.2622985839844,R_A5,3,0.0,304.2622985839844,STANDARD,2018-01-01
1.0,0,1691.5382080078125,4,31,20,304.4611511230469,R_A5,4,0.0,304.4611511230469,STANDARD,2018-01-01
1.0,0,1693.63671875,5,31,20,304.6600341796875,R_A5,5,0.0,304.6600341796875,STANDARD,2018-01-01
1.0,0,1695.7352294921875,6,31,20,304.85888671875,R_A5,6,0.0,304.85888671875,STANDARD,2018-01-01
1.0,0,1697.833740234375,7,31,20,305.3635559082031,R_A5,7,0.0,305.3635559082031,STANDARD,2018-01-01
1.0,0,1699.932373046875,8,31,20,305.56243896484375,R_A5,8,0.0,305.56243896484375,STANDARD,2018-01-01
1.0,0,1696.0924072265625,9,31,21,305.1985168457031,R_A5,9,0.0,305.1985168457031,STANDARD,2018-01-01
1.0,0,1700.6048583984375,11,31,21,305.32049560546875,R_A5,10,0.0,305.32049560546875,STANDARD,2018-01-01
1.0,0,1702.6436767578125,12,31,21,305.5137023925781,R_A5,11,0.0,305.5137023925781,STANDARD,2018-01-01
1.0,0,1704.682373046875,13,31,21,305.7188720703125,R_A5,12,0.0,305.7188720703125,STANDARD,2018-01-01
