CONKPOS,SGAS,DRAWDOWN,SWAT,CONBPRES,CONJPOS,WELL,DEPTH,WELLMODEL,PRESSURE,CONIDX,CONIPOS,DATE
14,2.176944639364995e-14,0,1.0,278.22967529296875,42,R_A6,1717.9068603515625,STANDARD,278.22967529296875,14,17,2018-11-07
15,1.6671587070929417e-14,0,1.0,278.4549560546875,42,R_A6,1720.190673828125,STANDARD,278.4549560546875,15,17,2018-11-07
16,3.741445324942968e-15,0,1.0,278.84918212890625,42,R_A6,1722.474365234375,STANDARD,278.84918212890625,16,17,2018-11-07
17,4.892452562461945e-15,0,1.0,279.0986633300781,42,R_A6,1724.7581787109375,STANDARD,279.0986633300781,17,17,2018-11-07
18,4.730299963171371e-15,0,1.0,279.26556396484375,42,R_A6,1726.394287109375,STANDARD,279.26556396484375,18,17,2018-11-07
27,3.450036480459606e-13,0,1.0,279.2772216796875,42,R_A6,1727.7508544921875,STANDARD,279.2772216796875,19,17,2018-11-07
28,1.8665747929507565e-13,0,1.0,279.8262023925781,42,R_A6,1729.4755859375,STANDARD,279.8262023925781,20,17,2018-11-07
29,8.919742792686328e-14,0,1.0,280.0212707519531,42,R_A6,1731.2001953125,STANDARD,280.0212707519531,21,17,2018-11-07
30,4.088766175558804e-19,0,1.0,280.5453796386719,42,R_A6,1732.9249267578125,STANDARD,280.5453796386719,22,17,2018-11-07
31,6.693897247210447e-15,0,1.0,279.98590087890625,42,R_A6,1734.649658203125,STANDARD,279.98590087890625,23,17,2018-11-07
