CONIPOS,DRAWDOWN,PRESSURE,SWAT,CONJPOS,CONKPOS,DATE,CONIDX,WELL,DEPTH,WELLMODEL,SGAS,CONBPRES
31,0,300.14764404296875,0.05056321248412132,52,3,2018-01-01,4,R_A4,1631.3046875,STANDARD,0.0,300.14764404296875
31,0,300.2835998535156,0.05386096239089966,52,4,2018-01-01,5,R_A4,1633.3323974609375,STANDARD,0.0,300.2835998535156
32,0,300.23345947265625,0.05279412120580673,52,4,2018-01-01,6,R_A4,1632.58447265625,STANDARD,0.0,300.23345947265625
32,0,300.4787902832031,0.056086327880620956,51,4,2018-01-01,7,R_A4,1636.24365234375,STANDARD,0.0,300.4787902832031
33,0,300.53411865234375,0.056813497096300125,51,4,2018-01-01,8,R_A4,1637.06884765625,STANDARD,0.0,300.53411865234375
33,0,300.40887451171875,0.05381789058446884,51,3,2018-01-01,9,R_A4,1635.200927734375,STANDARD,0.0,300.40887451171875
33,0,300.82537841796875,0.059149015694856644,50,4,2018-01-01,10,R_A4,1641.4127197265625,STANDARD,0.0,300.82537841796875
34,0,300.7091979980469,0.0960473045706749,50,4,2018-01-01,11,R_A4,1639.6800537109375,STANDARD,0.0,300.7091979980469
35,0,300.6621398925781,0.11984284222126007,50,4,2018-01-01,12,R_A4,1638.9783935546875,STANDARD,0.0,300.6621398925781
35,0,300.9761657714844,0.22842156887054443,49,4,2018-01-01,13,R_A4,1643.6614990234375,STANDARD,0.0,300.9761657714844
35,0,300.854736328125,0.2255210131406784,49,3,2018-01-01,14,R_A4,1641.850341796875,STANDARD,0.0,300.854736328125
36,0,300.77764892578125,0.05245591327548027,49,28,2018-01-01,15,R_A4,1640.700927734375,STANDARD,0.0,300.77764892578125
36,0,300.829345703125,0.05177651718258858,48,28,2018-01-01,16,R_A4,1641.4716796875,STANDARD,0.0,300.829345703125
37,0,301.1776428222656,0.058876216411590576,48,28,2018-01-01,17,R_A4,1646.666015625,STANDARD,0.0,301.1776428222656
38,0,301.4068908691406,0.05538542941212654,48,28,2018-01-01,18,R_A4,1650.0843505859375,STANDARD,0.0,301.4068908691406
38,0,301.9732971191406,0.169126957654953,47,28,2018-01-01,19,R_A4,1658.5294189453125,STANDARD,0.0,301.9732971191406
31,0,303.881103515625,1.0,20,1,2018-01-01,1,R_A5,1685.4171142578125,STANDARD,0.0,303.881103515625
31,0,304.0770568847656,1.0,20,2,2018-01-01,2,R_A5,1687.4849853515625,STANDARD,0.0,304.0770568847656
31,0,304.27301025390625,1.0,20,3,2018-01-01,3,R_A5,1689.552734375,STANDARD,0.0,304.27301025390625
31,0,304.4689636230469,1.0,20,4,2018-01-01,4,R_A5,1691.62060546875,STANDARD,0.0,304.4689636230469
31,0,304.6649169921875,1.0,20,5,2018-01-01,5,R_A5,1693.6884765625,STANDARD,0.0,304.6649169921875
31,0,304.86090087890625,1.0,20,6,2018-01-01,6,R_A5,1695.75634765625,STANDARD,0.0,304.86090087890625
31,0,305.3626403808594,1.0,20,7,2018-01-01,7,R_A5,1697.8240966796875,STANDARD,0.0,305.3626403808594
31,0,305.55859375,1.0,20,8,2018-01-01,8,R_A5,1699.8919677734375,STANDARD,0.0,305.55859375
31,0,305.3788146972656,1.0,21,11,2018-01-01,9,R_A5,1701.2200927734375,STANDARD,0.0,305.3788146972656
31,0,305.5700988769531,1.0,21,12,2018-01-01,10,R_A5,1703.2386474609375,STANDARD,0.0,305.5700988769531
31,0,305.77337646484375,1.0,21,13,2018-01-01,11,R_A5,1705.2572021484375,STANDARD,0.0,305.77337646484375
31,0,305.96466064453125,1.0,21,14,2018-01-01,12,R_A5,1707.27587890625,STANDARD,0.0,305.96466064453125
31,0,306.1559753417969,1.0,21,15,2018-01-01,13,R_A5,1709.29443359375,STANDARD,0.0,306.1559753417969
31,0,306.4922790527344,1.0,21,16,2018-01-01,14,R_A5,1711.31298828125,STANDARD,0.0,306.4922790527344
31,0,306.67694091796875,1.0,21,17,2018-01-01,15,R_A5,1713.261474609375,STANDARD,0.0,306.67694091796875
31,0,306.7898254394531,1.0,21,18,2018-01-01,16,R_A5,1714.45263671875,STANDARD,0.0,306.7898254394531
31,0,306.82965087890625,1.0,21,19,2018-01-01,17,R_A5,1714.872802734375,STANDARD,0.0,306.82965087890625
31,0,306.7907409667969,1.0,21,25,2018-01-01,18,R_A5,1716.119873046875,STANDARD,0.0,306.7907409667969
31,0,307.3010559082031,1.0,21,26,2018-01-01,19,R_A5,1718.2777099609375,STANDARD,0.0,307.3010559082031
31,0,307.50555419921875,1.0,21,27,2018-01-01,20,R_A5,1720.435546875,STANDARD,0.0,307.50555419921875
31,0,307.7100830078125,1.0,21,28,2018-01-01,21,R_A5,1722.5933837890625,STANDARD,0.0,307.7100830078125
31,0,307.9145812988281,1.0,21,29,2018-01-01,22,R_A5,1724.751220703125,STANDARD,0.0,307.9145812988281
17,0,305.0086975097656,1.0,42,1,2018-01-01,1,R_A6,1694.08935546875,STANDARD,0.0,305.0086975097656
17,0,305.15380859375,1.0,42,2,2018-01-01,2,R_A6,1695.6204833984375,STANDARD,0.0,305.15380859375
17,0,305.29888916015625,1.0,42,3,2018-01-01,3,R_A6,1697.151611328125,STANDARD,0.0,305.29888916015625
17,0,305.4440002441406,1.0,42,4,2018-01-01,4,R_A6,1698.6827392578125,STANDARD,0.0,305.4440002441406
17,0,305.589111328125,1.0,42,5,2018-01-01,5,R_A6,1700.2138671875,STANDARD,0.0,305.589111328125
17,0,305.73419189453125,1.0,42,6,2018-01-01,6,R_A6,1701.744873046875,STANDARD,0.0,305.73419189453125
17,0,305.58026123046875,1.0,42,7,2018-01-01,7,R_A6,1703.2760009765625,STANDARD,0.0,305.58026123046875
17,0,305.7253723144531,1.0,42,8,2018-01-01,8,R_A6,1704.80712890625,STANDARD,0.0,305.7253723144531
17,0,306.1695251464844,1.0,42,9,2018-01-01,9,R_A6,1706.3382568359375,STANDARD,0.0,306.1695251464844
17,0,306.0088195800781,1.0,42,10,2018-01-01,10,R_A6,1707.869384765625,STANDARD,0.0,306.0088195800781
17,0,306.1878967285156,1.0,42,11,2018-01-01,11,R_A6,1709.757568359375,STANDARD,0.0,306.1878967285156
17,0,306.40069580078125,1.0,42,12,2018-01-01,12,R_A6,1712.0028076171875,STANDARD,0.0,306.40069580078125
17,0,306.6254577636719,1.0,42,13,2018-01-01,13,R_A6,1714.2481689453125,STANDARD,0.0,306.6254577636719
17,0,306.8382568359375,1.0,42,14,2018-01-01,14,R_A6,1716.493408203125,STANDARD,0.0,306.8382568359375
17,0,307.0510559082031,1.0,42,15,2018-01-01,15,R_A6,1718.73876953125,STANDARD,0.0,307.0510559082031
17,0,307.4088439941406,1.0,42,16,2018-01-01,16,R_A6,1720.984130859375,STANDARD,0.0,307.4088439941406
17,0,307.6216735839844,1.0,42,17,2018-01-01,17,R_A6,1723.2293701171875,STANDARD,0.0,307.6216735839844
17,0,307.77783203125,1.0,42,18,2018-01-01,18,R_A6,1724.8770751953125,STANDARD,0.0,307.77783203125
17,0,307.75128173828125,1.0,42,25,2018-01-01,19,R_A6,1726.254638671875,STANDARD,0.0,307.75128173828125
17,0,308.2186584472656,1.0,42,26,2018-01-01,20,R_A6,1727.95947265625,STANDARD,0.0,308.2186584472656
17,0,308.3802490234375,1.0,42,27,2018-01-01,21,R_A6,1729.664306640625,STANDARD,0.0,308.3802490234375
17,0,308.5418395996094,1.0,42,28,2018-01-01,22,R_A6,1731.369140625,STANDARD,0.0,308.5418395996094
17,0,308.3976135253906,1.0,42,29,2018-01-01,23,R_A6,1733.073974609375,STANDARD,0.0,308.3976135253906
22,0,298.40771484375,0.05340007692575455,30,1,2018-03-01,1,R_A2,1640.7991943359375,STANDARD,0.0,298.40771484375
22,0,298.52587890625,0.05513612553477287,30,2,2018-03-01,2,R_A2,1642.5609130859375,STANDARD,0.0,298.52587890625
22,0,298.6440734863281,0.05920780077576637,30,3,2018-03-01,3,R_A2,1644.32275390625,STANDARD,0.0,298.6440734863281
22,0,298.76226806640625,0.06365125626325607,30,4,2018-03-01,4,R_A2,1646.0845947265625,STANDARD,0.0,298.76226806640625
22,0,298.8804016113281,0.06682610511779785,30,5,2018-03-01,5,R_A2,1647.8463134765625,STANDARD,0.0,298.8804016113281
22,0,299.0703125,0.3059176802635193,30,6,2018-03-01,6,R_A2,1649.608154296875,STANDARD,0.0,299.0703125
22,0,299.26336669921875,0.872215211391449,30,7,2018-03-01,7,R_A2,1651.3699951171875,STANDARD,0.0,299.26336669921875
22,0,299.5221252441406,0.8523004055023193,30,8,2018-03-01,8,R_A2,1653.1318359375,STANDARD,0.0,299.5221252441406
22,0,299.6954650878906,0.6485539674758911,30,9,2018-03-01,9,R_A2,1654.8935546875,STANDARD,0.0,299.6954650878906
22,0,300.01812744140625,0.8885961771011353,30,10,2018-03-01,10,R_A2,1656.6553955078125,STANDARD,0.0,300.01812744140625
22,0,299.89849853515625,0.0673089399933815,30,11,2018-03-01,11,R_A2,1658.5416259765625,STANDARD,0.0,299.89849853515625
22,0,300.036865234375,0.0705079659819603,30,12,2018-03-01,12,R_A2,1660.5523681640625,STANDARD,0.0,300.036865234375
22,0,300.20843505859375,0.42929404973983765,30,13,2018-03-01,13,R_A2,1662.5631103515625,STANDARD,0.0,300.20843505859375
22,0,300.344970703125,0.46967658400535583,30,14,2018-03-01,14,R_A2,1664.5738525390625,STANDARD,0.0,300.344970703125
22,0,300.5019226074219,0.5376546382904053,30,15,2018-03-01,15,R_A2,1666.5845947265625,STANDARD,0.0,300.5019226074219
22,0,300.6462707519531,0.928207278251648,30,16,2018-03-01,16,R_A2,1668.5953369140625,STANDARD,0.0,300.6462707519531
22,0,300.7890930175781,0.8641013503074646,30,17,2018-03-01,17,R_A2,1670.6060791015625,STANDARD,0.0,300.7890930175781
22,0,300.9503479003906,0.8934091329574585,29,17,2018-03-01,18,R_A2,1671.774658203125,STANDARD,0.0,300.9503479003906
22,0,301.0802001953125,0.9337056875228882,29,18,2018-03-01,19,R_A2,1673.711669921875,STANDARD,0.0,301.0802001953125
22,0,301.1529541015625,0.927819013595581,29,19,2018-03-01,20,R_A2,1674.7967529296875,STANDARD,0.0,301.1529541015625
22,0,303.0528564453125,1.0,29,25,2018-03-01,21,R_A2,1675.8763427734375,STANDARD,-2.504097054495044e-15,303.0528564453125
22,0,303.1283264160156,1.0,29,26,2018-03-01,22,R_A2,1677.6904296875,STANDARD,-7.861311089401267e-15,303.1283264160156
22,0,303.0955505371094,1.0,29,27,2018-03-01,23,R_A2,1679.5045166015625,STANDARD,-4.885591510885891e-14,303.0955505371094
22,0,302.7671813964844,1.0,29,28,2018-03-01,24,R_A2,1681.318603515625,STANDARD,-6.584588560162863e-13,302.7671813964844
22,0,302.6966552734375,0.9999924302101135,29,29,2018-03-01,25,R_A2,1683.132568359375,STANDARD,0.0,302.6966552734375
31,0,283.68536376953125,0.9999997019767761,20,1,2018-04-28,1,R_A5,1685.4171142578125,STANDARD,-1.4825366712045707e-08,283.68536376953125
31,0,283.8809814453125,0.9999997019767761,20,2,2018-04-28,2,R_A5,1687.4849853515625,STANDARD,-1.6696686699901875e-08,283.8809814453125
31,0,284.07623291015625,0.9999997615814209,20,3,2018-04-28,3,R_A5,1689.552734375,STANDARD,-1.3259739972681928e-08,284.07623291015625
31,0,284.2714538574219,0.9999997615814209,20,4,2018-04-28,4,R_A5,1691.62060546875,STANDARD,-1.1624228690720884e-08,284.2714538574219
31,0,284.4666442871094,0.9999998807907104,20,5,2018-04-28,5,R_A5,1693.6884765625,STANDARD,-5.263551816625522e-09,284.4666442871094
31,0,284.6619873046875,0.9999998807907104,20,6,2018-04-28,6,R_A5,1695.75634765625,STANDARD,-6.917123762661959e-09,284.6619873046875
31,0,285.1701965332031,1.0,20,7,2018-04-28,7,R_A5,1697.8240966796875,STANDARD,-9.479780155308148e-11,285.1701965332031
31,0,285.3931579589844,1.0,20,8,2018-04-28,8,R_A5,1699.8919677734375,STANDARD,-3.227647663028854e-11,285.3931579589844
31,0,277.50958251953125,1.0,21,11,2018-04-28,9,R_A5,1701.2200927734375,STANDARD,-3.5360353534130695e-11,277.50958251953125
31,0,277.7016906738281,1.0,21,12,2018-04-28,10,R_A5,1703.2386474609375,STANDARD,-4.778426959672899e-11,277.7016906738281
31,0,277.9058532714844,1.0,21,13,2018-04-28,11,R_A5,1705.2572021484375,STANDARD,-1.4325344296212128e-12,277.9058532714844
31,0,278.0994873046875,1.0,21,14,2018-04-28,12,R_A5,1707.27587890625,STANDARD,-2.637632083232755e-12,278.0994873046875
31,0,278.2916259765625,1.0,21,15,2018-04-28,13,R_A5,1709.29443359375,STANDARD,-1.0631397021412803e-12,278.2916259765625
31,0,278.6336364746094,1.0,21,16,2018-04-28,14,R_A5,1711.31298828125,STANDARD,-1.444800767740062e-13,278.6336364746094
31,0,278.8233337402344,1.0,21,17,2018-04-28,15,R_A5,1713.261474609375,STANDARD,-2.391263185727577e-13,278.8233337402344
31,0,278.9374084472656,1.0,21,18,2018-04-28,16,R_A5,1714.45263671875,STANDARD,0.0,278.9374084472656
31,0,278.9782409667969,1.0,21,19,2018-04-28,17,R_A5,1714.872802734375,STANDARD,0.0,278.9782409667969
31,0,284.759521484375,1.0,21,25,2018-04-28,18,R_A5,1716.119873046875,STANDARD,-1.5611629827425033e-12,284.759521484375
31,0,285.3172302246094,1.0,21,26,2018-04-28,19,R_A5,1718.2777099609375,STANDARD,-1.211369871599588e-12,285.3172302246094
31,0,296.1999816894531,1.0,21,27,2018-04-28,20,R_A5,1720.435546875,STANDARD,-1.6294253485527615e-19,296.1999816894531
31,0,304.11474609375,1.0,21,28,2018-04-28,21,R_A5,1722.5933837890625,STANDARD,-5.422437506646106e-21,304.11474609375
31,0,306.99664306640625,1.0,21,29,2018-04-28,22,R_A5,1724.751220703125,STANDARD,-3.366977619252148e-23,306.99664306640625
28,0,276.06256103515625,0.6499214172363281,41,1,2018-07-03,1,R_A3,1608.822998046875,STANDARD,0.0,276.06256103515625
28,0,276.1952819824219,0.1527250111103058,41,2,2018-07-03,2,R_A3,1610.8218994140625,STANDARD,0.0,276.1952819824219
28,0,276.3284912109375,0.11857641488313675,41,3,2018-07-03,3,R_A3,1612.82080078125,STANDARD,0.0,276.3284912109375
29,0,275.684814453125,0.16680903732776642,41,3,2018-07-03,4,R_A3,1603.5462646484375,STANDARD,0.0,275.684814453125
29,0,275.826171875,0.6518370509147644,41,4,2018-07-03,5,R_A3,1605.66943359375,STANDARD,0.0,275.826171875
29,0,276.1213073730469,0.8066540956497192,41,5,2018-07-03,6,R_A3,1607.7926025390625,STANDARD,0.0,276.1213073730469
29,0,276.18780517578125,0.6496394872665405,41,6,2018-07-03,7,R_A3,1609.915771484375,STANDARD,0.0,276.18780517578125
29,0,276.34051513671875,0.19458827376365662,41,7,2018-07-03,8,R_A3,1612.0389404296875,STANDARD,0.0,276.34051513671875
29,0,276.48211669921875,0.1970202773809433,41,8,2018-07-03,9,R_A3,1614.162109375,STANDARD,0.0,276.48211669921875
29,0,276.7425537109375,0.7885995507240295,41,9,2018-07-03,10,R_A3,1616.2852783203125,STANDARD,0.0,276.7425537109375
29,0,279.31982421875,0.7937952280044556,41,10,2018-07-03,11,R_A3,1618.4083251953125,STANDARD,0.0,279.31982421875
29,0,296.4770202636719,0.04667023941874504,41,11,2018-07-03,12,R_A3,1620.59716796875,STANDARD,0.0,296.4770202636719
29,0,296.6280212402344,0.051987409591674805,41,12,2018-07-03,13,R_A3,1622.8515625,STANDARD,0.0,296.6280212402344
29,0,296.7791748046875,0.23568688333034515,41,13,2018-07-03,14,R_A3,1625.1060791015625,STANDARD,0.0,296.7791748046875
29,0,297.33349609375,0.4141625761985779,41,15,2018-07-03,15,R_A3,1629.614990234375,STANDARD,0.0,297.33349609375
29,0,297.4765319824219,0.8028748035430908,41,16,2018-07-03,16,R_A3,1631.6494140625,STANDARD,0.0,297.4765319824219
29,0,286.19976806640625,0.36153915524482727,41,25,2018-07-03,17,R_A3,1634.4239501953125,STANDARD,0.0,286.19976806640625
29,0,286.36053466796875,0.04385089874267578,41,26,2018-07-03,18,R_A3,1638.00830078125,STANDARD,0.0,286.36053466796875
29,0,286.6000061035156,0.05087819695472717,41,27,2018-07-03,19,R_A3,1641.5926513671875,STANDARD,0.0,286.6000061035156
29,0,286.83917236328125,0.6515140533447266,41,28,2018-07-03,20,R_A3,1645.177001953125,STANDARD,0.0,286.83917236328125
29,0,287.0780944824219,0.09911207109689713,41,29,2018-07-03,21,R_A3,1648.761474609375,STANDARD,0.0,287.0780944824219
30,0,278.8884582519531,0.049192752689123154,52,1,2018-09-12,1,R_A4,1631.712890625,STANDARD,0.0,278.8884582519531
31,0,278.8365783691406,0.16441763937473297,52,1,2018-09-12,2,R_A4,1627.2489013671875,STANDARD,0.0,278.8365783691406
31,0,278.9716491699219,0.04957933351397514,52,2,2018-09-12,3,R_A4,1629.2767333984375,STANDARD,0.0,278.9716491699219
31,0,279.10675048828125,0.05067303776741028,52,3,2018-09-12,4,R_A4,1631.3046875,STANDARD,0.0,279.10675048828125
31,0,279.241943359375,0.05397692695260048,52,4,2018-09-12,5,R_A4,1633.3323974609375,STANDARD,0.0,279.241943359375
32,0,279.36865234375,0.05310037359595299,52,4,2018-09-12,6,R_A4,1632.58447265625,STANDARD,0.0,279.36865234375
32,0,279.5035705566406,0.05637885630130768,51,4,2018-09-12,7,R_A4,1636.24365234375,STANDARD,0.0,279.5035705566406
33,0,279.7332763671875,0.05706143379211426,51,4,2018-09-12,8,R_A4,1637.06884765625,STANDARD,0.0,279.7332763671875
33,0,279.60870361328125,0.054048895835876465,51,3,2018-09-12,9,R_A4,1635.200927734375,STANDARD,0.0,279.60870361328125
33,0,279.9398193359375,0.05931782349944115,50,4,2018-09-12,10,R_A4,1641.4127197265625,STANDARD,0.0,279.9398193359375
34,0,279.95733642578125,0.09628899395465851,50,4,2018-09-12,11,R_A4,1639.6800537109375,STANDARD,0.0,279.95733642578125
35,0,279.9844970703125,0.12004946172237396,50,4,2018-09-12,12,R_A4,1638.9783935546875,STANDARD,0.0,279.9844970703125
35,0,280.2364196777344,0.22880423069000244,49,4,2018-09-12,13,R_A4,1643.6614990234375,STANDARD,0.0,280.2364196777344
35,0,280.1156311035156,0.2258715182542801,49,3,2018-09-12,14,R_A4,1641.850341796875,STANDARD,0.0,280.1156311035156
36,0,274.89404296875,0.054380934685468674,49,28,2018-09-12,15,R_A4,1640.700927734375,STANDARD,0.0,274.89404296875
36,0,274.60980224609375,0.051825542002916336,48,28,2018-09-12,16,R_A4,1641.4716796875,STANDARD,0.0,274.60980224609375
37,0,275.3330383300781,0.059728313237428665,48,28,2018-09-12,17,R_A4,1646.666015625,STANDARD,0.0,275.3330383300781
38,0,275.960693359375,0.056038133800029755,48,28,2018-09-12,18,R_A4,1650.0843505859375,STANDARD,0.0,275.960693359375
