CONJPOS,CONKPOS,DATE,CONBPRES,PRESSURE,DRAWDOWN,CONIPOS,SWAT,DEPTH,WELLMODEL,CONIDX,SGAS,WELL
42,15,2018-01-01,307.04302978515625,307.04302978515625,0,17,1.0,1718.654052734375,STANDARD,15,0.0,R_A6
42,16,2018-01-01,307.3994140625,307.3994140625,0,17,1.0,1720.884521484375,STANDARD,16,0.0,R_A6
42,17,2018-01-01,307.6108093261719,307.6108093261719,0,17,1.0,1723.114990234375,STANDARD,17,0.0,R_A6
42,18,2018-01-01,307.77105712890625,307.77105712890625,0,17,1.0,1724.8057861328125,STANDARD,18,0.0,R_A6
42,25,2018-01-01,307.74932861328125,307.74932861328125,0,17,1.0,1726.2340087890625,STANDARD,19,0.0,R_A6
42,26,2018-01-01,308.21673583984375,308.21673583984375,0,17,1.0,1727.939208984375,STANDARD,20,0.0,R_A6
42,27,2018-01-01,308.37835693359375,308.37835693359375,0,17,1.0,1729.644287109375,STANDARD,21,0.0,R_A6
42,28,2018-01-01,308.5399475097656,308.5399475097656,0,17,1.0,1731.3494873046875,STANDARD,22,0.0,R_A6
42,29,2018-01-01,308.3957824707031,308.3957824707031,0,17,1.0,1733.0546875,STANDARD,23,0.0,R_A6
30,1,2018-03-01,298.3719482421875,298.3719482421875,0,22,0.05328059196472168,1640.7708740234375,STANDARD,1,0.0,R_A2
30,2,2018-03-01,298.49102783203125,298.49102783203125,0,22,0.05546637624502182,1642.54638671875,STANDARD,2,0.0,R_A2
30,3,2018-03-01,298.6100769042969,298.6100769042969,0,22,0.05831862613558769,1644.32177734375,STANDARD,3,0.0,R_A2
30,4,2018-03-01,298.7291259765625,298.7291259765625,0,22,0.06285948306322098,1646.09716796875,STANDARD,4,0.0,R_A2
30,5,2018-03-01,298.84814453125,298.84814453125,0,22,0.06497199088335037,1647.8726806640625,STANDARD,5,0.0,R_A2
30,6,2018-03-01,298.9796447753906,298.9796447753906,0,22,0.3011493682861328,1649.648193359375,STANDARD,6,0.0,R_A2
30,7,2018-03-01,299.1095886230469,299.1095886230469,0,22,0.8711989521980286,1651.423583984375,STANDARD,7,0.0,R_A2
30,8,2018-03-01,299.2379455566406,299.2379455566406,0,22,0.861640214920044,1653.198974609375,STANDARD,8,0.0,R_A2
30,9,2018-03-01,299.6341857910156,299.6341857910156,0,22,0.8684999942779541,1654.9744873046875,STANDARD,9,0.0,R_A2
30,10,2018-03-01,299.9811096191406,299.9811096191406,0,22,0.8858961462974548,1656.7498779296875,STANDARD,10,0.0,R_A2
30,11,2018-03-01,299.79656982421875,299.79656982421875,0,22,0.06789715588092804,1658.642578125,STANDARD,11,0.0,R_A2
30,12,2018-03-01,300.2001953125,300.2001953125,0,22,0.06657891720533371,1660.6524658203125,STANDARD,12,0.0,R_A2
30,13,2018-03-01,300.2499084472656,300.2499084472656,0,22,0.42371243238449097,1662.662353515625,STANDARD,13,0.0,R_A2
30,14,2018-03-01,300.38494873046875,300.38494873046875,0,22,0.4673479497432709,1664.6722412109375,STANDARD,14,0.0,R_A2
30,15,2018-03-01,300.5204162597656,300.5204162597656,0,22,0.9070099592208862,1666.6820068359375,STANDARD,15,0.0,R_A2
30,16,2018-03-01,300.6547546386719,300.6547546386719,0,22,0.9252709746360779,1668.69189453125,STANDARD,16,0.0,R_A2
30,17,2018-03-01,300.7891845703125,300.7891845703125,0,22,0.868812620639801,1670.7017822265625,STANDARD,17,0.0,R_A2
29,17,2018-03-01,300.7025451660156,300.7025451660156,0,22,0.8851775527000427,1672.374267578125,STANDARD,18,0.0,R_A2
29,18,2018-03-01,300.8321533203125,300.8321533203125,0,22,0.9510541558265686,1674.3092041015625,STANDARD,19,0.0,R_A2
29,19,2018-03-01,300.904296875,300.904296875,0,22,0.9694358110427856,1675.385009765625,STANDARD,20,0.0,R_A2
29,25,2018-03-01,303.0269775390625,303.0269775390625,0,22,0.7662240862846375,1676.45263671875,STANDARD,21,0.0,R_A2
29,26,2018-03-01,302.7154541015625,302.7154541015625,0,22,0.7431396245956421,1678.2432861328125,STANDARD,22,0.0,R_A2
29,27,2018-03-01,301.8874816894531,301.8874816894531,0,22,0.7181127071380615,1680.0340576171875,STANDARD,23,0.0,R_A2
29,28,2018-03-01,303.0129089355469,303.0129089355469,0,22,1.0,1681.8248291015625,STANDARD,24,1.6386486622905344e-13,R_A2
29,29,2018-03-01,302.5046691894531,302.5046691894531,0,22,1.0,1683.615478515625,STANDARD,25,6.863824508762661e-10,R_A2
20,1,2018-04-28,285.6627197265625,285.6627197265625,0,31,1.0,1686.1156005859375,STANDARD,1,-1.735110388700889e-09,R_A5
20,2,2018-04-28,285.8641357421875,285.8641357421875,0,31,1.0,1688.2445068359375,STANDARD,2,-1.6610115505244494e-09,R_A5
20,3,2018-04-28,286.06549072265625,286.06549072265625,0,31,1.0,1690.373291015625,STANDARD,3,-1.638147395510714e-09,R_A5
20,4,2018-04-28,286.26678466796875,286.26678466796875,0,31,1.0,1692.5020751953125,STANDARD,4,-1.7084507142328675e-09,R_A5
20,5,2018-04-28,286.468017578125,286.468017578125,0,31,1.0,1694.630859375,STANDARD,5,-1.333182231277874e-09,R_A5
20,6,2018-04-28,286.6692199707031,286.6692199707031,0,31,1.0,1696.759765625,STANDARD,6,-4.4175021973735795e-10,R_A5
20,7,2018-04-28,287.1987609863281,287.1987609863281,0,31,1.0,1698.888427734375,STANDARD,7,-4.647064850982208e-12,R_A5
20,8,2018-04-28,287.4420471191406,287.4420471191406,0,31,1.0,1701.017333984375,STANDARD,8,-3.006964685928204e-12,R_A5
21,10,2018-04-28,287.8171081542969,287.8171081542969,0,31,1.0,1698.586181640625,STANDARD,9,0.0,R_A5
21,11,2018-04-28,278.7058410644531,278.7058410644531,0,31,1.0,1700.690185546875,STANDARD,10,-2.236924534493312e-11,R_A5
21,12,2018-04-28,278.9065246582031,278.9065246582031,0,31,1.0,1702.655029296875,STANDARD,11,-1.781797279165609e-11,R_A5
21,13,2018-04-28,279.10443115234375,279.10443115234375,0,31,1.0,1704.6197509765625,STANDARD,12,-5.839301481583292e-13,R_A5
21,14,2018-04-28,279.29095458984375,279.29095458984375,0,31,1.0,1706.58447265625,STANDARD,13,-7.499770119170912e-13,R_A5
21,15,2018-04-28,279.4784851074219,279.4784851074219,0,31,1.0,1708.5491943359375,STANDARD,14,-3.1593624201173287e-13,R_A5
21,16,2018-04-28,279.8147888183594,279.8147888183594,0,31,1.0,1710.513916015625,STANDARD,15,-5.1332968095414017e-14,R_A5
21,17,2018-04-28,280.0054016113281,280.0054016113281,0,31,1.0,1712.4571533203125,STANDARD,16,-6.65321205246816e-14,R_A5
21,18,2018-04-28,280.1355895996094,280.1355895996094,0,31,1.0,1713.805419921875,STANDARD,17,-8.167519937284096e-14,R_A5
21,19,2018-04-28,280.1832275390625,280.1832275390625,0,31,1.0,1714.3050537109375,STANDARD,18,0.0,R_A5
21,25,2018-04-28,284.8009338378906,284.8009338378906,0,31,1.0,1715.52783203125,STANDARD,19,-1.2727750277330419e-11,R_A5
21,26,2018-04-28,285.3468322753906,285.3468322753906,0,31,1.0,1717.749267578125,STANDARD,20,-6.983484103495474e-12,R_A5
21,27,2018-04-28,296.4665832519531,296.4665832519531,0,31,1.0,1719.970703125,STANDARD,21,-1.2807358399323113e-18,R_A5
21,28,2018-04-28,304.2384948730469,304.2384948730469,0,31,1.0,1722.192138671875,STANDARD,22,-1.668256890044666e-20,R_A5
21,29,2018-04-28,306.9884033203125,306.9884033203125,0,31,1.0,1724.41357421875,STANDARD,23,-1.1006486485698817e-22,R_A5
41,1,2018-07-03,272.1645812988281,272.1645812988281,0,28,0.650246262550354,1609.5806884765625,STANDARD,1,0.0,R_A3
41,2,2018-07-03,272.2962646484375,272.2962646484375,0,28,0.19582946598529816,1611.6229248046875,STANDARD,2,0.0,R_A3
41,3,2018-07-03,272.4320373535156,272.4320373535156,0,28,0.14983078837394714,1613.6650390625,STANDARD,3,0.0,R_A3
41,4,2018-07-03,272.5679016113281,272.5679016113281,0,28,0.11884916573762894,1615.7071533203125,STANDARD,4,0.0,R_A3
41,4,2018-07-03,271.9078674316406,271.9078674316406,0,29,0.24304385483264923,1605.7999267578125,STANDARD,5,0.0,R_A3
41,5,2018-07-03,272.128662109375,272.128662109375,0,29,0.8057754635810852,1607.891357421875,STANDARD,6,0.0,R_A3
41,6,2018-07-03,272.18963623046875,272.18963623046875,0,29,0.2660684287548065,1609.98291015625,STANDARD,7,0.0,R_A3
