CONIDX,CONJPOS,PRESSURE,DATE,WELL,CONKPOS,SWAT,DRAWDOWN,CONIPOS,SGAS,DEPTH,WELLMODEL,CONBPRES
9,42,306.2727355957031,2018-01-01,R_A6,9,1.0,0,17,0.0,1707.42724609375,STANDARD,306.2727355957031
10,42,306.1142883300781,2018-01-01,R_A6,10,1.0,0,17,0.0,1708.9820556640625,STANDARD,306.1142883300781
11,42,306.2950744628906,2018-01-01,R_A6,11,1.0,0,17,0.0,1710.8885498046875,STANDARD,306.2950744628906
12,42,306.50909423828125,2018-01-01,R_A6,12,1.0,0,17,0.0,1713.1466064453125,STANDARD,306.50909423828125
13,42,306.73504638671875,2018-01-01,R_A6,13,1.0,0,17,0.0,1715.4046630859375,STANDARD,306.73504638671875
14,42,306.9490661621094,2018-01-01,R_A6,14,1.0,0,17,0.0,1717.6627197265625,STANDARD,306.9490661621094
15,42,307.1630554199219,2018-01-01,R_A6,15,1.0,0,17,0.0,1719.9207763671875,STANDARD,307.1630554199219
16,42,307.5220947265625,2018-01-01,R_A6,16,1.0,0,17,0.0,1722.1788330078125,STANDARD,307.5220947265625
17,42,307.7361145019531,2018-01-01,R_A6,17,1.0,0,17,0.0,1724.4368896484375,STANDARD,307.7361145019531
18,42,307.90277099609375,2018-01-01,R_A6,18,1.0,0,17,0.0,1726.1953125,STANDARD,307.90277099609375
19,42,307.8876953125,2018-01-01,R_A6,26,1.0,0,17,0.0,1727.6939697265625,STANDARD,307.8876953125
20,42,308.3582763671875,2018-01-01,R_A6,27,1.0,0,17,0.0,1729.4324951171875,STANDARD,308.3582763671875
21,42,308.5230407714844,2018-01-01,R_A6,28,1.0,0,17,0.0,1731.1710205078125,STANDARD,308.5230407714844
22,42,308.6878356933594,2018-01-01,R_A6,29,1.0,0,17,0.0,1732.9095458984375,STANDARD,308.6878356933594
23,42,308.54681396484375,2018-01-01,R_A6,30,1.0,0,17,0.0,1734.648193359375,STANDARD,308.54681396484375
1,30,299.319580078125,2018-03-01,R_A2,1,0.0524568073451519,0,22,0.0,1640.6810302734375,STANDARD,299.319580078125
2,30,299.4427490234375,2018-03-01,R_A2,2,0.056708503514528275,0,22,0.0,1642.5185546875,STANDARD,299.4427490234375
3,30,299.5658874511719,2018-03-01,R_A2,3,0.05851234868168831,0,22,0.0,1644.3560791015625,STANDARD,299.5658874511719
4,30,299.68902587890625,2018-03-01,R_A2,4,0.06448239833116531,0,22,0.0,1646.193603515625,STANDARD,299.68902587890625
5,30,299.81219482421875,2018-03-01,R_A2,5,0.06717289239168167,0,22,0.0,1648.0311279296875,STANDARD,299.81219482421875
6,30,299.9499206542969,2018-03-01,R_A2,6,0.3017469644546509,0,22,0.0,1649.86865234375,STANDARD,299.9499206542969
7,30,300.07659912109375,2018-03-01,R_A2,7,0.8713127970695496,0,22,0.0,1651.7061767578125,STANDARD,300.07659912109375
