CONIDX,SGAS,WELLMODEL,DRAWDOWN,DATE,SWAT,DEPTH,CONJPOS,PRESSURE,CONIPOS,CONBPRES,CONKPOS,WELL
22,0.0,STANDARD,0,2018-01-01,0.6481541991233826,1651.4033203125,48,301.409912109375,38,301.409912109375,28,R_A4
23,0.0,STANDARD,0,2018-01-01,0.6481541991233826,1659.56005859375,47,301.95697021484375,38,301.95697021484375,28,R_A4
1,0.0,STANDARD,0,2018-01-01,1.0,1684.88720703125,20,303.83087158203125,31,303.83087158203125,1,R_A5
2,0.0,STANDARD,0,2018-01-01,1.0,1687.0301513671875,20,304.033935546875,31,304.033935546875,2,R_A5
3,0.0,STANDARD,0,2018-01-01,1.0,1689.173095703125,20,304.2370300292969,31,304.2370300292969,3,R_A5
4,0.0,STANDARD,0,2018-01-01,1.0,1691.316162109375,20,304.4400939941406,31,304.4400939941406,4,R_A5
5,0.0,STANDARD,0,2018-01-01,1.0,1693.4591064453125,20,304.6431884765625,31,304.6431884765625,5,R_A5
6,0.0,STANDARD,0,2018-01-01,1.0,1695.60205078125,20,304.8462829589844,31,304.8462829589844,6,R_A5
7,0.0,STANDARD,0,2018-01-01,1.0,1697.7451171875,20,305.3551330566406,31,305.3551330566406,7,R_A5
8,0.0,STANDARD,0,2018-01-01,1.0,1704.1739501953125,20,305.6585998535156,31,305.6585998535156,10,R_A5
9,0.0,STANDARD,0,2018-01-01,1.0,1698.95947265625,21,305.1644592285156,31,305.1644592285156,10,R_A5
10,0.0,STANDARD,0,2018-01-01,1.0,1701.0972900390625,21,305.3671569824219,31,305.3671569824219,11,R_A5
11,0.0,STANDARD,0,2018-01-01,1.0,1703.1102294921875,21,305.55792236328125,31,305.55792236328125,12,R_A5
12,0.0,STANDARD,0,2018-01-01,1.0,1705.1231689453125,21,305.7606506347656,31,305.7606506347656,13,R_A5
13,0.0,STANDARD,0,2018-01-01,1.0,1707.1361083984375,21,305.951416015625,31,305.951416015625,14,R_A5
14,0.0,STANDARD,0,2018-01-01,1.0,1709.1490478515625,21,306.1421813964844,31,306.1421813964844,15,R_A5
15,0.0,STANDARD,0,2018-01-01,1.0,1711.1619873046875,21,306.47796630859375,31,306.47796630859375,16,R_A5
16,0.0,STANDARD,0,2018-01-01,1.0,1713.1749267578125,21,306.6687316894531,31,306.6687316894531,17,R_A5
17,0.0,STANDARD,0,2018-01-01,1.0,1714.7669677734375,21,306.81964111328125,31,306.81964111328125,18,R_A5
18,0.0,STANDARD,0,2018-01-01,1.0,1715.5770263671875,21,306.8963928222656,31,306.8963928222656,19,R_A5
19,0.0,STANDARD,0,2018-01-01,1.0,1716.9088134765625,21,306.8655090332031,31,306.8655090332031,26,R_A5
20,0.0,STANDARD,0,2018-01-01,1.0,1719.123291015625,21,307.0754089355469,31,307.0754089355469,27,R_A5
21,0.0,STANDARD,0,2018-01-01,1.0,1721.3377685546875,21,307.591064453125,31,307.591064453125,28,R_A5
22,0.0,STANDARD,0,2018-01-01,1.0,1723.5523681640625,21,307.80096435546875,31,307.80096435546875,29,R_A5
23,0.0,STANDARD,0,2018-01-01,1.0,1725.766845703125,21,308.0108337402344,31,308.0108337402344,30,R_A5
1,0.0,STANDARD,0,2018-01-01,1.0,1694.303466796875,42,305.02899169921875,17,305.02899169921875,1,R_A6
2,0.0,STANDARD,0,2018-01-01,1.0,1695.833984375,42,305.1740417480469,17,305.1740417480469,2,R_A6
3,0.0,STANDARD,0,2018-01-01,1.0,1697.3643798828125,42,305.3190612792969,17,305.3190612792969,3,R_A6
4,0.0,STANDARD,0,2018-01-01,1.0,1698.8948974609375,42,305.464111328125,17,305.464111328125,4,R_A6
5,0.0,STANDARD,0,2018-01-01,1.0,1700.42529296875,42,305.609130859375,17,305.609130859375,5,R_A6
6,0.0,STANDARD,0,2018-01-01,1.0,1701.9556884765625,42,305.7541809082031,17,305.7541809082031,6,R_A6
7,0.0,STANDARD,0,2018-01-01,1.0,1703.4862060546875,42,305.60015869140625,17,305.60015869140625,7,R_A6
8,0.0,STANDARD,0,2018-01-01,1.0,1705.0166015625,42,305.7452087402344,17,305.7452087402344,8,R_A6
9,0.0,STANDARD,0,2018-01-01,1.0,1706.547119140625,42,306.1893005371094,17,306.1893005371094,9,R_A6
10,0.0,STANDARD,0,2018-01-01,1.0,1708.07763671875,42,306.028564453125,17,306.028564453125,10,R_A6
11,0.0,STANDARD,0,2018-01-01,1.0,1709.980712890625,42,306.20904541015625,17,306.20904541015625,11,R_A6
12,0.0,STANDARD,0,2018-01-01,1.0,1712.2564697265625,42,306.42474365234375,17,306.42474365234375,12,R_A6
13,0.0,STANDARD,0,2018-01-01,1.0,1714.5322265625,42,306.6523742675781,17,306.6523742675781,13,R_A6
14,0.0,STANDARD,0,2018-01-01,1.0,1716.807861328125,42,306.8680419921875,17,306.8680419921875,14,R_A6
15,0.0,STANDARD,0,2018-01-01,1.0,1719.0836181640625,42,307.083740234375,17,307.083740234375,15,R_A6
16,0.0,STANDARD,0,2018-01-01,1.0,1721.359375,42,307.4444274902344,17,307.4444274902344,16,R_A6
17,0.0,STANDARD,0,2018-01-01,1.0,1723.6351318359375,42,307.6601257324219,17,307.6601257324219,17,R_A6
18,0.0,STANDARD,0,2018-01-01,1.0,1725.20263671875,42,307.8086853027344,17,307.8086853027344,18,R_A6
19,0.0,STANDARD,0,2018-01-01,1.0,1726.485595703125,42,307.773193359375,17,307.773193359375,26,R_A6
20,0.0,STANDARD,0,2018-01-01,1.0,1728.192138671875,42,308.24072265625,17,308.24072265625,27,R_A6
21,0.0,STANDARD,0,2018-01-01,1.0,1729.898681640625,42,308.4024658203125,17,308.4024658203125,28,R_A6
22,0.0,STANDARD,0,2018-01-01,1.0,1731.6051025390625,42,308.5641784667969,17,308.5641784667969,29,R_A6
23,0.0,STANDARD,0,2018-01-01,1.0,1733.3116455078125,42,308.4201354980469,17,308.4201354980469,30,R_A6
1,0.0,STANDARD,0,2018-03-01,0.05564669147133827,1641.70458984375,30,296.7027893066406,22,296.7027893066406,1,R_A2
2,0.0,STANDARD,0,2018-03-01,0.05696197599172592,1643.4635009765625,30,296.82061767578125,22,296.82061767578125,2,R_A2
3,0.0,STANDARD,0,2018-03-01,0.06185420975089073,1645.2225341796875,30,296.9384460449219,22,296.9384460449219,3,R_A2
4,0.0,STANDARD,0,2018-03-01,0.0655679702758789,1646.9814453125,30,297.0563049316406,22,297.0563049316406,4,R_A2
5,0.0,STANDARD,0,2018-03-01,0.0679163783788681,1648.7403564453125,30,297.1741638183594,22,297.1741638183594,5,R_A2
6,0.0,STANDARD,0,2018-03-01,0.3159206211566925,1650.4993896484375,30,297.3550109863281,22,297.3550109863281,6,R_A2
7,0.0,STANDARD,0,2018-03-01,0.8885418176651001,1652.25830078125,30,297.4879455566406,22,297.4879455566406,7,R_A2
8,0.0,STANDARD,0,2018-03-01,0.8726673722267151,1654.017333984375,30,297.61346435546875,22,297.61346435546875,8,R_A2
9,0.0,STANDARD,0,2018-03-01,0.8879185318946838,1655.7762451171875,30,298.0157775878906,22,298.0157775878906,9,R_A2
10,0.0,STANDARD,0,2018-03-01,0.9096260070800781,1657.53515625,30,298.4608154296875,22,298.4608154296875,10,R_A2
11,0.0,STANDARD,0,2018-03-01,0.07366395741701126,1659.450927734375,30,298.6485290527344,22,298.6485290527344,11,R_A2
12,0.0,STANDARD,0,2018-03-01,0.0784597396850586,1661.5235595703125,30,298.7590637207031,22,298.7590637207031,12,R_A2
13,0.0,STANDARD,0,2018-03-01,0.4533720314502716,1663.59619140625,30,299.06640625,22,299.06640625,13,R_A2
14,0.0,STANDARD,0,2018-03-01,0.5014069676399231,1665.668701171875,30,299.2074890136719,22,299.2074890136719,14,R_A2
15,0.0,STANDARD,0,2018-03-01,0.9369244575500488,1667.7413330078125,30,299.34912109375,22,299.34912109375,15,R_A2
16,0.0,STANDARD,0,2018-03-01,0.9671114683151245,1669.81396484375,30,299.4891052246094,22,299.4891052246094,16,R_A2
17,0.0,STANDARD,0,2018-03-01,0.9319288730621338,1671.8865966796875,30,299.6289978027344,22,299.6289978027344,17,R_A2
18,0.0,STANDARD,0,2018-03-01,0.9798029661178589,1673.624755859375,30,299.7457580566406,22,299.7457580566406,18,R_A2
19,0.0,STANDARD,0,2018-03-01,0.7067698836326599,1675.2216796875,30,302.47357177734375,22,302.47357177734375,26,R_A2
20,5.7574167736931456e-15,STANDARD,0,2018-03-01,1.0,1677.0120849609375,30,302.8804626464844,22,302.8804626464844,27,R_A2
21,5.117739185992592e-16,STANDARD,0,2018-03-01,1.0,1678.8023681640625,30,303.4464416503906,22,303.4464416503906,28,R_A2
22,1.6338403961209418e-16,STANDARD,0,2018-03-01,1.0,1681.0584716796875,29,302.7623291015625,22,302.7623291015625,28,R_A2
23,4.904267411452889e-18,STANDARD,0,2018-03-01,1.0,1682.741943359375,29,303.4577331542969,22,303.4577331542969,29,R_A2
24,-8.245139890533099e-20,STANDARD,0,2018-03-01,1.0,1684.42529296875,29,303.8107604980469,22,303.8107604980469,30,R_A2
1,-9.583932258916406e-11,STANDARD,0,2018-04-28,1.0,1684.88720703125,20,285.3038024902344,31,285.3038024902344,1,R_A5
2,-1.2149575789877076e-10,STANDARD,0,2018-04-28,1.0,1687.0301513671875,20,285.507080078125,31,285.507080078125,2,R_A5
3,-1.3410188237639176e-10,STANDARD,0,2018-04-28,1.0,1689.173095703125,20,285.7104187011719,31,285.7104187011719,3,R_A5
4,-1.408905492272794e-10,STANDARD,0,2018-04-28,1.0,1691.316162109375,20,285.9136047363281,31,285.9136047363281,4,R_A5
5,-1.1670288346810054e-10,STANDARD,0,2018-04-28,1.0,1693.4591064453125,20,286.1165466308594,31,286.1165466308594,5,R_A5
6,-7.805955187789593e-11,STANDARD,0,2018-04-28,1.0,1695.60205078125,20,286.31939697265625,31,286.31939697265625,6,R_A5
7,-1.856160407667784e-12,STANDARD,0,2018-04-28,1.0,1697.7451171875,20,286.8446044921875,31,286.8446044921875,7,R_A5
8,-8.82859133022329e-11,STANDARD,0,2018-04-28,1.0,1704.1739501953125,20,286.7550048828125,31,286.7550048828125,10,R_A5
9,-7.065406593120827e-10,STANDARD,0,2018-04-28,1.0,1698.95947265625,21,285.769775390625,31,285.769775390625,10,R_A5
10,-6.013132769489005e-10,STANDARD,0,2018-04-28,1.0,1701.0972900390625,21,285.4441223144531,31,285.4441223144531,11,R_A5
11,-5.905389510729719e-10,STANDARD,0,2018-04-28,1.0,1703.1102294921875,21,285.6573181152344,31,285.6573181152344,12,R_A5
12,-3.319925237499355e-11,STANDARD,0,2018-04-28,1.0,1705.1231689453125,21,285.8600769042969,31,285.8600769042969,13,R_A5
13,-3.6109077533597045e-11,STANDARD,0,2018-04-28,1.0,1707.1361083984375,21,286.051025390625,31,286.051025390625,14,R_A5
14,-1.1210961846364054e-11,STANDARD,0,2018-04-28,1.0,1709.1490478515625,21,286.2402648925781,31,286.2402648925781,15,R_A5
15,0.0,STANDARD,0,2018-04-28,1.0,1711.1619873046875,21,286.5205993652344,31,286.5205993652344,16,R_A5
16,-7.929573339095219e-13,STANDARD,0,2018-04-28,1.0,1713.1749267578125,21,286.64410400390625,31,286.64410400390625,17,R_A5
17,-3.85087496829542e-13,STANDARD,0,2018-04-28,1.0,1714.7669677734375,21,286.7755432128906,31,286.7755432128906,18,R_A5
18,0.0,STANDARD,0,2018-04-28,1.0,1715.5770263671875,21,286.84539794921875,31,286.84539794921875,19,R_A5
19,-2.1370949454535548e-10,STANDARD,0,2018-04-28,1.0,1716.9088134765625,21,286.7476501464844,31,286.7476501464844,26,R_A5
20,-1.578517594413853e-10,STANDARD,0,2018-04-28,1.0,1719.123291015625,21,286.8470458984375,31,286.8470458984375,27,R_A5
21,-1.3644727014927582e-10,STANDARD,0,2018-04-28,1.0,1721.3377685546875,21,287.3401794433594,31,287.3401794433594,28,R_A5
22,-2.225435073309641e-16,STANDARD,0,2018-04-28,1.0,1723.5523681640625,21,296.87359619140625,31,296.87359619140625,29,R_A5
23,-5.508063350092603e-19,STANDARD,0,2018-04-28,1.0,1725.766845703125,21,304.5239562988281,31,304.5239562988281,30,R_A5
1,0.0,STANDARD,0,2018-07-03,0.22557279467582703,1608.0645751953125,41,271.374755859375,28,271.374755859375,1,R_A3
2,0.0,STANDARD,0,2018-07-03,0.19423961639404297,1609.991943359375,41,271.5030517578125,28,271.5030517578125,2,R_A3
3,0.0,STANDARD,0,2018-07-03,0.19145944714546204,1611.91943359375,41,271.63116455078125,28,271.63116455078125,3,R_A3
4,0.0,STANDARD,0,2018-07-03,0.31264930963516235,1613.846923828125,41,271.7585144042969,28,271.7585144042969,4,R_A3
5,0.0,STANDARD,0,2018-07-03,0.8016231060028076,1609.90380859375,41,271.5029602050781,29,271.5029602050781,5,R_A3
6,0.0,STANDARD,0,2018-07-03,0.6508033871650696,1611.9046630859375,41,271.5348205566406,29,271.5348205566406,6,R_A3
7,0.0,STANDARD,0,2018-07-03,0.2033022791147232,1613.905517578125,41,271.6906433105469,29,271.6906433105469,7,R_A3
8,0.0,STANDARD,0,2018-07-03,0.2055230289697647,1615.9063720703125,41,271.8238830566406,29,271.8238830566406,8,R_A3
9,0.0,STANDARD,0,2018-07-03,0.8017832040786743,1617.9072265625,41,272.1493225097656,29,272.1493225097656,9,R_A3
10,0.0,STANDARD,0,2018-07-03,0.7948942184448242,1619.907958984375,41,280.7060241699219,29,280.7060241699219,10,R_A3
