CONKPOS,WELL,WELLMODEL,CONIDX,DRAWDOWN,CONIPOS,CONJPOS,SWAT,CONBPRES,DATE,DEPTH,PRESSURE,SGAS
16,R_A5,STANDARD,14,0,31,21,1.0,282.54150390625,2018-04-28,1708.196044921875,282.54150390625,-2.8985466804520854e-11
17,R_A5,STANDARD,15,0,31,21,1.0,283.4103088378906,2018-04-28,1710.0240478515625,283.4103088378906,-5.869039976236223e-11
18,R_A5,STANDARD,16,0,31,21,1.0,283.5585632324219,2018-04-28,1711.6932373046875,283.5585632324219,-7.49228803997859e-11
19,R_A5,STANDARD,17,0,31,21,1.0,283.6535949707031,2018-04-28,1712.795654296875,283.6535949707031,-1.9519702521009208e-10
20,R_A5,STANDARD,18,0,31,21,1.0,283.69232177734375,2018-04-28,1713.23193359375,283.69232177734375,-2.0949532386627112e-10
26,R_A5,STANDARD,19,0,31,21,1.0,283.4249572753906,2018-04-28,1714.5528564453125,283.4249572753906,-4.4518025377193737e-10
27,R_A5,STANDARD,20,0,31,21,1.0,283.687744140625,2018-04-28,1717.0167236328125,283.687744140625,-3.3955588341072485e-10
28,R_A5,STANDARD,21,0,31,21,1.0,283.9207763671875,2018-04-28,1719.480712890625,283.9207763671875,-5.715080075852086e-10
29,R_A5,STANDARD,22,0,31,21,1.0,293.4404602050781,2018-04-28,1721.944580078125,293.4404602050781,-2.692082729308776e-16
30,R_A5,STANDARD,23,0,31,21,1.0,303.40167236328125,2018-04-28,1724.4085693359375,303.40167236328125,-4.521795226230314e-18
1,R_A3,STANDARD,1,0,28,41,0.11467169225215912,277.284912109375,2018-07-03,1611.8824462890625,277.284912109375,0.0
2,R_A3,STANDARD,2,0,28,41,0.11855398118495941,277.41705322265625,2018-07-03,1613.8643798828125,277.41705322265625,0.0
3,R_A3,STANDARD,3,0,28,41,0.1215168759226799,277.5492248535156,2018-07-03,1615.8463134765625,277.5492248535156,0.0
3,R_A3,STANDARD,4,0,29,41,0.1319807767868042,276.6092834472656,2018-07-03,1602.519775390625,276.6092834472656,0.0
4,R_A3,STANDARD,5,0,29,41,0.2672838270664215,276.7478942871094,2018-07-03,1604.5928955078125,276.7478942871094,0.0
5,R_A3,STANDARD,6,0,29,41,0.7977817058563232,277.03485107421875,2018-07-03,1606.6661376953125,277.03485107421875,0.0
6,R_A3,STANDARD,7,0,29,41,0.6496959328651428,277.1112060546875,2018-07-03,1608.7392578125,277.1112060546875,0.0
7,R_A3,STANDARD,8,0,29,41,0.1961977481842041,277.26104736328125,2018-07-03,1610.8123779296875,277.26104736328125,0.0
8,R_A3,STANDARD,9,0,29,41,0.1986062079668045,277.39923095703125,2018-07-03,1612.885498046875,277.39923095703125,0.0
9,R_A3,STANDARD,10,0,29,41,0.7931289076805115,277.6339111328125,2018-07-03,1614.958740234375,277.6339111328125,0.0
10,R_A3,STANDARD,11,0,29,41,0.7892027497291565,279.2358703613281,2018-07-03,1617.0318603515625,279.2358703613281,0.0
11,R_A3,STANDARD,12,0,29,41,0.04946396127343178,283.47747802734375,2018-07-03,1619.2132568359375,283.47747802734375,0.0
12,R_A3,STANDARD,13,0,29,41,0.05344561114907265,283.6304016113281,2018-07-03,1621.5030517578125,283.6304016113281,0.0
13,R_A3,STANDARD,14,0,29,41,0.3632388412952423,283.78466796875,2018-07-03,1623.792724609375,283.78466796875,0.0
14,R_A3,STANDARD,15,0,29,41,0.2556440234184265,283.938720703125,2018-07-03,1626.08251953125,283.938720703125,0.0
15,R_A3,STANDARD,16,0,29,41,0.4917750954627991,284.0885925292969,2018-07-03,1628.3299560546875,284.0885925292969,0.0
16,R_A3,STANDARD,17,0,29,41,0.8025780320167542,284.2200622558594,2018-07-03,1630.1295166015625,284.2200622558594,0.0
17,R_A3,STANDARD,18,0,29,41,0.766920268535614,284.27655029296875,2018-07-03,1630.956298828125,284.27655029296875,0.0
26,R_A3,STANDARD,19,0,29,41,0.6489658951759338,287.4206237792969,2018-07-03,1632.916748046875,287.4206237792969,0.0
27,R_A3,STANDARD,20,0,29,41,0.044443439692258835,283.4500427246094,2018-07-03,1636.578369140625,283.4500427246094,0.0
28,R_A3,STANDARD,21,0,29,41,0.09167329221963882,283.6941223144531,2018-07-03,1640.2398681640625,283.6941223144531,0.0
29,R_A3,STANDARD,22,0,29,41,1.0,286.4906311035156,2018-07-03,1643.9014892578125,286.4906311035156,-7.16219509915017e-13
30,R_A3,STANDARD,23,0,29,41,0.15321022272109985,284.21221923828125,2018-07-03,1647.56298828125,284.21221923828125,0.0
1,R_A4,STANDARD,1,0,30,52,0.04910333454608917,279.4621276855469,2018-09-12,1626.67822265625,279.4621276855469,0.0
1,R_A4,STANDARD,2,0,31,52,0.04672936350107193,279.3202209472656,2018-09-12,1624.07861328125,279.3202209472656,0.0
2,R_A4,STANDARD,3,0,31,52,0.04750117287039757,279.4638671875,2018-09-12,1626.232177734375,279.4638671875,0.0
3,R_A4,STANDARD,4,0,31,52,0.047997914254665375,279.60748291015625,2018-09-12,1628.3857421875,279.60748291015625,0.0
4,R_A4,STANDARD,5,0,31,52,0.051764629781246185,279.7511291503906,2018-09-12,1630.539306640625,279.7511291503906,0.0
5,R_A4,STANDARD,6,0,31,52,0.053531575947999954,279.894775390625,2018-09-12,1632.69287109375,279.894775390625,0.0
5,R_A4,STANDARD,7,0,32,52,0.05419645458459854,279.85968017578125,2018-09-12,1631.8531494140625,279.85968017578125,0.0
6,R_A4,STANDARD,8,0,32,52,0.05356844887137413,279.9860534667969,2018-09-12,1633.75390625,279.9860534667969,0.0
6,R_A4,STANDARD,9,0,32,51,0.054156593978405,280.0165100097656,2018-09-12,1634.5372314453125,280.0165100097656,0.0
5,R_A4,STANDARD,10,0,32,51,0.05447525158524513,279.8960266113281,2018-09-12,1632.725830078125,279.8960266113281,0.0
5,R_A4,STANDARD,11,0,33,51,0.06088181585073471,280.3019714355469,2018-09-12,1638.08935546875,280.3019714355469,0.0
4,R_A4,STANDARD,12,0,33,51,0.05621907860040665,280.182373046875,2018-09-12,1636.295654296875,280.182373046875,0.0
4,R_A4,STANDARD,13,0,33,50,0.058045677840709686,280.32562255859375,2018-09-12,1638.5946044921875,280.32562255859375,0.0
4,R_A4,STANDARD,14,0,34,50,0.06419939547777176,280.51361083984375,2018-09-12,1640.842529296875,280.51361083984375,0.0
3,R_A4,STANDARD,15,0,34,50,0.05933814495801926,280.3827819824219,2018-09-12,1638.88134765625,280.3827819824219,0.0
3,R_A4,STANDARD,16,0,35,50,0.06093688681721687,280.557861328125,2018-09-12,1640.9970703125,280.557861328125,0.0
3,R_A4,STANDARD,17,0,35,49,0.15824419260025024,280.6507873535156,2018-09-12,1642.702392578125,280.6507873535156,0.0
2,R_A4,STANDARD,18,0,35,49,0.2291043996810913,280.5231018066406,2018-09-12,1640.7818603515625,280.5231018066406,0.0
29,R_A4,STANDARD,19,0,36,49,0.6497747898101807,278.0478820800781,2018-09-12,1642.876953125,278.0478820800781,0.0
29,R_A4,STANDARD,20,0,36,48,0.6541327834129333,277.7228698730469,2018-09-12,1643.008544921875,277.7228698730469,0.0
29,R_A4,STANDARD,21,0,37,48,0.6818425059318542,278.721435546875,2018-09-12,1650.953369140625,278.721435546875,0.0
28,R_A4,STANDARD,22,0,37,48,1.0,281.5151672363281,2018-09-12,1645.5689697265625,281.5151672363281,-4.6271667053510157e-10
28,R_A4,STANDARD,23,0,38,48,1.0,281.7465515136719,2018-09-12,1651.834716796875,281.7465515136719,-1.7496579185483085e-10
27,R_A4,STANDARD,24,0,38,48,0.6681267023086548,278.4977111816406,2018-09-12,1646.3087158203125,278.4977111816406,0.0
27,R_A4,STANDARD,25,0,38,47,0.21520574390888214,278.8408508300781,2018-09-12,1656.0740966796875,278.8408508300781,0.0
