CONKPOS,CONBPRES,CONIPOS,SWAT,SGAS,CONJPOS,DEPTH,WELLMODEL,DRAWDOWN,CONIDX,DATE,PRESSURE,WELL
6,274.850830078125,17,1.0,6.207971962012004e-13,42,1702.40576171875,STANDARD,0,6,2018-11-07,274.850830078125,R_A6
7,274.6941833496094,17,1.0,2.439106425514148e-12,42,1703.94287109375,STANDARD,0,7,2018-11-07,274.6941833496094,R_A6
8,274.84124755859375,17,1.0,1.4451051032898787e-12,42,1705.4798583984375,STANDARD,0,8,2018-11-07,274.84124755859375,R_A6
9,275.2963562011719,17,1.0,7.901600380944007e-14,42,1707.0169677734375,STANDARD,0,9,2018-11-07,275.2963562011719,R_A6
10,275.6871032714844,17,1.0,3.753029516936207e-14,42,1708.553955078125,STANDARD,0,10,2018-11-07,275.6871032714844,R_A6
11,278.72314453125,17,1.0,-2.7620313263095053e-13,42,1710.4794921875,STANDARD,0,11,2018-11-07,278.72314453125,R_A6
12,278.9422302246094,17,1.0,-1.2704260928843303e-13,42,1712.7933349609375,STANDARD,0,12,2018-11-07,278.9422302246094,R_A6
13,279.17352294921875,17,1.0,-9.768880108594787e-15,42,1715.107177734375,STANDARD,0,13,2018-11-07,279.17352294921875,R_A6
14,279.3930969238281,17,1.0,-8.141208044623767e-15,42,1717.4208984375,STANDARD,0,14,2018-11-07,279.3930969238281,R_A6
15,279.6170349121094,17,1.0,-4.6919234414301205e-15,42,1719.73486328125,STANDARD,0,15,2018-11-07,279.6170349121094,R_A6
16,280.001953125,17,1.0,-1.3864088108683803e-15,42,1722.048583984375,STANDARD,0,16,2018-11-07,280.001953125,R_A6
17,280.24169921875,17,1.0,-2.453438766776843e-15,42,1724.3624267578125,STANDARD,0,17,2018-11-07,280.24169921875,R_A6
18,280.38995361328125,17,1.0,-2.3138371491574937e-15,42,1725.848876953125,STANDARD,0,18,2018-11-07,280.38995361328125,R_A6
25,282.8996887207031,17,1.0,-1.0071011678682712e-14,42,1727.034912109375,STANDARD,0,19,2018-11-07,282.8996887207031,R_A6
26,283.3763732910156,17,1.0,-1.5763183622031227e-15,42,1728.748046875,STANDARD,0,20,2018-11-07,283.3763732910156,R_A6
27,283.7459716796875,17,1.0,-6.427222440105435e-21,42,1730.461181640625,STANDARD,0,21,2018-11-07,283.7459716796875,R_A6
28,283.619384765625,17,1.0,-1.1882859454559468e-21,42,1732.17431640625,STANDARD,0,22,2018-11-07,283.619384765625,R_A6
29,283.5040588378906,17,1.0,-7.21704496540676e-17,42,1733.887451171875,STANDARD,0,23,2018-11-07,283.5040588378906,R_A6
