CONIDX,DEPTH,CONJPOS,WELLMODEL,SGAS,CONIPOS,DRAWDOWN,CONBPRES,SWAT,CONKPOS,WELL,DATE,PRESSURE
9,1707.586181640625,42,STANDARD,0.0,17,0,306.28778076171875,1.0,9,R_A6,2018-01-01,306.28778076171875
10,1709.1318359375,42,STANDARD,0.0,17,0,306.12847900390625,1.0,10,R_A6,2018-01-01,306.12847900390625
11,1711.04296875,42,STANDARD,0.0,17,0,306.3097229003906,1.0,11,R_A6,2018-01-01,306.3097229003906
12,1713.319580078125,42,STANDARD,0.0,17,0,306.5254821777344,1.0,12,R_A6,2018-01-01,306.5254821777344
13,1715.5963134765625,42,STANDARD,0.0,17,0,306.75323486328125,1.0,13,R_A6,2018-01-01,306.75323486328125
14,1717.873046875,42,STANDARD,0.0,17,0,306.968994140625,1.0,14,R_A6,2018-01-01,306.968994140625
15,1720.1497802734375,42,STANDARD,0.0,17,0,307.1847839355469,1.0,15,R_A6,2018-01-01,307.1847839355469
16,1722.426513671875,42,STANDARD,0.0,17,0,307.5455627441406,1.0,16,R_A6,2018-01-01,307.5455627441406
17,1724.703125,42,STANDARD,0.0,17,0,307.7613525390625,1.0,17,R_A6,2018-01-01,307.7613525390625
18,1726.349853515625,42,STANDARD,0.0,17,0,307.91741943359375,1.0,18,R_A6,2018-01-01,307.91741943359375
19,1727.719970703125,42,STANDARD,0.0,17,0,307.8901672363281,1.0,27,R_A6,2018-01-01,307.8901672363281
20,1729.443115234375,42,STANDARD,0.0,17,0,308.3592834472656,1.0,28,R_A6,2018-01-01,308.3592834472656
21,1731.1663818359375,42,STANDARD,0.0,17,0,308.5226135253906,1.0,29,R_A6,2018-01-01,308.5226135253906
22,1732.8896484375,42,STANDARD,0.0,17,0,308.6859436035156,1.0,30,R_A6,2018-01-01,308.6859436035156
23,1734.61279296875,42,STANDARD,0.0,17,0,308.5434875488281,1.0,31,R_A6,2018-01-01,308.5434875488281
1,1641.174072265625,30,STANDARD,0.0,22,0,298.82769775390625,0.05665333941578865,1,R_A2,2018-03-01,298.82769775390625
2,1642.9696044921875,30,STANDARD,0.0,22,0,298.9480285644531,0.057949572801589966,2,R_A2,2018-03-01,298.9480285644531
3,1644.7652587890625,30,STANDARD,0.0,22,0,299.0683898925781,0.060679517686367035,3,R_A2,2018-03-01,299.0683898925781
4,1646.560791015625,30,STANDARD,0.0,22,0,299.1887512207031,0.0653994157910347,4,R_A2,2018-03-01,299.1887512207031
5,1648.3563232421875,30,STANDARD,0.0,22,0,299.3091125488281,0.0693226158618927,5,R_A2,2018-03-01,299.3091125488281
6,1650.15185546875,30,STANDARD,0.0,22,0,299.4442138671875,0.30872842669487,6,R_A2,2018-03-01,299.4442138671875
7,1651.9473876953125,30,STANDARD,0.0,22,0,299.5747985839844,0.8970216512680054,7,R_A2,2018-03-01,299.5747985839844
8,1653.7430419921875,30,STANDARD,0.0,22,0,299.7040710449219,0.8805774450302124,8,R_A2,2018-03-01,299.7040710449219
9,1655.53857421875,30,STANDARD,0.0,22,0,299.8305969238281,0.9079423546791077,9,R_A2,2018-03-01,299.8305969238281
10,1657.3341064453125,30,STANDARD,0.0,22,0,300.0627746582031,0.9080139398574829,10,R_A2,2018-03-01,300.0627746582031
11,1659.234130859375,30,STANDARD,0.0,22,0,300.1632385253906,0.07644686102867126,11,R_A2,2018-03-01,300.1632385253906
12,1661.23876953125,30,STANDARD,0.0,22,0,300.2977294921875,0.08184284716844559,12,R_A2,2018-03-01,300.2977294921875
13,1663.2432861328125,30,STANDARD,0.0,22,0,300.7518310546875,0.48482608795166016,13,R_A2,2018-03-01,300.7518310546875
14,1665.2479248046875,30,STANDARD,0.0,22,0,300.86163330078125,0.5019129514694214,14,R_A2,2018-03-01,300.86163330078125
15,1667.25244140625,30,STANDARD,0.0,22,0,300.9952697753906,0.673803448677063,15,R_A2,2018-03-01,300.9952697753906
16,1669.257080078125,30,STANDARD,0.0,22,0,301.12713623046875,0.9687868356704712,16,R_A2,2018-03-01,301.12713623046875
