WELL,DEPTH,CONIPOS,PRESSURE,CONKPOS,CONIDX,SWAT,CONBPRES,DATE,DRAWDOWN,WELLMODEL,CONJPOS,SGAS
R_A3,1624.388671875,29,299.5532531738281,13,14,0.3730502128601074,299.5532531738281,2018-01-01,0,STANDARD,41,0.0
R_A3,1626.707763671875,29,299.7087097167969,14,15,0.4005099833011627,299.7087097167969,2018-01-01,0,STANDARD,41,0.0
R_A3,1629.026611328125,29,299.8641662597656,15,16,0.4975426495075226,299.8641662597656,2018-01-01,0,STANDARD,41,0.0
R_A3,1630.9468994140625,29,299.992919921875,16,17,0.8084018230438232,299.992919921875,2018-01-01,0,STANDARD,41,0.0
R_A3,1633.5262451171875,29,300.16583251953125,27,18,1.0,300.16583251953125,2018-01-01,0,STANDARD,41,0.0
R_A3,1637.1630859375,29,300.40966796875,28,19,0.04364456981420517,300.40966796875,2018-01-01,0,STANDARD,41,0.0
R_A3,1640.8001708984375,29,300.6535339355469,29,20,0.05188838392496109,300.6535339355469,2018-01-01,0,STANDARD,41,0.0
R_A3,1644.4371337890625,29,300.89739990234375,30,21,1.0,300.89739990234375,2018-01-01,0,STANDARD,41,0.0
R_A3,1648.0740966796875,29,301.14129638671875,31,22,0.0641801506280899,301.14129638671875,2018-01-01,0,STANDARD,41,0.0
R_A4,1631.1873779296875,30,300.009033203125,1,1,0.05036125332117081,300.009033203125,2018-01-01,0,STANDARD,52,0.0
R_A4,1627.4293212890625,31,299.7571105957031,1,2,0.08347222208976746,299.7571105957031,2018-01-01,0,STANDARD,52,0.0
R_A4,1629.4896240234375,31,299.89520263671875,2,3,0.05255189538002014,299.89520263671875,2018-01-01,0,STANDARD,52,0.0
R_A4,1631.5498046875,31,300.0333251953125,3,4,0.05367308482527733,300.0333251953125,2018-01-01,0,STANDARD,52,0.0
R_A4,1633.610107421875,31,300.17144775390625,4,5,0.05652542784810066,300.17144775390625,2018-01-01,0,STANDARD,52,0.0
R_A4,1632.3968505859375,32,300.0901184082031,4,6,0.05670516937971115,300.0901184082031,2018-01-01,0,STANDARD,52,0.0
R_A4,1635.880615234375,32,300.3236999511719,4,7,0.06039223074913025,300.3236999511719,2018-01-01,0,STANDARD,51,0.0
R_A4,1637.321044921875,33,300.4202575683594,4,8,0.062218718230724335,300.4202575683594,2018-01-01,0,STANDARD,51,0.0
R_A4,1635.474609375,33,300.29644775390625,3,9,0.05870724841952324,300.29644775390625,2018-01-01,0,STANDARD,51,0.0
R_A4,1642.1485595703125,33,300.74395751953125,4,10,0.06312906742095947,300.74395751953125,2018-01-01,0,STANDARD,50,0.0
R_A4,1641.132080078125,34,300.67578125,4,11,0.06255592405796051,300.67578125,2018-01-01,0,STANDARD,50,0.0
R_A4,1639.20703125,34,300.5467224121094,3,12,0.1182539239525795,300.5467224121094,2018-01-01,0,STANDARD,50,0.0
R_A4,1640.9061279296875,35,300.66064453125,3,13,0.10039374977350235,300.66064453125,2018-01-01,0,STANDARD,50,0.0
R_A4,1639.0426025390625,35,300.53570556640625,2,14,0.18232817947864532,300.53570556640625,2018-01-01,0,STANDARD,50,0.0
R_A4,1641.93212890625,35,300.72943115234375,2,15,0.23937761783599854,300.72943115234375,2018-01-01,0,STANDARD,49,0.0
R_A4,1642.357421875,36,300.7579650878906,30,16,0.05827876925468445,300.7579650878906,2018-01-01,0,STANDARD,49,0.0
R_A4,1639.6068115234375,36,300.5735168457031,30,17,0.6481541991233826,300.5735168457031,2018-01-01,0,STANDARD,48,0.0
R_A4,1646.7513427734375,37,301.0526123046875,30,18,0.05980163440108299,301.0526123046875,2018-01-01,0,STANDARD,48,0.0
R_A4,1653.461669921875,38,301.5025939941406,30,19,0.10777666419744492,301.5025939941406,2018-01-01,0,STANDARD,48,0.0
R_A4,1657.8184814453125,38,301.7947998046875,30,20,0.07282351702451706,301.7947998046875,2018-01-01,0,STANDARD,47,0.0
R_A5,1685.026611328125,31,303.8440856933594,1,1,1.0,303.8440856933594,2018-01-01,0,STANDARD,20,0.0
R_A5,1687.3070068359375,31,304.0601806640625,2,2,1.0,304.0601806640625,2018-01-01,0,STANDARD,20,0.0
R_A5,1689.5875244140625,31,304.27630615234375,3,3,1.0,304.27630615234375,2018-01-01,0,STANDARD,20,0.0
R_A5,1691.8680419921875,31,304.4924011230469,4,4,1.0,304.4924011230469,2018-01-01,0,STANDARD,20,0.0
R_A5,1694.1485595703125,31,304.7085266113281,5,5,1.0,304.7085266113281,2018-01-01,0,STANDARD,20,0.0
R_A5,1696.4290771484375,31,304.9246520996094,6,6,1.0,304.9246520996094,2018-01-01,0,STANDARD,20,0.0
R_A5,1698.70947265625,31,305.446533203125,7,7,1.0,305.446533203125,2018-01-01,0,STANDARD,20,0.0
R_A5,1707.6488037109375,31,305.988037109375,11,8,1.0,305.988037109375,2018-01-01,0,STANDARD,20,0.0
R_A5,1709.5638427734375,31,306.1695251464844,12,9,1.0,306.1695251464844,2018-01-01,0,STANDARD,20,0.0
R_A5,1701.7845458984375,31,305.4322814941406,12,10,1.0,305.4322814941406,2018-01-01,0,STANDARD,21,0.0
R_A5,1703.735107421875,31,305.6291198730469,13,11,1.0,305.6291198730469,2018-01-01,0,STANDARD,21,0.0
R_A5,1705.6856689453125,31,305.81396484375,14,12,1.0,305.81396484375,2018-01-01,0,STANDARD,21,0.0
R_A5,1707.63623046875,31,305.9988098144531,15,13,1.0,305.9988098144531,2018-01-01,0,STANDARD,21,0.0
R_A5,1709.5867919921875,31,306.3287048339844,16,14,1.0,306.3287048339844,2018-01-01,0,STANDARD,21,0.0
R_A5,1711.537353515625,31,306.5135498046875,17,15,1.0,306.5135498046875,2018-01-01,0,STANDARD,21,0.0
R_A5,1713.35400390625,31,306.6856994628906,18,16,1.0,306.6856994628906,2018-01-01,0,STANDARD,21,0.0
R_A5,1714.3951416015625,31,306.7843933105469,19,17,1.0,306.7843933105469,2018-01-01,0,STANDARD,21,0.0
R_A5,1715.7628173828125,31,306.75689697265625,27,18,1.0,306.75689697265625,2018-01-01,0,STANDARD,21,0.0
