CONIDX,CONJPOS,CONBPRES,DATE,CONIPOS,DRAWDOWN,SGAS,CONKPOS,PRESSURE,WELLMODEL,SWAT,DEPTH,WELL
24,48,301.2840576171875,2018-01-01,38,0,0.0,29,301.2840576171875,STANDARD,0.07252873480319977,1651.9063720703125,R_A4
25,47,301.6406555175781,2018-01-01,38,0,0.0,29,301.6406555175781,STANDARD,0.08340664952993393,1657.2232666015625,R_A4
1,20,304.018310546875,2018-01-01,31,0,0.0,1,304.018310546875,STANDARD,1.0,1686.865234375,R_A5
2,20,304.2311096191406,2018-01-01,31,0,0.0,2,304.2311096191406,STANDARD,1.0,1689.1107177734375,R_A5
3,20,304.44390869140625,2018-01-01,31,0,0.0,3,304.44390869140625,STANDARD,1.0,1691.356201171875,R_A5
4,20,304.6567077636719,2018-01-01,31,0,0.0,4,304.6567077636719,STANDARD,1.0,1693.6015625,R_A5
5,20,304.8694763183594,2018-01-01,31,0,0.0,5,304.8694763183594,STANDARD,1.0,1695.8470458984375,R_A5
6,20,305.082275390625,2018-01-01,31,0,0.0,6,305.082275390625,STANDARD,1.0,1698.092529296875,R_A5
7,20,305.6008605957031,2018-01-01,31,0,0.0,7,305.6008605957031,STANDARD,1.0,1700.3380126953125,R_A5
8,21,305.1766662597656,2018-01-01,31,0,0.0,11,305.1766662597656,STANDARD,1.0,1699.0872802734375,R_A5
9,21,305.3580627441406,2018-01-01,31,0,0.0,12,305.3580627441406,STANDARD,1.0,1701.0013427734375,R_A5
10,21,305.5514221191406,2018-01-01,31,0,0.0,13,305.5514221191406,STANDARD,1.0,1702.9154052734375,R_A5
11,21,305.7328186035156,2018-01-01,31,0,0.0,14,305.7328186035156,STANDARD,1.0,1704.8294677734375,R_A5
12,21,305.9142150878906,2018-01-01,31,0,0.0,15,305.9142150878906,STANDARD,1.0,1706.743408203125,R_A5
13,21,306.2406311035156,2018-01-01,31,0,0.0,16,306.2406311035156,STANDARD,1.0,1708.657470703125,R_A5
14,21,306.4220275878906,2018-01-01,31,0,0.0,17,306.4220275878906,STANDARD,1.0,1710.571533203125,R_A5
15,21,306.5823059082031,2018-01-01,31,0,0.0,18,306.5823059082031,STANDARD,1.0,1712.2626953125,R_A5
16,21,306.6826477050781,2018-01-01,31,0,0.0,19,306.6826477050781,STANDARD,1.0,1713.321533203125,R_A5
17,21,306.6755065917969,2018-01-01,31,0,0.0,26,306.6755065917969,STANDARD,1.0,1714.90380859375,R_A5
18,21,306.8973693847656,2018-01-01,31,0,0.0,27,306.8973693847656,STANDARD,1.0,1717.2447509765625,R_A5
19,21,307.4250183105469,2018-01-01,31,0,0.0,28,307.4250183105469,STANDARD,1.0,1719.585693359375,R_A5
20,21,307.6468811035156,2018-01-01,31,0,0.0,29,307.6468811035156,STANDARD,1.0,1721.926513671875,R_A5
21,21,307.8687438964844,2018-01-01,31,0,0.0,30,307.8687438964844,STANDARD,1.0,1724.2674560546875,R_A5
1,42,305.0789794921875,2018-01-01,17,0,0.0,1,305.0789794921875,STANDARD,1.0,1694.8310546875,R_A6
2,42,305.224853515625,2018-01-01,17,0,0.0,2,305.224853515625,STANDARD,1.0,1696.370361328125,R_A6
3,42,305.3707580566406,2018-01-01,17,0,0.0,3,305.3707580566406,STANDARD,1.0,1697.90966796875,R_A6
4,42,305.5166320800781,2018-01-01,17,0,0.0,4,305.5166320800781,STANDARD,1.0,1699.4490966796875,R_A6
5,42,305.6625061035156,2018-01-01,17,0,0.0,5,305.6625061035156,STANDARD,1.0,1700.9884033203125,R_A6
6,42,305.8083801269531,2018-01-01,17,0,0.0,6,305.8083801269531,STANDARD,1.0,1702.5277099609375,R_A6
7,42,305.65521240234375,2018-01-01,17,0,0.0,7,305.65521240234375,STANDARD,1.0,1704.067138671875,R_A6
8,42,305.8011169433594,2018-01-01,17,0,0.0,8,305.8011169433594,STANDARD,1.0,1705.6064453125,R_A6
9,42,306.2460632324219,2018-01-01,17,0,0.0,9,306.2460632324219,STANDARD,1.0,1707.1458740234375,R_A6
10,42,306.3919372558594,2018-01-01,17,0,0.0,10,306.3919372558594,STANDARD,1.0,1708.6851806640625,R_A6
11,42,306.2635192871094,2018-01-01,17,0,0.0,11,306.2635192871094,STANDARD,1.0,1710.555419921875,R_A6
12,42,306.4721374511719,2018-01-01,17,0,0.0,12,306.4721374511719,STANDARD,1.0,1712.7567138671875,R_A6
13,42,306.6927185058594,2018-01-01,17,0,0.0,13,306.6927185058594,STANDARD,1.0,1714.9578857421875,R_A6
14,42,306.90130615234375,2018-01-01,17,0,0.0,14,306.90130615234375,STANDARD,1.0,1717.158935546875,R_A6
15,42,307.1099548339844,2018-01-01,17,0,0.0,15,307.1099548339844,STANDARD,1.0,1719.3602294921875,R_A6
16,42,307.4635925292969,2018-01-01,17,0,0.0,16,307.4635925292969,STANDARD,1.0,1721.5614013671875,R_A6
17,42,307.6722106933594,2018-01-01,17,0,0.0,17,307.6722106933594,STANDARD,1.0,1723.7625732421875,R_A6
18,42,307.8457336425781,2018-01-01,17,0,0.0,18,307.8457336425781,STANDARD,1.0,1725.593505859375,R_A6
19,42,307.8389892578125,2018-01-01,17,0,0.0,26,307.8389892578125,STANDARD,1.0,1727.1800537109375,R_A6
20,42,308.30706787109375,2018-01-01,17,0,0.0,27,308.30706787109375,STANDARD,1.0,1728.892333984375,R_A6
21,42,308.4693603515625,2018-01-01,17,0,0.0,28,308.4693603515625,STANDARD,1.0,1730.6044921875,R_A6
22,42,308.63165283203125,2018-01-01,17,0,0.0,29,308.63165283203125,STANDARD,1.0,1732.3167724609375,R_A6
23,42,308.4881286621094,2018-01-01,17,0,0.0,30,308.4881286621094,STANDARD,1.0,1734.029052734375,R_A6
1,30,298.0848693847656,2018-03-01,22,0,0.0,1,298.0848693847656,STANDARD,0.05688170716166496,1638.762451171875,R_A2
2,30,298.1964416503906,2018-03-01,22,0,0.0,2,298.1964416503906,STANDARD,0.06038234382867813,1640.4273681640625,R_A2
3,30,298.3080139160156,2018-03-01,22,0,0.0,3,298.3080139160156,STANDARD,0.06362233310937881,1642.0924072265625,R_A2
4,30,298.41961669921875,2018-03-01,22,0,0.0,4,298.41961669921875,STANDARD,0.06871938705444336,1643.7574462890625,R_A2
5,30,298.53118896484375,2018-03-01,22,0,0.0,5,298.53118896484375,STANDARD,0.0707370787858963,1645.42236328125,R_A2
6,30,298.6501159667969,2018-03-01,22,0,0.0,6,298.6501159667969,STANDARD,0.6487089395523071,1647.08740234375,R_A2
7,30,298.77154541015625,2018-03-01,22,0,0.0,7,298.77154541015625,STANDARD,0.8988728523254395,1648.7523193359375,R_A2
8,30,298.8856506347656,2018-03-01,22,0,0.0,8,298.8856506347656,STANDARD,0.882125198841095,1650.4173583984375,R_A2
9,30,299.0674743652344,2018-03-01,22,0,0.0,9,299.0674743652344,STANDARD,0.9166948199272156,1652.082275390625,R_A2
10,30,299.2813720703125,2018-03-01,22,0,0.0,10,299.2813720703125,STANDARD,0.91409832239151,1653.747314453125,R_A2
11,30,299.1257019042969,2018-03-01,22,0,0.0,11,299.1257019042969,STANDARD,0.08179017901420593,1655.564208984375,R_A2
12,30,299.304443359375,2018-03-01,22,0,0.0,12,299.304443359375,STANDARD,0.17308583855628967,1657.532958984375,R_A2
13,30,299.4554138183594,2018-03-01,22,0,0.0,13,299.4554138183594,STANDARD,0.46969354152679443,1659.5015869140625,R_A2
14,30,299.5877380371094,2018-03-01,22,0,0.0,14,299.5877380371094,STANDARD,0.5317475199699402,1661.4703369140625,R_A2
15,30,299.7177429199219,2018-03-01,22,0,0.0,15,299.7177429199219,STANDARD,0.9554190039634705,1663.43896484375,R_A2
16,30,299.848876953125,2018-03-01,22,0,0.0,16,299.848876953125,STANDARD,0.9615433216094971,1665.40771484375,R_A2
17,29,300.3076171875,2018-03-01,22,0,-2.851852753948947e-09,16,300.3076171875,STANDARD,0.9999999403953552,1674.9981689453125,R_A2
18,29,300.5018615722656,2018-03-01,22,0,-5.050812657003689e-09,17,300.5018615722656,STANDARD,0.9999999403953552,1677.0517578125,R_A2
19,29,300.6664733886719,2018-03-01,22,0,-4.052832736078926e-09,18,300.6664733886719,STANDARD,0.9999999403953552,1678.791015625,R_A2
20,29,301.7544250488281,2018-03-01,22,0,-3.61673115840456e-16,26,301.7544250488281,STANDARD,1.0,1680.3677978515625,R_A2
21,29,302.2341613769531,2018-03-01,22,0,-9.924464682063453e-17,27,302.2341613769531,STANDARD,1.0,1682.0740966796875,R_A2
22,29,302.9046325683594,2018-03-01,22,0,-7.571891386121595e-18,28,302.9046325683594,STANDARD,1.0,1683.7803955078125,R_A2
23,29,303.2313537597656,2018-03-01,22,0,-1.438761561527784e-18,29,303.2313537597656,STANDARD,1.0,1685.4866943359375,R_A2
24,29,302.8699645996094,2018-03-01,22,0,-1.9587624497546507e-18,30,302.8699645996094,STANDARD,1.0,1687.19287109375,R_A2
1,20,281.3744201660156,2018-04-28,31,0,2.5659479424046394e-13,1,281.3744201660156,STANDARD,1.0,1686.865234375,R_A5
2,20,281.5870361328125,2018-04-28,31,0,2.569172088615068e-13,2,281.5870361328125,STANDARD,1.0,1689.1107177734375,R_A5
3,20,281.7996520996094,2018-04-28,31,0,2.4757496400185097e-13,3,281.7996520996094,STANDARD,1.0,1691.356201171875,R_A5
4,20,282.0121154785156,2018-04-28,31,0,2.0737704359719694e-13,4,282.0121154785156,STANDARD,1.0,1693.6015625,R_A5
5,20,282.2247619628906,2018-04-28,31,0,2.3112783388568037e-13,5,282.2247619628906,STANDARD,1.0,1695.8470458984375,R_A5
