CONIDX,CONKPOS,WELLMODEL,CONIPOS,WELL,SWAT,PRESSURE,SGAS,DATE,CONJPOS,DEPTH,CONBPRES,DRAWDOWN
7,4,STANDARD,32,R_A4,0.059060242027044296,300.3236999511719,0.0,2018-01-01,51,1635.880615234375,300.3236999511719,0
8,4,STANDARD,33,R_A4,0.0928310677409172,300.4202575683594,0.0,2018-01-01,51,1637.321044921875,300.4202575683594,0
9,3,STANDARD,33,R_A4,0.1678450107574463,300.29644775390625,0.0,2018-01-01,51,1635.474609375,300.29644775390625,0
10,4,STANDARD,33,R_A4,0.18907098472118378,300.74395751953125,0.0,2018-01-01,50,1642.1485595703125,300.74395751953125,0
11,4,STANDARD,34,R_A4,0.16031335294246674,300.67578125,0.0,2018-01-01,50,1641.132080078125,300.67578125,0
12,3,STANDARD,34,R_A4,0.25342857837677,300.5467224121094,0.0,2018-01-01,50,1639.20703125,300.5467224121094,0
13,3,STANDARD,35,R_A4,0.16939347982406616,300.66064453125,0.0,2018-01-01,50,1640.9061279296875,300.66064453125,0
14,2,STANDARD,35,R_A4,0.23071172833442688,300.53570556640625,0.0,2018-01-01,50,1639.0426025390625,300.53570556640625,0
15,2,STANDARD,35,R_A4,0.23815256357192993,300.72943115234375,0.0,2018-01-01,49,1641.93212890625,300.72943115234375,0
16,30,STANDARD,36,R_A4,0.8387154340744019,300.7579650878906,0.0,2018-01-01,49,1642.357421875,300.7579650878906,0
17,30,STANDARD,36,R_A4,0.6481541991233826,300.5735168457031,0.0,2018-01-01,48,1639.6068115234375,300.5735168457031,0
18,30,STANDARD,37,R_A4,0.8328254222869873,301.0526123046875,0.0,2018-01-01,48,1646.7513427734375,301.0526123046875,0
19,30,STANDARD,38,R_A4,0.6481541991233826,301.5025939941406,0.0,2018-01-01,48,1653.461669921875,301.5025939941406,0
20,30,STANDARD,38,R_A4,0.8453923463821411,301.7947998046875,0.0,2018-01-01,47,1657.8184814453125,301.7947998046875,0
1,1,STANDARD,31,R_A5,1.0,303.8440856933594,0.0,2018-01-01,20,1685.026611328125,303.8440856933594,0
2,2,STANDARD,31,R_A5,1.0,304.0601806640625,0.0,2018-01-01,20,1687.3070068359375,304.0601806640625,0
3,3,STANDARD,31,R_A5,1.0,304.27630615234375,0.0,2018-01-01,20,1689.5875244140625,304.27630615234375,0
4,4,STANDARD,31,R_A5,1.0,304.4924011230469,0.0,2018-01-01,20,1691.8680419921875,304.4924011230469,0
5,5,STANDARD,31,R_A5,1.0,304.7085266113281,0.0,2018-01-01,20,1694.1485595703125,304.7085266113281,0
6,6,STANDARD,31,R_A5,1.0,304.9246520996094,0.0,2018-01-01,20,1696.4290771484375,304.9246520996094,0
7,7,STANDARD,31,R_A5,1.0,305.446533203125,0.0,2018-01-01,20,1698.70947265625,305.446533203125,0
8,11,STANDARD,31,R_A5,1.0,305.988037109375,0.0,2018-01-01,20,1707.6488037109375,305.988037109375,0
