DATE,SWAT,CONIPOS,WELLMODEL,CONKPOS,CONIDX,PRESSURE,CONBPRES,CONJPOS,SGAS,DEPTH,WELL,DRAWDOWN
2018-01-01,0.29739540815353394,35,STANDARD,3,17,300.83697509765625,300.83697509765625,49,0.0,1643.3831787109375,R_A4,0
2018-01-01,0.23647110164165497,35,STANDARD,2,18,300.7043151855469,300.7043151855469,49,0.0,1641.4046630859375,R_A4,0
2018-01-01,0.6942225694656372,36,STANDARD,31,19,300.8552551269531,300.8552551269531,49,0.0,1643.65576171875,R_A4,0
2018-01-01,0.3301205039024353,36,STANDARD,31,20,300.7318420410156,300.7318420410156,48,0.0,1641.8155517578125,R_A4,0
2018-01-01,0.6481541991233826,37,STANDARD,31,21,301.39154052734375,301.39154052734375,48,0.0,1651.6529541015625,R_A4,0
2018-01-01,0.8341333866119385,37,STANDARD,30,22,301.02447509765625,301.02447509765625,48,0.0,1646.17919921875,R_A4,0
2018-01-01,1.0,38,STANDARD,30,23,301.6897888183594,301.6897888183594,48,0.0,1656.10009765625,R_A4,0
2018-01-01,0.6481541991233826,38,STANDARD,29,24,301.31072998046875,301.31072998046875,48,0.0,1650.4481201171875,R_A4,0
2018-01-01,0.6481541991233826,38,STANDARD,29,25,301.8213195800781,301.8213195800781,47,0.0,1658.061279296875,R_A4,0
2018-01-01,1.0,31,STANDARD,1,1,303.85028076171875,303.85028076171875,20,0.0,1685.091796875,R_A5,0
2018-01-01,1.0,31,STANDARD,2,2,304.07537841796875,304.07537841796875,20,0.0,1687.4671630859375,R_A5,0
2018-01-01,1.0,31,STANDARD,3,3,304.30047607421875,304.30047607421875,20,0.0,1689.842529296875,R_A5,0
2018-01-01,1.0,31,STANDARD,4,4,304.52557373046875,304.52557373046875,20,0.0,1692.218017578125,R_A5,0
2018-01-01,1.0,31,STANDARD,5,5,304.75067138671875,304.75067138671875,20,0.0,1694.5933837890625,R_A5,0
2018-01-01,1.0,31,STANDARD,6,6,304.97576904296875,304.97576904296875,20,0.0,1696.96875,R_A5,0
2018-01-01,1.0,31,STANDARD,7,7,305.5066833496094,305.5066833496094,20,0.0,1699.343994140625,R_A5,0
2018-01-01,1.0,31,STANDARD,11,8,306.0794677734375,306.0794677734375,20,0.0,1708.613525390625,R_A5,0
2018-01-01,1.0,31,STANDARD,12,9,306.2606201171875,306.2606201171875,20,0.0,1710.52490234375,R_A5,0
2018-01-01,1.0,31,STANDARD,13,10,306.4537353515625,306.4537353515625,20,0.0,1712.436279296875,R_A5,0
2018-01-01,1.0,31,STANDARD,14,11,306.6348876953125,306.6348876953125,20,0.0,1714.34765625,R_A5,0
2018-01-01,1.0,31,STANDARD,15,12,306.8160400390625,306.8160400390625,20,0.0,1716.259033203125,R_A5,0
2018-01-01,1.0,31,STANDARD,15,13,306.0848693847656,306.0848693847656,21,0.0,1708.5440673828125,R_A5,0
2018-01-01,1.0,31,STANDARD,16,14,306.3918762207031,306.3918762207031,21,0.0,1710.2535400390625,R_A5,0
2018-01-01,1.0,31,STANDARD,17,15,306.55291748046875,306.55291748046875,21,0.0,1711.952880859375,R_A5,0
2018-01-01,1.0,31,STANDARD,18,16,306.6835632324219,306.6835632324219,21,0.0,1713.331298828125,R_A5,0
2018-01-01,1.0,31,STANDARD,19,17,306.75604248046875,306.75604248046875,21,0.0,1714.0960693359375,R_A5,0
2018-01-01,1.0,31,STANDARD,28,18,306.7320556640625,306.7320556640625,21,0.0,1715.50048828125,R_A5,0
2018-01-01,1.0,31,STANDARD,29,19,306.9461975097656,306.9461975097656,21,0.0,1717.7601318359375,R_A5,0
2018-01-01,1.0,31,STANDARD,30,20,307.1603698730469,307.1603698730469,21,0.0,1720.0198974609375,R_A5,0
2018-01-01,1.0,31,STANDARD,31,21,307.6803283691406,307.6803283691406,21,0.0,1722.2796630859375,R_A5,0
2018-01-01,1.0,31,STANDARD,32,22,307.8945007324219,307.8945007324219,21,0.0,1724.5394287109375,R_A5,0
2018-01-01,1.0,17,STANDARD,1,1,305.1361389160156,305.1361389160156,42,0.0,1695.43408203125,R_A6,0
2018-01-01,1.0,17,STANDARD,2,2,305.2834777832031,305.2834777832031,42,0.0,1696.9888916015625,R_A6,0
2018-01-01,1.0,17,STANDARD,3,3,305.4308166503906,305.4308166503906,42,0.0,1698.543701171875,R_A6,0
2018-01-01,1.0,17,STANDARD,4,4,305.5781555175781,305.5781555175781,42,0.0,1700.098388671875,R_A6,0
