CONJPOS,CONIPOS,CONBPRES,SGAS,CONIDX,CONKPOS,PRESSURE,DRAWDOWN,DEPTH,SWAT,DATE,WELLMODEL,WELL
30,22,299.34771728515625,0.0,2,2,299.34771728515625,0,1642.6273193359375,0.05575069785118103,2018-03-01,STANDARD,R_A2
30,22,299.46624755859375,0.0,3,3,299.46624755859375,0,1644.3963623046875,0.05924982205033302,2018-03-01,STANDARD,R_A2
30,22,299.5848083496094,0.0,4,4,299.5848083496094,0,1646.165283203125,0.06411147117614746,2018-03-01,STANDARD,R_A2
30,22,299.703369140625,0.0,5,5,299.703369140625,0,1647.9342041015625,0.06639593094587326,2018-03-01,STANDARD,R_A2
30,22,299.8089294433594,0.0,6,6,299.8089294433594,0,1649.703125,0.6485737562179565,2018-03-01,STANDARD,R_A2
30,22,299.9399719238281,0.0,7,7,299.9399719238281,0,1651.471923828125,0.8773489594459534,2018-03-01,STANDARD,R_A2
30,22,300.0668029785156,0.0,8,8,300.0668029785156,0,1653.240966796875,0.8561754822731018,2018-03-01,STANDARD,R_A2
30,22,300.4302673339844,0.0,9,9,300.4302673339844,0,1655.0098876953125,0.8884451389312744,2018-03-01,STANDARD,R_A2
30,22,300.6553955078125,0.0,10,10,300.6553955078125,0,1656.77880859375,0.8922067284584045,2018-03-01,STANDARD,R_A2
30,22,300.3094482421875,0.0,11,11,300.3094482421875,0,1658.6749267578125,0.06765138357877731,2018-03-01,STANDARD,R_A2
30,22,300.4468688964844,0.0,12,12,300.4468688964844,0,1660.6983642578125,0.07100497931241989,2018-03-01,STANDARD,R_A2
30,22,300.6085510253906,0.0,13,13,300.6085510253906,0,1662.7218017578125,0.43151023983955383,2018-03-01,STANDARD,R_A2
30,22,300.7450866699219,0.0,14,14,300.7450866699219,0,1664.7452392578125,0.47217509150505066,2018-03-01,STANDARD,R_A2
30,22,300.8843688964844,0.0,15,15,300.8843688964844,0,1666.7686767578125,0.8974575996398926,2018-03-01,STANDARD,R_A2
30,22,301.02178955078125,0.0,16,16,301.02178955078125,0,1668.7921142578125,0.9204114675521851,2018-03-01,STANDARD,R_A2
30,22,301.1588439941406,0.0,17,17,301.1588439941406,0,1670.8155517578125,0.870409369468689,2018-03-01,STANDARD,R_A2
29,22,301.4173889160156,0.0,18,17,301.4173889160156,0,1675.78759765625,0.9620136618614197,2018-03-01,STANDARD,R_A2
29,22,301.5442810058594,0.0,19,18,301.5442810058594,0,1677.67724609375,0.9843478798866272,2018-03-01,STANDARD,R_A2
29,22,303.2138366699219,-3.90639430525308e-12,20,25,303.2138366699219,0,1679.4005126953125,1.0,2018-03-01,STANDARD,R_A2
29,22,303.23687744140625,1.9739573440169435e-15,21,26,303.23687744140625,0,1681.080078125,1.0,2018-03-01,STANDARD,R_A2
29,22,303.4206848144531,4.989763519090782e-15,22,27,303.4206848144531,0,1682.759765625,1.0,2018-03-01,STANDARD,R_A2
29,22,302.99334716796875,1.094411158919506e-10,23,28,302.99334716796875,0,1684.439453125,1.0,2018-03-01,STANDARD,R_A2
29,22,303.0740966796875,5.292065807793733e-08,24,29,303.0740966796875,0,1686.1190185546875,1.0000005960464478,2018-03-01,STANDARD,R_A2
20,31,282.990966796875,-2.1201954081284669e-10,1,1,282.990966796875,0,1683.7542724609375,1.0,2018-04-28,STANDARD,R_A5
20,31,283.1771240234375,-2.954320676984423e-10,2,2,283.1771240234375,0,1685.72314453125,1.0,2018-04-28,STANDARD,R_A5
20,31,283.3639221191406,-2.8813398889049324e-10,3,3,283.3639221191406,0,1687.692138671875,1.0,2018-04-28,STANDARD,R_A5
20,31,283.5513610839844,-3.150240901472756e-10,4,4,283.5513610839844,0,1689.6610107421875,1.0,2018-04-28,STANDARD,R_A5
20,31,283.7383117675781,-2.705557167193007e-10,5,5,283.7383117675781,0,1691.6300048828125,1.0,2018-04-28,STANDARD,R_A5
20,31,283.92425537109375,-2.8129723550485153e-10,6,6,283.92425537109375,0,1693.598876953125,1.0,2018-04-28,STANDARD,R_A5
20,31,284.4915771484375,-7.930003875777913e-11,7,7,284.4915771484375,0,1695.56787109375,1.0,2018-04-28,STANDARD,R_A5
20,31,284.757568359375,-6.935062333429665e-13,8,8,284.757568359375,0,1697.5367431640625,1.0,2018-04-28,STANDARD,R_A5
21,31,284.0316467285156,-2.271315080459857e-12,9,8,284.0316467285156,0,1695.99462890625,1.0,2018-04-28,STANDARD,R_A5
21,31,284.8831481933594,-2.810249645837648e-12,10,9,284.8831481933594,0,1698.29052734375,1.0,2018-04-28,STANDARD,R_A5
21,31,274.5397644042969,-1.8983822760304525e-12,11,11,274.5397644042969,0,1702.729248046875,1.0,2018-04-28,STANDARD,R_A5
21,31,274.70538330078125,-3.3732565352107002e-12,12,12,274.70538330078125,0,1704.718994140625,1.0,2018-04-28,STANDARD,R_A5
21,31,274.910400390625,-1.5845696066038584e-13,13,13,274.910400390625,0,1706.7086181640625,1.0,2018-04-28,STANDARD,R_A5
21,31,275.12420654296875,-1.037647311824541e-11,14,14,275.12420654296875,0,1708.6983642578125,1.0,2018-04-28,STANDARD,R_A5
21,31,275.33642578125,-2.023841857989872e-11,15,15,275.33642578125,0,1710.6881103515625,1.0,2018-04-28,STANDARD,R_A5
21,31,275.6958312988281,-3.37889221810328e-12,16,16,275.6958312988281,0,1712.6778564453125,1.0,2018-04-28,STANDARD,R_A5
21,31,275.8898620605469,-4.341155039611078e-12,17,17,275.8898620605469,0,1714.504150390625,1.0,2018-04-28,STANDARD,R_A5
21,31,275.9986877441406,0.0,18,18,275.9986877441406,0,1715.629638671875,1.0,2018-04-28,STANDARD,R_A5
21,31,276.0380554199219,0.0,19,19,276.0380554199219,0,1716.0382080078125,1.0,2018-04-28,STANDARD,R_A5
21,31,282.9124755859375,-1.3174829283091327e-10,20,25,282.9124755859375,0,1717.190673828125,1.0,2018-04-28,STANDARD,R_A5
21,31,283.12884521484375,-8.810703555628407e-11,21,26,283.12884521484375,0,1719.266845703125,1.0,2018-04-28,STANDARD,R_A5
21,31,287.942626953125,-1.0823679821952294e-17,22,27,287.942626953125,0,1721.3431396484375,1.0,2018-04-28,STANDARD,R_A5
21,31,283.9096984863281,-2.3301407678366637e-11,23,28,283.9096984863281,0,1723.4193115234375,1.0,2018-04-28,STANDARD,R_A5
21,31,285.3043518066406,-4.887584005678307e-18,24,29,285.3043518066406,0,1725.49560546875,1.0,2018-04-28,STANDARD,R_A5
41,28,282.7858581542969,0.0,1,1,282.7858581542969,0,1610.7904052734375,0.6491666436195374,2018-07-03,STANDARD,R_A3
