SGAS,SWAT,CONJPOS,DEPTH,CONBPRES,CONIPOS,DRAWDOWN,PRESSURE,CONIDX,CONKPOS,DATE,WELLMODEL,WELL
0.0,1.0,21,1720.5748291015625,307.5187683105469,31,0,307.5187683105469,20,28,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1722.8837890625,307.73760986328125,31,0,307.73760986328125,21,29,2018-01-01,STANDARD,R_A5
0.0,1.0,21,1725.19287109375,307.9564514160156,31,0,307.9564514160156,22,30,2018-01-01,STANDARD,R_A5
0.0,1.0,42,1694.4482421875,305.042724609375,17,0,305.042724609375,1,1,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1695.983642578125,305.188232421875,17,0,305.188232421875,2,2,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1697.51904296875,305.333740234375,17,0,305.333740234375,3,3,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1699.0545654296875,305.479248046875,17,0,305.479248046875,4,4,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1700.5899658203125,305.624755859375,17,0,305.624755859375,5,5,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1702.12548828125,305.770263671875,17,0,305.770263671875,6,6,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1703.6607666015625,305.6167297363281,17,0,305.6167297363281,7,7,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1705.1961669921875,305.7622375488281,17,0,305.7622375488281,8,8,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1706.731689453125,306.206787109375,17,0,306.206787109375,9,9,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1708.26708984375,306.0465087890625,17,0,306.0465087890625,10,10,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1710.2138671875,306.23114013671875,17,0,306.23114013671875,11,11,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1712.572265625,306.45465087890625,17,0,306.45465087890625,12,12,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1714.9305419921875,306.69012451171875,17,0,306.69012451171875,13,13,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1717.288818359375,306.91363525390625,17,0,306.91363525390625,14,14,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1719.647216796875,307.13714599609375,17,0,307.13714599609375,15,15,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1722.005615234375,307.50567626953125,17,0,307.50567626953125,16,16,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1724.343994140625,307.727294921875,17,0,307.727294921875,17,17,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1725.677490234375,307.85369873046875,17,0,307.85369873046875,18,18,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1726.7059326171875,307.7940673828125,17,0,307.7940673828125,19,26,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1728.4141845703125,308.2617492675781,17,0,308.2617492675781,20,27,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1730.1224365234375,308.4236755371094,17,0,308.4236755371094,21,28,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1731.830810546875,308.5855712890625,17,0,308.5855712890625,22,29,2018-01-01,STANDARD,R_A6
0.0,1.0,42,1733.5389404296875,308.4416809082031,17,0,308.4416809082031,23,30,2018-01-01,STANDARD,R_A6
0.0,0.052111588418483734,30,1639.90478515625,297.8446960449219,22,0,297.8446960449219,1,1,2018-03-01,STANDARD,R_A2
0.0,0.054776910692453384,30,1641.68603515625,297.9640808105469,22,0,297.9640808105469,2,2,2018-03-01,STANDARD,R_A2
0.0,0.057475849986076355,30,1643.46728515625,298.0835266113281,22,0,298.0835266113281,3,3,2018-03-01,STANDARD,R_A2
0.0,0.08400201797485352,30,1645.2486572265625,298.2030944824219,22,0,298.2030944824219,4,4,2018-03-01,STANDARD,R_A2
0.0,0.08704249560832977,30,1647.0299072265625,298.32257080078125,22,0,298.32257080078125,5,5,2018-03-01,STANDARD,R_A2
0.0,0.30003291368484497,30,1648.811279296875,298.51751708984375,22,0,298.51751708984375,6,6,2018-03-01,STANDARD,R_A2
0.0,0.8692490458488464,30,1650.592529296875,298.64874267578125,22,0,298.64874267578125,7,7,2018-03-01,STANDARD,R_A2
0.0,0.8661667108535767,30,1652.3739013671875,298.7769470214844,22,0,298.7769470214844,8,8,2018-03-01,STANDARD,R_A2
0.0,0.8918377757072449,30,1654.1551513671875,299.109619140625,22,0,299.109619140625,9,9,2018-03-01,STANDARD,R_A2
0.0,0.8878215551376343,30,1655.9364013671875,299.46099853515625,22,0,299.46099853515625,10,10,2018-03-01,STANDARD,R_A2
0.0,0.06782261282205582,30,1657.834716796875,299.37811279296875,22,0,299.37811279296875,11,11,2018-03-01,STANDARD,R_A2
0.0,0.126118004322052,30,1659.85009765625,299.5132141113281,22,0,299.5132141113281,12,12,2018-03-01,STANDARD,R_A2
0.0,0.42033225297927856,30,1661.8653564453125,299.6487731933594,22,0,299.6487731933594,13,13,2018-03-01,STANDARD,R_A2
0.0,0.46056193113327026,30,1663.8807373046875,299.78497314453125,22,0,299.78497314453125,14,14,2018-03-01,STANDARD,R_A2
0.0,0.9002367258071899,30,1665.89599609375,299.9270935058594,22,0,299.9270935058594,15,15,2018-03-01,STANDARD,R_A2
0.0,0.9079704880714417,30,1667.911376953125,300.0660705566406,22,0,300.0660705566406,16,16,2018-03-01,STANDARD,R_A2
0.0,0.863491415977478,30,1669.9266357421875,300.2036437988281,22,0,300.2036437988281,17,17,2018-03-01,STANDARD,R_A2
0.0,0.9220349192619324,29,1672.4818115234375,300.25726318359375,22,0,300.25726318359375,18,17,2018-03-01,STANDARD,R_A2
0.0,0.9646219611167908,29,1674.3243408203125,300.3809509277344,22,0,300.3809509277344,19,18,2018-03-01,STANDARD,R_A2
0.0,0.7632306814193726,29,1675.9716796875,302.9929504394531,22,0,302.9929504394531,20,26,2018-03-01,STANDARD,R_A2
-5.054818075223011e-08,0.999999463558197,29,1677.740234375,302.9610290527344,22,0,302.9610290527344,21,27,2018-03-01,STANDARD,R_A2
1.1156075114268985e-13,1.0,29,1679.5089111328125,302.83984375,22,0,302.83984375,22,28,2018-03-01,STANDARD,R_A2
1.9714100144008206e-12,1.0,29,1681.277587890625,302.5665588378906,22,0,302.5665588378906,23,29,2018-03-01,STANDARD,R_A2
2.475213705110946e-07,1.0000003576278687,29,1683.046142578125,301.95794677734375,22,0,301.95794677734375,24,30,2018-03-01,STANDARD,R_A2
3.6305258799274043e-10,1.0,20,1685.672607421875,277.3997497558594,31,0,277.3997497558594,1,1,2018-04-28,STANDARD,R_A5
4.5587603136887367e-10,1.0,20,1687.9691162109375,277.6172790527344,31,0,277.6172790527344,2,2,2018-04-28,STANDARD,R_A5
4.2779293996098033e-10,1.0,20,1690.265625,277.83477783203125,31,0,277.83477783203125,3,3,2018-04-28,STANDARD,R_A5
4.4673392762817343e-10,1.0,20,1692.5621337890625,278.0522155761719,31,0,278.0522155761719,4,4,2018-04-28,STANDARD,R_A5
4.206320292077237e-10,1.0,20,1694.858642578125,278.2695617675781,31,0,278.2695617675781,5,5,2018-04-28,STANDARD,R_A5
2.9221633446319117e-10,1.0,20,1697.155029296875,278.48681640625,31,0,278.48681640625,6,6,2018-04-28,STANDARD,R_A5
1.8223129168853935e-12,1.0,20,1699.4515380859375,278.9593200683594,31,0,278.9593200683594,7,7,2018-04-28,STANDARD,R_A5
0.0,1.0,20,1701.748046875,280.8739318847656,31,0,280.8739318847656,8,8,2018-04-28,STANDARD,R_A5
-4.056992519707592e-10,1.0,21,1700.419189453125,277.7922668457031,31,0,277.7922668457031,9,11,2018-04-28,STANDARD,R_A5
