SGAS,DEPTH,CONIDX,CONJPOS,CONBPRES,CONKPOS,PRESSURE,WELL,CONIPOS,WELLMODEL,DATE,SWAT,DRAWDOWN
0.0,1693.10400390625,5,20,304.6095275878906,5,304.6095275878906,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1695.270263671875,6,20,304.8148193359375,6,304.8148193359375,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1697.4364013671875,7,20,305.3258972167969,7,305.3258972167969,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1699.6025390625,8,20,305.53118896484375,8,305.53118896484375,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1701.768798828125,9,20,305.7364501953125,9,305.7364501953125,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1701.1396484375,10,21,305.3711853027344,11,305.3711853027344,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1703.1234130859375,11,21,305.5591735839844,12,305.5591735839844,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1705.107177734375,12,21,305.7591552734375,13,305.7591552734375,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1707.0909423828125,13,21,305.9471435546875,14,305.9471435546875,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1709.07470703125,14,21,306.1351623535156,15,306.1351623535156,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1711.0584716796875,15,21,306.4681701660156,16,306.4681701660156,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1713.042236328125,16,21,306.65618896484375,17,306.65618896484375,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1714.620849609375,17,21,306.8057861328125,18,306.8057861328125,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1715.3211669921875,18,21,306.8721618652344,19,306.8721618652344,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1716.5574951171875,19,21,306.83221435546875,26,306.83221435546875,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1718.8031005859375,20,21,307.0450439453125,27,307.0450439453125,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1721.048583984375,21,21,307.56365966796875,28,307.56365966796875,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1723.294189453125,22,21,307.7764892578125,29,307.7764892578125,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1725.539794921875,23,21,307.98931884765625,30,307.98931884765625,R_A5,31,STANDARD,2018-01-01,1.0,0
0.0,1695.245849609375,1,42,305.1182861328125,1,305.1182861328125,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1696.796630859375,2,42,305.2652587890625,2,305.2652587890625,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1698.3475341796875,3,42,305.4122314453125,3,305.4122314453125,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1699.8983154296875,4,42,305.5592041015625,4,305.5592041015625,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1701.44921875,5,42,305.7061767578125,5,305.7061767578125,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1703.0001220703125,6,42,305.8531494140625,6,305.8531494140625,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1704.5509033203125,7,42,305.7010803222656,7,305.7010803222656,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1706.101806640625,8,42,305.8480529785156,8,305.8480529785156,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1707.652587890625,9,42,306.2940673828125,9,306.2940673828125,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1709.203369140625,10,42,306.13525390625,10,306.13525390625,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1711.118408203125,11,42,306.3168640136719,11,306.3168640136719,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1713.3973388671875,12,42,306.5328369140625,12,306.5328369140625,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1715.67626953125,13,42,306.76080322265625,13,306.76080322265625,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1717.955322265625,14,42,306.976806640625,14,306.976806640625,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1720.2342529296875,15,42,307.1927795410156,15,307.1927795410156,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1722.5133056640625,16,42,307.5538024902344,16,307.5538024902344,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1724.792236328125,17,42,307.769775390625,17,307.769775390625,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1726.4559326171875,18,42,307.9274597167969,18,307.9274597167969,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1727.8448486328125,19,42,307.9020080566406,26,307.9020080566406,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1729.5740966796875,20,42,308.3717041015625,27,308.3717041015625,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1731.3033447265625,21,42,308.53558349609375,28,308.53558349609375,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1733.0325927734375,22,42,308.6994934082031,29,308.6994934082031,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1734.7618408203125,23,42,308.5575866699219,30,308.5575866699219,R_A6,17,STANDARD,2018-01-01,1.0,0
0.0,1640.088134765625,1,30,298.62139892578125,1,298.62139892578125,R_A2,22,STANDARD,2018-03-01,0.05316977575421333,0
0.0,1641.8936767578125,2,30,298.7424011230469,2,298.7424011230469,R_A2,22,STANDARD,2018-03-01,0.055630266666412354,0
0.0,1643.69921875,3,30,298.8634338378906,3,298.8634338378906,R_A2,22,STANDARD,2018-03-01,0.057682137936353683,0
0.0,1645.5047607421875,4,30,298.98443603515625,4,298.98443603515625,R_A2,22,STANDARD,2018-03-01,0.07706133276224136,0
0.0,1647.3104248046875,5,30,299.10540771484375,5,299.10540771484375,R_A2,22,STANDARD,2018-03-01,0.06569869816303253,0
0.0,1649.115966796875,6,30,299.2204284667969,6,299.2204284667969,R_A2,22,STANDARD,2018-03-01,0.3053964674472809,0
0.0,1650.9215087890625,7,30,299.30224609375,7,299.30224609375,R_A2,22,STANDARD,2018-03-01,0.869716465473175,0
0.0,1652.72705078125,8,30,299.3982238769531,8,299.3982238769531,R_A2,22,STANDARD,2018-03-01,0.8540340662002563,0
0.0,1654.5325927734375,9,30,299.4710693359375,9,299.4710693359375,R_A2,22,STANDARD,2018-03-01,0.6504833102226257,0
0.0,1656.338134765625,10,30,299.6165771484375,10,299.6165771484375,R_A2,22,STANDARD,2018-03-01,0.1928054243326187,0
0.0,1658.3231201171875,11,30,299.7292785644531,11,299.7292785644531,R_A2,22,STANDARD,2018-03-01,0.06865619868040085,0
0.0,1660.4873046875,12,30,299.8731689453125,12,299.8731689453125,R_A2,22,STANDARD,2018-03-01,0.07368898391723633,0
0.0,1662.651611328125,13,30,300.0600891113281,13,300.0600891113281,R_A2,22,STANDARD,2018-03-01,0.4285464584827423,0
0.0,1664.81591796875,14,30,300.2065734863281,14,300.2065734863281,R_A2,22,STANDARD,2018-03-01,0.47298458218574524,0
0.0,1666.980224609375,15,30,300.356201171875,15,300.356201171875,R_A2,22,STANDARD,2018-03-01,0.9029515385627747,0
0.0,1669.14453125,16,30,300.5043029785156,16,300.5043029785156,R_A2,22,STANDARD,2018-03-01,0.9146478772163391,0
0.0,1671.308837890625,17,30,300.6504821777344,17,300.6504821777344,R_A2,22,STANDARD,2018-03-01,0.8885709047317505,0
0.0,1673.0816650390625,18,30,300.7695007324219,18,300.7695007324219,R_A2,22,STANDARD,2018-03-01,0.9497926235198975,0
0.0,1674.8118896484375,19,30,302.1319274902344,26,302.1319274902344,R_A2,22,STANDARD,2018-03-01,0.18593764305114746,0
0.0,1676.238037109375,20,29,302.1935119628906,26,302.1935119628906,R_A2,22,STANDARD,2018-03-01,0.31890392303466797,0
-1.0083931302820592e-12,1678.1119384765625,21,29,302.5244140625,27,302.5244140625,R_A2,22,STANDARD,2018-03-01,1.0,0
0.0,1679.98583984375,22,29,302.4599914550781,28,302.4599914550781,R_A2,22,STANDARD,2018-03-01,0.6482400298118591,0
-3.282789595715485e-10,1681.8597412109375,23,29,302.86102294921875,29,302.86102294921875,R_A2,22,STANDARD,2018-03-01,1.0,0
-1.1563954654958408e-10,1683.733642578125,24,29,303.15667724609375,30,303.15667724609375,R_A2,22,STANDARD,2018-03-01,1.0,0
-6.778275857266536e-12,1684.4393310546875,1,20,281.3230285644531,1,281.3230285644531,R_A5,31,STANDARD,2018-04-28,1.0,0
-7.565449135216173e-12,1686.60546875,2,20,281.5281677246094,2,281.5281677246094,R_A5,31,STANDARD,2018-04-28,1.0,0
-8.332520437526192e-12,1688.771728515625,3,20,281.7335510253906,3,281.7335510253906,R_A5,31,STANDARD,2018-04-28,1.0,0
-8.83943872959092e-12,1690.9378662109375,4,20,281.9388732910156,4,281.9388732910156,R_A5,31,STANDARD,2018-04-28,1.0,0
-8.443485494114e-12,1693.10400390625,5,20,282.1442565917969,5,282.1442565917969,R_A5,31,STANDARD,2018-04-28,1.0,0
-8.434903817078343e-12,1695.270263671875,6,20,282.34954833984375,6,282.34954833984375,R_A5,31,STANDARD,2018-04-28,1.0,0
-4.938961566114397e-12,1697.4364013671875,7,20,282.86083984375,7,282.86083984375,R_A5,31,STANDARD,2018-04-28,1.0,0
