CONKPOS,DEPTH,DRAWDOWN,CONIDX,WELLMODEL,CONIPOS,PRESSURE,WELL,CONJPOS,SWAT,CONBPRES,SGAS,DATE
14,1718.748291015625,0,14,STANDARD,17,277.34423828125,R_A6,42,1.0,277.34423828125,-1.1742330066641435e-17,2018-11-07
15,1721.0843505859375,0,15,STANDARD,17,277.57061767578125,R_A6,42,1.0,277.57061767578125,-3.414460741119611e-18,2018-11-07
16,1723.4205322265625,0,16,STANDARD,17,277.9447021484375,R_A6,42,1.0,277.9447021484375,-2.7288376147443144e-18,2018-11-07
17,1725.756591796875,0,17,STANDARD,17,278.17584228515625,R_A6,42,1.0,278.17584228515625,-5.146312452804787e-18,2018-11-07
18,1727.3341064453125,0,18,STANDARD,17,278.3319396972656,R_A6,42,1.0,278.3319396972656,-6.086498758332053e-18,2018-11-07
25,1728.6177978515625,0,19,STANDARD,17,279.2886962890625,R_A6,42,1.0,279.2886962890625,1.568972197652819e-17,2018-11-07
26,1730.3662109375,0,20,STANDARD,17,279.8308410644531,R_A6,42,1.0,279.8308410644531,1.6746561014350439e-18,2018-11-07
27,1732.1146240234375,0,21,STANDARD,17,280.78759765625,R_A6,42,1.0,280.78759765625,2.4610985073002805e-24,2018-11-07
28,1733.863037109375,0,22,STANDARD,17,280.94921875,R_A6,42,1.0,280.94921875,1.128499544545195e-24,2018-11-07
29,1735.6114501953125,0,23,STANDARD,17,279.73046875,R_A6,42,1.0,279.73046875,8.225355798232361e-19,2018-11-07
