WELL,PRESSURE,CONIPOS,DEPTH,CONKPOS,SWAT,DATE,DRAWDOWN,CONIDX,WELLMODEL,SGAS,CONJPOS,CONBPRES
R_A4,300.6963806152344,34,1640.28466796875,5,0.06083837151527405,2018-01-01,0,11,STANDARD,0.0,50,300.6963806152344
R_A4,300.5690002441406,34,1638.3848876953125,4,0.07843044400215149,2018-01-01,0,12,STANDARD,0.0,50,300.5690002441406
R_A4,300.812255859375,35,1642.0128173828125,4,0.09811588376760483,2018-01-01,0,13,STANDARD,0.0,50,300.812255859375
R_A4,300.6934814453125,35,1640.2413330078125,3,0.26038655638694763,2018-01-01,0,14,STANDARD,0.0,50,300.6934814453125
R_A4,300.8970031738281,35,1643.2767333984375,3,0.23273645341396332,2018-01-01,0,15,STANDARD,0.0,49,300.8970031738281
R_A4,300.77435302734375,35,1641.4476318359375,2,0.2305029183626175,2018-01-01,0,16,STANDARD,0.0,49,300.77435302734375
R_A4,300.6517333984375,35,1639.6185302734375,1,0.19783878326416016,2018-01-01,0,17,STANDARD,0.0,49,300.6517333984375
R_A4,301.1274719238281,36,1646.71337890625,28,0.08969293534755707,2018-01-01,0,18,STANDARD,0.0,49,301.1274719238281
R_A4,300.72601318359375,36,1640.7266845703125,27,0.6984054446220398,2018-01-01,0,19,STANDARD,0.0,49,300.72601318359375
R_A4,300.8103942871094,36,1641.985107421875,27,0.6481541991233826,2018-01-01,0,20,STANDARD,0.0,48,300.8103942871094
R_A4,301.4293212890625,37,1651.2144775390625,27,0.8515090942382812,2018-01-01,0,21,STANDARD,0.0,48,301.4293212890625
R_A4,301.0587463378906,37,1645.6883544921875,26,1.0,2018-01-01,0,22,STANDARD,0.0,48,301.0587463378906
R_A4,301.504150390625,38,1652.330322265625,26,0.34538349509239197,2018-01-01,0,23,STANDARD,0.0,48,301.504150390625
R_A4,302.1826477050781,38,1662.4462890625,26,0.6481541991233826,2018-01-01,0,24,STANDARD,0.0,47,302.1826477050781
R_A5,303.9136962890625,31,1685.76123046875,1,1.0,2018-01-01,0,1,STANDARD,0.0,20,303.9136962890625
R_A5,304.1356506347656,31,1688.1033935546875,2,1.0,2018-01-01,0,2,STANDARD,0.0,20,304.1356506347656
R_A5,304.35760498046875,31,1690.445556640625,3,1.0,2018-01-01,0,3,STANDARD,0.0,20,304.35760498046875
R_A5,304.5795593261719,31,1692.78759765625,4,1.0,2018-01-01,0,4,STANDARD,0.0,20,304.5795593261719
R_A5,304.801513671875,31,1695.1297607421875,5,1.0,2018-01-01,0,5,STANDARD,0.0,20,304.801513671875
R_A5,305.0234680175781,31,1697.4718017578125,6,1.0,2018-01-01,0,6,STANDARD,0.0,20,305.0234680175781
R_A5,305.55120849609375,31,1699.81396484375,7,1.0,2018-01-01,0,7,STANDARD,0.0,20,305.55120849609375
R_A5,306.1142883300781,31,1708.9808349609375,11,1.0,2018-01-01,0,8,STANDARD,0.0,20,306.1142883300781
R_A5,306.29803466796875,31,1710.919677734375,12,1.0,2018-01-01,0,9,STANDARD,0.0,20,306.29803466796875
R_A5,306.4937438964844,31,1712.8585205078125,13,1.0,2018-01-01,0,10,STANDARD,0.0,20,306.4937438964844
R_A5,306.677490234375,31,1714.79736328125,14,1.0,2018-01-01,0,11,STANDARD,0.0,20,306.677490234375
R_A5,305.6884460449219,31,1704.3612060546875,14,1.0,2018-01-01,0,12,STANDARD,0.0,21,305.6884460449219
R_A5,305.8573913574219,31,1706.143798828125,15,1.0,2018-01-01,0,13,STANDARD,0.0,21,305.8573913574219
R_A5,306.17132568359375,31,1707.9263916015625,16,1.0,2018-01-01,0,14,STANDARD,0.0,21,306.17132568359375
R_A5,306.34027099609375,31,1709.708984375,17,1.0,2018-01-01,0,15,STANDARD,0.0,21,306.34027099609375
R_A5,306.50323486328125,31,1711.4285888671875,18,1.0,2018-01-01,0,16,STANDARD,0.0,21,306.50323486328125
R_A5,306.61444091796875,31,1712.60205078125,19,1.0,2018-01-01,0,17,STANDARD,0.0,21,306.61444091796875
R_A5,306.60516357421875,31,1714.161865234375,25,1.0,2018-01-01,0,18,STANDARD,0.0,21,306.60516357421875
R_A5,306.8354187011719,31,1716.591064453125,26,1.0,2018-01-01,0,19,STANDARD,0.0,21,306.8354187011719
R_A5,307.0656433105469,31,1719.0203857421875,27,1.0,2018-01-01,0,20,STANDARD,0.0,21,307.0656433105469
R_A5,307.6016845703125,31,1721.44970703125,28,1.0,2018-01-01,0,21,STANDARD,0.0,21,307.6016845703125
R_A5,307.8319091796875,31,1723.87890625,29,1.0,2018-01-01,0,22,STANDARD,0.0,21,307.8319091796875
R_A6,304.8047790527344,17,1695.1640625,1,1.0,2018-01-01,0,1,STANDARD,0.0,42,304.8047790527344
R_A6,305.25701904296875,17,1696.7098388671875,2,1.0,2018-01-01,0,2,STANDARD,0.0,42,305.25701904296875
R_A6,305.40350341796875,17,1698.2554931640625,3,1.0,2018-01-01,0,3,STANDARD,0.0,42,305.40350341796875
R_A6,305.54998779296875,17,1699.8011474609375,4,1.0,2018-01-01,0,4,STANDARD,0.0,42,305.54998779296875
R_A6,305.69647216796875,17,1701.346923828125,5,1.0,2018-01-01,0,5,STANDARD,0.0,42,305.69647216796875
R_A6,305.5439147949219,17,1702.8924560546875,6,1.0,2018-01-01,0,6,STANDARD,0.0,42,305.5439147949219
R_A6,305.6903991699219,17,1704.438232421875,7,1.0,2018-01-01,0,7,STANDARD,0.0,42,305.6903991699219
