SGAS,CONBPRES,CONIPOS,SWAT,WELL,DATE,PRESSURE,DRAWDOWN,CONKPOS,CONJPOS,CONIDX,WELLMODEL,DEPTH
-4.157424317070298e-16,303.90093994140625,22,1.0,R_A2,2018-03-01,303.90093994140625,0,28,29,22,STANDARD,1682.5706787109375
-5.311301897784614e-17,304.07049560546875,22,1.0,R_A2,2018-03-01,304.07049560546875,0,29,29,23,STANDARD,1684.304931640625
-2.1121529525380822e-10,284.1880798339844,31,1.0,R_A5,2018-04-28,284.1880798339844,0,1,20,1,STANDARD,1685.6572265625
-2.3590923659000396e-10,284.3972473144531,31,1.0,R_A5,2018-04-28,284.3972473144531,0,2,20,2,STANDARD,1687.86962890625
-2.5104304746115247e-10,284.6062316894531,31,1.0,R_A5,2018-04-28,284.6062316894531,0,3,20,3,STANDARD,1690.0819091796875
-2.7865240670443825e-10,284.8153381347656,31,1.0,R_A5,2018-04-28,284.8153381347656,0,4,20,4,STANDARD,1692.294189453125
-2.2019563949982057e-10,285.0244445800781,31,1.0,R_A5,2018-04-28,285.0244445800781,0,5,20,5,STANDARD,1694.506591796875
-2.1049274823159436e-10,285.233642578125,31,1.0,R_A5,2018-04-28,285.233642578125,0,6,20,6,STANDARD,1696.7188720703125
-2.2933347929021686e-12,285.7582702636719,31,1.0,R_A5,2018-04-28,285.7582702636719,0,7,20,7,STANDARD,1698.93115234375
0.0,286.0029296875,31,1.0,R_A5,2018-04-28,286.0029296875,0,8,20,8,STANDARD,1701.1435546875
-7.011371084414408e-12,275.9569091796875,31,1.0,R_A5,2018-04-28,275.9569091796875,0,11,21,9,STANDARD,1699.82958984375
-6.775365424954716e-12,276.1455993652344,31,1.0,R_A5,2018-04-28,276.1455993652344,0,12,21,10,STANDARD,1701.822265625
-4.712050519738165e-13,276.3470458984375,31,1.0,R_A5,2018-04-28,276.3470458984375,0,13,21,11,STANDARD,1703.81494140625
-6.630016631190006e-13,276.5365295410156,31,1.0,R_A5,2018-04-28,276.5365295410156,0,14,21,12,STANDARD,1705.8076171875
-1.1222826731523486e-13,277.1627502441406,31,1.0,R_A5,2018-04-28,277.1627502441406,0,15,21,13,STANDARD,1707.80029296875
-3.297304107269944e-14,277.7914123535156,31,1.0,R_A5,2018-04-28,277.7914123535156,0,16,21,14,STANDARD,1709.79296875
-8.42630832324125e-15,277.9875183105469,31,1.0,R_A5,2018-04-28,277.9875183105469,0,17,21,15,STANDARD,1711.78564453125
-1.249626860051322e-14,278.15252685546875,31,1.0,R_A5,2018-04-28,278.15252685546875,0,18,21,16,STANDARD,1713.4630126953125
0.0,278.24066162109375,31,1.0,R_A5,2018-04-28,278.24066162109375,0,19,21,17,STANDARD,1714.3931884765625
-1.220589167932884e-11,283.9580383300781,31,1.0,R_A5,2018-04-28,283.9580383300781,0,25,21,18,STANDARD,1715.81787109375
-1.326367314591348e-11,284.1892395019531,31,1.0,R_A5,2018-04-28,284.1892395019531,0,26,21,19,STANDARD,1718.138671875
-6.519469492770378e-18,295.26416015625,31,1.0,R_A5,2018-04-28,295.26416015625,0,27,21,20,STANDARD,1720.45947265625
-3.125146587740462e-17,298.78106689453125,31,1.0,R_A5,2018-04-28,298.78106689453125,0,28,21,21,STANDARD,1722.7803955078125
-6.3413733709846484e-18,294.7035827636719,31,1.0,R_A5,2018-04-28,294.7035827636719,0,29,21,22,STANDARD,1725.1011962890625
0.0,280.8397216796875,28,0.6507001519203186,R_A3,2018-07-03,280.8397216796875,0,1,41,1,STANDARD,1609.76220703125
0.0,280.16217041015625,29,0.6492856740951538,R_A3,2018-07-03,280.16217041015625,0,1,41,2,STANDARD,1599.3638916015625
0.0,280.3102722167969,29,0.18666701018810272,R_A3,2018-07-03,280.3102722167969,0,2,41,3,STANDARD,1601.527587890625
0.0,280.4544982910156,29,0.18831074237823486,R_A3,2018-07-03,280.4544982910156,0,3,41,4,STANDARD,1603.69140625
0.0,280.60675048828125,29,0.35640430450439453,R_A3,2018-07-03,280.60675048828125,0,4,41,5,STANDARD,1605.855224609375
0.0,280.8739013671875,29,0.8052404522895813,R_A3,2018-07-03,280.8739013671875,0,5,41,6,STANDARD,1608.0189208984375
0.0,280.9952392578125,29,0.6505867838859558,R_A3,2018-07-03,280.9952392578125,0,6,41,7,STANDARD,1610.1826171875
0.0,281.1722412109375,29,0.19791841506958008,R_A3,2018-07-03,281.1722412109375,0,7,41,8,STANDARD,1612.346435546875
0.0,281.3165283203125,29,0.19813144207000732,R_A3,2018-07-03,281.3165283203125,0,8,41,9,STANDARD,1614.5101318359375
0.0,281.5845642089844,29,0.7883064150810242,R_A3,2018-07-03,281.5845642089844,0,9,41,10,STANDARD,1616.673828125
