SGAS,DEPTH,WELL,CONIDX,DATE,CONIPOS,CONKPOS,DRAWDOWN,PRESSURE,WELLMODEL,CONBPRES,CONJPOS,SWAT
0.0,1709.697998046875,R_A5,14,2018-01-01,31,16,0,306.3392333984375,STANDARD,306.3392333984375,21,1.0
0.0,1711.729248046875,R_A5,15,2018-01-01,31,17,0,306.53173828125,STANDARD,306.53173828125,21,1.0
0.0,1713.283935546875,R_A5,16,2018-01-01,31,18,0,306.6790771484375,STANDARD,306.6790771484375,21,1.0
0.0,1714.074951171875,R_A5,17,2018-01-01,31,19,0,306.7540588378906,STANDARD,306.7540588378906,21,1.0
0.0,1715.4801025390625,R_A5,18,2018-01-01,31,25,0,306.7301025390625,STANDARD,306.7301025390625,21,1.0
0.0,1717.7861328125,R_A5,19,2018-01-01,31,26,0,306.94866943359375,STANDARD,306.94866943359375,21,1.0
0.0,1720.092041015625,R_A5,20,2018-01-01,31,27,0,307.4729919433594,STANDARD,307.4729919433594,21,1.0
0.0,1722.3980712890625,R_A5,21,2018-01-01,31,28,0,307.6915588378906,STANDARD,307.6915588378906,21,1.0
0.0,1724.7041015625,R_A5,22,2018-01-01,31,29,0,307.9101257324219,STANDARD,307.9101257324219,21,1.0
0.0,1694.5169677734375,R_A6,1,2018-01-01,17,1,0,305.0492248535156,STANDARD,305.0492248535156,42,1.0
0.0,1696.0552978515625,R_A6,2,2018-01-01,17,2,0,305.19500732421875,STANDARD,305.19500732421875,42,1.0
0.0,1697.59375,R_A6,3,2018-01-01,17,3,0,305.3407897949219,STANDARD,305.3407897949219,42,1.0
0.0,1699.132080078125,R_A6,4,2018-01-01,17,4,0,305.486572265625,STANDARD,305.486572265625,42,1.0
0.0,1700.67041015625,R_A6,5,2018-01-01,17,5,0,305.63238525390625,STANDARD,305.63238525390625,42,1.0
0.0,1702.2088623046875,R_A6,6,2018-01-01,17,6,0,305.4791259765625,STANDARD,305.4791259765625,42,1.0
0.0,1703.7471923828125,R_A6,7,2018-01-01,17,7,0,305.6249084472656,STANDARD,305.6249084472656,42,1.0
0.0,1705.2855224609375,R_A6,8,2018-01-01,17,8,0,305.77069091796875,STANDARD,305.77069091796875,42,1.0
0.0,1706.823974609375,R_A6,9,2018-01-01,17,9,0,306.2155456542969,STANDARD,306.2155456542969,42,1.0
0.0,1708.3623046875,R_A6,10,2018-01-01,17,10,0,306.0555419921875,STANDARD,306.0555419921875,42,1.0
0.0,1710.2684326171875,R_A6,11,2018-01-01,17,11,0,306.2362976074219,STANDARD,306.2362976074219,42,1.0
0.0,1712.5421142578125,R_A6,12,2018-01-01,17,12,0,306.4517822265625,STANDARD,306.4517822265625,42,1.0
0.0,1714.8157958984375,R_A6,13,2018-01-01,17,13,0,306.67926025390625,STANDARD,306.67926025390625,42,1.0
0.0,1717.089599609375,R_A6,14,2018-01-01,17,14,0,306.8947448730469,STANDARD,306.8947448730469,42,1.0
0.0,1719.36328125,R_A6,15,2018-01-01,17,15,0,307.1102294921875,STANDARD,307.1102294921875,42,1.0
0.0,1721.636962890625,R_A6,16,2018-01-01,17,16,0,307.4707336425781,STANDARD,307.4707336425781,42,1.0
0.0,1723.91064453125,R_A6,17,2018-01-01,17,17,0,307.68621826171875,STANDARD,307.68621826171875,42,1.0
0.0,1725.513916015625,R_A6,18,2018-01-01,17,18,0,307.8381652832031,STANDARD,307.8381652832031,42,1.0
0.0,1726.836669921875,R_A6,19,2018-01-01,17,25,0,307.80645751953125,STANDARD,307.80645751953125,42,1.0
0.0,1728.549560546875,R_A6,20,2018-01-01,17,26,0,308.27459716796875,STANDARD,308.27459716796875,42,1.0
0.0,1730.262451171875,R_A6,21,2018-01-01,17,27,0,308.4369201660156,STANDARD,308.4369201660156,42,1.0
0.0,1731.975341796875,R_A6,22,2018-01-01,17,28,0,308.5992736816406,STANDARD,308.5992736816406,42,1.0
0.0,1733.688232421875,R_A6,23,2018-01-01,17,29,0,308.4558410644531,STANDARD,308.4558410644531,42,1.0
0.0,1640.152099609375,R_A2,1,2018-03-01,22,1,0,298.5160827636719,STANDARD,298.5160827636719,30,0.05305065959692001
0.0,1641.89892578125,R_A2,2,2018-03-01,22,2,0,298.63323974609375,STANDARD,298.63323974609375,30,0.05441580340266228
0.0,1643.645751953125,R_A2,3,2018-03-01,22,3,0,298.7504577636719,STANDARD,298.7504577636719,30,0.05870307609438896
0.0,1645.3924560546875,R_A2,4,2018-03-01,22,4,0,298.86767578125,STANDARD,298.86767578125,30,0.06298945844173431
0.0,1647.1392822265625,R_A2,5,2018-03-01,22,5,0,298.9848327636719,STANDARD,298.9848327636719,30,0.06509586423635483
0.0,1648.8861083984375,R_A2,6,2018-03-01,22,6,0,299.10455322265625,STANDARD,299.10455322265625,30,0.6527239680290222
0.0,1650.6329345703125,R_A2,7,2018-03-01,22,7,0,299.3689270019531,STANDARD,299.3689270019531,30,0.8703848719596863
0.0,1652.3797607421875,R_A2,8,2018-03-01,22,8,0,299.6404113769531,STANDARD,299.6404113769531,30,0.8467561602592468
0.0,1654.12646484375,R_A2,9,2018-03-01,22,9,0,299.8326416015625,STANDARD,299.8326416015625,30,0.6484886407852173
0.0,1655.873291015625,R_A2,10,2018-03-01,22,10,0,300.17779541015625,STANDARD,300.17779541015625,30,0.8788648247718811
0.0,1657.7547607421875,R_A2,11,2018-03-01,22,11,0,300.3724365234375,STANDARD,300.3724365234375,30,0.06630150973796844
0.0,1661.786865234375,R_A2,12,2018-03-01,22,13,0,300.91485595703125,STANDARD,300.91485595703125,30,0.4302910268306732
0.0,1663.802978515625,R_A2,13,2018-03-01,22,14,0,301.05010986328125,STANDARD,301.05010986328125,30,0.457622230052948
0.0,1665.8189697265625,R_A2,14,2018-03-01,22,15,0,301.1840515136719,STANDARD,301.1840515136719,30,0.903656542301178
0.0,1667.8350830078125,R_A2,15,2018-03-01,22,16,0,301.31787109375,STANDARD,301.31787109375,30,0.9157460927963257
0.0,1669.85107421875,R_A2,16,2018-03-01,22,17,0,301.4524841308594,STANDARD,301.4524841308594,30,0.8822790384292603
0.0,1673.07666015625,R_A2,17,2018-03-01,22,17,0,301.5968017578125,STANDARD,301.5968017578125,29,0.8992186188697815
0.0,1675.001220703125,R_A2,18,2018-03-01,22,18,0,301.72589111328125,STANDARD,301.72589111328125,29,0.9662597179412842
0.0,1676.8734130859375,R_A2,19,2018-03-01,22,25,0,303.0766906738281,STANDARD,303.0766906738281,29,0.7272831201553345
0.0,1678.655029296875,R_A2,20,2018-03-01,22,26,0,302.89776611328125,STANDARD,302.89776611328125,29,0.7976745367050171
0.0,1680.436767578125,R_A2,21,2018-03-01,22,27,0,303.26873779296875,STANDARD,303.26873779296875,29,0.8450143337249756
