CONJPOS,SWAT,DATE,CONKPOS,WELLMODEL,SGAS,CONIPOS,DRAWDOWN,CONIDX,CONBPRES,PRESSURE,WELL,DEPTH
21,1.0,2018-01-01,10,STANDARD,0.0,31,0,10,305.3898620605469,305.3898620605469,R_A5,1698.1114501953125
21,1.0,2018-01-01,11,STANDARD,0.0,31,0,11,305.2900390625,305.2900390625,R_A5,1700.2835693359375
21,1.0,2018-01-01,12,STANDARD,0.0,31,0,12,305.4842834472656,305.4842834472656,R_A5,1702.3331298828125
21,1.0,2018-01-01,13,STANDARD,0.0,31,0,13,305.69049072265625,305.69049072265625,R_A5,1704.3826904296875
21,1.0,2018-01-01,14,STANDARD,0.0,31,0,14,305.88470458984375,305.88470458984375,R_A5,1706.4322509765625
21,1.0,2018-01-01,15,STANDARD,0.0,31,0,15,306.0789489746094,306.0789489746094,R_A5,1708.4818115234375
21,1.0,2018-01-01,16,STANDARD,0.0,31,0,16,306.418212890625,306.418212890625,R_A5,1710.5313720703125
21,1.0,2018-01-01,17,STANDARD,0.0,31,0,17,306.6124572753906,306.6124572753906,R_A5,1712.5809326171875
21,1.0,2018-01-01,18,STANDARD,0.0,31,0,18,306.754150390625,306.754150390625,R_A5,1714.076171875
21,1.0,2018-01-01,25,STANDARD,0.0,31,0,19,306.7794189453125,306.7794189453125,R_A5,1716.000244140625
21,1.0,2018-01-01,26,STANDARD,0.0,31,0,20,306.99749755859375,306.99749755859375,R_A5,1718.301513671875
21,1.0,2018-01-01,27,STANDARD,0.0,31,0,21,307.5213928222656,307.5213928222656,R_A5,1720.6026611328125
21,1.0,2018-01-01,28,STANDARD,0.0,31,0,22,307.739501953125,307.739501953125,R_A5,1722.9039306640625
21,1.0,2018-01-01,29,STANDARD,0.0,31,0,23,307.9576110839844,307.9576110839844,R_A5,1725.205078125
42,1.0,2018-01-01,1,STANDARD,0.0,17,0,1,305.0384826660156,305.0384826660156,R_A6,1694.403564453125
42,1.0,2018-01-01,2,STANDARD,0.0,17,0,2,305.18414306640625,305.18414306640625,R_A6,1695.940673828125
42,1.0,2018-01-01,3,STANDARD,0.0,17,0,3,305.329833984375,305.329833984375,R_A6,1697.4779052734375
42,1.0,2018-01-01,4,STANDARD,0.0,17,0,4,305.4754943847656,305.4754943847656,R_A6,1699.0150146484375
42,1.0,2018-01-01,5,STANDARD,0.0,17,0,5,305.62115478515625,305.62115478515625,R_A6,1700.5521240234375
42,1.0,2018-01-01,6,STANDARD,0.0,17,0,6,305.7668151855469,305.7668151855469,R_A6,1702.0892333984375
42,1.0,2018-01-01,7,STANDARD,0.0,17,0,7,305.6134338378906,305.6134338378906,R_A6,1703.6263427734375
42,1.0,2018-01-01,8,STANDARD,0.0,17,0,8,305.7591247558594,305.7591247558594,R_A6,1705.1634521484375
42,1.0,2018-01-01,9,STANDARD,0.0,17,0,9,306.203857421875,306.203857421875,R_A6,1706.7005615234375
42,1.0,2018-01-01,10,STANDARD,0.0,17,0,10,306.0437316894531,306.0437316894531,R_A6,1708.23779296875
42,1.0,2018-01-01,11,STANDARD,0.0,17,0,11,306.227783203125,306.227783203125,R_A6,1710.178466796875
42,1.0,2018-01-01,12,STANDARD,0.0,17,0,12,306.449951171875,306.449951171875,R_A6,1712.522705078125
42,1.0,2018-01-01,13,STANDARD,0.0,17,0,13,306.6841125488281,306.6841125488281,R_A6,1714.8670654296875
42,1.0,2018-01-01,14,STANDARD,0.0,17,0,14,306.9062805175781,306.9062805175781,R_A6,1717.21142578125
42,1.0,2018-01-01,15,STANDARD,0.0,17,0,15,307.12847900390625,307.12847900390625,R_A6,1719.5557861328125
42,1.0,2018-01-01,16,STANDARD,0.0,17,0,16,307.49566650390625,307.49566650390625,R_A6,1721.900146484375
42,1.0,2018-01-01,17,STANDARD,0.0,17,0,17,307.7178649902344,307.7178649902344,R_A6,1724.244384765625
42,1.0,2018-01-01,18,STANDARD,0.0,17,0,18,307.8496398925781,307.8496398925781,R_A6,1725.635009765625
42,1.0,2018-01-01,25,STANDARD,0.0,17,0,19,307.79449462890625,307.79449462890625,R_A6,1726.710693359375
42,1.0,2018-01-01,26,STANDARD,0.0,17,0,20,308.2628173828125,308.2628173828125,R_A6,1728.42529296875
42,1.0,2018-01-01,27,STANDARD,0.0,17,0,21,308.4253234863281,308.4253234863281,R_A6,1730.139892578125
42,1.0,2018-01-01,28,STANDARD,0.0,17,0,22,308.58782958984375,308.58782958984375,R_A6,1731.8546142578125
42,1.0,2018-01-01,29,STANDARD,0.0,17,0,23,308.4445495605469,308.4445495605469,R_A6,1733.5692138671875
30,0.19940529763698578,2018-03-01,1,STANDARD,0.0,22,0,1,298.154052734375,298.154052734375,R_A2,1640.4661865234375
30,0.05593957006931305,2018-03-01,2,STANDARD,0.0,22,0,2,298.2756042480469,298.2756042480469,R_A2,1642.27978515625
30,0.0577923059463501,2018-03-01,3,STANDARD,0.0,22,0,3,298.3971862792969,298.3971862792969,R_A2,1644.09326171875
30,0.06579605489969254,2018-03-01,4,STANDARD,0.0,22,0,4,298.518798828125,298.518798828125,R_A2,1645.9068603515625
30,0.06980238109827042,2018-03-01,5,STANDARD,0.0,22,0,5,298.6403503417969,298.6403503417969,R_A2,1647.720458984375
30,0.3081347942352295,2018-03-01,6,STANDARD,0.0,22,0,6,298.8096923828125,298.8096923828125,R_A2,1649.5340576171875
30,0.8789793252944946,2018-03-01,7,STANDARD,0.0,22,0,7,298.93145751953125,298.93145751953125,R_A2,1651.34765625
30,0.8783645033836365,2018-03-01,8,STANDARD,0.0,22,0,8,299.05731201171875,299.05731201171875,R_A2,1653.1611328125
30,0.9012911319732666,2018-03-01,9,STANDARD,0.0,22,0,9,299.3492736816406,299.3492736816406,R_A2,1654.9747314453125
30,0.9102004766464233,2018-03-01,10,STANDARD,0.0,22,0,10,299.80035400390625,299.80035400390625,R_A2,1656.788330078125
30,0.06998249143362045,2018-03-01,11,STANDARD,0.0,22,0,11,300.1932373046875,300.1932373046875,R_A2,1658.71240234375
30,0.0731847882270813,2018-03-01,12,STANDARD,0.0,22,0,12,300.32965087890625,300.32965087890625,R_A2,1660.746826171875
30,0.43280836939811707,2018-03-01,13,STANDARD,0.0,22,0,13,300.4667663574219,300.4667663574219,R_A2,1662.7811279296875
30,0.48568612337112427,2018-03-01,14,STANDARD,0.0,22,0,14,300.60498046875,300.60498046875,R_A2,1664.8155517578125
30,0.9228031635284424,2018-03-01,15,STANDARD,0.0,22,0,15,300.7472839355469,300.7472839355469,R_A2,1666.8499755859375
