CONIDX,SGAS,PRESSURE,CONBPRES,DEPTH,CONJPOS,CONIPOS,SWAT,WELL,DRAWDOWN,CONKPOS,DATE,WELLMODEL
12,1.5389849117308785e-10,281.3812255859375,281.3812255859375,1712.20263671875,42,17,1.0,R_A6,0,12,2018-11-07,STANDARD
13,1.0909644715395572e-11,281.6134033203125,281.6134033203125,1714.528076171875,42,17,1.0,R_A6,0,13,2018-11-07,STANDARD
14,9.74421585087093e-12,281.83367919921875,281.83367919921875,1716.853515625,42,17,1.0,R_A6,0,14,2018-11-07,STANDARD
15,7.201333279693856e-12,282.05487060546875,282.05487060546875,1719.178955078125,42,17,1.0,R_A6,0,15,2018-11-07,STANDARD
16,1.0768443428621488e-12,282.4274597167969,282.4274597167969,1721.5042724609375,42,17,1.0,R_A6,0,16,2018-11-07,STANDARD
17,2.2550223407330483e-12,282.6543273925781,282.6543273925781,1723.8297119140625,42,17,1.0,R_A6,0,17,2018-11-07,STANDARD
18,3.0700208000777884e-12,282.7900695800781,282.7900695800781,1725.2586669921875,42,17,1.0,R_A6,0,18,2018-11-07,STANDARD
19,1.5762737252608683e-12,286.1830139160156,286.1830139160156,1726.3798828125,42,17,1.0,R_A6,0,27,2018-11-07,STANDARD
20,5.789329519251263e-13,286.65283203125,286.65283203125,1728.0897216796875,42,17,1.0,R_A6,0,28,2018-11-07,STANDARD
21,9.022448749979538e-19,287.3647155761719,287.3647155761719,1729.7994384765625,42,17,1.0,R_A6,0,29,2018-11-07,STANDARD
22,2.4108517579921255e-19,287.4519958496094,287.4519958496094,1731.50927734375,42,17,1.0,R_A6,0,30,2018-11-07,STANDARD
23,1.6491398090873188e-13,286.5357971191406,286.5357971191406,1733.2191162109375,42,17,1.0,R_A6,0,31,2018-11-07,STANDARD
