SW,KRW,KROW,PCOW,SATNUM,KEYWORD,SG,KRG,KROG,PCOG
0.3411401,0.0894983,0.1302868,0.0219239,3,SWOF,,,,
0.3611401,0.1041765,0.108425,0.0193412,3,SWOF,,,,
0.3811401,0.120376,0.0896202,0.0171784,3,SWOF,,,,
0.4011401,0.1381744,0.0735609,0.0153504,3,SWOF,,,,
0.4211401,0.1576452,0.059942,0.0137921,3,SWOF,,,,
0.4411401,0.1788563,0.0484723,0.0124538,3,SWOF,,,,
0.4611401,0.2018678,0.0388794,0.0112963,3,SWOF,,,,
0.4811401,0.2267297,0.0309125,0.010289,3,SWOF,,,,
0.5011401,0.2534797,0.0243445,0.0094072,3,SWOF,,,,
0.5211401,0.2821401,0.0189717,0.0086312,3,SWOF,,,,
0.5411401,0.3127153,0.014613,0.0079449,3,SWOF,,,,
0.5611401,0.3451879,0.0111093,0.0073352,3,SWOF,,,,
0.5811401,0.3795158,0.0083212,0.0067913,3,SWOF,,,,
0.6011401,0.4156283,0.006128,0.0063041,3,SWOF,,,,
0.6211401,0.4534221,0.004425,0.0058661,3,SWOF,,,,
0.6411401,0.4927572,0.0031227,0.0054711,3,SWOF,,,,
0.6611401,0.5334519,0.0021444,0.0051136,3,SWOF,,,,
0.6811401,0.5752776,0.0014252,0.0047891,3,SWOF,,,,
0.7011401,0.6179382,0.0009105,0.0044937,3,SWOF,,,,
0.7211401,0.6611032,0.0005532,0.004224,3,SWOF,,,,
0.7411401,0.7043782,0.000316,0.0039773,3,SWOF,,,,
0.7611401,0.7472765,0.0001667,0.003751,3,SWOF,,,,
0.7811401,0.7892098,7.85e-05,0.003543,3,SWOF,,,,
0.8011401,0.8294931,3.14e-05,0.0033513,3,SWOF,,,,
0.8211401,0.8672732,9.7e-06,0.0031743,3,SWOF,,,,
0.8411401,0.9013789,1.9e-06,0.0030106,3,SWOF,,,,
0.8611401,0.9296781,2e-07,0.002859,3,SWOF,,,,
0.8740111,0.9432199,0.0,0.0027683,3,SWOF,,,,
0.8811401,0.9464328,0.0,0.0027181,3,SWOF,,,,
0.9011401,0.9554463,0.0,0.0025872,3,SWOF,,,,
0.9211401,0.9644598,0.0,0.0024652,3,SWOF,,,,
0.9411401,0.9734733,0.0,0.0023514,3,SWOF,,,,
0.9611401,0.9824868,0.0,0.0022451,3,SWOF,,,,
0.9811401,0.9915003,0.0,0.0021457,3,SWOF,,,,
1.0,1.0,0.0,0.0020576,3,SWOF,,,,
,,,,3,SGOF,0.0,0.0,1.0,0.0
,,,,3,SGOF,0.05,0.0,0.8945698,0.0
,,,,3,SGOF,0.07,7.16e-05,0.8465479,0.0
,,,,3,SGOF,0.09,0.0003899,0.7959163,0.0
,,,,3,SGOF,0.11,0.0010639,0.7432737,0.0
,,,,3,SGOF,0.13,0.0021882,0.6892947,0.0
,,,,3,SGOF,0.15,0.0038545,0.6347021,0.0
,,,,3,SGOF,0.17,0.0061555,0.5802335,0.0
,,,,3,SGOF,0.19,0.0091866,0.5266061,0.0
,,,,3,SGOF,0.21,0.0130466,0.474484,0.0
,,,,3,SGOF,0.23,0.017838,0.4244507,0.0
