DRAWDOWN,WELL,PRESSURE,WELLMODEL,DATE,DEPTH,CONIPOS,CONBPRES,CONIDX,SWAT,CONKPOS,SGAS,CONJPOS
0,R_A4,300.9866638183594,STANDARD,2018-01-01,1643.879638671875,33,300.9866638183594,11,0.3009050786495209,5,0.0,50
0,R_A4,300.8766784667969,STANDARD,2018-01-01,1642.239501953125,34,300.8766784667969,12,0.15692061185836792,5,0.0,50
0,R_A4,300.7507019042969,STANDARD,2018-01-01,1640.36083984375,34,300.7507019042969,13,0.06077703833580017,4,0.0,50
0,R_A4,300.6247253417969,STANDARD,2018-01-01,1638.4820556640625,34,300.6247253417969,14,0.13188780844211578,3,0.0,50
0,R_A4,300.8860778808594,STANDARD,2018-01-01,1642.3797607421875,35,300.8860778808594,15,0.06089051440358162,4,0.0,50
0,R_A4,300.76263427734375,STANDARD,2018-01-01,1640.5389404296875,35,300.76263427734375,16,0.18091341853141785,3,0.0,50
0,R_A4,300.9532470703125,STANDARD,2018-01-01,1643.381591796875,35,300.9532470703125,17,0.18484067916870117,3,0.0,49
0,R_A4,300.8278503417969,STANDARD,2018-01-01,1641.5115966796875,35,300.8278503417969,18,0.2276621162891388,2,0.0,49
0,R_A4,300.8924560546875,STANDARD,2018-01-01,1642.474853515625,36,300.8924560546875,19,0.18718959391117096,28,0.0,49
0,R_A4,300.7666931152344,STANDARD,2018-01-01,1640.599365234375,36,300.7666931152344,20,0.09963970631361008,28,0.0,48
0,R_A4,301.36981201171875,STANDARD,2018-01-01,1649.593017578125,37,301.36981201171875,21,0.7025473713874817,28,0.0,48
0,R_A4,300.99237060546875,STANDARD,2018-01-01,1643.9647216796875,37,300.99237060546875,22,0.2940210700035095,27,0.0,48
0,R_A4,301.42999267578125,STANDARD,2018-01-01,1650.490478515625,38,301.42999267578125,23,0.09621896594762802,27,0.0,48
0,R_A4,301.8575744628906,STANDARD,2018-01-01,1656.86572265625,38,301.8575744628906,24,0.19346152245998383,27,0.0,47
0,R_A5,303.7703552246094,STANDARD,2018-01-01,1684.24853515625,31,303.7703552246094,1,1.0,1,0.0,20
0,R_A5,303.9558410644531,STANDARD,2018-01-01,1686.2056884765625,31,303.9558410644531,2,1.0,2,0.0,20
0,R_A5,304.14129638671875,STANDARD,2018-01-01,1688.1629638671875,31,304.14129638671875,3,1.0,3,0.0,20
0,R_A5,304.3267822265625,STANDARD,2018-01-01,1690.1202392578125,31,304.3267822265625,4,1.0,4,0.0,20
0,R_A5,304.51226806640625,STANDARD,2018-01-01,1692.0775146484375,31,304.51226806640625,5,1.0,5,0.0,20
0,R_A5,304.6977233886719,STANDARD,2018-01-01,1694.03466796875,31,304.6977233886719,6,1.0,6,0.0,20
0,R_A5,305.1889953613281,STANDARD,2018-01-01,1695.991943359375,31,305.1889953613281,7,1.0,7,0.0,20
0,R_A5,305.3744812011719,STANDARD,2018-01-01,1697.94921875,31,305.3744812011719,8,1.0,8,0.0,20
0,R_A5,305.19427490234375,STANDARD,2018-01-01,1696.047607421875,31,305.19427490234375,9,1.0,8,0.0,21
