CONIPOS,WELL,DEPTH,CONIDX,CONKPOS,DRAWDOWN,CONBPRES,DATE,WELLMODEL,PRESSURE,CONJPOS,SGAS,SWAT
31,R_A4,1631.51318359375,5,4,0,299.99603271484375,2018-01-01,STANDARD,299.99603271484375,52,0.0,0.055106863379478455
31,R_A4,1633.594970703125,6,5,0,300.1355895996094,2018-01-01,STANDARD,300.1355895996094,52,0.0,0.05706968903541565
32,R_A4,1634.81494140625,7,5,0,300.2174072265625,2018-01-01,STANDARD,300.2174072265625,52,0.0,0.059402868151664734
32,R_A4,1636.71826171875,8,6,0,300.3450012207031,2018-01-01,STANDARD,300.3450012207031,52,0.0,0.060893572866916656
32,R_A4,1635.0936279296875,9,6,0,300.236083984375,2018-01-01,STANDARD,300.236083984375,51,0.0,0.059722624719142914
32,R_A4,1633.2783203125,10,5,0,300.1143798828125,2018-01-01,STANDARD,300.1143798828125,51,0.0,0.6481541991233826
33,R_A4,1638.681396484375,11,5,0,300.47662353515625,2018-01-01,STANDARD,300.47662353515625,51,0.0,0.6505357623100281
33,R_A4,1636.8511962890625,12,4,0,300.3539123535156,2018-01-01,STANDARD,300.3539123535156,51,0.0,0.11449580639600754
33,R_A4,1639.5523681640625,13,4,0,300.5350341796875,2018-01-01,STANDARD,300.5350341796875,50,0.0,0.16451840102672577
34,R_A4,1641.1434326171875,14,4,0,300.6417236328125,2018-01-01,STANDARD,300.6417236328125,50,0.0,0.13615968823432922
34,R_A4,1639.172607421875,15,3,0,300.5095520019531,2018-01-01,STANDARD,300.5095520019531,50,0.0,0.10079345107078552
35,R_A4,1643.150390625,16,3,0,300.7762756347656,2018-01-01,STANDARD,300.7762756347656,50,0.0,0.1463158279657364
35,R_A4,1641.1993408203125,17,2,0,300.6454772949219,2018-01-01,STANDARD,300.6454772949219,50,0.0,0.23656685650348663
35,R_A4,1642.3233642578125,18,2,0,300.7208251953125,2018-01-01,STANDARD,300.7208251953125,49,0.0,0.2443225383758545
35,R_A4,1640.398193359375,19,1,0,300.59173583984375,2018-01-01,STANDARD,300.59173583984375,49,0.0,0.1941363662481308
36,R_A4,1647.102294921875,20,28,0,301.0412902832031,2018-01-01,STANDARD,301.0412902832031,49,0.0,0.1376531422138214
36,R_A4,1641.151611328125,21,27,0,300.6422424316406,2018-01-01,STANDARD,300.6422424316406,49,0.0,0.056373726576566696
36,R_A4,1639.9605712890625,22,27,0,300.5624084472656,2018-01-01,STANDARD,300.5624084472656,48,0.0,0.19652460515499115
37,R_A4,1645.734130859375,23,27,0,300.9495544433594,2018-01-01,STANDARD,300.9495544433594,48,0.0,0.10177350044250488
38,R_A4,1652.4166259765625,24,27,0,301.3976745605469,2018-01-01,STANDARD,301.3976745605469,48,0.0,0.19286486506462097
38,R_A4,1655.3133544921875,25,27,0,301.5919494628906,2018-01-01,STANDARD,301.5919494628906,47,0.0,0.06578719615936279
31,R_A5,1685.603271484375,1,1,0,303.89874267578125,2018-01-01,STANDARD,303.89874267578125,20,0.0,1.0
31,R_A5,1687.9449462890625,2,2,0,304.1206359863281,2018-01-01,STANDARD,304.1206359863281,20,0.0,1.0
31,R_A5,1690.2867431640625,3,3,0,304.3425598144531,2018-01-01,STANDARD,304.3425598144531,20,0.0,1.0
31,R_A5,1692.6285400390625,4,4,0,304.5644836425781,2018-01-01,STANDARD,304.5644836425781,20,0.0,1.0
31,R_A5,1694.97021484375,5,5,0,304.786376953125,2018-01-01,STANDARD,304.786376953125,20,0.0,1.0
31,R_A5,1697.3118896484375,6,6,0,305.00830078125,2018-01-01,STANDARD,305.00830078125,20,0.0,1.0
