WELLMODEL,DEPTH,DATE,CONKPOS,SGAS,WELL,CONBPRES,CONIPOS,DRAWDOWN,PRESSURE,SWAT,CONIDX,CONJPOS
STANDARD,1724.142333984375,2018-04-28,30,-1.0486426473041301e-19,R_A5,281.5469055175781,31,0,281.5469055175781,1.0,22,21
STANDARD,1607.3599853515625,2018-07-03,1,0.0,R_A3,283.7792663574219,28,0,283.7792663574219,0.649074137210846,1,41
STANDARD,1609.44091796875,2018-07-03,2,0.0,R_A3,283.9156494140625,28,0,283.9156494140625,0.11840812116861343,2,41
STANDARD,1611.52197265625,2018-07-03,3,0.0,R_A3,284.0545959472656,28,0,284.0545959472656,0.1184077113866806,3,41
STANDARD,1613.602783203125,2018-07-03,4,0.0,R_A3,284.197021484375,28,0,284.197021484375,0.651581346988678,4,41
STANDARD,1615.683837890625,2018-07-03,5,0.0,R_A3,284.456787109375,28,0,284.456787109375,0.8374584317207336,5,41
STANDARD,1617.7647705078125,2018-07-03,6,0.0,R_A3,284.5763244628906,28,0,284.5763244628906,0.2067287564277649,6,41
STANDARD,1619.8458251953125,2018-07-03,7,0.0,R_A3,284.7152404785156,28,0,284.7152404785156,0.21181760728359222,7,41
STANDARD,1621.9267578125,2018-07-03,8,0.0,R_A3,284.8541259765625,28,0,284.8541259765625,0.20930299162864685,8,41
STANDARD,1624.0076904296875,2018-07-03,9,0.0,R_A3,285.06103515625,28,0,285.06103515625,0.8189426064491272,9,41
STANDARD,1626.088623046875,2018-07-03,10,0.0,R_A3,286.8129577636719,28,0,286.8129577636719,0.8277832269668579,10,41
STANDARD,1618.323974609375,2018-07-03,10,0.0,R_A3,288.0274963378906,29,0,288.0274963378906,0.7824060320854187,11,41
STANDARD,1620.52490234375,2018-07-03,11,0.0,R_A3,295.5829772949219,29,0,295.5829772949219,0.05096083879470825,12,41
STANDARD,1622.9832763671875,2018-07-03,12,0.0,R_A3,295.74761962890625,29,0,295.74761962890625,0.05864769220352173,13,41
STANDARD,1625.4417724609375,2018-07-03,13,0.0,R_A3,295.9131164550781,29,0,295.9131164550781,0.39003056287765503,14,41
STANDARD,1627.9002685546875,2018-07-03,14,0.0,R_A3,296.07843017578125,29,0,296.07843017578125,0.3621959090232849,15,41
STANDARD,1630.2333984375,2018-07-03,15,0.0,R_A3,296.2451477050781,29,0,296.2451477050781,0.8114240169525146,16,41
STANDARD,1631.6339111328125,2018-07-03,16,0.0,R_A3,296.3392333984375,29,0,296.3392333984375,0.7968036532402039,17,41
STANDARD,1633.6932373046875,2018-07-03,26,0.0,R_A3,286.11407470703125,29,0,286.11407470703125,0.6526170969009399,18,41
STANDARD,1637.21875,2018-07-03,27,0.0,R_A3,286.1338195800781,29,0,286.1338195800781,0.047911543399095535,19,41
STANDARD,1640.7442626953125,2018-07-03,28,0.0,R_A3,286.3673400878906,29,0,286.3673400878906,0.2231481522321701,20,41
STANDARD,1644.269775390625,2018-07-03,29,9.273706341695817e-15,R_A3,289.6219177246094,29,0,289.6219177246094,1.0,21,41
STANDARD,1647.7952880859375,2018-07-03,30,0.0,R_A3,286.76849365234375,29,0,286.76849365234375,0.1839461624622345,22,41
STANDARD,1630.05078125,2018-09-12,1,0.0,R_A4,280.5472412109375,30,0,280.5472412109375,0.052505262196063995,1,52
STANDARD,1626.39013671875,2018-09-12,1,0.0,R_A4,280.3851013183594,31,0,280.3851013183594,0.051623471081256866,2,52
STANDARD,1628.4451904296875,2018-09-12,2,0.0,R_A4,280.5221862792969,31,0,280.5221862792969,0.05364231392741203,3,52
STANDARD,1630.5003662109375,2018-09-12,3,0.0,R_A4,280.65924072265625,31,0,280.65924072265625,0.053949516266584396,4,52
STANDARD,1632.555419921875,2018-09-12,4,0.0,R_A4,280.7962951660156,31,0,280.7962951660156,0.056129928678274155,5,52
