CONKPOS,DATE,CONIPOS,DEPTH,CONIDX,SWAT,WELL,WELLMODEL,PRESSURE,DRAWDOWN,CONJPOS,CONBPRES,SGAS
5,2018-01-01,32,1636.55419921875,8,0.1340348869562149,R_A4,STANDARD,300.5012512207031,0,51,300.5012512207031,0.0
4,2018-01-01,32,1634.730712890625,9,0.055256038904190063,R_A4,STANDARD,300.3789978027344,0,51,300.3789978027344,0.0
4,2018-01-01,33,1636.7138671875,10,0.05672253295779228,R_A4,STANDARD,300.511962890625,0,51,300.511962890625,0.0
4,2018-01-01,33,1641.5614013671875,11,0.05985609441995621,R_A4,STANDARD,300.8370056152344,0,50,300.8370056152344,0.0
4,2018-01-01,34,1640.1612548828125,12,0.05844239145517349,R_A4,STANDARD,300.7431335449219,0,50,300.7431335449219,0.0
4,2018-01-01,35,1639.3277587890625,13,0.060585569590330124,R_A4,STANDARD,300.6872253417969,0,50,300.6872253417969,0.0
3,2018-01-01,35,1637.4891357421875,14,0.05660645291209221,R_A4,STANDARD,300.56396484375,0,50,300.56396484375,0.0
3,2018-01-01,35,1642.319091796875,15,0.07743804901838303,R_A4,STANDARD,300.8878173828125,0,49,300.8878173828125,0.0
29,2018-01-01,36,1645.5526123046875,16,0.08697491139173508,R_A4,STANDARD,301.1046447753906,0,49,301.1046447753906,0.0
28,2018-01-01,36,1639.6695556640625,17,0.13129498064517975,R_A4,STANDARD,300.71014404296875,0,49,300.71014404296875,0.0
28,2018-01-01,36,1641.2457275390625,18,0.27288082242012024,R_A4,STANDARD,300.81585693359375,0,48,300.81585693359375,0.0
28,2018-01-01,37,1646.555908203125,19,0.13429133594036102,R_A4,STANDARD,301.17193603515625,0,48,301.17193603515625,0.0
28,2018-01-01,38,1650.3543701171875,20,0.6481541991233826,R_A4,STANDARD,301.4266662597656,0,48,301.4266662597656,0.0
28,2018-01-01,38,1657.712158203125,21,0.6481541991233826,R_A4,STANDARD,301.9201354980469,0,47,301.9201354980469,0.0
1,2018-01-01,31,1685.356689453125,1,1.0,R_A5,STANDARD,303.8753662109375,0,20,303.8753662109375,0.0
2,2018-01-01,31,1687.6234130859375,2,1.0,R_A5,STANDARD,304.0901794433594,0,20,304.0901794433594,0.0
3,2018-01-01,31,1689.89013671875,3,1.0,R_A5,STANDARD,304.3049621582031,0,20,304.3049621582031,0.0
4,2018-01-01,31,1692.1568603515625,4,1.0,R_A5,STANDARD,304.519775390625,0,20,304.519775390625,0.0
5,2018-01-01,31,1694.423583984375,5,1.0,R_A5,STANDARD,304.7345886230469,0,20,304.7345886230469,0.0
6,2018-01-01,31,1696.6903076171875,6,1.0,R_A5,STANDARD,304.94940185546875,0,20,304.94940185546875,0.0
6,2018-01-01,31,1688.909423828125,7,1.0,R_A5,STANDARD,304.2120361328125,0,21,304.2120361328125,0.0
7,2018-01-01,31,1691.3402099609375,8,1.0,R_A5,STANDARD,304.7481689453125,0,21,304.7481689453125,0.0
10,2018-01-01,31,1698.6329345703125,9,1.0,R_A5,STANDARD,305.43927001953125,0,21,305.43927001953125,0.0
11,2018-01-01,31,1700.87890625,10,1.0,R_A5,STANDARD,305.3464660644531,0,21,305.3464660644531,0.0
12,2018-01-01,31,1702.940185546875,11,1.0,R_A5,STANDARD,305.54180908203125,0,21,305.54180908203125,0.0
13,2018-01-01,31,1705.001220703125,12,1.0,R_A5,STANDARD,305.7491149902344,0,21,305.7491149902344,0.0
14,2018-01-01,31,1707.0625,13,1.0,R_A5,STANDARD,305.9444580078125,0,21,305.9444580078125,0.0
15,2018-01-01,31,1709.1236572265625,14,1.0,R_A5,STANDARD,306.1398010253906,0,21,306.1398010253906,0.0
16,2018-01-01,31,1711.184814453125,15,1.0,R_A5,STANDARD,306.4801330566406,0,21,306.4801330566406,0.0
17,2018-01-01,31,1713.229736328125,16,1.0,R_A5,STANDARD,306.6739501953125,0,21,306.6739501953125,0.0
18,2018-01-01,31,1714.6475830078125,17,1.0,R_A5,STANDARD,306.8083190917969,0,21,306.8083190917969,0.0
19,2018-01-01,31,1715.3065185546875,18,1.0,R_A5,STANDARD,306.8707580566406,0,21,306.8707580566406,0.0
25,2018-01-01,31,1716.7098388671875,19,1.0,R_A5,STANDARD,306.8466796875,0,21,306.8466796875,0.0
26,2018-01-01,31,1719.0059814453125,20,1.0,R_A5,STANDARD,307.06427001953125,0,21,307.06427001953125,0.0
27,2018-01-01,31,1721.3021240234375,21,1.0,R_A5,STANDARD,307.5876770019531,0,21,307.5876770019531,0.0
28,2018-01-01,31,1723.5982666015625,22,1.0,R_A5,STANDARD,307.8052978515625,0,21,307.8052978515625,0.0
29,2018-01-01,31,1725.8944091796875,23,1.0,R_A5,STANDARD,308.0229187011719,0,21,308.0229187011719,0.0
1,2018-01-01,17,1694.8336181640625,1,1.0,R_A6,STANDARD,305.0792236328125,0,42,305.0792236328125,0.0
2,2018-01-01,17,1696.372802734375,2,1.0,R_A6,STANDARD,305.22509765625,0,42,305.22509765625,0.0
3,2018-01-01,17,1697.912109375,3,1.0,R_A6,STANDARD,305.3709716796875,0,42,305.3709716796875,0.0
4,2018-01-01,17,1699.451416015625,4,1.0,R_A6,STANDARD,305.516845703125,0,42,305.516845703125,0.0
5,2018-01-01,17,1700.9906005859375,5,1.0,R_A6,STANDARD,305.6627197265625,0,42,305.6627197265625,0.0
6,2018-01-01,17,1702.52978515625,6,1.0,R_A6,STANDARD,305.80859375,0,42,305.80859375,0.0
7,2018-01-01,17,1704.069091796875,7,1.0,R_A6,STANDARD,305.6553955078125,0,42,305.6553955078125,0.0
8,2018-01-01,17,1705.6082763671875,8,1.0,R_A6,STANDARD,305.8013000488281,0,42,305.8013000488281,0.0
9,2018-01-01,17,1707.1475830078125,9,1.0,R_A6,STANDARD,306.2462158203125,0,42,306.2462158203125,0.0
10,2018-01-01,17,1708.686767578125,10,1.0,R_A6,STANDARD,306.0863037109375,0,42,306.0863037109375,0.0
