WELLMODEL,CONJPOS,SGAS,PRESSURE,CONKPOS,CONIPOS,DATE,SWAT,CONBPRES,WELL,DEPTH,CONIDX,DRAWDOWN
STANDARD,51,0.0,278.3441467285156,5,32,2018-09-12,0.05236389487981796,278.3441467285156,R_A4,1632.241943359375,10,0
STANDARD,51,0.0,278.6551208496094,5,33,2018-09-12,0.0583544597029686,278.6551208496094,R_A4,1637.046142578125,11,0
STANDARD,50,0.0,278.8645935058594,5,33,2018-09-12,0.059668201953172684,278.8645935058594,R_A4,1641.355224609375,12,0
STANDARD,50,0.0,278.8124694824219,5,34,2018-09-12,0.06168990954756737,278.8124694824219,R_A4,1641.0689697265625,13,0
STANDARD,50,0.0,278.68988037109375,4,34,2018-09-12,0.062367308884859085,278.68988037109375,R_A4,1639.2308349609375,14,0
STANDARD,50,0.0,278.8614501953125,4,35,2018-09-12,0.06250453740358353,278.8614501953125,R_A4,1642.78125,15,0
STANDARD,50,0.0,278.7446594238281,3,35,2018-09-12,0.22623994946479797,278.7446594238281,R_A4,1641.025634765625,16,0
STANDARD,50,0.0,278.6279602050781,2,35,2018-09-12,0.22056064009666443,278.6279602050781,R_A4,1639.2701416015625,17,0
STANDARD,49,0.0,278.86212158203125,2,35,2018-09-12,0.23687520623207092,278.86212158203125,R_A4,1643.848388671875,18,0
STANDARD,49,0.0,278.7419738769531,1,35,2018-09-12,0.23472321033477783,278.7419738769531,R_A4,1642.07373046875,19,0
STANDARD,49,0.0,276.10748291015625,28,36,2018-09-12,0.06119551137089729,276.10748291015625,R_A4,1644.0565185546875,20,0
STANDARD,48,0.0,275.4832458496094,28,36,2018-09-12,0.06444286555051804,275.4832458496094,R_A4,1641.4490966796875,21,0
STANDARD,48,0.0,276.42132568359375,28,37,2018-09-12,0.3375406563282013,276.42132568359375,R_A4,1648.2423095703125,22,0
STANDARD,48,0.0,277.1716613769531,28,38,2018-09-12,0.22795505821704865,277.1716613769531,R_A4,1653.335205078125,23,0
STANDARD,47,0.0,277.1041564941406,28,38,2018-09-12,0.6789993643760681,277.1041564941406,R_A4,1658.7479248046875,24,0
STANDARD,42,-3.5678534779370885e-13,274.3511962890625,1,17,2018-11-07,1.0,274.3511962890625,R_A6,1694.609619140625,1,0
STANDARD,42,-1.7944960838470192e-13,274.4960021972656,2,17,2018-11-07,1.0,274.4960021972656,R_A6,1696.15478515625,2,0
STANDARD,42,-1.3694462772974314e-13,274.6375732421875,3,17,2018-11-07,1.0,274.6375732421875,R_A6,1697.699951171875,3,0
STANDARD,42,-2.3975445110138716e-13,274.7752380371094,4,17,2018-11-07,1.0,274.7752380371094,R_A6,1699.2449951171875,4,0
STANDARD,42,-1.3734854724910261e-13,274.9102783203125,5,17,2018-11-07,1.0,274.9102783203125,R_A6,1700.7901611328125,5,0
STANDARD,42,-7.889086953150048e-12,274.75091552734375,6,17,2018-11-07,1.0,274.75091552734375,R_A6,1702.3353271484375,6,0
