WELL,PRESSURE,SGAS,SWAT,CONKPOS,DRAWDOWN,CONIDX,DEPTH,WELLMODEL,CONBPRES,DATE,CONJPOS,CONIPOS
R_A4,300.8267822265625,0.0,0.2341259866952896,1,0,17,1641.491455078125,STANDARD,300.8267822265625,2018-01-01,49,35
R_A4,300.9769592285156,0.0,0.16989602148532867,29,0,18,1643.7308349609375,STANDARD,300.9769592285156,2018-01-01,49,36
R_A4,301.04962158203125,0.0,0.2213345468044281,29,0,19,1644.8145751953125,STANDARD,301.04962158203125,2018-01-01,48,36
R_A4,301.447265625,0.0,0.6481541991233826,29,0,20,1650.743896484375,STANDARD,301.447265625,2018-01-01,48,37
R_A4,301.0746154785156,0.0,0.2286962866783142,28,0,21,1645.1871337890625,STANDARD,301.0746154785156,2018-01-01,48,37
R_A4,301.4162902832031,0.0,0.102598637342453,28,0,22,1650.2821044921875,STANDARD,301.4162902832031,2018-01-01,48,38
R_A4,302.0611267089844,0.0,0.10031913965940475,28,0,23,1659.896728515625,STANDARD,302.0611267089844,2018-01-01,47,38
R_A5,303.9342346191406,0.0,1.0,1,0,1,1685.97802734375,STANDARD,303.9342346191406,2018-01-01,20,31
R_A5,304.14129638671875,0.0,1.0,2,0,2,1688.1630859375,STANDARD,304.14129638671875,2018-01-01,20,31
R_A5,304.3483581542969,0.0,1.0,3,0,3,1690.3480224609375,STANDARD,304.3483581542969,2018-01-01,20,31
R_A5,304.5554504394531,0.0,1.0,4,0,4,1692.5330810546875,STANDARD,304.5554504394531,2018-01-01,20,31
R_A5,304.76251220703125,0.0,1.0,5,0,5,1694.7181396484375,STANDARD,304.76251220703125,2018-01-01,20,31
R_A5,304.9695739746094,0.0,1.0,6,0,6,1696.9031982421875,STANDARD,304.9695739746094,2018-01-01,20,31
R_A5,305.482421875,0.0,1.0,7,0,7,1699.0882568359375,STANDARD,305.482421875,2018-01-01,20,31
R_A5,304.61492919921875,0.0,1.0,8,0,8,1693.1610107421875,STANDARD,304.61492919921875,2018-01-01,21,31
R_A5,305.2501220703125,0.0,1.0,11,0,9,1699.8624267578125,STANDARD,305.2501220703125,2018-01-01,21,31
R_A5,305.45220947265625,0.0,1.0,12,0,10,1701.99462890625,STANDARD,305.45220947265625,2018-01-01,21,31
