SGAS,SWAT,CONIDX,WELL,DEPTH,CONKPOS,CONBPRES,DATE,CONIPOS,PRESSURE,WELLMODEL,DRAWDOWN,CONJPOS
0.0,0.05439222231507301,7,R_A4,1629.3323974609375,5,299.87249755859375,2018-01-01,32,299.87249755859375,STANDARD,0,52
0.0,0.056331004947423935,8,R_A4,1631.2789306640625,6,300.0030212402344,2018-01-01,32,300.0030212402344,STANDARD,0,52
0.0,0.06022309139370918,9,R_A4,1636.2349853515625,6,300.33526611328125,2018-01-01,32,300.33526611328125,STANDARD,0,51
0.0,0.05682811141014099,10,R_A4,1634.357666015625,5,300.20941162109375,2018-01-01,32,300.20941162109375,STANDARD,0,51
0.0,0.09518434852361679,11,R_A4,1634.37548828125,6,300.2106018066406,2018-01-01,33,300.2106018066406,STANDARD,0,51
0.0,0.057702984660863876,12,R_A4,1636.24755859375,7,300.33612060546875,2018-01-01,33,300.33612060546875,STANDARD,0,51
0.0,0.06372368335723877,13,R_A4,1642.687744140625,7,300.7679443359375,2018-01-01,33,300.7679443359375,STANDARD,0,50
0.0,0.08125226199626923,14,R_A4,1639.7486572265625,7,300.57086181640625,2018-01-01,34,300.57086181640625,STANDARD,0,50
0.0,0.18982063233852386,15,R_A4,1639.18896484375,7,300.5333251953125,2018-01-01,35,300.5333251953125,STANDARD,0,50
0.0,0.2324746549129486,16,R_A4,1637.3961181640625,6,300.4131164550781,2018-01-01,35,300.4131164550781,STANDARD,0,50
0.0,0.051934484392404556,17,R_A4,1634.973388671875,30,300.2507019042969,2018-01-01,35,300.2507019042969,STANDARD,0,49
0.0,0.20643079280853271,18,R_A4,1642.6229248046875,30,300.7635803222656,2018-01-01,36,300.7635803222656,STANDARD,0,49
0.0,0.052858639508485794,19,R_A4,1642.042724609375,30,300.7247009277344,2018-01-01,36,300.7247009277344,STANDARD,0,48
0.0,0.1285484880208969,20,R_A4,1652.4072265625,30,301.41973876953125,2018-01-01,37,301.41973876953125,STANDARD,0,48
0.0,1.0,21,R_A4,1646.825927734375,29,301.0454406738281,2018-01-01,37,301.0454406738281,STANDARD,0,48
0.0,1.0,22,R_A4,1656.7305908203125,29,301.7096862792969,2018-01-01,38,301.7096862792969,STANDARD,0,48
0.0,0.25577685236930847,23,R_A4,1650.961181640625,28,301.32275390625,2018-01-01,38,301.32275390625,STANDARD,0,48
0.0,0.12454188615083694,24,R_A4,1662.3819580078125,28,302.0887145996094,2018-01-01,38,302.0887145996094,STANDARD,0,47
0.0,0.06812280416488647,25,R_A4,1656.6324462890625,27,301.7030944824219,2018-01-01,38,301.7030944824219,STANDARD,0,47
0.0,1.0,1,R_A5,1687.659423828125,1,304.0935974121094,2018-01-01,31,304.0935974121094,STANDARD,0,20
0.0,1.0,2,R_A5,1690.05712890625,2,304.32080078125,2018-01-01,31,304.32080078125,STANDARD,0,20
0.0,1.0,3,R_A5,1692.454833984375,3,304.5480041503906,2018-01-01,31,304.5480041503906,STANDARD,0,20
0.0,1.0,4,R_A5,1694.8525390625,4,304.7752380371094,2018-01-01,31,304.7752380371094,STANDARD,0,20
0.0,1.0,5,R_A5,1697.250244140625,5,305.0024719238281,2018-01-01,31,305.0024719238281,STANDARD,0,20
0.0,1.0,6,R_A5,1699.64794921875,6,305.22967529296875,2018-01-01,31,305.22967529296875,STANDARD,0,20
0.0,1.0,7,R_A5,1702.045654296875,7,305.7626953125,2018-01-01,31,305.7626953125,STANDARD,0,20
0.0,1.0,8,R_A5,1692.574462890625,9,304.8651428222656,2018-01-01,31,304.8651428222656,STANDARD,0,21
0.0,1.0,9,R_A5,1697.31494140625,11,305.0086975097656,2018-01-01,31,305.0086975097656,STANDARD,0,21
0.0,1.0,10,R_A5,1699.254150390625,12,305.1924743652344,2018-01-01,31,305.1924743652344,STANDARD,0,21
0.0,1.0,11,R_A5,1701.193359375,13,305.3762512207031,2018-01-01,31,305.3762512207031,STANDARD,0,21
0.0,1.0,12,R_A5,1703.132568359375,14,305.5719909667969,2018-01-01,31,305.5719909667969,STANDARD,0,21
0.0,1.0,13,R_A5,1705.07177734375,15,305.7557678222656,2018-01-01,31,305.7557678222656,STANDARD,0,21
0.0,1.0,14,R_A5,1707.010986328125,16,306.0845642089844,2018-01-01,31,306.0845642089844,STANDARD,0,21
0.0,1.0,15,R_A5,1708.9500732421875,17,306.2683410644531,2018-01-01,31,306.2683410644531,STANDARD,0,21
0.0,1.0,16,R_A5,1710.814697265625,18,306.445068359375,2018-01-01,31,306.445068359375,STANDARD,0,21
0.0,1.0,17,R_A5,1712.2138671875,19,306.5776672363281,2018-01-01,31,306.5776672363281,STANDARD,0,21
0.0,1.0,18,R_A5,1714.23974609375,26,306.6125793457031,2018-01-01,31,306.6125793457031,STANDARD,0,21
0.0,1.0,19,R_A5,1716.69580078125,27,306.8453369140625,2018-01-01,31,306.8453369140625,STANDARD,0,21
0.0,1.0,20,R_A5,1719.15185546875,28,307.3839111328125,2018-01-01,31,307.3839111328125,STANDARD,0,21
0.0,1.0,21,R_A5,1721.60791015625,29,307.6166687011719,2018-01-01,31,307.6166687011719,STANDARD,0,21
0.0,1.0,22,R_A5,1724.06396484375,30,307.8494567871094,2018-01-01,31,307.8494567871094,STANDARD,0,21
0.0,1.0,1,R_A6,1696.284912109375,1,305.2167663574219,2018-01-01,17,305.2167663574219,STANDARD,0,42
0.0,1.0,2,R_A6,1697.8551025390625,2,305.3655700683594,2018-01-01,17,305.3655700683594,STANDARD,0,42
0.0,1.0,3,R_A6,1699.4254150390625,3,305.5143737792969,2018-01-01,17,305.5143737792969,STANDARD,0,42
0.0,1.0,4,R_A6,1700.99560546875,4,305.6632080078125,2018-01-01,17,305.6632080078125,STANDARD,0,42
0.0,1.0,5,R_A6,1702.56591796875,5,305.81201171875,2018-01-01,17,305.81201171875,STANDARD,0,42
0.0,1.0,6,R_A6,1704.1361083984375,6,305.9608154296875,2018-01-01,17,305.9608154296875,STANDARD,0,42
0.0,1.0,7,R_A6,1705.7064208984375,7,305.8105773925781,2018-01-01,17,305.8105773925781,STANDARD,0,42
0.0,1.0,8,R_A6,1707.276611328125,8,305.9593811035156,2018-01-01,17,305.9593811035156,STANDARD,0,42
0.0,1.0,9,R_A6,1708.8468017578125,9,306.4072570800781,2018-01-01,17,306.4072570800781,STANDARD,0,42
0.0,1.0,10,R_A6,1710.4171142578125,10,306.2502746582031,2018-01-01,17,306.2502746582031,STANDARD,0,42
0.0,1.0,11,R_A6,1712.352783203125,11,306.433837890625,2018-01-01,17,306.433837890625,STANDARD,0,42
0.0,1.0,12,R_A6,1714.65380859375,12,306.65191650390625,2018-01-01,17,306.65191650390625,STANDARD,0,42
0.0,1.0,13,R_A6,1716.954833984375,13,306.8819580078125,2018-01-01,17,306.8819580078125,STANDARD,0,42
0.0,1.0,14,R_A6,1719.255859375,14,307.10003662109375,2018-01-01,17,307.10003662109375,STANDARD,0,42
0.0,1.0,15,R_A6,1721.556884765625,15,307.318115234375,2018-01-01,17,307.318115234375,STANDARD,0,42
