CONJPOS,DATE,DRAWDOWN,CONKPOS,WELL,SGAS,WELLMODEL,DEPTH,PRESSURE,CONIPOS,SWAT,CONBPRES,CONIDX
20,2018-04-28,0,2,R_A5,-1.0901335389945643e-09,STANDARD,1687.909912109375,282.6724853515625,31,1.0,282.6724853515625,2
20,2018-04-28,0,3,R_A5,-1.0642772219071617e-09,STANDARD,1690.0474853515625,282.8746032714844,31,1.0,282.8746032714844,3
20,2018-04-28,0,4,R_A5,-9.593971173060822e-10,STANDARD,1692.18505859375,283.0766906738281,31,1.0,283.0766906738281,4
20,2018-04-28,0,5,R_A5,-7.005327429254748e-10,STANDARD,1694.3226318359375,283.2787170410156,31,1.0,283.2787170410156,5
20,2018-04-28,0,6,R_A5,-7.218431408162473e-10,STANDARD,1696.460205078125,283.48095703125,31,1.0,283.48095703125,6
20,2018-04-28,0,7,R_A5,-5.917246293646317e-12,STANDARD,1698.5977783203125,284.008544921875,31,1.0,284.008544921875,7
20,2018-04-28,0,8,R_A5,-5.708558192124569e-12,STANDARD,1700.7353515625,284.2364807128906,31,1.0,284.2364807128906,8
20,2018-04-28,0,10,R_A5,-6.08668150603453e-12,STANDARD,1705.010498046875,281.2875061035156,31,1.0,281.2875061035156,9
21,2018-04-28,0,11,R_A5,-8.812264112867396e-11,STANDARD,1700.07080078125,277.7221984863281,31,1.0,277.7221984863281,10
21,2018-04-28,0,12,R_A5,-6.84986928289888e-11,STANDARD,1702.0433349609375,277.9636535644531,31,1.0,277.9636535644531,11
21,2018-04-28,0,13,R_A5,-5.033972804574516e-12,STANDARD,1704.0159912109375,278.1626281738281,31,1.0,278.1626281738281,12
21,2018-04-28,0,14,R_A5,-4.746567722202499e-12,STANDARD,1705.988525390625,278.35003662109375,31,1.0,278.35003662109375,13
21,2018-04-28,0,15,R_A5,-1.4925676796936904e-12,STANDARD,1707.961181640625,278.55377197265625,31,1.0,278.55377197265625,14
21,2018-04-28,0,16,R_A5,-4.212586226029491e-13,STANDARD,1709.9337158203125,278.9057922363281,31,1.0,278.9057922363281,15
21,2018-04-28,0,17,R_A5,-4.904180360421062e-13,STANDARD,1711.9063720703125,279.11151123046875,31,1.0,279.11151123046875,16
21,2018-04-28,0,18,R_A5,-6.677441802618866e-13,STANDARD,1713.446533203125,279.2657470703125,31,1.0,279.2657470703125,17
21,2018-04-28,0,19,R_A5,0.0,STANDARD,1714.19775390625,279.3380126953125,31,1.0,279.3380126953125,18
21,2018-04-28,0,26,R_A5,-3.7335198409434167e-13,STANDARD,1715.5230712890625,285.04150390625,31,1.0,285.04150390625,19
21,2018-04-28,0,27,R_A5,-3.090905623896051e-13,STANDARD,1717.779541015625,285.29876708984375,31,1.0,285.29876708984375,20
21,2018-04-28,0,28,R_A5,-3.4107945990965936e-20,STANDARD,1720.035888671875,296.0939025878906,31,1.0,296.0939025878906,21
21,2018-04-28,0,29,R_A5,-3.463571630234318e-21,STANDARD,1722.292236328125,303.7671813964844,31,1.0,303.7671813964844,22
21,2018-04-28,0,30,R_A5,-1.371156373599367e-22,STANDARD,1724.548583984375,306.8302917480469,31,1.0,306.8302917480469,23
41,2018-07-03,0,1,R_A3,0.0,STANDARD,1608.8404541015625,277.58306884765625,28,0.32812103629112244,277.58306884765625,1
41,2018-07-03,0,2,R_A3,0.0,STANDARD,1610.857421875,277.6958923339844,28,0.14747025072574615,277.6958923339844,2
41,2018-07-03,0,3,R_A3,0.0,STANDARD,1612.8743896484375,277.8302917480469,28,0.11025978624820709,277.8302917480469,3
41,2018-07-03,0,3,R_A3,0.0,STANDARD,1604.090087890625,277.25933837890625,29,0.1453421711921692,277.25933837890625,4
41,2018-07-03,0,4,R_A3,0.0,STANDARD,1606.1842041015625,277.39898681640625,29,0.1391609013080597,277.39898681640625,5
41,2018-07-03,0,5,R_A3,0.0,STANDARD,1608.2783203125,277.62603759765625,29,0.8061569929122925,277.62603759765625,6
41,2018-07-03,0,6,R_A3,0.0,STANDARD,1610.3724365234375,277.7198791503906,29,0.2849157452583313,277.7198791503906,7
41,2018-07-03,0,7,R_A3,0.0,STANDARD,1612.466552734375,277.8597412109375,29,0.19300636649131775,277.8597412109375,8
41,2018-07-03,0,8,R_A3,0.0,STANDARD,1614.560791015625,277.9996337890625,29,0.23696985840797424,277.9996337890625,9
41,2018-07-03,0,9,R_A3,0.0,STANDARD,1616.6549072265625,278.2568359375,29,0.79274982213974,278.2568359375,10
41,2018-07-03,0,10,R_A3,0.0,STANDARD,1618.7490234375,282.5702209472656,29,0.7818377017974854,282.5702209472656,11
41,2018-07-03,0,11,R_A3,0.0,STANDARD,1620.930908203125,296.90423583984375,29,0.04504727944731712,296.90423583984375,12
41,2018-07-03,0,12,R_A3,0.0,STANDARD,1623.200439453125,297.0562744140625,29,0.053138550370931625,297.0562744140625,13
41,2018-07-03,0,13,R_A3,0.0,STANDARD,1625.469970703125,297.20843505859375,29,0.23418104648590088,297.20843505859375,14
41,2018-07-03,0,14,R_A3,0.0,STANDARD,1627.7396240234375,297.4049377441406,29,0.17782557010650635,297.4049377441406,15
41,2018-07-03,0,15,R_A3,0.0,STANDARD,1630.0091552734375,297.6746826171875,29,0.4419400990009308,297.6746826171875,16
41,2018-07-03,0,16,R_A3,0.0,STANDARD,1631.94189453125,297.8097839355469,29,0.7976744771003723,297.8097839355469,17
41,2018-07-03,0,26,R_A3,-3.9382381904207175e-12,STANDARD,1634.5311279296875,287.76422119140625,29,1.0,287.76422119140625,18
41,2018-07-03,0,27,R_A3,0.0,STANDARD,1638.0745849609375,287.01031494140625,29,0.04222462698817253,287.01031494140625,19
41,2018-07-03,0,28,R_A3,0.0,STANDARD,1641.617919921875,287.2471618652344,29,0.04667814448475838,287.2471618652344,20
41,2018-07-03,0,29,R_A3,0.0,STANDARD,1645.1612548828125,291.6561584472656,29,0.7951299548149109,291.6561584472656,21
41,2018-07-03,0,30,R_A3,0.0,STANDARD,1648.7047119140625,287.5656433105469,29,0.12745901942253113,287.5656433105469,22
52,2018-09-12,0,1,R_A4,0.0,STANDARD,1632.4921875,280.4107971191406,30,0.04990391060709953,280.4107971191406,1
52,2018-09-12,0,1,R_A4,0.0,STANDARD,1627.166259765625,280.0770568847656,31,0.12433293461799622,280.0770568847656,2
52,2018-09-12,0,2,R_A4,0.0,STANDARD,1629.2003173828125,280.2126770019531,31,0.049189355224370956,280.2126770019531,3
52,2018-09-12,0,3,R_A4,0.0,STANDARD,1631.2342529296875,280.3482971191406,31,0.05175904929637909,280.3482971191406,4
52,2018-09-12,0,4,R_A4,0.0,STANDARD,1633.268310546875,280.48394775390625,31,0.05306171625852585,280.48394775390625,5
52,2018-09-12,0,4,R_A4,0.0,STANDARD,1631.80615234375,280.4001770019531,32,0.05321068316698074,280.4001770019531,6
52,2018-09-12,0,5,R_A4,0.0,STANDARD,1633.651123046875,280.5232849121094,32,0.15089531242847443,280.5232849121094,7
51,2018-09-12,0,5,R_A4,0.0,STANDARD,1638.0859375,280.77374267578125,32,0.20645259320735931,280.77374267578125,8
51,2018-09-12,0,4,R_A4,0.0,STANDARD,1636.2791748046875,280.6533203125,32,0.05625036731362343,280.6533203125,9
51,2018-09-12,0,4,R_A4,0.0,STANDARD,1636.8546142578125,280.6845397949219,33,0.056768499314785004,280.6845397949219,10
51,2018-09-12,0,3,R_A4,0.0,STANDARD,1635.018310546875,280.56201171875,33,0.10485608875751495,280.56201171875,11
50,2018-09-12,0,4,R_A4,0.0,STANDARD,1642.9102783203125,281.0606384277344,33,0.06276021152734756,281.0606384277344,12
50,2018-09-12,0,4,R_A4,0.0,STANDARD,1640.3148193359375,280.8719482421875,34,0.060730013996362686,280.8719482421875,13
50,2018-09-12,0,4,R_A4,0.0,STANDARD,1639.9566650390625,280.80975341796875,35,0.05776705965399742,280.80975341796875,14
50,2018-09-12,0,3,R_A4,0.0,STANDARD,1638.1668701171875,280.6909484863281,35,0.22536027431488037,280.6909484863281,15
49,2018-09-12,0,3,R_A4,0.0,STANDARD,1643.1541748046875,280.9892272949219,35,0.22702275216579437,280.9892272949219,16
49,2018-09-12,0,29,R_A4,0.0,STANDARD,1642.716064453125,277.8968811035156,36,0.08154597133398056,277.8968811035156,17
48,2018-09-12,0,29,R_A4,0.0,STANDARD,1643.1162109375,277.61688232421875,36,0.054754842072725296,277.61688232421875,18
48,2018-09-12,0,29,R_A4,0.0,STANDARD,1648.511474609375,278.2703857421875,37,0.08432599902153015,278.2703857421875,19
48,2018-09-12,0,29,R_A4,0.0,STANDARD,1652.0894775390625,278.8503723144531,38,0.05922545865178108,278.8503723144531,20
47,2018-09-12,0,29,R_A4,0.0,STANDARD,1660.924560546875,279.1971740722656,38,0.6653854250907898,279.1971740722656,21
42,2018-11-07,0,1,R_A6,-8.932097249336746e-12,STANDARD,1694.3228759765625,278.6280212402344,17,1.0,278.6280212402344,1
42,2018-11-07,0,2,R_A6,-2.6124651487241524e-12,STANDARD,1695.8555908203125,278.7732849121094,17,1.0,278.7732849121094,2
42,2018-11-07,0,3,R_A6,-3.534761459228486e-12,STANDARD,1697.388427734375,278.91754150390625,17,1.0,278.91754150390625,3
42,2018-11-07,0,4,R_A6,-2.70751346689857e-12,STANDARD,1698.921142578125,279.06011962890625,17,1.0,279.06011962890625,4
42,2018-11-07,0,5,R_A6,-2.1346537818628386e-12,STANDARD,1700.453857421875,279.201416015625,17,1.0,279.201416015625,5
42,2018-11-07,0,6,R_A6,-1.106497948821783e-10,STANDARD,1701.986572265625,279.0452880859375,17,1.0,279.0452880859375,6
42,2018-11-07,0,7,R_A6,-1.9834846265442962e-10,STANDARD,1703.5194091796875,279.1904602050781,17,1.0,279.1904602050781,7
42,2018-11-07,0,8,R_A6,-1.6301850147559804e-10,STANDARD,1705.0521240234375,279.3407287597656,17,1.0,279.3407287597656,8
42,2018-11-07,0,9,R_A6,-7.453956722691668e-12,STANDARD,1706.5849609375,279.804931640625,17,1.0,279.804931640625,9
