DATE,SWAT,WELLMODEL,CONBPRES,PRESSURE,CONJPOS,CONIPOS,SGAS,DEPTH,CONIDX,DRAWDOWN,WELL,CONKPOS
2018-01-01,1.0,STANDARD,304.8604431152344,304.8604431152344,20,31,0.0,1695.751708984375,5,0,R_A5,5
2018-01-01,1.0,STANDARD,305.08197021484375,305.08197021484375,20,31,0.0,1698.08935546875,6,0,R_A5,6
2018-01-01,1.0,STANDARD,305.6092834472656,305.6092834472656,20,31,0.0,1700.4268798828125,7,0,R_A5,7
2018-01-01,1.0,STANDARD,305.10009765625,305.10009765625,21,31,0.0,1698.279296875,8,0,R_A5,11
2018-01-01,1.0,STANDARD,305.2835998535156,305.2835998535156,21,31,0.0,1700.215576171875,9,0,R_A5,12
2018-01-01,1.0,STANDARD,305.47906494140625,305.47906494140625,21,31,0.0,1702.1517333984375,10,0,R_A5,13
2018-01-01,1.0,STANDARD,305.66253662109375,305.66253662109375,21,31,0.0,1704.087890625,11,0,R_A5,14
2018-01-01,1.0,STANDARD,305.8460388183594,305.8460388183594,21,31,0.0,1706.024169921875,12,0,R_A5,15
2018-01-01,1.0,STANDARD,306.174560546875,306.174560546875,21,31,0.0,1707.9603271484375,13,0,R_A5,16
2018-01-01,1.0,STANDARD,306.3580627441406,306.3580627441406,21,31,0.0,1709.8966064453125,14,0,R_A5,17
2018-01-01,1.0,STANDARD,306.5224304199219,306.5224304199219,21,31,0.0,1711.6312255859375,15,0,R_A5,18
2018-01-01,1.0,STANDARD,306.64111328125,306.64111328125,21,31,0.0,1712.88330078125,16,0,R_A5,19
2018-01-01,1.0,STANDARD,306.6637268066406,306.6637268066406,21,31,0.0,1714.779541015625,17,0,R_A5,26
2018-01-01,1.0,STANDARD,306.8956604003906,306.8956604003906,21,31,0.0,1717.2269287109375,18,0,R_A5,27
2018-01-01,1.0,STANDARD,307.43341064453125,307.43341064453125,21,31,0.0,1719.67431640625,19,0,R_A5,28
2018-01-01,1.0,STANDARD,307.6653747558594,307.6653747558594,21,31,0.0,1722.1217041015625,20,0,R_A5,29
2018-01-01,1.0,STANDARD,307.8973083496094,307.8973083496094,21,31,0.0,1724.569091796875,21,0,R_A5,30
2018-01-01,1.0,STANDARD,305.13726806640625,305.13726806640625,42,17,0.0,1695.4459228515625,1,0,R_A6,1
2018-01-01,1.0,STANDARD,305.2841491699219,305.2841491699219,42,17,0.0,1696.9959716796875,2,0,R_A6,2
2018-01-01,1.0,STANDARD,305.4310607910156,305.4310607910156,42,17,0.0,1698.5460205078125,3,0,R_A6,3
2018-01-01,1.0,STANDARD,305.57794189453125,305.57794189453125,42,17,0.0,1700.09619140625,4,0,R_A6,4
2018-01-01,1.0,STANDARD,305.724853515625,305.724853515625,42,17,0.0,1701.646240234375,5,0,R_A6,5
2018-01-01,1.0,STANDARD,305.8717346191406,305.8717346191406,42,17,0.0,1703.1962890625,6,0,R_A6,6
2018-01-01,1.0,STANDARD,305.7196044921875,305.7196044921875,42,17,0.0,1704.746337890625,7,0,R_A6,7
2018-01-01,1.0,STANDARD,305.86651611328125,305.86651611328125,42,17,0.0,1706.2965087890625,8,0,R_A6,8
2018-01-01,1.0,STANDARD,306.3124694824219,306.3124694824219,42,17,0.0,1707.8465576171875,9,0,R_A6,9
2018-01-01,1.0,STANDARD,306.153564453125,306.153564453125,42,17,0.0,1709.396728515625,10,0,R_A6,10
2018-01-01,1.0,STANDARD,306.3369140625,306.3369140625,42,17,0.0,1711.329833984375,11,0,R_A6,11
2018-01-01,1.0,STANDARD,306.556396484375,306.556396484375,42,17,0.0,1713.645751953125,12,0,R_A6,12
2018-01-01,1.0,STANDARD,306.7878723144531,306.7878723144531,42,17,0.0,1715.9617919921875,13,0,R_A6,13
