WELL,WELLMODEL,CONIPOS,SWAT,CONKPOS,SGAS,CONJPOS,DRAWDOWN,CONIDX,DATE,DEPTH,PRESSURE,CONBPRES
R_A2,STANDARD,22,0.5153285264968872,14,0.0,30,0,14,2018-03-01,1665.1241455078125,300.9701843261719,300.9701843261719
R_A2,STANDARD,22,0.7126975655555725,15,0.0,30,0,15,2018-03-01,1667.1199951171875,301.1032409667969,301.1032409667969
R_A2,STANDARD,22,0.9806168675422668,16,0.0,30,0,16,2018-03-01,1669.11572265625,301.2318420410156,301.2318420410156
R_A2,STANDARD,22,0.9451529383659363,17,0.0,30,0,17,2018-03-01,1671.111572265625,301.3642272949219,301.3642272949219
R_A2,STANDARD,22,0.981478214263916,18,0.0,30,0,18,2018-03-01,1672.9881591796875,301.4898986816406,301.4898986816406
R_A2,STANDARD,22,0.9939950704574585,18,0.0,29,0,19,2018-03-01,1674.229736328125,301.43975830078125,301.43975830078125
R_A2,STANDARD,22,1.0,27,-1.922778825047544e-09,29,0,20,2018-03-01,1676.1676025390625,302.8775329589844,302.8775329589844
R_A2,STANDARD,22,1.0,28,-1.868600176576677e-18,29,0,21,2018-03-01,1677.9368896484375,303.2197570800781,303.2197570800781
R_A2,STANDARD,22,1.0,29,-5.28835900951969e-19,29,0,22,2018-03-01,1679.7061767578125,303.0665588378906,303.0665588378906
R_A2,STANDARD,22,1.0,30,-1.9635172394255607e-15,29,0,23,2018-03-01,1681.4754638671875,302.79388427734375,302.79388427734375
R_A2,STANDARD,22,1.0,31,-1.269821033422135e-20,29,0,24,2018-03-01,1683.2447509765625,303.2513427734375,303.2513427734375
R_A5,STANDARD,31,1.0,1,-1.0058432392383038e-14,20,0,1,2018-04-28,1685.026611328125,264.1248474121094,264.1248474121094
R_A5,STANDARD,31,1.0,2,-1.0488963992879349e-14,20,0,2,2018-04-28,1687.3070068359375,264.340576171875,264.340576171875
R_A5,STANDARD,31,1.0,3,-9.226713800815096e-15,20,0,3,2018-04-28,1689.5875244140625,264.5563049316406,264.5563049316406
R_A5,STANDARD,31,1.0,4,-9.761731997552908e-15,20,0,4,2018-04-28,1691.8680419921875,264.77203369140625,264.77203369140625
R_A5,STANDARD,31,1.0,5,-9.799337719312157e-15,20,0,5,2018-04-28,1694.1485595703125,264.9877624511719,264.9877624511719
R_A5,STANDARD,31,1.0,6,-7.268566750275127e-15,20,0,6,2018-04-28,1696.4290771484375,265.2035217285156,265.2035217285156
R_A5,STANDARD,31,1.0,7,-3.1623312282458077e-15,20,0,7,2018-04-28,1698.70947265625,265.7397155761719,265.7397155761719
R_A5,STANDARD,31,1.0,11,-6.941312758954044e-13,20,0,8,2018-04-28,1707.6488037109375,267.5509948730469,267.5509948730469
R_A5,STANDARD,31,1.0,12,-6.252497434730553e-13,20,0,9,2018-04-28,1709.5638427734375,267.7368469238281,267.7368469238281
R_A5,STANDARD,31,1.0,12,-2.4624489947111527e-11,21,0,10,2018-04-28,1701.7845458984375,266.4152526855469,266.4152526855469
R_A5,STANDARD,31,1.0,13,-6.224320538150696e-12,21,0,11,2018-04-28,1703.735107421875,266.61199951171875,266.61199951171875
R_A5,STANDARD,31,1.0,14,-1.3261739796599503e-11,21,0,12,2018-04-28,1705.6856689453125,266.79705810546875,266.79705810546875
R_A5,STANDARD,31,1.0,15,-5.564856735140733e-12,21,0,13,2018-04-28,1707.63623046875,266.98291015625,266.98291015625
R_A5,STANDARD,31,1.0,16,-6.874234688425407e-12,21,0,14,2018-04-28,1709.5867919921875,267.3175964355469,267.3175964355469
R_A5,STANDARD,31,1.0,17,-8.60309490747363e-13,21,0,15,2018-04-28,1711.537353515625,267.50732421875,267.50732421875
R_A5,STANDARD,31,1.0,18,-1.7272102801821343e-12,21,0,16,2018-04-28,1713.35400390625,267.68206787109375,267.68206787109375
R_A5,STANDARD,31,1.0,19,0.0,21,0,17,2018-04-28,1714.3951416015625,267.7805480957031,267.7805480957031
R_A5,STANDARD,31,1.0,27,-8.317643448996215e-12,21,0,18,2018-04-28,1715.7628173828125,279.0013732910156,279.0013732910156
R_A5,STANDARD,31,1.0,28,-6.166346946945289e-12,21,0,19,2018-04-28,1718.098388671875,279.233642578125,279.233642578125
R_A5,STANDARD,31,1.0,29,-1.3152099361289542e-19,21,0,20,2018-04-28,1720.43408203125,292.95281982421875,292.95281982421875
R_A5,STANDARD,31,1.0,30,-6.329394802128793e-22,21,0,21,2018-04-28,1722.7696533203125,303.12994384765625,303.12994384765625
R_A5,STANDARD,31,1.0,31,-1.8420744640357402e-23,21,0,22,2018-04-28,1725.105224609375,306.15814208984375,306.15814208984375
R_A3,STANDARD,28,0.649294376373291,1,0.0,41,0,1,2018-07-03,1609.243408203125,280.5420227050781,280.5420227050781
R_A3,STANDARD,28,0.11856047809123993,2,0.0,41,0,2,2018-07-03,1611.3077392578125,280.6737060546875,280.6737060546875
R_A3,STANDARD,28,0.1760556846857071,3,0.0,41,0,3,2018-07-03,1613.3720703125,280.81134033203125,280.81134033203125
R_A3,STANDARD,28,0.18991899490356445,4,0.0,41,0,4,2018-07-03,1615.4365234375,280.9488525390625,280.9488525390625
R_A3,STANDARD,28,0.6494478583335876,5,0.0,41,0,5,2018-07-03,1617.5008544921875,281.0865478515625,281.0865478515625
R_A3,STANDARD,28,0.25993821024894714,6,0.0,41,0,6,2018-07-03,1619.565185546875,281.22454833984375,281.22454833984375
R_A3,STANDARD,29,0.23098337650299072,6,0.0,41,0,7,2018-07-03,1609.3663330078125,280.5351257324219,280.5351257324219
R_A3,STANDARD,29,0.1980261206626892,7,0.0,41,0,8,2018-07-03,1611.4163818359375,280.6716003417969,280.6716003417969
R_A3,STANDARD,29,0.2445298582315445,8,0.0,41,0,9,2018-07-03,1613.46630859375,280.80828857421875,280.80828857421875
R_A3,STANDARD,29,0.7973429560661316,9,0.0,41,0,10,2018-07-03,1615.516357421875,281.0204772949219,281.0204772949219
R_A3,STANDARD,29,0.7978083491325378,10,0.0,41,0,11,2018-07-03,1617.5662841796875,282.38153076171875,282.38153076171875
R_A3,STANDARD,29,0.04873555526137352,11,0.0,41,0,12,2018-07-03,1619.750732421875,296.2793884277344,296.2793884277344
R_A3,STANDARD,29,0.054012201726436615,12,0.0,41,0,13,2018-07-03,1622.0697021484375,296.4347229003906,296.4347229003906
R_A3,STANDARD,29,0.36980530619621277,13,0.0,41,0,14,2018-07-03,1624.388671875,296.5902404785156,296.5902404785156
R_A3,STANDARD,29,0.38572680950164795,14,0.0,41,0,15,2018-07-03,1626.707763671875,296.8768005371094,296.8768005371094
R_A3,STANDARD,29,0.5033114552497864,15,0.0,41,0,16,2018-07-03,1629.026611328125,297.1988220214844,297.1988220214844
R_A3,STANDARD,29,0.8152094483375549,16,0.0,41,0,17,2018-07-03,1630.9468994140625,297.32958984375,297.32958984375
R_A3,STANDARD,29,1.0,27,1.7341670634218875e-12,41,0,18,2018-07-03,1633.5262451171875,288.53497314453125,288.53497314453125
R_A3,STANDARD,29,0.05069689825177193,28,0.0,41,0,19,2018-07-03,1637.1630859375,285.6359558105469,285.6359558105469
R_A3,STANDARD,29,0.08673448860645294,29,0.0,41,0,20,2018-07-03,1640.8001708984375,285.8789367675781,285.8789367675781
R_A3,STANDARD,29,0.6900626420974731,30,0.0,41,0,21,2018-07-03,1644.4371337890625,285.8852233886719,285.8852233886719
R_A3,STANDARD,29,0.09535501152276993,31,0.0,41,0,22,2018-07-03,1648.0740966796875,285.96954345703125,285.96954345703125
R_A4,STANDARD,30,0.04997708648443222,1,0.0,52,0,1,2018-09-12,1631.1873779296875,281.09161376953125,281.09161376953125
R_A4,STANDARD,31,0.06248975917696953,1,0.0,52,0,2,2018-09-12,1627.4293212890625,280.931884765625,280.931884765625
R_A4,STANDARD,31,0.06664308160543442,2,0.0,52,0,3,2018-09-12,1629.4896240234375,281.0693359375,281.0693359375
R_A4,STANDARD,31,0.053960759192705154,3,0.0,52,0,4,2018-09-12,1631.5498046875,281.2067565917969,281.2067565917969
R_A4,STANDARD,31,0.05762981250882149,4,0.0,52,0,5,2018-09-12,1633.610107421875,281.3442077636719,281.3442077636719
R_A4,STANDARD,32,0.05660175904631615,4,0.0,52,0,6,2018-09-12,1632.3968505859375,281.3464660644531,281.3464660644531
R_A4,STANDARD,32,0.05984565243124962,4,0.0,51,0,7,2018-09-12,1635.880615234375,281.4668884277344,281.4668884277344
R_A4,STANDARD,33,0.06083850562572479,4,0.0,51,0,8,2018-09-12,1637.321044921875,281.64068603515625,281.64068603515625
R_A4,STANDARD,33,0.058876022696495056,3,0.0,51,0,9,2018-09-12,1635.474609375,281.5174255371094,281.5174255371094
R_A4,STANDARD,33,0.0642770528793335,4,0.0,50,0,10,2018-09-12,1642.1485595703125,281.86700439453125,281.86700439453125
R_A4,STANDARD,34,0.06130705401301384,4,0.0,50,0,11,2018-09-12,1641.132080078125,281.8850402832031,281.8850402832031
R_A4,STANDARD,34,0.10128062963485718,3,0.0,50,0,12,2018-09-12,1639.20703125,281.7566833496094,281.7566833496094
R_A4,STANDARD,35,0.0981529951095581,3,0.0,50,0,13,2018-09-12,1640.9061279296875,281.94000244140625,281.94000244140625
R_A4,STANDARD,35,0.20087572932243347,2,0.0,50,0,14,2018-09-12,1639.0426025390625,281.8158264160156,281.8158264160156
R_A4,STANDARD,35,0.23835648596286774,2,0.0,49,0,15,2018-09-12,1641.93212890625,281.93524169921875,281.93524169921875
R_A4,STANDARD,36,0.05452984943985939,30,0.0,49,0,16,2018-09-12,1642.357421875,280.91290283203125,280.91290283203125
R_A4,STANDARD,36,0.09707239270210266,30,0.0,48,0,17,2018-09-12,1639.6068115234375,280.49700927734375,280.49700927734375
R_A4,STANDARD,37,0.18748360872268677,30,0.0,48,0,18,2018-09-12,1646.7513427734375,281.259033203125,281.259033203125
R_A4,STANDARD,38,0.3215615749359131,30,0.0,48,0,19,2018-09-12,1653.461669921875,281.93072509765625,281.93072509765625
R_A4,STANDARD,38,0.16931356489658356,30,0.0,47,0,20,2018-09-12,1657.8184814453125,282.0331115722656,282.0331115722656
R_A6,STANDARD,17,1.0,1,7.555967332149337e-18,42,0,1,2018-11-07,1695.20263671875,271.8164367675781,271.8164367675781
R_A6,STANDARD,17,1.0,2,1.7351056334198066e-17,42,0,2,2018-11-07,1696.7510986328125,271.9614562988281,271.9614562988281
R_A6,STANDARD,17,1.0,3,-4.838326227381387e-18,42,0,3,2018-11-07,1698.299560546875,272.1034240722656,272.1034240722656
R_A6,STANDARD,17,1.0,4,5.875466992891453e-19,42,0,4,2018-11-07,1699.84814453125,272.2417297363281,272.2417297363281
R_A6,STANDARD,17,1.0,5,4.826490513586672e-18,42,0,5,2018-11-07,1701.3966064453125,272.3774719238281,272.3774719238281
R_A6,STANDARD,17,1.0,6,3.214164721238765e-16,42,0,6,2018-11-07,1702.9451904296875,272.2168884277344,272.2168884277344
R_A6,STANDARD,17,1.0,7,5.405768504541681e-16,42,0,7,2018-11-07,1704.49365234375,272.3578186035156,272.3578186035156
R_A6,STANDARD,17,1.0,8,3.459273556861498e-16,42,0,8,2018-11-07,1706.042236328125,272.4992980957031,272.4992980957031
R_A6,STANDARD,17,1.0,9,3.875716709809034e-17,42,0,9,2018-11-07,1707.5906982421875,272.9288330078125,272.9288330078125
R_A6,STANDARD,17,1.0,10,3.7812541793980255e-15,42,0,10,2018-11-07,1709.1392822265625,272.7315673828125,272.7315673828125
R_A6,STANDARD,17,1.0,11,0.0,42,0,11,2018-11-07,1711.055419921875,285.0116271972656,285.0116271972656
R_A6,STANDARD,17,1.0,12,0.0,42,0,12,2018-11-07,1713.3392333984375,285.2279357910156,285.2279357910156
R_A6,STANDARD,17,1.0,13,0.0,42,0,13,2018-11-07,1715.623046875,285.4562072753906,285.4562072753906
R_A6,STANDARD,17,1.0,14,0.0,42,0,14,2018-11-07,1717.9068603515625,285.67254638671875,285.67254638671875
