ENSEMBLE,REAL,FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WATER_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATER_PORV,HCPV_GAS,HCPV_TOTAL,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL,INTERPOLATE_GO,INTERPOLATE_WO,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,COHIBA_MODEL_MODE,FWL
iter-0,4,3,20352740.0,0,20352740.0,44291352.0,0.0,3744904176.0,3744904176.0,78099872.0,32456572.0,45643300.0,0.0,32456572.0,0.588676,-0.0409747,-1.78301,-2.62143,-1.90978,-1.5776,-1.13189,-9.64548,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85,0.588676,-0.0409747,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85
iter-0,4,4,0.0,0,0.0,74378926.0,0.0,0.0,0.0,76658780.0,0.0,76658780.0,0.0,0.0,0.588676,-0.0409747,-1.78301,-2.62143,-1.90978,-1.5776,-1.13189,-9.64548,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85,0.588676,-0.0409747,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85
iter-0,4,5,13475833.0,0,13475833.0,41420145.0,0.0,2479553277.0,2479553277.0,64168070.0,21486899.0,42681171.0,0.0,21486899.0,0.588676,-0.0409747,-1.78301,-2.62143,-1.90978,-1.5776,-1.13189,-9.64548,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85,0.588676,-0.0409747,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85
iter-0,4,6,0.0,0,0.0,55534537.0,0.0,0.0,0.0,57234412.0,0.0,57234412.0,0.0,0.0,0.588676,-0.0409747,-1.78301,-2.62143,-1.90978,-1.5776,-1.13189,-9.64548,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85,0.588676,-0.0409747,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85
iter-0,7,1,23137279.0,0,23137279.0,54293538.0,0.0,4257259357.0,4257259357.0,92859449.0,36904898.0,55954551.0,0.0,36904898.0,-0.68878,-0.922789,-0.13485,-2.28283,-1.80368,-2.40299,-3.09993,-9.11961,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84,-0.68878,-0.922789,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84
iter-0,7,2,0.0,0,0.0,81400436.0,0.0,0.0,0.0,83902381.0,0.0,83902381.0,0.0,0.0,-0.68878,-0.922789,-0.13485,-2.28283,-1.80368,-2.40299,-3.09993,-9.11961,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84,-0.68878,-0.922789,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84
iter-0,7,3,17018422.0,0,17018422.0,49185633.0,0.0,3131389661.0,3131389661.0,77831343.0,27141911.0,50689431.0,0.0,27141911.0,-0.68878,-0.922789,-0.13485,-2.28283,-1.80368,-2.40299,-3.09993,-9.11961,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84,-0.68878,-0.922789,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84
iter-0,7,4,0.0,0,0.0,76227631.0,0.0,0.0,0.0,78565107.0,0.0,78565107.0,0.0,0.0,-0.68878,-0.922789,-0.13485,-2.28283,-1.80368,-2.40299,-3.09993,-9.11961,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84,-0.68878,-0.922789,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84
iter-0,7,5,11892655.0,0,11892655.0,29847852.0,0.0,2188248527.0,2188248527.0,49724705.0,18965176.0,30759529.0,0.0,18965176.0,-0.68878,-0.922789,-0.13485,-2.28283,-1.80368,-2.40299,-3.09993,-9.11961,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84,-0.68878,-0.922789,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84
iter-0,7,6,0.0,0,0.0,46916497.0,0.0,0.0,0.0,48352859.0,0.0,48352859.0,0.0,0.0,-0.68878,-0.922789,-0.13485,-2.28283,-1.80368,-2.40299,-3.09993,-9.11961,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84,-0.68878,-0.922789,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84
iter-0,1,1,18917799.0,0,18917799.0,41869639.0,0.0,3480874936.0,3480874936.0,73331003.0,30180554.0,43150449.0,0.0,30180554.0,0.478716,-0.0439124,-1.86374,-3.31795,-0.897679,-0.387685,-3.06589,-5.64196,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8,0.478716,-0.0439124,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8
iter-0,1,2,0.0,0,0.0,66588631.0,0.0,0.0,0.0,68634974.0,0.0,68634974.0,0.0,0.0,0.478716,-0.0439124,-1.86374,-3.31795,-0.897679,-0.387685,-3.06589,-5.64196,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8,0.478716,-0.0439124,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8
iter-0,1,3,17481096.0,0,17481096.0,66649843.0,0.0,3216521648.0,3216521648.0,96568011.0,27881712.0,68686298.0,0.0,27881712.0,0.478716,-0.0439124,-1.86374,-3.31795,-0.897679,-0.387685,-3.06589,-5.64196,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8,0.478716,-0.0439124,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8
iter-0,1,4,0.0,0,0.0,76385550.0,0.0,0.0,0.0,78727522.0,0.0,78727522.0,0.0,0.0,0.478716,-0.0439124,-1.86374,-3.31795,-0.897679,-0.387685,-3.06589,-5.64196,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8,0.478716,-0.0439124,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8
iter-0,1,5,9544891.0,0,9544891.0,37277523.0,0.0,1756259967.0,1756259967.0,53638864.0,15222955.0,38415909.0,0.0,15222955.0,0.478716,-0.0439124,-1.86374,-3.31795,-0.897679,-0.387685,-3.06589,-5.64196,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8,0.478716,-0.0439124,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8
iter-0,1,6,0.0,0,0.0,44797483.0,0.0,0.0,0.0,46167672.0,0.0,46167672.0,0.0,0.0,0.478716,-0.0439124,-1.86374,-3.31795,-0.897679,-0.387685,-3.06589,-5.64196,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8,0.478716,-0.0439124,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8
iter-0,8,1,21928581.0,0,21928581.0,40837072.0,0.0,4034858827.0,4034858827.0,77067580.0,34980141.0,42087439.0,0.0,34980141.0,-0.871574,-0.967636,-1.44246,-0.900512,-0.0619956,-4.3001,-3.57966,-3.36088,0.0361029,0.125744,0.866971,5.01075e-05,0.000263233,0.00043563,1,1707.18,-0.871574,-0.967636,0.0361029,0.125744,0.866971,5.01075e-05,0.000263233,0.00043563,1,1707.18
iter-0,8,2,0.0,0,0.0,73266416.0,0.0,0.0,0.0,75518430.0,0.0,75518430.0,0.0,0.0,-0.871574,-0.967636,-1.44246,-0.900512,-0.0619956,-4.3001,-3.57966,-3.36088,0.0361029,0.125744,0.866971,5.01075e-05,0.000263233,0.00043563,1,1707.18,-0.871574,-0.967636,0.0361029,0.125744,0.866971,5.01075e-05,0.000263233,0.00043563,1,1707.18
iter-0,8,3,23778948.0,0,23778948.0,54911861.0,0.0,4375326467.0,4375326467.0,94513785.0,37925143.0,56588642.0,0.0,37925143.0,-0.871574,-0.967636,-1.44246,-0.900512,-0.0619956,-4.3001,-3.57966,-3.36088,0.0361029,0.125744,0.866971,5.01075e-05,0.000263233,0.00043563,1,1707.18,-0.871574,-0.967636,0.0361029,0.125744,0.866971,5.01075e-05,0.000263233,0.00043563,1,1707.18
