SGAS,CONBPRES,WELL,PRESSURE,CONIPOS,DEPTH,CONJPOS,DRAWDOWN,DATE,WELLMODEL,CONKPOS,SWAT,CONIDX
0.0,300.16583251953125,R_A3,300.16583251953125,29,1633.5262451171875,41,0,2018-01-01,STANDARD,27,0.7525281310081482,17
0.0,300.40966796875,R_A3,300.40966796875,29,1637.1630859375,41,0,2018-01-01,STANDARD,28,0.04628218337893486,18
0.0,300.6535339355469,R_A3,300.6535339355469,29,1640.8001708984375,41,0,2018-01-01,STANDARD,29,0.05226979777216911,19
0.0,300.89739990234375,R_A3,300.89739990234375,29,1644.4371337890625,41,0,2018-01-01,STANDARD,30,0.8057911992073059,20
0.0,301.14129638671875,R_A3,301.14129638671875,29,1648.0740966796875,41,0,2018-01-01,STANDARD,31,0.13994601368904114,21
0.0,300.009033203125,R_A4,300.009033203125,30,1631.1873779296875,52,0,2018-01-01,STANDARD,1,0.05151934176683426,1
0.0,299.7571105957031,R_A4,299.7571105957031,31,1627.4293212890625,52,0,2018-01-01,STANDARD,1,0.04863721504807472,2
0.0,299.89520263671875,R_A4,299.89520263671875,31,1629.4896240234375,52,0,2018-01-01,STANDARD,2,0.0520753338932991,3
0.0,300.0333251953125,R_A4,300.0333251953125,31,1631.5498046875,52,0,2018-01-01,STANDARD,3,0.05323897302150726,4
0.0,300.17144775390625,R_A4,300.17144775390625,31,1633.610107421875,52,0,2018-01-01,STANDARD,4,0.0529385581612587,5
0.0,300.0901184082031,R_A4,300.0901184082031,32,1632.3968505859375,52,0,2018-01-01,STANDARD,4,0.056289657950401306,6
0.0,300.3236999511719,R_A4,300.3236999511719,32,1635.880615234375,51,0,2018-01-01,STANDARD,4,0.057290755212306976,7
0.0,300.4202575683594,R_A4,300.4202575683594,33,1637.321044921875,51,0,2018-01-01,STANDARD,4,0.05848418176174164,8
0.0,300.29644775390625,R_A4,300.29644775390625,33,1635.474609375,51,0,2018-01-01,STANDARD,3,0.056494034826755524,9
0.0,300.74395751953125,R_A4,300.74395751953125,33,1642.1485595703125,50,0,2018-01-01,STANDARD,4,0.06261570006608963,10
0.0,300.67578125,R_A4,300.67578125,34,1641.132080078125,50,0,2018-01-01,STANDARD,4,0.06255142390727997,11
0.0,300.5467224121094,R_A4,300.5467224121094,34,1639.20703125,50,0,2018-01-01,STANDARD,3,0.09832502156496048,12
0.0,300.66064453125,R_A4,300.66064453125,35,1640.9061279296875,50,0,2018-01-01,STANDARD,3,0.0954970121383667,13
0.0,300.53570556640625,R_A4,300.53570556640625,35,1639.0426025390625,50,0,2018-01-01,STANDARD,2,0.16065853834152222,14
0.0,300.72943115234375,R_A4,300.72943115234375,35,1641.93212890625,49,0,2018-01-01,STANDARD,2,0.2374390959739685,15
0.0,300.7579650878906,R_A4,300.7579650878906,36,1642.357421875,49,0,2018-01-01,STANDARD,30,0.24230048060417175,16
0.0,300.5735168457031,R_A4,300.5735168457031,36,1639.6068115234375,48,0,2018-01-01,STANDARD,30,0.19549621641635895,17
0.0,301.0526123046875,R_A4,301.0526123046875,37,1646.7513427734375,48,0,2018-01-01,STANDARD,30,0.2985859513282776,18
0.0,301.5025939941406,R_A4,301.5025939941406,38,1653.461669921875,48,0,2018-01-01,STANDARD,30,0.6481541991233826,19
0.0,301.7947998046875,R_A4,301.7947998046875,38,1657.8184814453125,47,0,2018-01-01,STANDARD,30,0.6481541991233826,20
0.0,303.8440856933594,R_A5,303.8440856933594,31,1685.026611328125,20,0,2018-01-01,STANDARD,1,1.0,1
0.0,304.0601806640625,R_A5,304.0601806640625,31,1687.3070068359375,20,0,2018-01-01,STANDARD,2,1.0,2
