DATE,CONIPOS,CONJPOS,WELL,CONKPOS,CONIDX,WELLMODEL,PRESSURE,DEPTH,SGAS,SWAT,DRAWDOWN,CONBPRES
2018-04-28,31,21,R_A5,36,23,STANDARD,292.7640380859375,1724.725341796875,1.0285601566908518e-23,1.0,0,292.7640380859375
2018-04-28,31,21,R_A5,37,24,STANDARD,302.3697814941406,1726.799072265625,2.4799754618871294e-26,1.0,0,302.3697814941406
2018-07-03,28,41,R_A3,1,1,STANDARD,280.6300354003906,1610.125732421875,0.0,0.6493726968765259,0,280.6300354003906
2018-07-03,28,41,R_A3,2,2,STANDARD,280.760986328125,1612.065185546875,0.0,0.2007964551448822,0,280.760986328125
2018-07-03,28,41,R_A3,3,3,STANDARD,280.8903503417969,1614.004638671875,0.0,0.1384856104850769,0,280.8903503417969
2018-07-03,28,41,R_A3,4,4,STANDARD,281.0197448730469,1615.944091796875,0.0,0.12344925105571747,0,281.0197448730469
2018-07-03,28,41,R_A3,5,5,STANDARD,281.1491394042969,1617.8834228515625,0.0,0.6492919921875,0,281.1491394042969
2018-07-03,28,41,R_A3,6,6,STANDARD,281.2785339355469,1619.8228759765625,0.0,0.13802921772003174,0,281.2785339355469
2018-07-03,29,41,R_A3,6,7,STANDARD,280.68927001953125,1611.54052734375,0.0,0.6494157910346985,0,280.68927001953125
2018-07-03,29,41,R_A3,7,8,STANDARD,280.8211669921875,1613.494140625,0.0,0.20396234095096588,0,280.8211669921875
2018-07-03,29,41,R_A3,8,9,STANDARD,280.95147705078125,1615.44775390625,0.0,0.18266302347183228,0,280.95147705078125
2018-07-03,29,41,R_A3,9,10,STANDARD,281.16473388671875,1617.4014892578125,0.0,0.809113085269928,0,281.16473388671875
2018-07-03,29,41,R_A3,10,11,STANDARD,281.621337890625,1619.3551025390625,0.0,0.805380642414093,0,281.621337890625
2018-07-03,29,41,R_A3,11,12,STANDARD,290.44720458984375,1621.3597412109375,0.0,0.04711462929844856,0,290.44720458984375
2018-07-03,29,41,R_A3,12,13,STANDARD,290.5846862792969,1623.4151611328125,0.0,0.055131230503320694,0,290.5846862792969
2018-07-03,29,41,R_A3,13,14,STANDARD,290.72308349609375,1625.470703125,0.0,0.3710576295852661,0,290.72308349609375
2018-07-03,29,41,R_A3,14,15,STANDARD,290.861328125,1627.526123046875,0.0,0.28937065601348877,0,290.861328125
2018-07-03,29,41,R_A3,15,16,STANDARD,291.002197265625,1629.5816650390625,0.0,0.5092471241950989,0,291.002197265625
2018-07-03,29,41,R_A3,16,17,STANDARD,291.11932373046875,1631.3564453125,0.0,0.8162175416946411,0,291.11932373046875
2018-07-03,29,41,R_A3,17,18,STANDARD,291.14300537109375,1632.229736328125,0.0,0.769116997718811,0,291.14300537109375
2018-07-03,29,41,R_A3,33,19,STANDARD,286.8036193847656,1634.0396728515625,0.0,0.1700843721628189,0,286.8036193847656
2018-07-03,29,41,R_A3,34,20,STANDARD,287.02117919921875,1637.406982421875,0.0,0.04585292935371399,0,287.02117919921875
2018-07-03,29,41,R_A3,35,21,STANDARD,287.2319030761719,1640.7744140625,0.0,0.05184090510010719,0,287.2319030761719
2018-07-03,29,41,R_A3,36,22,STANDARD,287.4184875488281,1644.1417236328125,0.0,0.6493983268737793,0,287.4184875488281
2018-07-03,29,41,R_A3,37,23,STANDARD,287.5293273925781,1647.5091552734375,0.0,0.06669704616069794,0,287.5293273925781
2018-09-12,30,52,R_A4,1,1,STANDARD,279.4671325683594,1630.163330078125,0.0,0.05313193053007126,0,279.4671325683594
2018-09-12,31,52,R_A4,1,2,STANDARD,279.2663269042969,1625.4207763671875,0.0,0.05092322453856468,0,279.2663269042969
2018-09-12,31,52,R_A4,2,3,STANDARD,279.4075012207031,1627.537841796875,0.0,0.08136546611785889,0,279.4075012207031
2018-09-12,31,52,R_A4,3,4,STANDARD,279.54864501953125,1629.6549072265625,0.0,0.05339840054512024,0,279.54864501953125
