CONKPOS,CONIPOS,WELL,CONBPRES,CONIDX,DEPTH,CONJPOS,WELLMODEL,PRESSURE,DATE,SGAS,DRAWDOWN,SWAT
6,31,R_A5,277.8037414550781,6,1696.4290771484375,20,STANDARD,277.8037414550781,2018-04-28,-2.9475356183583656e-11,0,1.0
7,31,R_A5,278.33856201171875,7,1698.70947265625,20,STANDARD,278.33856201171875,2018-04-28,-2.0945678730951295e-13,0,1.0
11,31,R_A5,277.6015625,8,1707.6488037109375,20,STANDARD,277.6015625,2018-04-28,-3.560368362978683e-12,0,1.0
12,31,R_A5,277.7832946777344,9,1709.5638427734375,20,STANDARD,277.7832946777344,2018-04-28,-4.761015366672172e-12,0,1.0
12,31,R_A5,276.4101867675781,10,1701.7845458984375,21,STANDARD,276.4101867675781,2018-04-28,-4.778431990370979e-12,0,1.0
13,31,R_A5,276.6103210449219,11,1703.735107421875,21,STANDARD,276.6103210449219,2018-04-28,-1.375449369201212e-13,0,1.0
14,31,R_A5,276.8002014160156,12,1705.6856689453125,21,STANDARD,276.8002014160156,2018-04-28,-2.676534395593816e-13,0,1.0
15,31,R_A5,277.0038146972656,13,1707.63623046875,21,STANDARD,277.0038146972656,2018-04-28,-8.532908944312509e-14,0,1.0
16,31,R_A5,277.403564453125,14,1709.5867919921875,21,STANDARD,277.403564453125,2018-04-28,-1.7315433754796355e-13,0,1.0
17,31,R_A5,277.76611328125,15,1711.537353515625,21,STANDARD,277.76611328125,2018-04-28,-1.3513261419139527e-13,0,1.0
18,31,R_A5,278.1226501464844,16,1713.35400390625,21,STANDARD,278.1226501464844,2018-04-28,-4.918098805810345e-13,0,1.0
19,31,R_A5,278.29559326171875,17,1714.3951416015625,21,STANDARD,278.29559326171875,2018-04-28,0.0,0,1.0
27,31,R_A5,278.3198547363281,18,1715.7628173828125,21,STANDARD,278.3198547363281,2018-04-28,-1.4738404453037285e-13,0,1.0
