CONKPOS,SGAS,DRAWDOWN,CONIPOS,WELL,SWAT,CONBPRES,CONIDX,CONJPOS,WELLMODEL,DATE,DEPTH,PRESSURE
9,-4.428618496227221e-12,0,17,R_A6,1.0,274.0493469238281,9,42,STANDARD,2018-11-07,1707.6153564453125,274.0493469238281
10,0.0,0,17,R_A6,1.0,274.0617980957031,10,42,STANDARD,2018-11-07,1709.162841796875,274.0617980957031
11,-1.2750580756157315e-12,0,17,R_A6,1.0,277.1312255859375,11,42,STANDARD,2018-11-07,1711.0809326171875,277.1312255859375
12,-5.577095859785053e-13,0,17,R_A6,1.0,277.34783935546875,12,42,STANDARD,2018-11-07,1713.36962890625,277.34783935546875
13,-4.512625963550877e-14,0,17,R_A6,1.0,277.57672119140625,13,42,STANDARD,2018-11-07,1715.658203125,277.57672119140625
14,-3.47342156935531e-14,0,17,R_A6,1.0,277.7938232421875,14,42,STANDARD,2018-11-07,1717.9468994140625,277.7938232421875
15,-2.3270847868041983e-14,0,17,R_A6,1.0,278.0140380859375,15,42,STANDARD,2018-11-07,1720.235595703125,278.0140380859375
16,-5.231516039599579e-15,0,17,R_A6,1.0,278.3854675292969,16,42,STANDARD,2018-11-07,1722.524169921875,278.3854675292969
17,-9.826901865481706e-15,0,17,R_A6,1.0,278.6115417480469,17,42,STANDARD,2018-11-07,1724.8128662109375,278.6115417480469
18,-8.893688398041964e-15,0,17,R_A6,1.0,278.76800537109375,18,42,STANDARD,2018-11-07,1726.424560546875,278.76800537109375
28,-2.181293221812904e-15,0,17,R_A6,1.0,279.0171203613281,19,42,STANDARD,2018-11-07,1727.7550048828125,279.0171203613281
29,1.5324128328986697e-15,0,17,R_A6,1.0,279.1935729980469,20,42,STANDARD,2018-11-07,1729.4810791015625,279.1935729980469
30,4.937796565469073e-16,0,17,R_A6,1.0,279.3570556640625,21,42,STANDARD,2018-11-07,1731.207275390625,279.3570556640625
31,1.6289634715782272e-15,0,17,R_A6,1.0,279.8263854980469,22,42,STANDARD,2018-11-07,1732.933349609375,279.8263854980469
32,4.796094094382296e-15,0,17,R_A6,1.0,279.68408203125,23,42,STANDARD,2018-11-07,1734.6595458984375,279.68408203125
