CONIPOS,DRAWDOWN,CONKPOS,CONIDX,PRESSURE,WELL,CONJPOS,DEPTH,DATE,SGAS,WELLMODEL,SWAT,CONBPRES
22,0,10,10,300.0784606933594,R_A2,30,1654.84423828125,2018-03-01,0.0,STANDARD,0.9401199817657471,300.0784606933594
22,0,11,11,299.7970275878906,R_A2,30,1656.73291015625,2018-03-01,0.0,STANDARD,0.07536779344081879,299.7970275878906
22,0,13,12,300.4386901855469,R_A2,30,1660.8953857421875,2018-03-01,0.0,STANDARD,0.46120360493659973,300.4386901855469
22,0,14,13,300.5784912109375,R_A2,30,1662.9765625,2018-03-01,0.0,STANDARD,0.5241707563400269,300.5784912109375
22,0,15,14,300.71697998046875,R_A2,30,1665.057861328125,2018-03-01,0.0,STANDARD,0.9530652165412903,300.71697998046875
22,0,16,15,300.85589599609375,R_A2,30,1667.1390380859375,2018-03-01,0.0,STANDARD,0.9668791890144348,300.85589599609375
22,0,17,16,300.99530029296875,R_A2,30,1669.22021484375,2018-03-01,0.0,STANDARD,0.954863429069519,300.99530029296875
22,0,18,17,301.0875244140625,R_A2,30,1670.5924072265625,2018-03-01,0.0,STANDARD,0.9843770265579224,301.0875244140625
22,0,26,18,301.5119323730469,R_A2,30,1671.7291259765625,2018-03-01,0.0,STANDARD,0.35798919200897217,301.5119323730469
22,0,26,19,302.3452453613281,R_A2,29,1679.22998046875,2018-03-01,-2.6622684634082516e-13,STANDARD,1.0,302.3452453613281
22,0,27,20,302.4917297363281,R_A2,29,1681.04638671875,2018-03-01,2.4808988549488223e-14,STANDARD,1.0,302.4917297363281
22,0,28,21,302.66302490234375,R_A2,29,1682.8629150390625,2018-03-01,1.6186515018959402e-14,STANDARD,1.0,302.66302490234375
22,0,29,22,303.01971435546875,R_A2,29,1684.6793212890625,2018-03-01,2.660274630022537e-19,STANDARD,1.0,303.01971435546875
22,0,30,23,302.986328125,R_A2,29,1686.495849609375,2018-03-01,2.3432628301404177e-19,STANDARD,1.0,302.986328125
31,0,1,1,276.98419189453125,R_A5,20,1684.3974609375,2018-04-28,-5.300013466297271e-12,STANDARD,1.0,276.98419189453125
31,0,2,2,277.1959533691406,R_A5,20,1686.635986328125,2018-04-28,-5.198012159590704e-12,STANDARD,1.0,277.1959533691406
31,0,3,3,277.40753173828125,R_A5,20,1688.8746337890625,2018-04-28,-5.294263291655277e-12,STANDARD,1.0,277.40753173828125
31,0,4,4,277.6188049316406,R_A5,20,1691.113037109375,2018-04-28,-1.216204003826049e-12,STANDARD,1.0,277.6188049316406
31,0,5,5,277.8305969238281,R_A5,20,1693.3515625,2018-04-28,-3.973666014289723e-12,STANDARD,1.0,277.8305969238281
31,0,6,6,278.04241943359375,R_A5,20,1695.590087890625,2018-04-28,-2.5657061111100665e-12,STANDARD,1.0,278.04241943359375
31,0,7,7,278.6056213378906,R_A5,20,1697.82861328125,2018-04-28,-5.374946839063581e-14,STANDARD,1.0,278.6056213378906
31,0,11,8,276.0242919921875,R_A5,21,1702.056396484375,2018-04-28,-6.4376982911174e-11,STANDARD,1.0,276.0242919921875
31,0,12,9,276.241943359375,R_A5,21,1704.028564453125,2018-04-28,-6.152773429635161e-11,STANDARD,1.0,276.241943359375
31,0,13,10,276.44073486328125,R_A5,21,1706.0006103515625,2018-04-28,-2.5507441211297666e-12,STANDARD,1.0,276.44073486328125
