WELLMODEL,CONIPOS,CONBPRES,PRESSURE,DRAWDOWN,WELL,CONKPOS,DATE,CONJPOS,SGAS,CONIDX,DEPTH,SWAT
STANDARD,33,300.29644775390625,300.29644775390625,0,R_A4,3,2018-01-01,51,0.0,9,1635.474609375,0.05906778573989868
STANDARD,33,300.74395751953125,300.74395751953125,0,R_A4,4,2018-01-01,50,0.0,10,1642.1485595703125,0.13861097395420074
STANDARD,34,300.67578125,300.67578125,0,R_A4,4,2018-01-01,50,0.0,11,1641.132080078125,0.13421428203582764
STANDARD,34,300.5467224121094,300.5467224121094,0,R_A4,3,2018-01-01,50,0.0,12,1639.20703125,0.1400769203901291
STANDARD,35,300.66064453125,300.66064453125,0,R_A4,3,2018-01-01,50,0.0,13,1640.9061279296875,0.23393802344799042
STANDARD,35,300.53570556640625,300.53570556640625,0,R_A4,2,2018-01-01,50,0.0,14,1639.0426025390625,0.22923102974891663
STANDARD,35,300.72943115234375,300.72943115234375,0,R_A4,2,2018-01-01,49,0.0,15,1641.93212890625,0.23608194291591644
STANDARD,36,300.7579650878906,300.7579650878906,0,R_A4,30,2018-01-01,49,0.0,16,1642.357421875,0.6481541991233826
STANDARD,36,300.5735168457031,300.5735168457031,0,R_A4,30,2018-01-01,48,0.0,17,1639.6068115234375,0.31965819001197815
STANDARD,37,301.0526123046875,301.0526123046875,0,R_A4,30,2018-01-01,48,0.0,18,1646.7513427734375,0.6481541991233826
STANDARD,38,301.5025939941406,301.5025939941406,0,R_A4,30,2018-01-01,48,0.0,19,1653.461669921875,0.6481541991233826
STANDARD,38,301.7947998046875,301.7947998046875,0,R_A4,30,2018-01-01,47,0.0,20,1657.8184814453125,0.23997251689434052
STANDARD,31,303.8440856933594,303.8440856933594,0,R_A5,1,2018-01-01,20,0.0,1,1685.026611328125,1.0
STANDARD,31,304.0601806640625,304.0601806640625,0,R_A5,2,2018-01-01,20,0.0,2,1687.3070068359375,1.0
STANDARD,31,304.27630615234375,304.27630615234375,0,R_A5,3,2018-01-01,20,0.0,3,1689.5875244140625,1.0
STANDARD,31,304.4924011230469,304.4924011230469,0,R_A5,4,2018-01-01,20,0.0,4,1691.8680419921875,1.0
STANDARD,31,304.7085266113281,304.7085266113281,0,R_A5,5,2018-01-01,20,0.0,5,1694.1485595703125,1.0
STANDARD,31,304.9246520996094,304.9246520996094,0,R_A5,6,2018-01-01,20,0.0,6,1696.4290771484375,1.0
STANDARD,31,305.446533203125,305.446533203125,0,R_A5,7,2018-01-01,20,0.0,7,1698.70947265625,1.0
STANDARD,31,305.988037109375,305.988037109375,0,R_A5,11,2018-01-01,20,0.0,8,1707.6488037109375,1.0
STANDARD,31,306.1695251464844,306.1695251464844,0,R_A5,12,2018-01-01,20,0.0,9,1709.5638427734375,1.0
STANDARD,31,305.4322814941406,305.4322814941406,0,R_A5,12,2018-01-01,21,0.0,10,1701.7845458984375,1.0
STANDARD,31,305.6291198730469,305.6291198730469,0,R_A5,13,2018-01-01,21,0.0,11,1703.735107421875,1.0
STANDARD,31,305.81396484375,305.81396484375,0,R_A5,14,2018-01-01,21,0.0,12,1705.6856689453125,1.0
STANDARD,31,305.9988098144531,305.9988098144531,0,R_A5,15,2018-01-01,21,0.0,13,1707.63623046875,1.0
STANDARD,31,306.1836853027344,306.1836853027344,0,R_A5,16,2018-01-01,21,0.0,14,1709.5867919921875,1.0
STANDARD,31,306.5135498046875,306.5135498046875,0,R_A5,17,2018-01-01,21,0.0,15,1711.537353515625,1.0
STANDARD,31,306.6856994628906,306.6856994628906,0,R_A5,18,2018-01-01,21,0.0,16,1713.35400390625,1.0
STANDARD,31,306.7843933105469,306.7843933105469,0,R_A5,19,2018-01-01,21,0.0,17,1714.3951416015625,1.0
STANDARD,31,306.75689697265625,306.75689697265625,0,R_A5,27,2018-01-01,21,0.0,18,1715.7628173828125,1.0
STANDARD,31,306.978271484375,306.978271484375,0,R_A5,28,2018-01-01,21,0.0,19,1718.098388671875,1.0
STANDARD,31,307.5054016113281,307.5054016113281,0,R_A5,29,2018-01-01,21,0.0,20,1720.43408203125,1.0
STANDARD,31,307.7267761230469,307.7267761230469,0,R_A5,30,2018-01-01,21,0.0,21,1722.7696533203125,1.0
STANDARD,31,307.9481506347656,307.9481506347656,0,R_A5,31,2018-01-01,21,0.0,22,1725.105224609375,1.0
STANDARD,17,305.11419677734375,305.11419677734375,0,R_A6,1,2018-01-01,42,0.0,1,1695.20263671875,1.0
STANDARD,17,305.2609558105469,305.2609558105469,0,R_A6,2,2018-01-01,42,0.0,2,1696.7510986328125,1.0
STANDARD,17,305.4076843261719,305.4076843261719,0,R_A6,3,2018-01-01,42,0.0,3,1698.299560546875,1.0
STANDARD,17,305.554443359375,305.554443359375,0,R_A6,4,2018-01-01,42,0.0,4,1699.84814453125,1.0
STANDARD,17,305.7012023925781,305.7012023925781,0,R_A6,5,2018-01-01,42,0.0,5,1701.3966064453125,1.0
STANDARD,17,305.84796142578125,305.84796142578125,0,R_A6,6,2018-01-01,42,0.0,6,1702.9451904296875,1.0
STANDARD,17,305.6956481933594,305.6956481933594,0,R_A6,7,2018-01-01,42,0.0,7,1704.49365234375,1.0
STANDARD,17,305.8424072265625,305.8424072265625,0,R_A6,8,2018-01-01,42,0.0,8,1706.042236328125,1.0
STANDARD,17,306.2882080078125,306.2882080078125,0,R_A6,9,2018-01-01,42,0.0,9,1707.5906982421875,1.0
STANDARD,17,306.1291809082031,306.1291809082031,0,R_A6,10,2018-01-01,42,0.0,10,1709.1392822265625,1.0
STANDARD,17,306.3109130859375,306.3109130859375,0,R_A6,11,2018-01-01,42,0.0,11,1711.055419921875,1.0
STANDARD,17,306.52734375,306.52734375,0,R_A6,12,2018-01-01,42,0.0,12,1713.3392333984375,1.0
STANDARD,17,306.7557678222656,306.7557678222656,0,R_A6,13,2018-01-01,42,0.0,13,1715.623046875,1.0
STANDARD,17,306.9721984863281,306.9721984863281,0,R_A6,14,2018-01-01,42,0.0,14,1717.9068603515625,1.0
STANDARD,17,307.18865966796875,307.18865966796875,0,R_A6,15,2018-01-01,42,0.0,15,1720.190673828125,1.0
STANDARD,17,307.55010986328125,307.55010986328125,0,R_A6,16,2018-01-01,42,0.0,16,1722.474365234375,1.0
STANDARD,17,307.7665710449219,307.7665710449219,0,R_A6,17,2018-01-01,42,0.0,17,1724.7581787109375,1.0
STANDARD,17,307.921630859375,307.921630859375,0,R_A6,18,2018-01-01,42,0.0,18,1726.394287109375,1.0
STANDARD,17,307.8930969238281,307.8930969238281,0,R_A6,27,2018-01-01,42,0.0,19,1727.7508544921875,1.0
STANDARD,17,308.3623352050781,308.3623352050781,0,R_A6,28,2018-01-01,42,0.0,20,1729.4755859375,1.0
STANDARD,17,308.52581787109375,308.52581787109375,0,R_A6,29,2018-01-01,42,0.0,21,1731.2001953125,1.0
STANDARD,17,308.68927001953125,308.68927001953125,0,R_A6,30,2018-01-01,42,0.0,22,1732.9249267578125,1.0
STANDARD,17,308.8527526855469,308.8527526855469,0,R_A6,31,2018-01-01,42,0.0,23,1734.649658203125,1.0
STANDARD,22,298.7268981933594,298.7268981933594,0,R_A2,1,2018-03-01,30,0.0,1,1641.094970703125,0.10822655260562897
STANDARD,22,298.8471984863281,298.8471984863281,0,R_A2,2,2018-03-01,30,0.0,2,1642.8890380859375,0.11059613525867462
STANDARD,22,298.96746826171875,298.96746826171875,0,R_A2,3,2018-03-01,30,0.0,3,1644.68310546875,0.07775331288576126
STANDARD,22,299.0877380371094,299.0877380371094,0,R_A2,4,2018-03-01,30,0.0,4,1646.4771728515625,0.06679880619049072
STANDARD,22,299.2080078125,299.2080078125,0,R_A2,5,2018-03-01,30,0.0,5,1648.2713623046875,0.07245761156082153
STANDARD,22,299.3282470703125,299.3282470703125,0,R_A2,6,2018-03-01,30,0.0,6,1650.0654296875,0.11854385584592819
STANDARD,22,299.44854736328125,299.44854736328125,0,R_A2,7,2018-03-01,30,0.0,7,1651.859619140625,0.6482775211334229
STANDARD,22,299.58282470703125,299.58282470703125,0,R_A2,8,2018-03-01,30,0.0,8,1653.6536865234375,0.6483485102653503
STANDARD,22,299.72869873046875,299.72869873046875,0,R_A2,9,2018-03-01,30,0.0,9,1655.44775390625,0.17345288395881653
STANDARD,22,299.7731628417969,299.7731628417969,0,R_A2,10,2018-03-01,30,0.0,10,1657.2418212890625,0.32596731185913086
STANDARD,22,299.86724853515625,299.86724853515625,0,R_A2,11,2018-03-01,30,0.0,11,1659.1368408203125,0.07781338691711426
STANDARD,22,299.9998474121094,299.9998474121094,0,R_A2,12,2018-03-01,30,0.0,12,1661.132568359375,0.07672952860593796
STANDARD,22,300.1568298339844,300.1568298339844,0,R_A2,13,2018-03-01,30,0.0,13,1663.12841796875,0.45597541332244873
STANDARD,22,300.2925720214844,300.2925720214844,0,R_A2,14,2018-03-01,30,0.0,14,1665.1241455078125,0.4974880814552307
