DRAWDOWN,WELL,CONKPOS,CONJPOS,SGAS,DATE,WELLMODEL,PRESSURE,CONIDX,SWAT,CONIPOS,CONBPRES,DEPTH
0,R_A5,11,21,0.0,2018-01-01,STANDARD,305.3297119140625,9,1.0,31,305.3297119140625,1700.7020263671875
0,R_A5,12,21,0.0,2018-01-01,STANDARD,305.5231018066406,10,1.0,31,305.5231018066406,1702.7427978515625
0,R_A5,13,21,0.0,2018-01-01,STANDARD,305.7284851074219,11,1.0,31,305.7284851074219,1704.7835693359375
0,R_A5,14,21,0.0,2018-01-01,STANDARD,305.921875,12,1.0,31,305.921875,1706.8243408203125
0,R_A5,15,21,0.0,2018-01-01,STANDARD,306.11529541015625,13,1.0,31,306.11529541015625,1708.8651123046875
0,R_A5,16,21,0.0,2018-01-01,STANDARD,306.4537048339844,14,1.0,31,306.4537048339844,1710.9058837890625
0,R_A5,17,21,0.0,2018-01-01,STANDARD,306.6412658691406,15,1.0,31,306.6412658691406,1712.884765625
0,R_A5,18,21,0.0,2018-01-01,STANDARD,306.7577819824219,16,1.0,31,306.7577819824219,1714.1142578125
0,R_A5,19,21,0.0,2018-01-01,STANDARD,306.7962341308594,17,1.0,31,306.7962341308594,1714.52001953125
0,R_A5,26,21,0.0,2018-01-01,STANDARD,306.7555847167969,18,1.0,31,306.7555847167969,1715.7486572265625
0,R_A5,27,21,0.0,2018-01-01,STANDARD,307.2687072753906,19,1.0,31,307.2687072753906,1717.9365234375
0,R_A5,28,21,0.0,2018-01-01,STANDARD,307.47607421875,20,1.0,31,307.47607421875,1720.124267578125
0,R_A5,29,21,0.0,2018-01-01,STANDARD,307.68341064453125,21,1.0,31,307.68341064453125,1722.3121337890625
0,R_A5,30,21,0.0,2018-01-01,STANDARD,307.8907775878906,22,1.0,31,307.8907775878906,1724.5
0,R_A6,1,42,0.0,2018-01-01,STANDARD,304.97943115234375,1,1.0,17,304.97943115234375,1693.780517578125
0,R_A6,2,42,0.0,2018-01-01,STANDARD,305.1239318847656,2,1.0,17,305.1239318847656,1695.30517578125
0,R_A6,3,42,0.0,2018-01-01,STANDARD,305.2684020996094,3,1.0,17,305.2684020996094,1696.829833984375
0,R_A6,4,42,0.0,2018-01-01,STANDARD,305.41290283203125,4,1.0,17,305.41290283203125,1698.3544921875
0,R_A6,5,42,0.0,2018-01-01,STANDARD,305.5574035644531,5,1.0,17,305.5574035644531,1699.879150390625
0,R_A6,6,42,0.0,2018-01-01,STANDARD,305.7018737792969,6,1.0,17,305.7018737792969,1701.40380859375
0,R_A6,7,42,0.0,2018-01-01,STANDARD,305.5473327636719,7,1.0,17,305.5473327636719,1702.928466796875
0,R_A6,8,42,0.0,2018-01-01,STANDARD,305.6918029785156,8,1.0,17,305.6918029785156,1704.4532470703125
0,R_A6,9,42,0.0,2018-01-01,STANDARD,306.1353454589844,9,1.0,17,306.1353454589844,1705.9779052734375
0,R_A6,10,42,0.0,2018-01-01,STANDARD,305.97406005859375,10,1.0,17,305.97406005859375,1707.5025634765625
0,R_A6,11,42,0.0,2018-01-01,STANDARD,306.15399169921875,11,1.0,17,306.15399169921875,1709.3997802734375
0,R_A6,12,42,0.0,2018-01-01,STANDARD,306.3691101074219,12,1.0,17,306.3691101074219,1711.6695556640625
0,R_A6,13,42,0.0,2018-01-01,STANDARD,306.59619140625,13,1.0,17,306.59619140625,1713.9393310546875
0,R_A6,14,42,0.0,2018-01-01,STANDARD,306.8113098144531,14,1.0,17,306.8113098144531,1716.2091064453125
0,R_A6,15,42,0.0,2018-01-01,STANDARD,307.02642822265625,15,1.0,17,307.02642822265625,1718.4788818359375
0,R_A6,16,42,0.0,2018-01-01,STANDARD,307.3865661621094,16,1.0,17,307.3865661621094,1720.748779296875
0,R_A6,17,42,0.0,2018-01-01,STANDARD,307.6016845703125,17,1.0,17,307.6016845703125,1723.0185546875
0,R_A6,18,42,0.0,2018-01-01,STANDARD,307.7478332519531,18,1.0,17,307.7478332519531,1724.560791015625
0,R_A6,26,42,0.0,2018-01-01,STANDARD,307.70977783203125,19,1.0,17,307.70977783203125,1725.8167724609375
0,R_A6,27,42,0.0,2018-01-01,STANDARD,307.87066650390625,20,1.0,17,307.87066650390625,1727.51416015625
0,R_A6,28,42,0.0,2018-01-01,STANDARD,308.3373107910156,21,1.0,17,308.3373107910156,1729.21142578125
0,R_A6,29,42,0.0,2018-01-01,STANDARD,308.4981689453125,22,1.0,17,308.4981689453125,1730.90869140625
0,R_A6,30,42,0.0,2018-01-01,STANDARD,308.353271484375,23,1.0,17,308.353271484375,1732.6060791015625
0,R_A2,1,30,0.0,2018-03-01,STANDARD,298.2340087890625,1,0.054650649428367615,22,298.2340087890625,1641.764892578125
0,R_A2,2,30,0.0,2018-03-01,STANDARD,298.352783203125,2,0.05581752955913544,22,298.352783203125,1643.53564453125
0,R_A2,3,30,0.0,2018-03-01,STANDARD,298.47174072265625,3,0.05781584605574608,22,298.47174072265625,1645.3065185546875
0,R_A2,4,30,0.0,2018-03-01,STANDARD,298.5906982421875,4,0.0638471320271492,22,298.5906982421875,1647.0772705078125
0,R_A2,5,30,0.0,2018-03-01,STANDARD,298.7095947265625,5,0.06708279997110367,22,298.7095947265625,1648.8480224609375
0,R_A2,6,30,0.0,2018-03-01,STANDARD,298.94281005859375,6,0.319009393453598,22,298.94281005859375,1650.618896484375
0,R_A2,7,30,0.0,2018-03-01,STANDARD,299.1473083496094,7,0.8734414577484131,22,299.1473083496094,1652.3896484375
0,R_A2,8,30,0.0,2018-03-01,STANDARD,299.4114685058594,8,0.842194676399231,22,299.4114685058594,1654.1605224609375
0,R_A2,9,30,0.0,2018-03-01,STANDARD,299.5693359375,9,0.6484401822090149,22,299.5693359375,1655.9312744140625
0,R_A2,10,30,0.0,2018-03-01,STANDARD,299.89044189453125,10,0.8908816576004028,22,299.89044189453125,1657.7020263671875
0,R_A2,11,30,0.0,2018-03-01,STANDARD,299.8641052246094,11,0.06974989175796509,22,299.8641052246094,1659.62109375
0,R_A2,12,30,0.0,2018-03-01,STANDARD,300.531982421875,12,0.07157159596681595,22,300.531982421875,1661.688232421875
0,R_A2,13,30,0.0,2018-03-01,STANDARD,300.5820617675781,13,0.4355545938014984,22,300.5820617675781,1663.7554931640625
0,R_A2,14,30,0.0,2018-03-01,STANDARD,300.7208557128906,14,0.47286686301231384,22,300.7208557128906,1665.82275390625
0,R_A2,15,30,0.0,2018-03-01,STANDARD,300.85882568359375,15,0.9101811647415161,22,300.85882568359375,1667.889892578125
0,R_A2,16,30,0.0,2018-03-01,STANDARD,300.9964294433594,16,0.9376918077468872,22,300.9964294433594,1669.9571533203125
0,R_A2,17,30,0.0,2018-03-01,STANDARD,301.13458251953125,17,0.8848534226417542,22,301.13458251953125,1672.0244140625
0,R_A2,18,30,0.0,2018-03-01,STANDARD,301.2586364746094,18,0.9450209736824036,22,301.2586364746094,1673.87548828125
0,R_A2,18,29,0.0,2018-03-01,STANDARD,301.2100524902344,19,0.9715192317962646,22,301.2100524902344,1675.7783203125
0,R_A2,26,29,0.0,2018-03-01,STANDARD,301.67535400390625,20,0.15418227016925812,22,301.67535400390625,1677.560791015625
0,R_A2,27,29,0.0,2018-03-01,STANDARD,302.510009765625,21,0.7957338690757751,22,302.510009765625,1679.3070068359375
0,R_A2,28,29,0.0,2018-03-01,STANDARD,302.76788330078125,22,0.8461675047874451,22,302.76788330078125,1681.05322265625
0,R_A2,29,29,-1.8807501389606074e-10,2018-03-01,STANDARD,302.0452880859375,23,1.0,22,302.0452880859375,1682.7994384765625
0,R_A2,30,29,-1.595082643746082e-08,2018-03-01,STANDARD,302.1101989746094,24,0.9999998211860657,22,302.1101989746094,1684.545654296875
0,R_A5,1,20,-1.4432300909916762e-09,2018-04-28,STANDARD,283.3982238769531,1,1.0,31,283.3982238769531,1685.7657470703125
0,R_A5,2,20,-1.4341826615194009e-09,2018-04-28,STANDARD,283.595947265625,2,1.0,31,283.595947265625,1687.85546875
0,R_A5,3,20,-1.4387192548426242e-09,2018-04-28,STANDARD,283.7935791015625,3,1.0,31,283.7935791015625,1689.9453125
0,R_A5,4,20,-1.4262478975624049e-09,2018-04-28,STANDARD,283.99127197265625,4,1.0,31,283.99127197265625,1692.0350341796875
0,R_A5,5,20,-9.613281282128128e-10,2018-04-28,STANDARD,284.1887512207031,5,1.0,31,284.1887512207031,1694.1248779296875
0,R_A5,6,20,-1.1147455181159671e-09,2018-04-28,STANDARD,284.386474609375,6,1.0,31,284.386474609375,1696.214599609375
0,R_A5,7,20,-1.6007943234863653e-11,2018-04-28,STANDARD,284.909912109375,7,1.0,31,284.909912109375,1698.3043212890625
0,R_A5,8,20,-1.2821386747435826e-12,2018-04-28,STANDARD,285.6135559082031,8,1.0,31,285.6135559082031,1700.39404296875
0,R_A5,11,21,-2.3692174958012124e-11,2018-04-28,STANDARD,282.67401123046875,9,1.0,31,282.67401123046875,1700.7020263671875
0,R_A5,12,21,-1.581200274880512e-11,2018-04-28,STANDARD,282.86083984375,10,1.0,31,282.86083984375,1702.7427978515625
0,R_A5,13,21,-1.0515633502850008e-12,2018-04-28,STANDARD,283.0651550292969,11,1.0,31,283.0651550292969,1704.7835693359375
0,R_A5,14,21,-2.0357441623544085e-15,2018-04-28,STANDARD,283.2558288574219,12,1.0,31,283.2558288574219,1706.8243408203125
0,R_A5,15,21,-1.8772251819416247e-13,2018-04-28,STANDARD,283.452392578125,13,1.0,31,283.452392578125,1708.8651123046875
0,R_A5,16,21,-2.7688998825974726e-14,2018-04-28,STANDARD,283.7940673828125,14,1.0,31,283.7940673828125,1710.9058837890625
0,R_A5,17,21,-3.9525962391333616e-14,2018-04-28,STANDARD,283.98345947265625,15,1.0,31,283.98345947265625,1712.884765625
0,R_A5,18,21,0.0,2018-04-28,STANDARD,284.0993347167969,16,1.0,31,284.0993347167969,1714.1142578125
0,R_A5,19,21,0.0,2018-04-28,STANDARD,284.1376953125,17,1.0,31,284.1376953125,1714.52001953125
0,R_A5,26,21,-4.283696336017384e-15,2018-04-28,STANDARD,283.220703125,18,1.0,31,283.220703125,1715.7486572265625
0,R_A5,27,21,-2.6487829873802875e-15,2018-04-28,STANDARD,283.7078857421875,19,1.0,31,283.7078857421875,1717.9365234375
0,R_A5,28,21,-1.5933755875919949e-22,2018-04-28,STANDARD,295.1718444824219,20,1.0,31,295.1718444824219,1720.124267578125
0,R_A5,29,21,-6.903562384165167e-24,2018-04-28,STANDARD,303.4757080078125,21,1.0,31,303.4757080078125,1722.3121337890625
