CONKPOS,DATE,CONBPRES,CONIDX,DRAWDOWN,CONJPOS,PRESSURE,SWAT,WELL,CONIPOS,SGAS,WELLMODEL,DEPTH
8,2018-01-01,306.1414489746094,8,0,42,306.1414489746094,1.0,R_A6,17,0.0,STANDARD,1706.042236328125
9,2018-01-01,306.2882080078125,9,0,42,306.2882080078125,1.0,R_A6,17,0.0,STANDARD,1707.5906982421875
10,2018-01-01,306.1291809082031,10,0,42,306.1291809082031,1.0,R_A6,17,0.0,STANDARD,1709.1392822265625
11,2018-01-01,306.3109130859375,11,0,42,306.3109130859375,1.0,R_A6,17,0.0,STANDARD,1711.055419921875
12,2018-01-01,306.52734375,12,0,42,306.52734375,1.0,R_A6,17,0.0,STANDARD,1713.3392333984375
13,2018-01-01,306.7557678222656,13,0,42,306.7557678222656,1.0,R_A6,17,0.0,STANDARD,1715.623046875
14,2018-01-01,306.9721984863281,14,0,42,306.9721984863281,1.0,R_A6,17,0.0,STANDARD,1717.9068603515625
15,2018-01-01,307.18865966796875,15,0,42,307.18865966796875,1.0,R_A6,17,0.0,STANDARD,1720.190673828125
16,2018-01-01,307.55010986328125,16,0,42,307.55010986328125,1.0,R_A6,17,0.0,STANDARD,1722.474365234375
17,2018-01-01,307.7665710449219,17,0,42,307.7665710449219,1.0,R_A6,17,0.0,STANDARD,1724.7581787109375
18,2018-01-01,307.921630859375,18,0,42,307.921630859375,1.0,R_A6,17,0.0,STANDARD,1726.394287109375
27,2018-01-01,307.8930969238281,19,0,42,307.8930969238281,1.0,R_A6,17,0.0,STANDARD,1727.7508544921875
28,2018-01-01,308.3623352050781,20,0,42,308.3623352050781,1.0,R_A6,17,0.0,STANDARD,1729.4755859375
29,2018-01-01,308.52581787109375,21,0,42,308.52581787109375,1.0,R_A6,17,0.0,STANDARD,1731.2001953125
30,2018-01-01,308.68927001953125,22,0,42,308.68927001953125,1.0,R_A6,17,0.0,STANDARD,1732.9249267578125
31,2018-01-01,308.5469665527344,23,0,42,308.5469665527344,1.0,R_A6,17,0.0,STANDARD,1734.649658203125
1,2018-03-01,298.36016845703125,1,0,30,298.36016845703125,0.05674509331583977,R_A2,22,0.0,STANDARD,1641.094970703125
2,2018-03-01,298.48040771484375,2,0,30,298.48040771484375,0.05778961256146431,R_A2,22,0.0,STANDARD,1642.8890380859375
3,2018-03-01,298.6006164550781,3,0,30,298.6006164550781,0.06005009263753891,R_A2,22,0.0,STANDARD,1644.68310546875
4,2018-03-01,298.7208557128906,4,0,30,298.7208557128906,0.0677243173122406,R_A2,22,0.0,STANDARD,1646.4771728515625
5,2018-03-01,298.84112548828125,5,0,30,298.84112548828125,0.06892507523298264,R_A2,22,0.0,STANDARD,1648.2713623046875
6,2018-03-01,298.97845458984375,6,0,30,298.97845458984375,0.3106529712677002,R_A2,22,0.0,STANDARD,1650.0654296875
7,2018-03-01,299.1077880859375,7,0,30,299.1077880859375,0.8913176655769348,R_A2,22,0.0,STANDARD,1651.859619140625
8,2018-03-01,299.2340087890625,8,0,30,299.2340087890625,0.8773499131202698,R_A2,22,0.0,STANDARD,1653.6536865234375
9,2018-03-01,299.50775146484375,9,0,30,299.50775146484375,0.9037758111953735,R_A2,22,0.0,STANDARD,1655.44775390625
10,2018-03-01,299.7715148925781,10,0,30,299.7715148925781,0.9149130582809448,R_A2,22,0.0,STANDARD,1657.2418212890625
11,2018-03-01,299.86895751953125,11,0,30,299.86895751953125,0.07619810849428177,R_A2,22,0.0,STANDARD,1659.1368408203125
12,2018-03-01,300.0014343261719,12,0,30,300.0014343261719,0.07749766856431961,R_A2,22,0.0,STANDARD,1661.132568359375
13,2018-03-01,300.15777587890625,13,0,30,300.15777587890625,0.46198275685310364,R_A2,22,0.0,STANDARD,1663.12841796875
14,2018-03-01,300.2936706542969,14,0,30,300.2936706542969,0.5060723423957825,R_A2,22,0.0,STANDARD,1665.1241455078125
15,2018-03-01,300.4306640625,15,0,30,300.4306640625,0.6888588070869446,R_A2,22,0.0,STANDARD,1667.1199951171875
16,2018-03-01,300.56488037109375,16,0,30,300.56488037109375,0.970399796962738,R_A2,22,0.0,STANDARD,1669.11572265625
17,2018-03-01,300.69927978515625,17,0,30,300.69927978515625,0.9495918154716492,R_A2,22,0.0,STANDARD,1671.111572265625
18,2018-03-01,300.8252868652344,18,0,30,300.8252868652344,0.9828848242759705,R_A2,22,0.0,STANDARD,1672.9881591796875
18,2018-03-01,300.8260803222656,19,0,29,300.8260803222656,0.9966234564781189,R_A2,22,0.0,STANDARD,1674.229736328125
27,2018-03-01,302.45562744140625,20,0,29,302.45562744140625,1.0,R_A2,22,-6.755060955043746e-10,STANDARD,1676.1676025390625
28,2018-03-01,303.2388610839844,21,0,29,303.2388610839844,1.0,R_A2,22,2.3447087160017662e-20,STANDARD,1677.9368896484375
29,2018-03-01,303.5391540527344,22,0,29,303.5391540527344,1.0,R_A2,22,2.3127538565217904e-20,STANDARD,1679.7061767578125
30,2018-03-01,303.74896240234375,23,0,29,303.74896240234375,1.0,R_A2,22,4.5193965963243664e-20,STANDARD,1681.4754638671875
31,2018-03-01,303.922119140625,24,0,29,303.922119140625,1.0,R_A2,22,4.362263299212262e-20,STANDARD,1683.2447509765625
1,2018-04-28,274.31243896484375,1,0,20,274.31243896484375,1.0,R_A5,31,-1.0886559564254623e-14,STANDARD,1685.026611328125
2,2018-04-28,274.52838134765625,2,0,20,274.52838134765625,1.0,R_A5,31,-1.108321943878339e-14,STANDARD,1687.3070068359375
3,2018-04-28,274.7443542480469,3,0,20,274.7443542480469,1.0,R_A5,31,-1.0106901311690824e-14,STANDARD,1689.5875244140625
4,2018-04-28,274.96002197265625,4,0,20,274.96002197265625,1.0,R_A5,31,-1.0953339641816152e-14,STANDARD,1691.8680419921875
5,2018-04-28,275.1755676269531,5,0,20,275.1755676269531,1.0,R_A5,31,-1.061461963653863e-14,STANDARD,1694.1485595703125
6,2018-04-28,275.3912048339844,6,0,20,275.3912048339844,1.0,R_A5,31,-8.35091222654025e-15,STANDARD,1696.4290771484375
7,2018-04-28,275.92779541015625,7,0,20,275.92779541015625,1.0,R_A5,31,-2.571961969503769e-15,STANDARD,1698.70947265625
11,2018-04-28,278.4685974121094,8,0,20,278.4685974121094,1.0,R_A5,31,2.8751313396052636e-12,STANDARD,1707.6488037109375
12,2018-04-28,278.6465148925781,9,0,20,278.6465148925781,1.0,R_A5,31,1.1652955076574267e-12,STANDARD,1709.5638427734375
12,2018-04-28,276.5517578125,10,0,21,276.5517578125,1.0,R_A5,31,-3.947128388026577e-11,STANDARD,1701.7845458984375
13,2018-04-28,276.74945068359375,11,0,21,276.74945068359375,1.0,R_A5,31,-3.0201492348669312e-12,STANDARD,1703.735107421875
14,2018-04-28,276.9353332519531,12,0,21,276.9353332519531,1.0,R_A5,31,-4.163201901274949e-12,STANDARD,1705.6856689453125
15,2018-04-28,278.1199035644531,13,0,21,278.1199035644531,1.0,R_A5,31,-4.91640105362845e-12,STANDARD,1707.63623046875
16,2018-04-28,279.43182373046875,14,0,21,279.43182373046875,1.0,R_A5,31,-2.3861995279012005e-12,STANDARD,1709.5867919921875
17,2018-04-28,279.6355285644531,15,0,21,279.6355285644531,1.0,R_A5,31,-6.913485083893944e-13,STANDARD,1711.537353515625
18,2018-04-28,279.8434753417969,16,0,21,279.8434753417969,1.0,R_A5,31,-1.28326299239645e-12,STANDARD,1713.35400390625
19,2018-04-28,279.9649658203125,17,0,21,279.9649658203125,1.0,R_A5,31,0.0,STANDARD,1714.3951416015625
27,2018-04-28,279.94305419921875,18,0,21,279.94305419921875,1.0,R_A5,31,1.834885799615986e-14,STANDARD,1715.7628173828125
28,2018-04-28,280.2652282714844,19,0,21,280.2652282714844,1.0,R_A5,31,3.420259748706557e-14,STANDARD,1718.098388671875
29,2018-04-28,292.1556396484375,20,0,21,292.1556396484375,1.0,R_A5,31,-2.65196002699383e-21,STANDARD,1720.43408203125
30,2018-04-28,294.4524841308594,21,0,21,294.4524841308594,1.0,R_A5,31,4.008687854433311e-19,STANDARD,1722.7696533203125
31,2018-04-28,287.8956604003906,22,0,21,287.8956604003906,1.0,R_A5,31,2.4040365442161253e-14,STANDARD,1725.105224609375
1,2018-07-03,279.0684814453125,1,0,41,279.0684814453125,0.6497035622596741,R_A3,28,0.0,STANDARD,1609.243408203125
2,2018-07-03,279.2033996582031,2,0,41,279.2033996582031,0.19762907922267914,R_A3,28,0.0,STANDARD,1611.3077392578125
3,2018-07-03,279.3410339355469,3,0,41,279.3410339355469,0.15090014040470123,R_A3,28,0.0,STANDARD,1613.3720703125
4,2018-07-03,279.4937438964844,4,0,41,279.4937438964844,0.6760780811309814,R_A3,28,0.0,STANDARD,1615.4365234375
5,2018-07-03,281.38525390625,5,0,41,281.38525390625,0.7907571196556091,R_A3,28,0.0,STANDARD,1617.5008544921875
6,2018-07-03,281.6329345703125,6,0,41,281.6329345703125,0.649345338344574,R_A3,28,0.0,STANDARD,1619.565185546875
6,2018-07-03,280.8311767578125,7,0,41,280.8311767578125,0.6493293642997742,R_A3,29,0.0,STANDARD,1609.3663330078125
7,2018-07-03,281.0170593261719,8,0,41,281.0170593261719,0.19868770241737366,R_A3,29,0.0,STANDARD,1611.4163818359375
8,2018-07-03,281.1543884277344,9,0,41,281.1543884277344,0.20127299427986145,R_A3,29,0.0,STANDARD,1613.46630859375
9,2018-07-03,281.3697204589844,10,0,41,281.3697204589844,0.7986660003662109,R_A3,29,0.0,STANDARD,1615.516357421875
10,2018-07-03,282.5775146484375,11,0,41,282.5775146484375,0.8003829717636108,R_A3,29,0.0,STANDARD,1617.5662841796875
11,2018-07-03,282.74224853515625,12,0,41,282.74224853515625,0.0491853803396225,R_A3,29,0.0,STANDARD,1619.750732421875
12,2018-07-03,282.8970642089844,13,0,41,282.8970642089844,0.05447456240653992,R_A3,29,0.0,STANDARD,1622.0697021484375
13,2018-07-03,283.0522766113281,14,0,41,283.0522766113281,0.3684467673301697,R_A3,29,0.0,STANDARD,1624.388671875
15,2018-07-03,283.54156494140625,15,0,41,283.54156494140625,0.5007584095001221,R_A3,29,0.0,STANDARD,1629.026611328125
16,2018-07-03,283.6763916015625,16,0,41,283.6763916015625,0.802078127861023,R_A3,29,0.0,STANDARD,1630.9468994140625
27,2018-07-03,283.654541015625,17,0,41,283.654541015625,0.654643714427948,R_A3,29,0.0,STANDARD,1633.5262451171875
28,2018-07-03,283.8938903808594,18,0,41,283.8938903808594,0.04682384431362152,R_A3,29,0.0,STANDARD,1637.1630859375
29,2018-07-03,284.1367492675781,19,0,41,284.1367492675781,0.05225004255771637,R_A3,29,0.0,STANDARD,1640.8001708984375
30,2018-07-03,284.4000244140625,20,0,41,284.4000244140625,0.6739178895950317,R_A3,29,0.0,STANDARD,1644.4371337890625
31,2018-07-03,284.6273498535156,21,0,41,284.6273498535156,0.06577920913696289,R_A3,29,0.0,STANDARD,1648.0740966796875
1,2018-09-12,275.1264343261719,1,0,52,275.1264343261719,0.051739051938056946,R_A4,30,0.0,STANDARD,1631.1873779296875
1,2018-09-12,275.0661926269531,2,0,52,275.0661926269531,0.049418047070503235,R_A4,31,0.0,STANDARD,1627.4293212890625
2,2018-09-12,275.20343017578125,3,0,52,275.20343017578125,0.052278563380241394,R_A4,31,0.0,STANDARD,1629.4896240234375
3,2018-09-12,275.3406982421875,4,0,52,275.3406982421875,0.054249271750450134,R_A4,31,0.0,STANDARD,1631.5498046875
4,2018-09-12,275.47796630859375,5,0,52,275.47796630859375,0.055882833898067474,R_A4,31,0.0,STANDARD,1633.610107421875
4,2018-09-12,275.58721923828125,6,0,52,275.58721923828125,0.05771017074584961,R_A4,32,0.0,STANDARD,1632.3968505859375
4,2018-09-12,275.71844482421875,7,0,51,275.71844482421875,0.058234307914972305,R_A4,32,0.0,STANDARD,1635.880615234375
4,2018-09-12,276.0294494628906,8,0,51,276.0294494628906,0.06091522052884102,R_A4,33,0.0,STANDARD,1637.321044921875
3,2018-09-12,275.9064025878906,9,0,51,275.9064025878906,0.05832177400588989,R_A4,33,0.0,STANDARD,1635.474609375
4,2018-09-12,276.334228515625,10,0,50,276.334228515625,0.27835941314697266,R_A4,33,0.0,STANDARD,1642.1485595703125
4,2018-09-12,276.4112854003906,11,0,50,276.4112854003906,0.6517939567565918,R_A4,34,0.0,STANDARD,1641.132080078125
3,2018-09-12,276.2832946777344,12,0,50,276.2832946777344,0.09681286662817001,R_A4,34,0.0,STANDARD,1639.20703125
3,2018-09-12,276.5389099121094,13,0,50,276.5389099121094,0.16249914467334747,R_A4,35,0.0,STANDARD,1640.9061279296875
2,2018-09-12,276.4146728515625,14,0,50,276.4146728515625,0.1879720389842987,R_A4,35,0.0,STANDARD,1639.0426025390625
2,2018-09-12,276.46807861328125,15,0,49,276.46807861328125,0.23936827480793,R_A4,35,0.0,STANDARD,1641.93212890625
30,2018-09-12,276.923583984375,16,0,49,276.923583984375,0.09688310325145721,R_A4,36,0.0,STANDARD,1642.357421875
30,2018-09-12,276.58001708984375,17,0,48,276.58001708984375,0.05930890887975693,R_A4,36,0.0,STANDARD,1639.6068115234375
30,2018-09-12,277.19158935546875,18,0,48,277.19158935546875,0.07467816770076752,R_A4,37,0.0,STANDARD,1646.7513427734375
30,2018-09-12,277.7836608886719,19,0,48,277.7836608886719,0.6921212077140808,R_A4,38,0.0,STANDARD,1653.461669921875
30,2018-09-12,277.99444580078125,20,0,47,277.99444580078125,0.18814431130886078,R_A4,38,0.0,STANDARD,1657.8184814453125
1,2018-11-07,274.3548889160156,1,0,42,274.3548889160156,1.0,R_A6,17,3.6819870398821744e-17,STANDARD,1695.20263671875
2,2018-11-07,274.4998474121094,2,0,42,274.4998474121094,1.0,R_A6,17,2.8430885867717205e-17,STANDARD,1696.7510986328125
3,2018-11-07,274.6415100097656,3,0,42,274.6415100097656,1.0,R_A6,17,1.757271261422145e-17,STANDARD,1698.299560546875
4,2018-11-07,274.7791442871094,4,0,42,274.7791442871094,1.0,R_A6,17,1.405349089608807e-17,STANDARD,1699.84814453125
5,2018-11-07,274.9144592285156,5,0,42,274.9144592285156,1.0,R_A6,17,2.3080933128630438e-17,STANDARD,1701.3966064453125
6,2018-11-07,275.0526123046875,6,0,42,275.0526123046875,1.0,R_A6,17,6.996883897058626e-16,STANDARD,1702.9451904296875
7,2018-11-07,274.89825439453125,7,0,42,274.89825439453125,1.0,R_A6,17,1.3136197756999108e-15,STANDARD,1704.49365234375
8,2018-11-07,275.3421936035156,8,0,42,275.3421936035156,1.0,R_A6,17,4.8573901762408354e-17,STANDARD,1706.042236328125
9,2018-11-07,275.4845275878906,9,0,42,275.4845275878906,1.0,R_A6,17,3.916782256755351e-17,STANDARD,1707.5906982421875
10,2018-11-07,275.3161926269531,10,0,42,275.3161926269531,1.0,R_A6,17,2.237183632046295e-15,STANDARD,1709.1392822265625
11,2018-11-07,275.47821044921875,11,0,42,275.47821044921875,1.0,R_A6,17,1.7228697792755752e-15,STANDARD,1711.055419921875
12,2018-11-07,275.6945495605469,12,0,42,275.6945495605469,1.0,R_A6,17,1.0025000213713148e-15,STANDARD,1713.3392333984375
13,2018-11-07,275.9238586425781,13,0,42,275.9238586425781,1.0,R_A6,17,4.9696557907210224e-17,STANDARD,1715.623046875
14,2018-11-07,276.1424560546875,14,0,42,276.1424560546875,1.0,R_A6,17,2.2289801047172472e-17,STANDARD,1717.9068603515625
15,2018-11-07,276.3937072753906,15,0,42,276.3937072753906,1.0,R_A6,17,1.739115308721096e-17,STANDARD,1720.190673828125
