CONKPOS,WELL,DEPTH,PRESSURE,CONBPRES,CONIPOS,DRAWDOWN,CONIDX,SGAS,DATE,SWAT,WELLMODEL,CONJPOS
11,R_A6,1711.47802734375,278.68316650390625,278.68316650390625,17,0,11,-5.517152828885853e-14,2018-11-07,1.0,STANDARD,42
12,R_A6,1713.8416748046875,279.00506591796875,279.00506591796875,17,0,12,-8.379952412323685e-14,2018-11-07,1.0,STANDARD,42
13,R_A6,1716.2052001953125,279.4043884277344,279.4043884277344,17,0,13,-1.1062999068266535e-14,2018-11-07,1.0,STANDARD,42
14,R_A6,1718.56884765625,279.629638671875,279.629638671875,17,0,14,-1.0095766216566219e-14,2018-11-07,1.0,STANDARD,42
15,R_A6,1720.9324951171875,279.8699645996094,279.8699645996094,17,0,15,-7.077185161557175e-15,2018-11-07,1.0,STANDARD,42
16,R_A6,1723.296142578125,280.2889099121094,280.2889099121094,17,0,16,-2.8757488537288663e-15,2018-11-07,1.0,STANDARD,42
17,R_A6,1725.6539306640625,280.59515380859375,280.59515380859375,17,0,17,-2.9238783245830397e-15,2018-11-07,1.0,STANDARD,42
18,R_A6,1727.0699462890625,280.791259765625,280.791259765625,17,0,18,-3.1664492906771213e-15,2018-11-07,1.0,STANDARD,42
29,R_A6,1728.1732177734375,280.8064270019531,280.8064270019531,17,0,19,-2.5724574922482424e-13,2018-11-07,1.0,STANDARD,42
30,R_A6,1729.8995361328125,280.9853515625,280.9853515625,17,0,20,-9.014336044103899e-14,2018-11-07,1.0,STANDARD,42
31,R_A6,1731.6259765625,281.54571533203125,281.54571533203125,17,0,21,-1.631591963044323e-14,2018-11-07,1.0,STANDARD,42
32,R_A6,1733.352294921875,282.0790710449219,282.0790710449219,17,0,22,-5.93963113451325e-20,2018-11-07,1.0,STANDARD,42
33,R_A6,1735.07861328125,281.45196533203125,281.45196533203125,17,0,23,-4.482314974236677e-15,2018-11-07,1.0,STANDARD,42
