SWAT,CONJPOS,DATE,CONBPRES,WELLMODEL,SGAS,WELL,PRESSURE,DRAWDOWN,DEPTH,CONKPOS,CONIDX,CONIPOS
1.0,21,2018-01-01,305.8157043457031,STANDARD,0.0,R_A5,305.8157043457031,0,1705.7041015625,13,11,31
1.0,21,2018-01-01,306.0079345703125,STANDARD,0.0,R_A5,306.0079345703125,0,1707.7322998046875,14,12,31
1.0,21,2018-01-01,306.2001647949219,STANDARD,0.0,R_A5,306.2001647949219,0,1709.7606201171875,15,13,31
1.0,21,2018-01-01,306.5373840332031,STANDARD,0.0,R_A5,306.5373840332031,0,1711.788818359375,16,14,31
1.0,21,2018-01-01,306.72607421875,STANDARD,0.0,R_A5,306.72607421875,0,1713.77978515625,17,15,31
1.0,21,2018-01-01,306.8426513671875,STANDARD,0.0,R_A5,306.8426513671875,0,1715.009765625,18,16,31
1.0,21,2018-01-01,306.82275390625,STANDARD,0.0,R_A5,306.82275390625,0,1716.4573974609375,26,17,31
1.0,21,2018-01-01,307.029052734375,STANDARD,0.0,R_A5,307.029052734375,0,1718.63427734375,27,18,31
1.0,21,2018-01-01,307.5411376953125,STANDARD,0.0,R_A5,307.5411376953125,0,1720.81103515625,28,19,31
1.0,21,2018-01-01,307.7474670410156,STANDARD,0.0,R_A5,307.7474670410156,0,1722.9879150390625,29,20,31
1.0,21,2018-01-01,307.9537658691406,STANDARD,0.0,R_A5,307.9537658691406,0,1725.1646728515625,30,21,31
1.0,42,2018-01-01,304.99102783203125,STANDARD,0.0,R_A6,304.99102783203125,0,1693.9029541015625,1,1,17
1.0,42,2018-01-01,305.1358642578125,STANDARD,0.0,R_A6,305.1358642578125,0,1695.4310302734375,2,2,17
1.0,42,2018-01-01,305.2806701660156,STANDARD,0.0,R_A6,305.2806701660156,0,1696.959228515625,3,3,17
1.0,42,2018-01-01,305.42547607421875,STANDARD,0.0,R_A6,305.42547607421875,0,1698.4873046875,4,4,17
1.0,42,2018-01-01,305.5703125,STANDARD,0.0,R_A6,305.5703125,0,1700.015380859375,5,5,17
1.0,42,2018-01-01,305.7151184082031,STANDARD,0.0,R_A6,305.7151184082031,0,1701.54345703125,6,6,17
1.0,42,2018-01-01,305.5608825683594,STANDARD,0.0,R_A6,305.5608825683594,0,1703.071533203125,7,7,17
1.0,42,2018-01-01,305.7056884765625,STANDARD,0.0,R_A6,305.7056884765625,0,1704.5997314453125,8,8,17
1.0,42,2018-01-01,306.1495666503906,STANDARD,0.0,R_A6,306.1495666503906,0,1706.1278076171875,9,9,17
1.0,42,2018-01-01,305.98858642578125,STANDARD,0.0,R_A6,305.98858642578125,0,1707.6558837890625,10,10,17
1.0,42,2018-01-01,306.1698303222656,STANDARD,0.0,R_A6,306.1698303222656,0,1709.5667724609375,11,11,17
1.0,42,2018-01-01,306.3871765136719,STANDARD,0.0,R_A6,306.3871765136719,0,1711.8603515625,12,12,17
1.0,42,2018-01-01,306.61651611328125,STANDARD,0.0,R_A6,306.61651611328125,0,1714.1539306640625,13,13,17
1.0,42,2018-01-01,306.8338928222656,STANDARD,0.0,R_A6,306.8338928222656,0,1716.4473876953125,14,14,17
1.0,42,2018-01-01,307.05126953125,STANDARD,0.0,R_A6,307.05126953125,0,1718.740966796875,15,15,17
1.0,42,2018-01-01,307.41363525390625,STANDARD,0.0,R_A6,307.41363525390625,0,1721.0345458984375,16,16,17
1.0,42,2018-01-01,307.6310119628906,STANDARD,0.0,R_A6,307.6310119628906,0,1723.328125,17,17,17
1.0,42,2018-01-01,307.7724914550781,STANDARD,0.0,R_A6,307.7724914550781,0,1724.8209228515625,18,18,17
1.0,42,2018-01-01,307.7288818359375,STANDARD,0.0,R_A6,307.7288818359375,0,1726.018310546875,26,19,17
1.0,42,2018-01-01,307.8902587890625,STANDARD,0.0,R_A6,307.8902587890625,0,1727.720947265625,27,20,17
1.0,42,2018-01-01,308.357421875,STANDARD,0.0,R_A6,308.357421875,0,1729.423583984375,28,21,17
1.0,42,2018-01-01,308.518798828125,STANDARD,0.0,R_A6,308.518798828125,0,1731.1263427734375,29,22,17
1.0,42,2018-01-01,308.3743896484375,STANDARD,0.0,R_A6,308.3743896484375,0,1732.8289794921875,30,23,17
0.05328389257192612,30,2018-03-01,298.4317932128906,STANDARD,0.0,R_A2,298.4317932128906,0,1641.253662109375,1,1,22
0.05468979850411415,30,2018-03-01,298.5508117675781,STANDARD,0.0,R_A2,298.5508117675781,0,1643.0296630859375,2,2,22
0.05770212784409523,30,2018-03-01,298.6698303222656,STANDARD,0.0,R_A2,298.6698303222656,0,1644.8056640625,3,3,22
0.06495460122823715,30,2018-03-01,298.78887939453125,STANDARD,0.0,R_A2,298.78887939453125,0,1646.5816650390625,4,4,22
0.0665680468082428,30,2018-03-01,298.9079284667969,STANDARD,0.0,R_A2,298.9079284667969,0,1648.357666015625,5,5,22
0.30869004130363464,30,2018-03-01,299.1083679199219,STANDARD,0.0,R_A2,299.1083679199219,0,1650.1337890625,6,6,22
0.8602119088172913,30,2018-03-01,299.4568176269531,STANDARD,0.0,R_A2,299.4568176269531,0,1651.9097900390625,7,7,22
0.6483614444732666,30,2018-03-01,299.6824645996094,STANDARD,0.0,R_A2,299.6824645996094,0,1653.685791015625,8,8,22
0.12285631150007248,30,2018-03-01,299.8554992675781,STANDARD,0.0,R_A2,299.8554992675781,0,1655.4617919921875,9,9,22
0.884416937828064,30,2018-03-01,300.0653076171875,STANDARD,0.0,R_A2,300.0653076171875,0,1657.2379150390625,10,10,22
0.0676492229104042,30,2018-03-01,300.0769348144531,STANDARD,0.0,R_A2,300.0769348144531,0,1659.1436767578125,11,11,22
0.06936972588300705,30,2018-03-01,300.2141418457031,STANDARD,0.0,R_A2,300.2141418457031,0,1661.178955078125,12,12,22
0.41893884539604187,30,2018-03-01,300.3719787597656,STANDARD,0.0,R_A2,300.3719787597656,0,1663.21435546875,13,13,22
0.4760178327560425,30,2018-03-01,300.5094909667969,STANDARD,0.0,R_A2,300.5094909667969,0,1665.2496337890625,14,14,22
0.906611442565918,30,2018-03-01,300.65240478515625,STANDARD,0.0,R_A2,300.65240478515625,0,1667.2850341796875,15,15,22
0.9263185858726501,30,2018-03-01,300.7970886230469,STANDARD,0.0,R_A2,300.7970886230469,0,1669.3203125,16,16,22
0.8912810683250427,29,2018-03-01,301.0476379394531,STANDARD,0.0,R_A2,301.0476379394531,0,1670.8671875,16,17,22
0.8874738216400146,29,2018-03-01,301.1883850097656,STANDARD,0.0,R_A2,301.1883850097656,0,1672.978271484375,17,18,22
0.9651142954826355,29,2018-03-01,301.318359375,STANDARD,0.0,R_A2,301.318359375,0,1674.916748046875,18,19,22
1.0,29,2018-03-01,302.5461730957031,STANDARD,-1.2605202797354165e-13,R_A2,302.5461730957031,0,1676.79833984375,26,20,22
0.8290648460388184,29,2018-03-01,302.26177978515625,STANDARD,0.0,R_A2,302.26177978515625,0,1678.588134765625,27,21,22
1.0,29,2018-03-01,303.0018005371094,STANDARD,-5.580630358867356e-13,R_A2,303.0018005371094,0,1680.3778076171875,28,22,22
1.0,29,2018-03-01,303.682861328125,STANDARD,-1.0468261457327599e-12,R_A2,303.682861328125,0,1682.1676025390625,29,23,22
1.0,29,2018-03-01,303.9352722167969,STANDARD,-3.944032871561892e-13,R_A2,303.9352722167969,0,1683.9573974609375,30,24,22
