CONIDX,WELLMODEL,PRESSURE,DATE,CONBPRES,CONIPOS,CONJPOS,DRAWDOWN,SGAS,SWAT,CONKPOS,WELL,DEPTH
8,STANDARD,277.3494873046875,2018-11-07,277.3494873046875,17,42,0,4.662436344123055e-13,1.0,8,R_A6,1705.1243896484375
9,STANDARD,277.8518371582031,2018-11-07,277.8518371582031,17,42,0,2.5594779320590143e-14,1.0,9,R_A6,1706.656982421875
10,STANDARD,277.84912109375,2018-11-07,277.84912109375,17,42,0,5.585305438635113e-13,1.0,10,R_A6,1708.189453125
11,STANDARD,279.6528015136719,2018-11-07,279.6528015136719,17,42,0,-3.708240786377652e-14,1.0,11,R_A6,1710.11181640625
12,STANDARD,279.8717346191406,2018-11-07,279.8717346191406,17,42,0,-1.2277644314629202e-14,1.0,12,R_A6,1712.423828125
13,STANDARD,280.1026306152344,2018-11-07,280.1026306152344,17,42,0,-1.348134674234629e-15,1.0,13,R_A6,1714.7357177734375
14,STANDARD,280.3216247558594,2018-11-07,280.3216247558594,17,42,0,-9.859120457696418e-16,1.0,14,R_A6,1717.0477294921875
15,STANDARD,280.5410461425781,2018-11-07,280.5410461425781,17,42,0,-5.959785226769933e-16,1.0,15,R_A6,1719.3597412109375
16,STANDARD,280.90576171875,2018-11-07,280.90576171875,17,42,0,-2.180871081767816e-16,1.0,16,R_A6,1721.6717529296875
17,STANDARD,281.125244140625,2018-11-07,281.125244140625,17,42,0,-2.8810417508580216e-16,1.0,17,R_A6,1723.9837646484375
18,STANDARD,281.2635803222656,2018-11-07,281.2635803222656,17,42,0,-2.455003766026014e-16,1.0,18,R_A6,1725.4437255859375
19,STANDARD,282.21923828125,2018-11-07,282.21923828125,17,42,0,1.2010104147356489e-17,1.0,26,R_A6,1726.6015625
20,STANDARD,282.6943359375,2018-11-07,282.6943359375,17,42,0,6.857791533183395e-19,1.0,27,R_A6,1728.3092041015625
21,STANDARD,283.705322265625,2018-11-07,283.705322265625,17,42,0,7.751684887169097e-23,1.0,28,R_A6,1730.0167236328125
22,STANDARD,284.0339050292969,2018-11-07,284.0339050292969,17,42,0,9.880614577664345e-24,1.0,29,R_A6,1731.724365234375
23,STANDARD,283.0559997558594,2018-11-07,283.0559997558594,17,42,0,9.30648871059264e-21,1.0,30,R_A6,1733.431884765625
