CONKPOS,SGAS,DATE,DRAWDOWN,SWAT,CONJPOS,CONIPOS,CONIDX,PRESSURE,DEPTH,CONBPRES,WELLMODEL,WELL
2,0.0,2018-01-01,0,0.22275544703006744,49,35,18,300.79644775390625,1641.94189453125,300.79644775390625,STANDARD,R_A4
29,0.0,2018-01-01,0,0.3280837833881378,49,36,19,300.8879089355469,1643.305908203125,300.8879089355469,STANDARD,R_A4
29,0.0,2018-01-01,0,0.08749404549598694,48,36,20,300.8599548339844,1642.888671875,300.8599548339844,STANDARD,R_A4
29,0.0,2018-01-01,0,0.6481541991233826,48,37,21,301.2467956542969,1648.6575927734375,301.2467956542969,STANDARD,R_A4
29,0.0,2018-01-01,0,0.7071287631988525,48,38,22,301.5167236328125,1652.682373046875,301.5167236328125,STANDARD,R_A4
29,0.0,2018-01-01,0,1.0,47,38,23,301.9705810546875,1659.4493408203125,301.9705810546875,STANDARD,R_A4
1,0.0,2018-01-01,0,1.0,20,31,1,303.8231506347656,1684.8056640625,303.8231506347656,STANDARD,R_A5
2,0.0,2018-01-01,0,1.0,20,31,2,304.0219421386719,1686.903564453125,304.0219421386719,STANDARD,R_A5
3,0.0,2018-01-01,0,1.0,20,31,3,304.22076416015625,1689.0013427734375,304.22076416015625,STANDARD,R_A5
4,0.0,2018-01-01,0,1.0,20,31,4,304.4195556640625,1691.0992431640625,304.4195556640625,STANDARD,R_A5
5,0.0,2018-01-01,0,1.0,20,31,5,304.61834716796875,1693.197021484375,304.61834716796875,STANDARD,R_A5
6,0.0,2018-01-01,0,1.0,20,31,6,304.8171691894531,1695.2947998046875,304.8171691894531,STANDARD,R_A5
7,0.0,2018-01-01,0,1.0,20,31,7,305.3217468261719,1697.392578125,305.3217468261719,STANDARD,R_A5
8,0.0,2018-01-01,0,1.0,20,31,8,305.5205383300781,1699.490478515625,305.5205383300781,STANDARD,R_A5
11,0.0,2018-01-01,0,1.0,21,31,9,305.34783935546875,1700.8934326171875,305.34783935546875,STANDARD,R_A5
12,0.0,2018-01-01,0,1.0,21,31,10,305.5380554199219,1702.9005126953125,305.5380554199219,STANDARD,R_A5
13,0.0,2018-01-01,0,1.0,21,31,11,305.740234375,1704.9075927734375,305.740234375,STANDARD,R_A5
14,0.0,2018-01-01,0,1.0,21,31,12,305.930419921875,1706.9146728515625,305.930419921875,STANDARD,R_A5
15,0.0,2018-01-01,0,1.0,21,31,13,306.1206359863281,1708.9217529296875,306.1206359863281,STANDARD,R_A5
16,0.0,2018-01-01,0,1.0,21,31,14,306.45587158203125,1710.9288330078125,306.45587158203125,STANDARD,R_A5
17,0.0,2018-01-01,0,1.0,21,31,15,306.6460876464844,1712.9359130859375,306.6460876464844,STANDARD,R_A5
18,0.0,2018-01-01,0,1.0,21,31,16,306.7908020019531,1714.462890625,306.7908020019531,STANDARD,R_A5
19,0.0,2018-01-01,0,1.0,21,31,17,306.8519592285156,1715.108154296875,306.8519592285156,STANDARD,R_A5
26,0.0,2018-01-01,0,1.0,21,31,18,306.8143005371094,1716.368408203125,306.8143005371094,STANDARD,R_A5
27,0.0,2018-01-01,0,1.0,21,31,19,307.03009033203125,1718.645263671875,307.03009033203125,STANDARD,R_A5
28,0.0,2018-01-01,0,1.0,21,31,20,307.5516662597656,1720.9219970703125,307.5516662597656,STANDARD,R_A5
29,0.0,2018-01-01,0,1.0,21,31,21,307.7674560546875,1723.1988525390625,307.7674560546875,STANDARD,R_A5
30,0.0,2018-01-01,0,1.0,21,31,22,307.9832458496094,1725.4755859375,307.9832458496094,STANDARD,R_A5
1,0.0,2018-01-01,0,1.0,42,17,1,304.99951171875,1693.9923095703125,304.99951171875,STANDARD,R_A6
2,0.0,2018-01-01,0,1.0,42,17,2,305.14453125,1695.522705078125,305.14453125,STANDARD,R_A6
3,0.0,2018-01-01,0,1.0,42,17,3,305.28955078125,1697.052978515625,305.28955078125,STANDARD,R_A6
4,0.0,2018-01-01,0,1.0,42,17,4,305.4345703125,1698.583251953125,305.4345703125,STANDARD,R_A6
5,0.0,2018-01-01,0,1.0,42,17,5,305.5796203613281,1700.1136474609375,305.5796203613281,STANDARD,R_A6
6,0.0,2018-01-01,0,1.0,42,17,6,305.7246398925781,1701.64404296875,305.7246398925781,STANDARD,R_A6
7,0.0,2018-01-01,0,1.0,42,17,7,305.57061767578125,1703.17431640625,305.57061767578125,STANDARD,R_A6
8,0.0,2018-01-01,0,1.0,42,17,8,305.71563720703125,1704.7047119140625,305.71563720703125,STANDARD,R_A6
9,0.0,2018-01-01,0,1.0,42,17,9,306.15972900390625,1706.235107421875,306.15972900390625,STANDARD,R_A6
10,0.0,2018-01-01,0,1.0,42,17,10,305.99896240234375,1707.765380859375,305.99896240234375,STANDARD,R_A6
11,0.0,2018-01-01,0,1.0,42,17,11,306.1789855957031,1709.66357421875,306.1789855957031,STANDARD,R_A6
12,0.0,2018-01-01,0,1.0,42,17,12,306.39373779296875,1711.929443359375,306.39373779296875,STANDARD,R_A6
13,0.0,2018-01-01,0,1.0,42,17,13,306.6204528808594,1714.1954345703125,306.6204528808594,STANDARD,R_A6
14,0.0,2018-01-01,0,1.0,42,17,14,306.835205078125,1716.46142578125,306.835205078125,STANDARD,R_A6
15,0.0,2018-01-01,0,1.0,42,17,15,307.0499572753906,1718.727294921875,307.0499572753906,STANDARD,R_A6
16,0.0,2018-01-01,0,1.0,42,17,16,307.40972900390625,1720.9932861328125,307.40972900390625,STANDARD,R_A6
17,0.0,2018-01-01,0,1.0,42,17,17,307.6244812011719,1723.25927734375,307.6244812011719,STANDARD,R_A6
18,0.0,2018-01-01,0,1.0,42,17,18,307.7746887207031,1724.843994140625,307.7746887207031,STANDARD,R_A6
26,0.0,2018-01-01,0,1.0,42,17,19,307.7412414550781,1726.148681640625,307.7412414550781,STANDARD,R_A6
27,0.0,2018-01-01,0,1.0,42,17,20,307.9029235839844,1727.8544921875,307.9029235839844,STANDARD,R_A6
