CONJPOS,CONIPOS,SGAS,CONIDX,WELL,WELLMODEL,PRESSURE,DATE,SWAT,DEPTH,CONBPRES,DRAWDOWN,CONKPOS
51,33,0.0,9,R_A4,STANDARD,300.29644775390625,2018-01-01,0.056494034826755524,1635.474609375,300.29644775390625,0,3
50,33,0.0,10,R_A4,STANDARD,300.74395751953125,2018-01-01,0.06261570006608963,1642.1485595703125,300.74395751953125,0,4
50,34,0.0,11,R_A4,STANDARD,300.67578125,2018-01-01,0.06255142390727997,1641.132080078125,300.67578125,0,4
50,34,0.0,12,R_A4,STANDARD,300.5467224121094,2018-01-01,0.09832502156496048,1639.20703125,300.5467224121094,0,3
50,35,0.0,13,R_A4,STANDARD,300.66064453125,2018-01-01,0.0954970121383667,1640.9061279296875,300.66064453125,0,3
50,35,0.0,14,R_A4,STANDARD,300.53570556640625,2018-01-01,0.16065853834152222,1639.0426025390625,300.53570556640625,0,2
49,35,0.0,15,R_A4,STANDARD,300.72943115234375,2018-01-01,0.2374390959739685,1641.93212890625,300.72943115234375,0,2
49,36,0.0,16,R_A4,STANDARD,300.7579650878906,2018-01-01,0.24230048060417175,1642.357421875,300.7579650878906,0,30
48,36,0.0,17,R_A4,STANDARD,300.5735168457031,2018-01-01,0.19549621641635895,1639.6068115234375,300.5735168457031,0,30
48,37,0.0,18,R_A4,STANDARD,301.0526123046875,2018-01-01,0.2985859513282776,1646.7513427734375,301.0526123046875,0,30
48,38,0.0,19,R_A4,STANDARD,301.5025939941406,2018-01-01,0.6481541991233826,1653.461669921875,301.5025939941406,0,30
47,38,0.0,20,R_A4,STANDARD,301.7947998046875,2018-01-01,0.6481541991233826,1657.8184814453125,301.7947998046875,0,30
20,31,0.0,1,R_A5,STANDARD,303.8440856933594,2018-01-01,1.0,1685.026611328125,303.8440856933594,0,1
20,31,0.0,2,R_A5,STANDARD,304.0601806640625,2018-01-01,1.0,1687.3070068359375,304.0601806640625,0,2
20,31,0.0,3,R_A5,STANDARD,304.27630615234375,2018-01-01,1.0,1689.5875244140625,304.27630615234375,0,3
20,31,0.0,4,R_A5,STANDARD,304.4924011230469,2018-01-01,1.0,1691.8680419921875,304.4924011230469,0,4
20,31,0.0,5,R_A5,STANDARD,304.7085266113281,2018-01-01,1.0,1694.1485595703125,304.7085266113281,0,5
20,31,0.0,6,R_A5,STANDARD,304.9246520996094,2018-01-01,1.0,1696.4290771484375,304.9246520996094,0,6
20,31,0.0,7,R_A5,STANDARD,305.446533203125,2018-01-01,1.0,1698.70947265625,305.446533203125,0,7
20,31,0.0,8,R_A5,STANDARD,305.988037109375,2018-01-01,1.0,1707.6488037109375,305.988037109375,0,11
20,31,0.0,9,R_A5,STANDARD,306.1695251464844,2018-01-01,1.0,1709.5638427734375,306.1695251464844,0,12
21,31,0.0,10,R_A5,STANDARD,305.4322814941406,2018-01-01,1.0,1701.7845458984375,305.4322814941406,0,12
21,31,0.0,11,R_A5,STANDARD,305.6291198730469,2018-01-01,1.0,1703.735107421875,305.6291198730469,0,13
21,31,0.0,12,R_A5,STANDARD,305.81396484375,2018-01-01,1.0,1705.6856689453125,305.81396484375,0,14
21,31,0.0,13,R_A5,STANDARD,305.9988098144531,2018-01-01,1.0,1707.63623046875,305.9988098144531,0,15
21,31,0.0,14,R_A5,STANDARD,306.3287048339844,2018-01-01,1.0,1709.5867919921875,306.3287048339844,0,16
21,31,0.0,15,R_A5,STANDARD,306.5135498046875,2018-01-01,1.0,1711.537353515625,306.5135498046875,0,17
21,31,0.0,16,R_A5,STANDARD,306.6856994628906,2018-01-01,1.0,1713.35400390625,306.6856994628906,0,18
21,31,0.0,17,R_A5,STANDARD,306.7843933105469,2018-01-01,1.0,1714.3951416015625,306.7843933105469,0,19
21,31,0.0,18,R_A5,STANDARD,306.75689697265625,2018-01-01,1.0,1715.7628173828125,306.75689697265625,0,27
21,31,0.0,19,R_A5,STANDARD,306.978271484375,2018-01-01,1.0,1718.098388671875,306.978271484375,0,28
21,31,0.0,20,R_A5,STANDARD,307.5054016113281,2018-01-01,1.0,1720.43408203125,307.5054016113281,0,29
21,31,0.0,21,R_A5,STANDARD,307.7267761230469,2018-01-01,1.0,1722.7696533203125,307.7267761230469,0,30
21,31,0.0,22,R_A5,STANDARD,307.9481506347656,2018-01-01,1.0,1725.105224609375,307.9481506347656,0,31
42,17,0.0,1,R_A6,STANDARD,305.11419677734375,2018-01-01,1.0,1695.20263671875,305.11419677734375,0,1
42,17,0.0,2,R_A6,STANDARD,305.2609558105469,2018-01-01,1.0,1696.7510986328125,305.2609558105469,0,2
42,17,0.0,3,R_A6,STANDARD,305.4076843261719,2018-01-01,1.0,1698.299560546875,305.4076843261719,0,3
42,17,0.0,4,R_A6,STANDARD,305.554443359375,2018-01-01,1.0,1699.84814453125,305.554443359375,0,4
42,17,0.0,5,R_A6,STANDARD,305.7012023925781,2018-01-01,1.0,1701.3966064453125,305.7012023925781,0,5
42,17,0.0,6,R_A6,STANDARD,305.84796142578125,2018-01-01,1.0,1702.9451904296875,305.84796142578125,0,6
42,17,0.0,7,R_A6,STANDARD,305.6956481933594,2018-01-01,1.0,1704.49365234375,305.6956481933594,0,7
42,17,0.0,8,R_A6,STANDARD,305.8424072265625,2018-01-01,1.0,1706.042236328125,305.8424072265625,0,8
42,17,0.0,9,R_A6,STANDARD,306.2882080078125,2018-01-01,1.0,1707.5906982421875,306.2882080078125,0,9
42,17,0.0,10,R_A6,STANDARD,306.1291809082031,2018-01-01,1.0,1709.1392822265625,306.1291809082031,0,10
42,17,0.0,11,R_A6,STANDARD,306.3109130859375,2018-01-01,1.0,1711.055419921875,306.3109130859375,0,11
42,17,0.0,12,R_A6,STANDARD,306.52734375,2018-01-01,1.0,1713.3392333984375,306.52734375,0,12
42,17,0.0,13,R_A6,STANDARD,306.7557678222656,2018-01-01,1.0,1715.623046875,306.7557678222656,0,13
42,17,0.0,14,R_A6,STANDARD,306.9721984863281,2018-01-01,1.0,1717.9068603515625,306.9721984863281,0,14
42,17,0.0,15,R_A6,STANDARD,307.18865966796875,2018-01-01,1.0,1720.190673828125,307.18865966796875,0,15
42,17,0.0,16,R_A6,STANDARD,307.55010986328125,2018-01-01,1.0,1722.474365234375,307.55010986328125,0,16
42,17,0.0,17,R_A6,STANDARD,307.7665710449219,2018-01-01,1.0,1724.7581787109375,307.7665710449219,0,17
42,17,0.0,18,R_A6,STANDARD,307.921630859375,2018-01-01,1.0,1726.394287109375,307.921630859375,0,18
42,17,0.0,19,R_A6,STANDARD,307.8930969238281,2018-01-01,1.0,1727.7508544921875,307.8930969238281,0,27
42,17,0.0,20,R_A6,STANDARD,308.3623352050781,2018-01-01,1.0,1729.4755859375,308.3623352050781,0,28
42,17,0.0,21,R_A6,STANDARD,308.52581787109375,2018-01-01,1.0,1731.2001953125,308.52581787109375,0,29
42,17,0.0,22,R_A6,STANDARD,308.68927001953125,2018-01-01,1.0,1732.9249267578125,308.68927001953125,0,30
42,17,0.0,23,R_A6,STANDARD,308.5469665527344,2018-01-01,1.0,1734.649658203125,308.5469665527344,0,31
30,22,0.0,1,R_A2,STANDARD,299.8659362792969,2018-03-01,0.05588814988732338,1641.094970703125,299.8659362792969,0,1
30,22,0.0,2,R_A2,STANDARD,299.9862060546875,2018-03-01,0.05795799195766449,1642.8890380859375,299.9862060546875,0,2
30,22,0.0,3,R_A2,STANDARD,300.10650634765625,2018-03-01,0.06061143800616264,1644.68310546875,300.10650634765625,0,3
30,22,0.0,4,R_A2,STANDARD,300.226806640625,2018-03-01,0.06782021373510361,1646.4771728515625,300.226806640625,0,4
