DEPTH,DATE,WELL,WELLMODEL,DRAWDOWN,CONIDX,PRESSURE,SGAS,SWAT,CONKPOS,CONBPRES,CONJPOS,CONIPOS
1704.49365234375,2018-01-01,R_A6,STANDARD,0,7,305.6956481933594,0.0,1.0,7,305.6956481933594,42,17
1706.042236328125,2018-01-01,R_A6,STANDARD,0,8,305.8424072265625,0.0,1.0,8,305.8424072265625,42,17
1707.5906982421875,2018-01-01,R_A6,STANDARD,0,9,306.2882080078125,0.0,1.0,9,306.2882080078125,42,17
1709.1392822265625,2018-01-01,R_A6,STANDARD,0,10,306.1291809082031,0.0,1.0,10,306.1291809082031,42,17
1711.055419921875,2018-01-01,R_A6,STANDARD,0,11,306.3109130859375,0.0,1.0,11,306.3109130859375,42,17
1713.3392333984375,2018-01-01,R_A6,STANDARD,0,12,306.52734375,0.0,1.0,12,306.52734375,42,17
1715.623046875,2018-01-01,R_A6,STANDARD,0,13,306.7557678222656,0.0,1.0,13,306.7557678222656,42,17
1717.9068603515625,2018-01-01,R_A6,STANDARD,0,14,306.9721984863281,0.0,1.0,14,306.9721984863281,42,17
1720.190673828125,2018-01-01,R_A6,STANDARD,0,15,307.18865966796875,0.0,1.0,15,307.18865966796875,42,17
1722.474365234375,2018-01-01,R_A6,STANDARD,0,16,307.55010986328125,0.0,1.0,16,307.55010986328125,42,17
1724.7581787109375,2018-01-01,R_A6,STANDARD,0,17,307.7665710449219,0.0,1.0,17,307.7665710449219,42,17
1726.394287109375,2018-01-01,R_A6,STANDARD,0,18,307.921630859375,0.0,1.0,18,307.921630859375,42,17
1727.7508544921875,2018-01-01,R_A6,STANDARD,0,19,307.8930969238281,0.0,1.0,27,307.8930969238281,42,17
1729.4755859375,2018-01-01,R_A6,STANDARD,0,20,308.3623352050781,0.0,1.0,28,308.3623352050781,42,17
1731.2001953125,2018-01-01,R_A6,STANDARD,0,21,308.52581787109375,0.0,1.0,29,308.52581787109375,42,17
1732.9249267578125,2018-01-01,R_A6,STANDARD,0,22,308.68927001953125,0.0,1.0,30,308.68927001953125,42,17
1734.649658203125,2018-01-01,R_A6,STANDARD,0,23,308.5469665527344,0.0,1.0,31,308.5469665527344,42,17
1641.094970703125,2018-03-01,R_A2,STANDARD,0,1,296.705810546875,0.0,0.05672305449843407,1,296.705810546875,30,22
1642.8890380859375,2018-03-01,R_A2,STANDARD,0,2,296.8259582519531,0.0,0.05871451273560524,2,296.8259582519531,30,22
1644.68310546875,2018-03-01,R_A2,STANDARD,0,3,296.9460754394531,0.0,0.06202668696641922,3,296.9460754394531,30,22
1646.4771728515625,2018-03-01,R_A2,STANDARD,0,4,297.06622314453125,0.0,0.0679030790925026,4,297.06622314453125,30,22
1648.2713623046875,2018-03-01,R_A2,STANDARD,0,5,297.1863708496094,0.0,0.07134789973497391,5,297.1863708496094,30,22
1650.0654296875,2018-03-01,R_A2,STANDARD,0,6,297.3464660644531,0.0,0.32140982151031494,6,297.3464660644531,30,22
1651.859619140625,2018-03-01,R_A2,STANDARD,0,7,297.50579833984375,0.0,0.8949049711227417,7,297.50579833984375,30,22
1653.6536865234375,2018-03-01,R_A2,STANDARD,0,8,297.6895446777344,0.0,0.7221717834472656,8,297.6895446777344,30,22
1655.44775390625,2018-03-01,R_A2,STANDARD,0,9,298.1801452636719,0.0,0.8978759050369263,9,298.1801452636719,30,22
1657.2418212890625,2018-03-01,R_A2,STANDARD,0,10,299.0010070800781,0.0,0.9283488988876343,10,299.0010070800781,30,22
1659.1368408203125,2018-03-01,R_A2,STANDARD,0,11,299.5538635253906,0.0,0.07667673379182816,11,299.5538635253906,30,22
1661.132568359375,2018-03-01,R_A2,STANDARD,0,12,299.6875915527344,0.0,0.08029312640428543,12,299.6875915527344,30,22
1663.12841796875,2018-03-01,R_A2,STANDARD,0,13,299.82269287109375,0.0,0.44269245862960815,13,299.82269287109375,30,22
1665.1241455078125,2018-03-01,R_A2,STANDARD,0,14,299.9599304199219,0.0,0.5040668249130249,14,299.9599304199219,30,22
1667.1199951171875,2018-03-01,R_A2,STANDARD,0,15,300.0995178222656,0.0,0.6873549222946167,15,300.0995178222656,30,22
1669.11572265625,2018-03-01,R_A2,STANDARD,0,16,300.2340393066406,0.0,0.9696406722068787,16,300.2340393066406,30,22
1671.111572265625,2018-03-01,R_A2,STANDARD,0,17,300.3695373535156,0.0,0.968149721622467,17,300.3695373535156,30,22
1672.9881591796875,2018-03-01,R_A2,STANDARD,0,18,300.49676513671875,0.0,0.9883117079734802,18,300.49676513671875,30,22
1674.229736328125,2018-03-01,R_A2,STANDARD,0,19,300.5003662109375,0.0,0.9956541657447815,18,300.5003662109375,29,22
1676.1676025390625,2018-03-01,R_A2,STANDARD,0,20,303.0150451660156,-2.3312220768834145e-16,1.0,27,303.0150451660156,29,22
1677.9368896484375,2018-03-01,R_A2,STANDARD,0,21,303.4672546386719,-4.268866721404872e-17,1.0,28,303.4672546386719,29,22
1679.7061767578125,2018-03-01,R_A2,STANDARD,0,22,303.6300354003906,-1.2072670434528774e-17,1.0,29,303.6300354003906,29,22
1681.4754638671875,2018-03-01,R_A2,STANDARD,0,23,303.7929992675781,-1.4879208019342339e-18,1.0,30,303.7929992675781,29,22
1683.2447509765625,2018-03-01,R_A2,STANDARD,0,24,303.96728515625,-8.022944314599723e-20,1.0,31,303.96728515625,29,22
