SWAT,CONBPRES,PRESSURE,CONKPOS,SGAS,CONIDX,WELLMODEL,DATE,WELL,CONJPOS,CONIPOS,DRAWDOWN,DEPTH
0.07618781924247742,300.33294677734375,300.33294677734375,11,0.0,11,STANDARD,2018-03-01,R_A2,30,22,0,1659.1368408203125
0.0774238184094429,300.4646301269531,300.4646301269531,12,0.0,12,STANDARD,2018-03-01,R_A2,30,22,0,1661.132568359375
0.4619154930114746,300.6145935058594,300.6145935058594,13,0.0,13,STANDARD,2018-03-01,R_A2,30,22,0,1663.12841796875
0.5059734582901001,300.7499084472656,300.7499084472656,14,0.0,14,STANDARD,2018-03-01,R_A2,30,22,0,1665.1241455078125
0.6888986229896545,300.8860168457031,300.8860168457031,15,0.0,15,STANDARD,2018-03-01,R_A2,30,22,0,1667.1199951171875
0.970403790473938,301.0200500488281,301.0200500488281,16,0.0,16,STANDARD,2018-03-01,R_A2,30,22,0,1669.11572265625
0.9495986104011536,301.1542053222656,301.1542053222656,17,0.0,17,STANDARD,2018-03-01,R_A2,30,22,0,1671.111572265625
0.9828870892524719,301.2801513671875,301.2801513671875,18,0.0,18,STANDARD,2018-03-01,R_A2,30,22,0,1672.9881591796875
0.996623694896698,301.2837829589844,301.2837829589844,18,0.0,19,STANDARD,2018-03-01,R_A2,29,22,0,1674.229736328125
1.0,302.74359130859375,302.74359130859375,27,-4.09917072508037e-10,20,STANDARD,2018-03-01,R_A2,29,22,0,1676.1676025390625
1.0,303.36474609375,303.36474609375,28,-2.780403243106129e-21,21,STANDARD,2018-03-01,R_A2,29,22,0,1677.9368896484375
1.0,303.59674072265625,303.59674072265625,29,-6.53038646335952e-22,22,STANDARD,2018-03-01,R_A2,29,22,0,1679.7061767578125
1.0,303.7838439941406,303.7838439941406,30,-2.6699013745511973e-22,23,STANDARD,2018-03-01,R_A2,29,22,0,1681.4754638671875
1.0,303.95355224609375,303.95355224609375,31,-1.8033783122797528e-22,24,STANDARD,2018-03-01,R_A2,29,22,0,1683.2447509765625
1.0,264.7305908203125,264.7305908203125,1,-1.395166517444103e-14,1,STANDARD,2018-04-28,R_A5,20,31,0,1685.026611328125
