CONBPRES,DEPTH,PRESSURE,SWAT,DATE,WELL,CONKPOS,CONIDX,DRAWDOWN,WELLMODEL,CONJPOS,SGAS,CONIPOS
300.6734313964844,1641.0966796875,300.6734313964844,0.08598945289850235,2018-01-01,R_A3,27,19,0,STANDARD,41,0.0,29
300.9288635253906,1644.9061279296875,300.9288635253906,0.6850680112838745,2018-01-01,R_A3,28,20,0,STANDARD,41,0.0,29
301.184326171875,1648.715576171875,301.184326171875,0.09406215697526932,2018-01-01,R_A3,29,21,0,STANDARD,41,0.0,29
300.2576599121094,1634.89599609375,300.2576599121094,0.05336262658238411,2018-01-01,R_A4,1,1,0,STANDARD,52,0.0,30
299.8489685058594,1628.799560546875,299.8489685058594,0.051099032163619995,2018-01-01,R_A4,1,2,0,STANDARD,52,0.0,31
299.98095703125,1630.7685546875,299.98095703125,0.05257384106516838,2018-01-01,R_A4,2,3,0,STANDARD,52,0.0,31
300.1129455566406,1632.7374267578125,300.1129455566406,0.05298636108636856,2018-01-01,R_A4,3,4,0,STANDARD,52,0.0,31
299.94378662109375,1630.21435546875,299.94378662109375,0.05269058048725128,2018-01-01,R_A4,3,5,0,STANDARD,52,0.0,32
300.3272705078125,1635.9339599609375,300.3272705078125,0.057659585028886795,2018-01-01,R_A4,3,6,0,STANDARD,51,0.0,32
300.3947448730469,1636.9404296875,300.3947448730469,0.05998827889561653,2018-01-01,R_A4,3,7,0,STANDARD,51,0.0,33
300.2751770019531,1635.1571044921875,300.2751770019531,0.07613880932331085,2018-01-01,R_A4,2,8,0,STANDARD,51,0.0,33
300.7901916503906,1642.8380126953125,300.7901916503906,0.06407462805509567,2018-01-01,R_A4,3,9,0,STANDARD,50,0.0,33
300.6217346191406,1640.325927734375,300.6217346191406,0.06154743582010269,2018-01-01,R_A4,3,10,0,STANDARD,50,0.0,34
300.757080078125,1642.3441162109375,300.757080078125,0.06157891824841499,2018-01-01,R_A4,3,11,0,STANDARD,50,0.0,35
300.63385009765625,1640.5067138671875,300.63385009765625,0.18264327943325043,2018-01-01,R_A4,2,12,0,STANDARD,50,0.0,35
300.7773132324219,1642.646240234375,300.7773132324219,0.23508861660957336,2018-01-01,R_A4,2,13,0,STANDARD,49,0.0,35
300.6517028808594,1640.77294921875,300.6517028808594,0.2319977730512619,2018-01-01,R_A4,1,14,0,STANDARD,49,0.0,35
300.8336181640625,1643.486083984375,300.8336181640625,0.13559940457344055,2018-01-01,R_A4,28,15,0,STANDARD,49,0.0,36
300.6959533691406,1641.432861328125,300.6959533691406,0.08411936461925507,2018-01-01,R_A4,28,16,0,STANDARD,48,0.0,36
301.2582092285156,1649.8175048828125,301.2582092285156,0.2906317114830017,2018-01-01,R_A4,28,17,0,STANDARD,48,0.0,37
300.8734130859375,1644.0791015625,300.8734130859375,0.8131460547447205,2018-01-01,R_A4,27,18,0,STANDARD,48,0.0,37
301.41253662109375,1652.11865234375,301.41253662109375,0.14714433252811432,2018-01-01,R_A4,27,19,0,STANDARD,48,0.0,38
301.5953063964844,1654.843994140625,301.5953063964844,0.2819766402244568,2018-01-01,R_A4,27,20,0,STANDARD,47,0.0,38
303.6660461425781,1683.147705078125,303.6660461425781,1.0,2018-01-01,R_A5,1,1,0,STANDARD,20,0.0,31
303.8792724609375,1685.397705078125,303.8792724609375,1.0,2018-01-01,R_A5,2,2,0,STANDARD,20,0.0,31
304.09246826171875,1687.6478271484375,304.09246826171875,1.0,2018-01-01,R_A5,3,3,0,STANDARD,20,0.0,31
304.3056945800781,1689.8978271484375,304.3056945800781,1.0,2018-01-01,R_A5,4,4,0,STANDARD,20,0.0,31
304.5189208984375,1692.1478271484375,304.5189208984375,1.0,2018-01-01,R_A5,5,5,0,STANDARD,20,0.0,31
304.7321472167969,1694.3978271484375,304.7321472167969,1.0,2018-01-01,R_A5,6,6,0,STANDARD,20,0.0,31
305.25115966796875,1696.6478271484375,305.25115966796875,1.0,2018-01-01,R_A5,7,7,0,STANDARD,20,0.0,31
305.78057861328125,1705.4595947265625,305.78057861328125,1.0,2018-01-01,R_A5,11,8,0,STANDARD,20,0.0,31
305.9580993652344,1707.332763671875,305.9580993652344,1.0,2018-01-01,R_A5,12,9,0,STANDARD,20,0.0,31
305.42987060546875,1701.7589111328125,305.42987060546875,1.0,2018-01-01,R_A5,12,10,0,STANDARD,21,0.0,31
305.6268310546875,1703.7110595703125,305.6268310546875,1.0,2018-01-01,R_A5,13,11,0,STANDARD,21,0.0,31
305.81182861328125,1705.6630859375,305.81182861328125,1.0,2018-01-01,R_A5,14,12,0,STANDARD,21,0.0,31
305.996826171875,1707.615234375,305.996826171875,1.0,2018-01-01,R_A5,15,13,0,STANDARD,21,0.0,31
306.32684326171875,1709.5673828125,306.32684326171875,1.0,2018-01-01,R_A5,16,14,0,STANDARD,21,0.0,31
306.5118408203125,1711.51953125,306.5118408203125,1.0,2018-01-01,R_A5,17,15,0,STANDARD,21,0.0,31
306.6949462890625,1713.4515380859375,306.6949462890625,1.0,2018-01-01,R_A5,18,16,0,STANDARD,21,0.0,31
306.83685302734375,1714.94873046875,306.83685302734375,1.0,2018-01-01,R_A5,19,17,0,STANDARD,21,0.0,31
306.85943603515625,1716.8447265625,306.85943603515625,1.0,2018-01-01,R_A5,25,18,0,STANDARD,21,0.0,31
307.0945739746094,1719.3255615234375,307.0945739746094,1.0,2018-01-01,R_A5,26,19,0,STANDARD,21,0.0,31
307.635498046875,1721.8065185546875,307.635498046875,1.0,2018-01-01,R_A5,27,20,0,STANDARD,21,0.0,31
307.8706359863281,1724.287353515625,307.8706359863281,1.0,2018-01-01,R_A5,28,21,0,STANDARD,21,0.0,31
308.10577392578125,1726.768310546875,308.10577392578125,1.0,2018-01-01,R_A5,29,22,0,STANDARD,21,0.0,31
304.9615173339844,1693.59130859375,304.9615173339844,1.0,2018-01-01,R_A6,1,1,0,STANDARD,42,0.0,17
305.106201171875,1695.1181640625,305.106201171875,1.0,2018-01-01,R_A6,2,2,0,STANDARD,42,0.0,17
305.2508850097656,1696.64501953125,305.2508850097656,1.0,2018-01-01,R_A6,3,3,0,STANDARD,42,0.0,17
305.39556884765625,1698.1717529296875,305.39556884765625,1.0,2018-01-01,R_A6,4,4,0,STANDARD,42,0.0,17
305.540283203125,1699.6986083984375,305.540283203125,1.0,2018-01-01,R_A6,5,5,0,STANDARD,42,0.0,17
305.38592529296875,1701.2254638671875,305.38592529296875,1.0,2018-01-01,R_A6,6,6,0,STANDARD,42,0.0,17
305.5306091308594,1702.752197265625,305.5306091308594,1.0,2018-01-01,R_A6,7,7,0,STANDARD,42,0.0,17
305.6753234863281,1704.279052734375,305.6753234863281,1.0,2018-01-01,R_A6,8,8,0,STANDARD,42,0.0,17
306.1190490722656,1705.805908203125,306.1190490722656,1.0,2018-01-01,R_A6,9,9,0,STANDARD,42,0.0,17
305.9579772949219,1707.332763671875,305.9579772949219,1.0,2018-01-01,R_A6,10,10,0,STANDARD,42,0.0,17
306.13897705078125,1709.2412109375,306.13897705078125,1.0,2018-01-01,R_A6,11,11,0,STANDARD,42,0.0,17
306.35601806640625,1711.5313720703125,306.35601806640625,1.0,2018-01-01,R_A6,12,12,0,STANDARD,42,0.0,17
306.58502197265625,1713.821533203125,306.58502197265625,1.0,2018-01-01,R_A6,13,13,0,STANDARD,42,0.0,17
306.80206298828125,1716.1116943359375,306.80206298828125,1.0,2018-01-01,R_A6,14,14,0,STANDARD,42,0.0,17
307.01910400390625,1718.40185546875,307.01910400390625,1.0,2018-01-01,R_A6,15,15,0,STANDARD,42,0.0,17
307.38116455078125,1720.6920166015625,307.38116455078125,1.0,2018-01-01,R_A6,16,16,0,STANDARD,42,0.0,17
307.5982360839844,1722.982177734375,307.5982360839844,1.0,2018-01-01,R_A6,17,17,0,STANDARD,42,0.0,17
307.74066162109375,1724.48486328125,307.74066162109375,1.0,2018-01-01,R_A6,18,18,0,STANDARD,42,0.0,17
307.6982116699219,1725.694580078125,307.6982116699219,1.0,2018-01-01,R_A6,25,19,0,STANDARD,42,0.0,17
308.1654968261719,1727.3985595703125,308.1654968261719,1.0,2018-01-01,R_A6,26,20,0,STANDARD,42,0.0,17
308.3269958496094,1729.1025390625,308.3269958496094,1.0,2018-01-01,R_A6,27,21,0,STANDARD,42,0.0,17
308.4884948730469,1730.8065185546875,308.4884948730469,1.0,2018-01-01,R_A6,28,22,0,STANDARD,42,0.0,17
308.3442077636719,1732.510498046875,308.3442077636719,1.0,2018-01-01,R_A6,29,23,0,STANDARD,42,0.0,17
297.4720153808594,1641.98046875,297.4720153808594,0.1174926608800888,2018-03-01,R_A2,1,1,0,STANDARD,30,0.0,22
297.5896301269531,1643.73486328125,297.5896301269531,0.05979976803064346,2018-03-01,R_A2,2,2,0,STANDARD,30,0.0,22
297.7073974609375,1645.4892578125,297.7073974609375,0.105683334171772,2018-03-01,R_A2,3,3,0,STANDARD,30,0.0,22
297.82501220703125,1647.2435302734375,297.82501220703125,0.14745710790157318,2018-03-01,R_A2,4,4,0,STANDARD,30,0.0,22
297.94244384765625,1648.9979248046875,297.94244384765625,0.11188394576311111,2018-03-01,R_A2,5,5,0,STANDARD,30,0.0,22
298.1175537109375,1650.752197265625,298.1175537109375,0.3150639235973358,2018-03-01,R_A2,6,6,0,STANDARD,30,0.0,22
298.2337646484375,1652.5064697265625,298.2337646484375,0.8986339569091797,2018-03-01,R_A2,7,7,0,STANDARD,30,0.0,22
298.3540954589844,1654.2608642578125,298.3540954589844,0.8745872378349304,2018-03-01,R_A2,8,8,0,STANDARD,30,0.0,22
298.6849365234375,1656.01513671875,298.6849365234375,0.9124749302864075,2018-03-01,R_A2,9,9,0,STANDARD,30,0.0,22
299.3273620605469,1657.76953125,299.3273620605469,0.9117457866668701,2018-03-01,R_A2,10,10,0,STANDARD,30,0.0,22
299.5151672363281,1659.6934814453125,299.5151672363281,0.07721073180437088,2018-03-01,R_A2,11,11,0,STANDARD,30,0.0,22
299.6747131347656,1661.787109375,299.6747131347656,0.19408032298088074,2018-03-01,R_A2,12,12,0,STANDARD,30,0.0,22
299.86846923828125,1663.880615234375,299.86846923828125,0.4654322564601898,2018-03-01,R_A2,13,13,0,STANDARD,30,0.0,22
300.0097351074219,1665.9742431640625,300.0097351074219,0.5201358795166016,2018-03-01,R_A2,14,14,0,STANDARD,30,0.0,22
300.1504211425781,1668.06787109375,300.1504211425781,0.9581917524337769,2018-03-01,R_A2,15,15,0,STANDARD,30,0.0,22
300.29095458984375,1670.161376953125,300.29095458984375,0.9872860908508301,2018-03-01,R_A2,16,16,0,STANDARD,30,0.0,22
300.4314880371094,1672.2550048828125,300.4314880371094,0.9549248814582825,2018-03-01,R_A2,17,17,0,STANDARD,30,0.0,22
300.5495300292969,1674.009521484375,300.5495300292969,0.99967360496521,2018-03-01,R_A2,18,18,0,STANDARD,30,0.0,22
301.8592224121094,1675.6162109375,301.8592224121094,0.6632736921310425,2018-03-01,R_A2,25,19,0,STANDARD,30,0.0,22
301.6520080566406,1677.7493896484375,301.6520080566406,0.9999998211860657,2018-03-01,R_A2,25,20,0,STANDARD,29,-1.4252828250960192e-08,22
302.2300109863281,1679.4951171875,302.2300109863281,1.0,2018-03-01,R_A2,26,21,0,STANDARD,29,3.840160746901647e-14,22
301.9935607910156,1681.24072265625,301.9935607910156,1.0,2018-03-01,R_A2,27,22,0,STANDARD,29,1.730158984830643e-13,22
301.35400390625,1682.986328125,301.35400390625,1.0000001192092896,2018-03-01,R_A2,28,23,0,STANDARD,29,7.048642558515894e-09,22
302.0701904296875,1684.7320556640625,302.0701904296875,1.0,2018-03-01,R_A2,29,24,0,STANDARD,29,3.485795704275159e-14,22
269.4118957519531,1683.147705078125,269.4118957519531,1.0,2018-04-28,R_A5,1,1,0,STANDARD,20,0.0,31
269.624755859375,1685.397705078125,269.624755859375,1.0,2018-04-28,R_A5,2,2,0,STANDARD,20,0.0,31
269.8376159667969,1687.6478271484375,269.8376159667969,1.0,2018-04-28,R_A5,3,3,0,STANDARD,20,0.0,31
270.0505065917969,1689.8978271484375,270.0505065917969,1.0,2018-04-28,R_A5,4,4,0,STANDARD,20,0.0,31
270.2633972167969,1692.1478271484375,270.2633972167969,1.0,2018-04-28,R_A5,5,5,0,STANDARD,20,0.0,31
270.4762878417969,1694.3978271484375,270.4762878417969,1.0,2018-04-28,R_A5,6,6,0,STANDARD,20,0.0,31
271.0056457519531,1696.6478271484375,271.0056457519531,1.0,2018-04-28,R_A5,7,7,0,STANDARD,20,0.0,31
273.2289123535156,1705.4595947265625,273.2289123535156,1.0,2018-04-28,R_A5,11,8,0,STANDARD,20,-7.699949618883428e-15,31
273.40618896484375,1707.332763671875,273.40618896484375,1.0,2018-04-28,R_A5,12,9,0,STANDARD,20,-6.633065882037485e-15,31
272.3012390136719,1701.7589111328125,272.3012390136719,1.0,2018-04-28,R_A5,12,10,0,STANDARD,21,-5.0151363910257846e-14,31
272.4985046386719,1703.7110595703125,272.4985046386719,1.0,2018-04-28,R_A5,13,11,0,STANDARD,21,-1.4491295889093115e-15,31
272.6838073730469,1705.6630859375,272.6838073730469,1.0,2018-04-28,R_A5,14,12,0,STANDARD,21,-3.826556042516027e-15,31
272.86920166015625,1707.615234375,272.86920166015625,1.0,2018-04-28,R_A5,15,13,0,STANDARD,21,-1.036107853498642e-15,31
273.2020568847656,1709.5673828125,273.2020568847656,1.0,2018-04-28,R_A5,16,14,0,STANDARD,21,-1.382243738108494e-15,31
273.3915710449219,1711.51953125,273.3915710449219,1.0,2018-04-28,R_A5,17,15,0,STANDARD,21,-1.8035512556883234e-16,31
273.5776062011719,1713.4515380859375,273.5776062011719,1.0,2018-04-28,R_A5,18,16,0,STANDARD,21,-3.42564317248195e-16,31
273.7197570800781,1714.94873046875,273.7197570800781,1.0,2018-04-28,R_A5,19,17,0,STANDARD,21,-4.370145524465783e-16,31
274.08062744140625,1716.8447265625,274.08062744140625,1.0,2018-04-28,R_A5,25,18,0,STANDARD,21,-1.650555167260863e-14,31
274.32379150390625,1719.3255615234375,274.32379150390625,1.0,2018-04-28,R_A5,26,19,0,STANDARD,21,-2.2765523258303118e-14,31
290.455810546875,1721.8065185546875,290.455810546875,1.0,2018-04-28,R_A5,27,20,0,STANDARD,21,-1.6050684499606407e-21,31
302.51080322265625,1724.287353515625,302.51080322265625,1.0,2018-04-28,R_A5,28,21,0,STANDARD,21,-8.187323066885632e-24,31
306.0124206542969,1726.768310546875,306.0124206542969,1.0,2018-04-28,R_A5,29,22,0,STANDARD,21,-4.297333980687756e-24,31
283.1424560546875,1595.98876953125,283.1424560546875,0.6491602659225464,2018-07-03,R_A3,1,1,0,STANDARD,41,0.0,29
283.2839050292969,1598.271240234375,283.2839050292969,0.14600110054016113,2018-07-03,R_A3,2,2,0,STANDARD,41,0.0,29
283.4360656738281,1600.5535888671875,283.4360656738281,0.1870231032371521,2018-07-03,R_A3,3,3,0,STANDARD,41,0.0,29
283.5878601074219,1602.8360595703125,283.5878601074219,0.22333642840385437,2018-07-03,R_A3,4,4,0,STANDARD,41,0.0,29
283.7386169433594,1605.1185302734375,283.7386169433594,0.6490877866744995,2018-07-03,R_A3,5,5,0,STANDARD,41,0.0,29
283.8901062011719,1607.4010009765625,283.8901062011719,0.23174811899662018,2018-07-03,R_A3,6,6,0,STANDARD,41,0.0,29
284.042236328125,1609.683349609375,284.042236328125,0.19617387652397156,2018-07-03,R_A3,7,7,0,STANDARD,41,0.0,29
284.1944580078125,1611.9658203125,284.1944580078125,0.24425779283046722,2018-07-03,R_A3,8,8,0,STANDARD,41,0.0,29
284.4069519042969,1614.248291015625,284.4069519042969,0.7954869866371155,2018-07-03,R_A3,9,9,0,STANDARD,41,0.0,29
284.9386291503906,1616.5306396484375,284.9386291503906,0.7960779666900635,2018-07-03,R_A3,10,10,0,STANDARD,41,0.0,29
284.0968322753906,1618.826171875,284.0968322753906,0.047241225838661194,2018-07-03,R_A3,11,11,0,STANDARD,41,0.0,29
284.2510070800781,1621.1346435546875,284.2510070800781,0.05498521775007248,2018-07-03,R_A3,12,12,0,STANDARD,41,0.0,29
284.40557861328125,1623.443115234375,284.40557861328125,0.36706820130348206,2018-07-03,R_A3,13,13,0,STANDARD,41,0.0,29
284.58135986328125,1625.7515869140625,284.58135986328125,0.24484746158123016,2018-07-03,R_A3,14,14,0,STANDARD,41,0.0,29
284.7688293457031,1628.06005859375,284.7688293457031,0.6036700010299683,2018-07-03,R_A3,15,15,0,STANDARD,41,0.0,29
284.9697570800781,1630.2586669921875,284.9697570800781,0.8061712980270386,2018-07-03,R_A3,16,16,0,STANDARD,41,0.0,29
287.8337707519531,1633.477783203125,287.8337707519531,1.0,2018-07-03,R_A3,25,17,0,STANDARD,41,1.6420529215868673e-12,29
