DEPTH,WELLMODEL,DATE,CONKPOS,CONIDX,CONIPOS,SGAS,SWAT,CONBPRES,DRAWDOWN,WELL,CONJPOS,PRESSURE
1632.1009521484375,STANDARD,2018-01-01,16,17,29,0.0,0.8103922605514526,300.1496276855469,0,R_A3,41,300.1496276855469
1634.926513671875,STANDARD,2018-01-01,25,18,29,0.0,0.6481541991233826,300.33905029296875,0,R_A3,41,300.33905029296875
1638.5576171875,STANDARD,2018-01-01,26,19,29,0.0,0.04367752745747566,300.58251953125,0,R_A3,41,300.58251953125
1642.1885986328125,STANDARD,2018-01-01,27,20,29,0.0,0.10982894152402878,300.82598876953125,0,R_A3,41,300.82598876953125
1645.819580078125,STANDARD,2018-01-01,28,21,29,0.0,0.8361557126045227,301.0694580078125,0,R_A3,41,301.0694580078125
1649.45068359375,STANDARD,2018-01-01,29,22,29,0.0,0.06265691667795181,301.3129577636719,0,R_A3,41,301.3129577636719
1632.5050048828125,STANDARD,2018-01-01,1,1,30,0.0,0.05025508254766464,300.17669677734375,0,R_A4,52,300.17669677734375
1627.060791015625,STANDARD,2018-01-01,1,2,31,0.0,0.048849381506443024,299.8117370605469,0,R_A4,52,299.8117370605469
1629.0645751953125,STANDARD,2018-01-01,2,3,31,0.0,0.05090146139264107,299.946044921875,0,R_A4,52,299.946044921875
1631.068359375,STANDARD,2018-01-01,3,4,31,0.0,0.05176738277077675,300.08038330078125,0,R_A4,52,300.08038330078125
1633.072021484375,STANDARD,2018-01-01,4,5,31,0.0,0.053058069199323654,300.2147216796875,0,R_A4,52,300.2147216796875
1635.0758056640625,STANDARD,2018-01-01,5,6,31,0.0,0.05658632516860962,300.34906005859375,0,R_A4,52,300.34906005859375
1632.5482177734375,STANDARD,2018-01-01,5,7,32,0.0,0.0545918308198452,300.1795959472656,0,R_A4,52,300.1795959472656
1630.727294921875,STANDARD,2018-01-01,4,8,32,0.0,0.05394642427563667,300.0575256347656,0,R_A4,52,300.0575256347656
1636.755859375,STANDARD,2018-01-01,5,9,32,0.0,0.2999652028083801,300.4617004394531,0,R_A4,51,300.4617004394531
1638.0224609375,STANDARD,2018-01-01,5,10,33,0.0,0.24624066054821014,300.546630859375,0,R_A4,51,300.546630859375
1636.226318359375,STANDARD,2018-01-01,4,11,33,0.0,0.0584196075797081,300.42620849609375,0,R_A4,51,300.42620849609375
1641.86328125,STANDARD,2018-01-01,4,12,33,0.0,0.061343129724264145,300.8041687011719,0,R_A4,50,300.8041687011719
1641.3504638671875,STANDARD,2018-01-01,4,13,34,0.0,0.07515585422515869,300.769775390625,0,R_A4,50,300.769775390625
1639.5125732421875,STANDARD,2018-01-01,3,14,34,0.0,0.16089114546775818,300.64654541015625,0,R_A4,50,300.64654541015625
1640.099609375,STANDARD,2018-01-01,3,15,35,0.0,0.17972664535045624,300.6859130859375,0,R_A4,50,300.6859130859375
1643.4151611328125,STANDARD,2018-01-01,3,16,35,0.0,0.23998454213142395,300.9082336425781,0,R_A4,49,300.9082336425781
1641.62353515625,STANDARD,2018-01-01,2,17,35,0.0,0.20609070360660553,300.7880859375,0,R_A4,49,300.7880859375
1641.6253662109375,STANDARD,2018-01-01,28,18,36,0.0,0.23053964972496033,300.7882080078125,0,R_A4,49,300.7882080078125
1641.6025390625,STANDARD,2018-01-01,28,19,36,0.0,0.18501651287078857,300.78668212890625,0,R_A4,48,300.78668212890625
1646.893310546875,STANDARD,2018-01-01,28,20,37,0.0,0.26008835434913635,301.1414794921875,0,R_A4,48,301.1414794921875
1649.53271484375,STANDARD,2018-01-01,28,21,38,0.0,0.6481541991233826,301.3184814453125,0,R_A4,48,301.3184814453125
1657.655029296875,STANDARD,2018-01-01,28,22,38,0.0,0.6481541991233826,301.86322021484375,0,R_A4,47,301.86322021484375
1686.7501220703125,STANDARD,2018-01-01,1,1,31,0.0,1.0,304.0074157714844,0,R_A5,20,304.0074157714844
1689.1434326171875,STANDARD,2018-01-01,2,2,31,0.0,1.0,304.2342224121094,0,R_A5,20,304.2342224121094
1691.536865234375,STANDARD,2018-01-01,3,3,31,0.0,1.0,304.4610290527344,0,R_A5,20,304.4610290527344
1693.9302978515625,STANDARD,2018-01-01,4,4,31,0.0,1.0,304.6878356933594,0,R_A5,20,304.6878356933594
1696.32373046875,STANDARD,2018-01-01,5,5,31,0.0,1.0,304.9146423339844,0,R_A5,20,304.9146423339844
1698.7171630859375,STANDARD,2018-01-01,6,6,31,0.0,1.0,305.1414794921875,0,R_A5,20,305.1414794921875
1701.110595703125,STANDARD,2018-01-01,7,7,31,0.0,1.0,305.674072265625,0,R_A5,20,305.674072265625
1703.5040283203125,STANDARD,2018-01-01,8,8,31,0.0,1.0,305.9009094238281,0,R_A5,20,305.9009094238281
1700.05322265625,STANDARD,2018-01-01,11,9,31,0.0,1.0,305.2682189941406,0,R_A5,21,305.2682189941406
1701.8939208984375,STANDARD,2018-01-01,12,10,31,0.0,1.0,305.4426574707031,0,R_A5,21,305.4426574707031
1703.734619140625,STANDARD,2018-01-01,13,11,31,0.0,1.0,305.6290588378906,0,R_A5,21,305.6290588378906
1705.5751953125,STANDARD,2018-01-01,14,12,31,0.0,1.0,305.8034973144531,0,R_A5,21,305.8034973144531
1707.4158935546875,STANDARD,2018-01-01,15,13,31,0.0,1.0,305.9779357910156,0,R_A5,21,305.9779357910156
1709.256591796875,STANDARD,2018-01-01,16,14,31,0.0,1.0,306.2973937988281,0,R_A5,21,306.2973937988281
1711.09716796875,STANDARD,2018-01-01,17,15,31,0.0,1.0,306.4718322753906,0,R_A5,21,306.4718322753906
1712.7952880859375,STANDARD,2018-01-01,18,16,31,0.0,1.0,306.6327819824219,0,R_A5,21,306.6327819824219
1713.827880859375,STANDARD,2018-01-01,19,17,31,0.0,1.0,306.7306213378906,0,R_A5,21,306.7306213378906
1715.2493896484375,STANDARD,2018-01-01,25,18,31,0.0,1.0,306.708251953125,0,R_A5,21,306.708251953125
1717.582275390625,STANDARD,2018-01-01,26,19,31,0.0,1.0,306.9293518066406,0,R_A5,21,306.9293518066406
1719.9151611328125,STANDARD,2018-01-01,27,20,31,0.0,1.0,307.45623779296875,0,R_A5,21,307.45623779296875
1722.248046875,STANDARD,2018-01-01,28,21,31,0.0,1.0,307.6773376464844,0,R_A5,21,307.6773376464844
1724.5809326171875,STANDARD,2018-01-01,29,22,31,0.0,1.0,307.8984375,0,R_A5,21,307.8984375
1694.760009765625,STANDARD,2018-01-01,1,1,17,0.0,1.0,305.072265625,0,R_A6,42,305.072265625
1696.294677734375,STANDARD,2018-01-01,2,2,17,0.0,1.0,305.2176818847656,0,R_A6,42,305.2176818847656
1697.8292236328125,STANDARD,2018-01-01,3,3,17,0.0,1.0,305.3631286621094,0,R_A6,42,305.3631286621094
1699.3638916015625,STANDARD,2018-01-01,4,4,17,0.0,1.0,305.508544921875,0,R_A6,42,305.508544921875
1700.8985595703125,STANDARD,2018-01-01,5,5,17,0.0,1.0,305.65399169921875,0,R_A6,42,305.65399169921875
1702.43310546875,STANDARD,2018-01-01,6,6,17,0.0,1.0,305.7994384765625,0,R_A6,42,305.7994384765625
1703.9677734375,STANDARD,2018-01-01,7,7,17,0.0,1.0,305.64581298828125,0,R_A6,42,305.64581298828125
1705.50244140625,STANDARD,2018-01-01,8,8,17,0.0,1.0,305.791259765625,0,R_A6,42,305.791259765625
1707.0369873046875,STANDARD,2018-01-01,9,9,17,0.0,1.0,306.2357482910156,0,R_A6,42,306.2357482910156
1708.5716552734375,STANDARD,2018-01-01,10,10,17,0.0,1.0,306.07537841796875,0,R_A6,42,306.07537841796875
1710.477783203125,STANDARD,2018-01-01,11,11,17,0.0,1.0,306.25616455078125,0,R_A6,42,306.25616455078125
1712.75537109375,STANDARD,2018-01-01,12,12,17,0.0,1.0,306.4720153808594,0,R_A6,42,306.4720153808594
1715.0330810546875,STANDARD,2018-01-01,13,13,17,0.0,1.0,306.6998291015625,0,R_A6,42,306.6998291015625
1717.310791015625,STANDARD,2018-01-01,14,14,17,0.0,1.0,306.91571044921875,0,R_A6,42,306.91571044921875
1719.58837890625,STANDARD,2018-01-01,15,15,17,0.0,1.0,307.1315612792969,0,R_A6,42,307.1315612792969
1721.8660888671875,STANDARD,2018-01-01,16,16,17,0.0,1.0,307.4924621582031,0,R_A6,42,307.4924621582031
1724.143798828125,STANDARD,2018-01-01,17,17,17,0.0,1.0,307.70831298828125,0,R_A6,42,307.70831298828125
1725.721435546875,STANDARD,2018-01-01,18,18,17,0.0,1.0,307.85784912109375,0,R_A6,42,307.85784912109375
1727.0150146484375,STANDARD,2018-01-01,25,19,17,0.0,1.0,307.8233642578125,0,R_A6,42,307.8233642578125
1728.7244873046875,STANDARD,2018-01-01,26,20,17,0.0,1.0,308.2911682128906,0,R_A6,42,308.2911682128906
1730.4339599609375,STANDARD,2018-01-01,27,21,17,0.0,1.0,308.45318603515625,0,R_A6,42,308.45318603515625
1732.1434326171875,STANDARD,2018-01-01,28,22,17,0.0,1.0,308.6152038574219,0,R_A6,42,308.6152038574219
1733.8529052734375,STANDARD,2018-01-01,29,23,17,0.0,1.0,308.4714660644531,0,R_A6,42,308.4714660644531
1640.87353515625,STANDARD,2018-03-01,1,1,22,0.0,0.05388336256146431,297.7778625488281,0,R_A2,30,297.7778625488281
1642.6173095703125,STANDARD,2018-03-01,2,2,22,0.0,0.056569214910268784,297.8946838378906,0,R_A2,30,297.8946838378906
1644.3612060546875,STANDARD,2018-03-01,3,3,22,0.0,0.060742221772670746,298.0115661621094,0,R_A2,30,298.0115661621094
1646.10498046875,STANDARD,2018-03-01,4,4,22,0.0,0.0648854598402977,298.12847900390625,0,R_A2,30,298.12847900390625
