CONJPOS,DRAWDOWN,DEPTH,SGAS,SWAT,WELL,DATE,CONIDX,CONIPOS,PRESSURE,CONBPRES,WELLMODEL,CONKPOS
48,0,1651.210693359375,0.0,0.6481541991233826,R_A4,2018-01-01,24,38,301.4371032714844,301.4371032714844,STANDARD,29
47,0,1659.056640625,0.0,0.30510029196739197,R_A4,2018-01-01,25,38,301.96331787109375,301.96331787109375,STANDARD,29
20,0,1684.117431640625,0.0,1.0,R_A5,2018-01-01,1,31,303.7579345703125,303.7579345703125,STANDARD,1
20,0,1686.35107421875,0.0,1.0,R_A5,2018-01-01,2,31,303.9696044921875,303.9696044921875,STANDARD,2
20,0,1688.584716796875,0.0,1.0,R_A5,2018-01-01,3,31,304.1812744140625,304.1812744140625,STANDARD,3
20,0,1690.818359375,0.0,1.0,R_A5,2018-01-01,4,31,304.3929443359375,304.3929443359375,STANDARD,4
20,0,1693.052001953125,0.0,1.0,R_A5,2018-01-01,5,31,304.6046142578125,304.6046142578125,STANDARD,5
20,0,1695.2857666015625,0.0,1.0,R_A5,2018-01-01,6,31,304.8162841796875,304.8162841796875,STANDARD,6
20,0,1697.5194091796875,0.0,1.0,R_A5,2018-01-01,7,31,305.3337707519531,305.3337707519531,STANDARD,7
21,0,1699.241455078125,0.0,1.0,R_A5,2018-01-01,8,31,305.4969482421875,305.4969482421875,STANDARD,10
21,0,1701.4384765625,0.0,1.0,R_A5,2018-01-01,9,31,305.3995056152344,305.3995056152344,STANDARD,11
21,0,1703.3726806640625,0.0,1.0,R_A5,2018-01-01,10,31,305.5827941894531,305.5827941894531,STANDARD,12
21,0,1705.306884765625,0.0,1.0,R_A5,2018-01-01,11,31,305.778076171875,305.778076171875,STANDARD,13
21,0,1707.2410888671875,0.0,1.0,R_A5,2018-01-01,12,31,305.96136474609375,305.96136474609375,STANDARD,14
21,0,1709.17529296875,0.0,1.0,R_A5,2018-01-01,13,31,306.1446838378906,306.1446838378906,STANDARD,15
21,0,1711.1094970703125,0.0,1.0,R_A5,2018-01-01,14,31,306.4729919433594,306.4729919433594,STANDARD,16
21,0,1713.0435791015625,0.0,1.0,R_A5,2018-01-01,15,31,306.65631103515625,306.65631103515625,STANDARD,17
21,0,1714.8154296875,0.0,1.0,R_A5,2018-01-01,16,31,306.82421875,306.82421875,STANDARD,18
21,0,1715.893310546875,0.0,1.0,R_A5,2018-01-01,17,31,306.9263916015625,306.9263916015625,STANDARD,19
21,0,1717.3006591796875,0.0,1.0,R_A5,2018-01-01,18,31,306.90264892578125,306.90264892578125,STANDARD,27
21,0,1719.56884765625,0.0,1.0,R_A5,2018-01-01,19,31,307.1176452636719,307.1176452636719,STANDARD,28
21,0,1721.837158203125,0.0,1.0,R_A5,2018-01-01,20,31,307.6383972167969,307.6383972167969,STANDARD,29
21,0,1724.1053466796875,0.0,1.0,R_A5,2018-01-01,21,31,307.8533630371094,307.8533630371094,STANDARD,30
21,0,1726.37353515625,0.0,1.0,R_A5,2018-01-01,22,31,308.068359375,308.068359375,STANDARD,31
42,0,1695.2213134765625,0.0,1.0,R_A6,2018-01-01,1,17,305.115966796875,305.115966796875,STANDARD,1
42,0,1696.766845703125,0.0,1.0,R_A6,2018-01-01,2,17,305.262451171875,305.262451171875,STANDARD,2
42,0,1698.3125,0.0,1.0,R_A6,2018-01-01,3,17,305.408935546875,305.408935546875,STANDARD,3
42,0,1699.858154296875,0.0,1.0,R_A6,2018-01-01,4,17,305.5553894042969,305.5553894042969,STANDARD,4
42,0,1701.40380859375,0.0,1.0,R_A6,2018-01-01,5,17,305.7018737792969,305.7018737792969,STANDARD,5
42,0,1702.9493408203125,0.0,1.0,R_A6,2018-01-01,6,17,305.8483581542969,305.8483581542969,STANDARD,6
42,0,1704.494873046875,0.0,1.0,R_A6,2018-01-01,7,17,305.6957702636719,305.6957702636719,STANDARD,7
42,0,1706.04052734375,0.0,1.0,R_A6,2018-01-01,8,17,305.8422546386719,305.8422546386719,STANDARD,8
42,0,1707.586181640625,0.0,1.0,R_A6,2018-01-01,9,17,306.28778076171875,306.28778076171875,STANDARD,9
