CONIDX,DATE,DRAWDOWN,CONKPOS,PRESSURE,SWAT,CONJPOS,CONBPRES,CONIPOS,WELL,DEPTH,SGAS,WELLMODEL
2,2018-01-01,0,2,305.2196960449219,1.0,42,305.2196960449219,17,R_A6,1696.3157958984375,0.0,STANDARD
3,2018-01-01,0,3,305.3656005859375,1.0,42,305.3656005859375,17,R_A6,1697.8555908203125,0.0,STANDARD
4,2018-01-01,0,4,305.51153564453125,1.0,42,305.51153564453125,17,R_A6,1699.395263671875,0.0,STANDARD
5,2018-01-01,0,5,305.6574401855469,1.0,42,305.6574401855469,17,R_A6,1700.9349365234375,0.0,STANDARD
6,2018-01-01,0,6,305.8033752441406,1.0,42,305.8033752441406,17,R_A6,1702.4747314453125,0.0,STANDARD
7,2018-01-01,0,7,305.6502380371094,1.0,42,305.6502380371094,17,R_A6,1704.0145263671875,0.0,STANDARD
8,2018-01-01,0,8,305.796142578125,1.0,42,305.796142578125,17,R_A6,1705.55419921875,0.0,STANDARD
9,2018-01-01,0,9,306.2411193847656,1.0,42,306.2411193847656,17,R_A6,1707.093994140625,0.0,STANDARD
10,2018-01-01,0,10,306.0812683105469,1.0,42,306.0812683105469,17,R_A6,1708.6336669921875,0.0,STANDARD
11,2018-01-01,0,11,306.25927734375,1.0,42,306.25927734375,17,R_A6,1710.5106201171875,0.0,STANDARD
12,2018-01-01,0,12,306.4691162109375,1.0,42,306.4691162109375,17,R_A6,1712.7249755859375,0.0,STANDARD
13,2018-01-01,0,13,306.6909484863281,1.0,42,306.6909484863281,17,R_A6,1714.9393310546875,0.0,STANDARD
14,2018-01-01,0,14,306.90081787109375,1.0,42,306.90081787109375,17,R_A6,1717.1536865234375,0.0,STANDARD
15,2018-01-01,0,15,307.1106872558594,1.0,42,307.1106872558594,17,R_A6,1719.3680419921875,0.0,STANDARD
16,2018-01-01,0,16,307.465576171875,1.0,42,307.465576171875,17,R_A6,1721.5823974609375,0.0,STANDARD
17,2018-01-01,0,17,307.6754150390625,1.0,42,307.6754150390625,17,R_A6,1723.796630859375,0.0,STANDARD
