WELLMODEL,DRAWDOWN,WELL,DEPTH,CONIPOS,SGAS,PRESSURE,DATE,SWAT,CONBPRES,CONIDX,CONJPOS,CONKPOS
STANDARD,0,R_A3,1617.5008544921875,28,0.0,278.9135437011719,2018-07-03,0.6502146124839783,278.9135437011719,5,41,5
STANDARD,0,R_A3,1619.565185546875,28,0.0,279.0624694824219,2018-07-03,0.33819806575775146,279.0624694824219,6,41,6
STANDARD,0,R_A3,1609.3663330078125,29,0.0,278.2880554199219,2018-07-03,0.6498134732246399,278.2880554199219,7,41,6
STANDARD,0,R_A3,1611.4163818359375,29,0.0,278.45111083984375,2018-07-03,0.1983199268579483,278.45111083984375,8,41,7
STANDARD,0,R_A3,1613.46630859375,29,0.0,278.5892333984375,2018-07-03,0.3521440029144287,278.5892333984375,9,41,8
STANDARD,0,R_A3,1615.516357421875,29,0.0,278.8126525878906,2018-07-03,0.8015032410621643,278.8126525878906,10,41,9
STANDARD,0,R_A3,1617.5662841796875,29,0.0,280.3081359863281,2018-07-03,0.795920729637146,280.3081359863281,11,41,10
STANDARD,0,R_A3,1619.750732421875,29,0.0,280.6543884277344,2018-07-03,0.049224309623241425,280.6543884277344,12,41,11
STANDARD,0,R_A3,1622.0697021484375,29,0.0,280.80914306640625,2018-07-03,0.05498286709189415,280.80914306640625,13,41,12
STANDARD,0,R_A3,1624.388671875,29,0.0,280.96405029296875,2018-07-03,0.3726412355899811,280.96405029296875,14,41,13
STANDARD,0,R_A3,1629.026611328125,29,0.0,282.99298095703125,2018-07-03,0.4877799451351166,282.99298095703125,15,41,15
STANDARD,0,R_A3,1630.9468994140625,29,0.0,283.1395568847656,2018-07-03,0.8067045211791992,283.1395568847656,16,41,16
STANDARD,0,R_A3,1633.5262451171875,29,2.769710025565808e-12,287.1834716796875,2018-07-03,1.0,287.1834716796875,17,41,27
STANDARD,0,R_A3,1637.1630859375,29,0.0,283.2449645996094,2018-07-03,0.04379792883992195,283.2449645996094,18,41,28
STANDARD,0,R_A3,1640.8001708984375,29,0.0,283.4876403808594,2018-07-03,0.052069950848817825,283.4876403808594,19,41,29
STANDARD,0,R_A3,1644.4371337890625,29,-1.0493844508630001e-11,287.3816223144531,2018-07-03,1.0,287.3816223144531,20,41,30
STANDARD,0,R_A3,1648.0740966796875,29,0.0,283.9619445800781,2018-07-03,0.06269647926092148,283.9619445800781,21,41,31
STANDARD,0,R_A4,1631.1873779296875,30,0.0,276.68963623046875,2018-09-12,0.05311118811368942,276.68963623046875,1,52,1
STANDARD,0,R_A4,1627.4293212890625,31,0.0,276.4797668457031,2018-09-12,0.04977191984653473,276.4797668457031,2,52,1
STANDARD,0,R_A4,1629.4896240234375,31,0.0,276.6170654296875,2018-09-12,0.051053933799266815,276.6170654296875,3,52,2
STANDARD,0,R_A4,1631.5498046875,31,0.0,276.7543640136719,2018-09-12,0.053564704954624176,276.7543640136719,4,52,3
STANDARD,0,R_A4,1633.610107421875,31,0.0,276.8916931152344,2018-09-12,0.05857706815004349,276.8916931152344,5,52,4
STANDARD,0,R_A4,1632.3968505859375,32,0.0,276.8379211425781,2018-09-12,0.057946037501096725,276.8379211425781,6,52,4
STANDARD,0,R_A4,1635.880615234375,32,0.0,277.0477600097656,2018-09-12,0.05845232680439949,277.0477600097656,7,51,4
STANDARD,0,R_A4,1637.321044921875,33,0.0,277.1622009277344,2018-09-12,0.06206461042165756,277.1622009277344,8,51,4
STANDARD,0,R_A4,1635.474609375,33,0.0,277.0390930175781,2018-09-12,0.05664560943841934,277.0390930175781,9,51,3
STANDARD,0,R_A4,1642.1485595703125,33,0.0,277.4158935546875,2018-09-12,0.14829781651496887,277.4158935546875,10,50,4
STANDARD,0,R_A4,1641.132080078125,34,0.0,277.354248046875,2018-09-12,0.08214056491851807,277.354248046875,11,50,4
STANDARD,0,R_A4,1639.20703125,34,0.0,277.22607421875,2018-09-12,0.1233203262090683,277.22607421875,12,50,3
STANDARD,0,R_A4,1640.9061279296875,35,0.0,277.3880615234375,2018-09-12,0.12481323629617691,277.3880615234375,13,50,3
STANDARD,0,R_A4,1639.0426025390625,35,0.0,277.2643127441406,2018-09-12,0.22969797253608704,277.2643127441406,14,50,2
STANDARD,0,R_A4,1641.93212890625,35,0.0,277.37384033203125,2018-09-12,0.23711343109607697,277.37384033203125,15,49,2
STANDARD,0,R_A4,1642.357421875,36,0.0,278.0016174316406,2018-09-12,0.12609902024269104,278.0016174316406,16,49,30
STANDARD,0,R_A4,1639.6068115234375,36,0.0,277.7137145996094,2018-09-12,0.05738614499568939,277.7137145996094,17,48,30
STANDARD,0,R_A4,1646.7513427734375,37,0.0,278.3446350097656,2018-09-12,0.22915424406528473,278.3446350097656,18,48,30
STANDARD,0,R_A4,1653.461669921875,38,0.0,278.9753723144531,2018-09-12,0.2730923891067505,278.9753723144531,19,48,30
STANDARD,0,R_A4,1657.8184814453125,38,0.0,279.096435546875,2018-09-12,0.7129139304161072,279.096435546875,20,47,30
STANDARD,0,R_A6,1695.20263671875,17,5.035528285714458e-15,273.10504150390625,2018-11-07,1.0,273.10504150390625,1,42,1
STANDARD,0,R_A6,1696.7510986328125,17,3.1782090726003263e-15,273.2503967285156,2018-11-07,1.0,273.2503967285156,2,42,2
STANDARD,0,R_A6,1698.299560546875,17,2.2865728526512722e-15,273.3931579589844,2018-11-07,1.0,273.3931579589844,3,42,3
STANDARD,0,R_A6,1699.84814453125,17,1.903302302479963e-15,273.532470703125,2018-11-07,1.0,273.532470703125,4,42,4
STANDARD,0,R_A6,1701.3966064453125,17,4.962127375120716e-15,273.6701965332031,2018-11-07,1.0,273.6701965332031,5,42,5
STANDARD,0,R_A6,1702.9451904296875,17,1.241961720098439e-13,273.8106689453125,2018-11-07,1.0,273.8106689453125,6,42,6
STANDARD,0,R_A6,1704.49365234375,17,2.3788929810406034e-13,273.65460205078125,2018-11-07,1.0,273.65460205078125,7,42,7
STANDARD,0,R_A6,1706.042236328125,17,1.2754600435711805e-13,273.8011169433594,2018-11-07,1.0,273.8011169433594,8,42,8
STANDARD,0,R_A6,1707.5906982421875,17,9.212488729498907e-15,274.24774169921875,2018-11-07,1.0,274.24774169921875,9,42,9
STANDARD,0,R_A6,1709.1392822265625,17,2.4939818399784925e-16,274.53204345703125,2018-11-07,1.0,274.53204345703125,10,42,10
STANDARD,0,R_A6,1711.055419921875,17,-4.0860428918414876e-14,274.466552734375,2018-11-07,1.0,274.466552734375,11,42,11
STANDARD,0,R_A6,1713.3392333984375,17,-1.83355799076787e-14,274.6827697753906,2018-11-07,1.0,274.6827697753906,12,42,12
